date,open,high,low,close,volume,average,barCount
2015-10-13,84.57,84.82,83.97,84.2,30563.0,84.433,262
2015-10-14,84.08,84.35,82.81,82.93,16861.0,83.574,148
2015-10-15,83.39,84.42,83.01,84.08,17690.0,83.645,151
2015-10-16,84.08,85.09,84.08,85.09,6897.0,84.659,63
2015-10-19,85.11,86.17,84.89,85.9,17468.0,85.523,158
2015-10-20,86.25,86.76,85.74,86.55,31277.0,86.209,266
2015-10-21,86.77,87.37,85.87,86.02,14559.0,86.513,126
2015-10-22,86.42,87.54,86.15,87.21,10239.0,87.03,91
2015-10-23,87.73,87.82,86.57,86.95,15824.0,87.217,123
2015-10-26,86.53,87.67,86.53,87.38,12499.0,87.274,97
2015-10-27,87.51,87.98,87.12,87.45,16529.0,87.412,152
2015-10-28,87.33,88.36,87.33,88.16,25622.0,87.971,216
2015-10-29,87.91,89.89,87.6,89.27,34585.0,88.906,311
2015-10-30,89.13,90.02,87.46,87.46,12877.0,88.452,109
2015-11-02,87.61,88.7,86.1,86.85,20515.0,86.856,174
2015-11-03,86.44,87.7,86.44,87.31,20701.0,87.173,189
2015-11-04,87.28,87.28,85.62,86.63,23543.0,86.366,210
2015-11-05,86.75,87.81,86.29,87.2,32458.0,87.214,259
2015-11-06,87.04,87.45,86.65,87.19,24074.0,87.159,180
2015-11-09,86.95,87.59,86.16,86.51,27427.0,86.9,221
2015-11-10,86.2,87.34,86.2,87.24,14317.0,86.887,131
2015-11-11,87.71,88.73,87.63,88.17,16495.0,88.147,141
2015-11-12,87.74,88.99,86.54,86.86,8925.0,87.351,77
2015-11-13,86.98,87.57,86.61,86.75,21372.0,87.127,199
2015-11-16,86.84,89.68,86.56,89.67,44503.0,88.743,356
2015-11-17,89.51,90.85,88.74,90.57,59237.0,89.966,496
2015-11-18,90.55,91.92,90.06,91.54,28284.0,91.056,238
2015-11-19,91.83,91.83,90.14,90.8,16228.0,90.815,149
2015-11-20,91.25,91.99,90.92,91.52,20501.0,91.497,174
2015-11-23,91.3,92.17,90.66,91.91,23114.0,91.789,194
2015-11-24,91.84,91.84,91.0,91.55,14680.0,91.349,130
2015-11-25,91.5,92.5,91.41,92.41,24624.0,92.083,214
2015-11-27,92.35,92.79,92.05,92.22,13014.0,92.384,122
2015-11-30,92.36,96.69,92.3,96.33,106526.0,94.902,892
2015-12-01,96.36,97.82,96.01,97.39,40903.0,96.812,335
2015-12-02,97.13,98.57,96.73,98.24,49707.0,97.763,437
2015-12-03,98.29,99.76,96.53,97.97,36325.0,97.864,324
2015-12-04,97.94,100.5,97.77,99.49,40313.0,99.406,348
2015-12-07,100.01,100.75,99.16,100.56,66170.0,100.205,556
2015-12-08,100.5,101.8,98.86,98.86,36701.0,99.351,332
2015-12-09,98.5,99.45,97.83,98.42,22464.0,98.52,215
2015-12-10,98.42,98.42,96.6,97.03,23642.0,97.379,229
2015-12-11,96.24,97.63,96.09,96.39,44834.0,96.724,403
2015-12-14,96.4,97.23,96.29,96.52,41034.0,96.595,370
2015-12-15,96.9,97.76,96.2,96.91,52333.0,96.968,472
2015-12-16,97.13,98.4,96.06,97.99,25149.0,97.273,238
2015-12-17,98.32,98.71,97.7,97.98,24750.0,98.163,227
2015-12-18,98.08,98.54,93.68,94.0,85032.0,95.561,722
2015-12-21,94.7,96.2,94.12,95.48,47555.0,95.241,427
2015-12-22,95.94,97.23,94.73,96.94,45344.0,96.003,389
2015-12-23,97.27,97.54,95.27,96.24,54785.0,96.346,480
2015-12-24,95.94,97.43,95.94,97.12,10141.0,96.607,92
2015-12-28,96.68,98.2,96.68,98.02,18492.0,97.397,174
2015-12-29,98.4,99.02,97.79,98.57,39033.0,98.452,329
2015-12-30,98.69,98.84,97.72,97.89,24524.0,98.311,189
2015-12-31,96.78,96.78,95.56,95.64,24929.0,95.921,223
2016-01-04,94.3,96.25,92.85,94.35,37551.0,93.833,359
2016-01-05,94.41,95.18,93.78,93.85,51622.0,94.364,390
2016-01-06,93.31,94.2,93.31,94.07,30734.0,93.88,271
2016-01-07,93.0,94.11,92.34,92.92,19531.0,93.326,166
2016-01-08,93.49,94.39,91.77,91.94,33744.0,93.198,280
2016-01-11,92.12,92.73,91.21,91.73,38599.0,92.081,356
2016-01-12,92.03,92.83,91.32,92.5,34821.0,92.03,262
2016-01-13,92.85,93.1,90.88,91.09,29998.0,91.676,262
2016-01-14,91.31,93.51,91.14,92.54,69699.0,92.416,569
2016-01-15,91.16,91.78,90.27,91.59,44727.0,90.942,403
2016-01-19,92.78,94.45,91.96,93.07,67086.0,92.872,568
2016-01-20,92.42,92.72,90.32,91.1,53769.0,91.453,433
2016-01-21,90.89,91.82,90.53,91.43,52769.0,91.156,383
2016-01-22,92.38,93.74,92.11,93.66,16069.0,93.244,154
2016-01-25,93.54,94.14,91.87,92.38,36956.0,92.726,329
2016-01-26,92.55,94.54,92.47,93.63,17169.0,93.647,129
2016-01-27,93.76,94.27,92.56,92.91,19829.0,93.302,160
2016-01-28,93.59,94.27,92.82,93.98,24763.0,93.712,225
2016-01-29,94.49,96.47,94.38,96.11,36360.0,95.305,296
2016-02-01,96.17,96.87,95.19,96.44,23133.0,96.058,171
2016-02-02,95.98,96.05,94.39,95.69,25454.0,95.493,205
2016-02-03,96.21,96.65,94.47,95.67,31618.0,95.427,274
2016-02-04,95.77,96.23,94.36,95.43,28191.0,95.211,264
2016-02-05,95.29,96.04,94.18,95.49,31681.0,95.084,286
2016-02-08,94.52,96.84,94.06,96.84,36486.0,95.527,316
2016-02-09,96.14,97.3,95.61,96.57,37090.0,96.393,314
2016-02-10,97.03,97.97,96.11,96.54,37008.0,97.231,318
2016-02-11,95.54,95.76,94.53,94.96,22340.0,95.194,185
2016-02-12,95.72,97.13,95.22,96.98,28255.0,96.564,250
2016-02-16,97.51,98.89,97.0,98.18,29732.0,97.863,246
2016-02-17,98.49,98.82,97.42,97.56,55998.0,98.0,267
2016-02-18,97.87,98.61,97.17,98.14,30137.0,98.223,258
2016-02-19,98.14,98.97,97.31,97.94,46741.0,98.119,316
2016-02-22,98.54,98.6,97.39,97.91,39979.0,98.043,314
2016-02-23,97.91,99.82,97.91,99.38,54450.0,99.011,372
2016-02-24,98.73,100.21,98.34,100.19,22047.0,99.524,193
2016-02-25,100.01,100.88,100.01,100.53,28566.0,100.487,230
2016-02-26,99.14,99.2,93.3,94.34,81531.0,95.246,697
2016-02-29,94.08,95.44,92.89,94.01,56009.0,94.193,536
2016-03-01,94.18,96.82,93.58,96.6,52117.0,95.969,493
2016-03-02,96.17,96.4,94.9,95.58,39780.0,95.579,318
2016-03-03,95.61,96.73,94.8,96.33,50289.0,95.82,428
2016-03-04,96.57,96.85,94.46,96.26,43357.0,95.613,382
2016-03-07,95.35,95.35,89.07,89.92,183602.0,91.282,1523
2016-03-08,89.6,91.33,89.6,90.81,85482.0,90.62,727
2016-03-09,91.19,91.96,89.78,90.79,85279.0,90.692,702
2016-03-10,90.79,91.0,88.69,90.03,82604.0,89.601,586
2016-03-11,90.44,91.8,90.02,91.19,67165.0,91.144,567
2016-03-14,90.61,90.87,88.76,90.18,82016.0,89.83,743
2016-03-15,89.84,92.3,89.38,91.33,51692.0,91.275,468
2016-03-16,91.33,91.33,89.96,90.69,64837.0,90.538,484
2016-03-17,90.84,92.86,89.0,92.61,43937.0,92.06,404
2016-03-18,92.41,93.92,91.21,93.46,80048.0,92.819,704
2016-03-21,93.04,93.47,91.8,92.15,52132.0,92.314,454
2016-03-22,92.17,93.55,91.93,92.58,48506.0,92.701,402
2016-03-23,92.23,93.06,91.67,92.25,35260.0,92.219,321
2016-03-24,92.14,92.56,91.25,91.63,50042.0,91.793,421
2016-03-28,92.01,93.44,91.54,92.52,53253.0,92.757,455
2016-03-29,92.82,93.91,91.73,93.63,71374.0,93.373,560
2016-03-30,94.23,94.79,93.43,94.16,29341.0,94.105,244
2016-03-31,93.95,94.66,92.77,92.99,20833.0,93.433,178
