date,open,high,low,close,volume,average,barCount
2015-10-13,229.84,230.76,227.73,228.97,173594.0,229.295,1465
2015-10-14,229.41,229.41,225.74,226.26,181842.0,227.525,1496
2015-10-15,227.13,231.21,226.4,231.03,246087.0,229.699,2023
2015-10-16,232.22,234.04,231.33,233.37,213418.0,232.919,1661
2015-10-19,233.22,237.7,232.87,237.55,150731.0,235.642,1348
2015-10-20,237.32,238.25,235.8,237.21,146830.0,236.973,1275
2015-10-21,238.0,238.85,233.89,234.29,262284.0,236.174,2185
2015-10-22,235.31,236.21,230.8,231.99,497891.0,232.354,4337
2015-10-23,231.26,234.2,228.33,230.25,278530.0,230.252,2368
2015-10-26,230.89,232.0,227.58,229.66,310418.0,229.219,2403
2015-10-27,229.3,230.46,225.93,227.3,427367.0,228.587,3301
2015-10-28,227.6,229.42,220.09,223.19,519345.0,223.81,4187
2015-10-29,223.19,227.0,222.2,226.25,417335.0,224.74,3367
2015-10-30,222.86,226.05,216.14,220.44,630482.0,219.458,5134
2015-11-02,220.44,226.84,220.25,226.02,380571.0,224.803,3176
2015-11-03,226.02,226.74,221.85,223.13,310744.0,223.036,2681
2015-11-04,223.16,224.72,220.01,221.84,304981.0,221.336,2688
2015-11-05,221.07,223.76,220.26,223.58,229693.0,221.946,1971
2015-11-06,221.97,222.18,216.41,218.74,206036.0,218.74,1789
2015-11-09,217.2,219.37,214.29,216.19,165849.0,215.888,1433
2015-11-10,217.69,220.7,216.67,218.26,283570.0,218.32,2134
2015-11-11,218.45,221.39,217.69,220.66,141514.0,219.924,1147
2015-11-12,220.42,221.19,218.53,218.87,139366.0,219.441,1265
2015-11-13,219.64,221.11,217.6,217.75,101558.0,218.772,893
2015-11-16,217.81,222.17,217.29,220.8,112525.0,219.287,1020
2015-11-17,220.42,224.15,219.06,222.25,151120.0,222.826,1288
2015-11-18,222.86,223.85,220.17,223.62,171602.0,222.546,1467
2015-11-19,223.78,226.3,223.08,225.97,105424.0,225.372,930
2015-11-20,226.73,229.12,226.16,228.25,180058.0,228.091,1326
2015-11-23,228.22,230.39,226.97,230.05,169525.0,229.603,1424
2015-11-24,229.24,229.88,225.68,227.85,122852.0,227.434,1108
2015-11-25,228.64,231.2,227.97,230.6,129725.0,230.059,1110
2015-11-27,230.07,234.97,228.83,233.83,90158.0,233.406,810
2015-11-30,234.57,235.67,230.13,230.79,260294.0,232.532,2299
2015-12-01,232.05,235.64,232.05,235.36,160469.0,234.248,1444
