date,open,high,low,close,volume,average,barCount
2015-10-13,50.99,51.45,50.84,50.95,1139782.0,50.972,8220
2015-10-14,51.13,51.6,51.03,51.25,1147327.0,51.296,7820
2015-10-15,51.34,51.93,51.04,51.83,1027174.0,51.601,7425
2015-10-16,51.98,52.53,51.94,52.24,1073024.0,52.19,6837
2015-10-19,52.06,52.22,51.55,51.98,1048392.0,51.852,7681
2015-10-20,51.82,52.27,51.56,52.2,1142682.0,52.073,7803
2015-10-21,52.27,52.71,51.93,52.06,1017011.0,52.196,7020
2015-10-22,52.16,52.85,52.03,52.7,913525.0,52.627,6609
2015-10-23,52.61,52.68,51.64,51.72,807739.0,51.981,5958
2015-10-26,51.78,52.09,51.36,52.05,744422.0,51.765,5095
2015-10-27,52.04,52.25,51.64,51.93,652777.0,51.928,4625
2015-10-28,51.93,52.16,50.43,50.97,1064175.0,51.108,7808
2015-10-29,50.61,50.86,49.83,50.76,1046886.0,50.351,7705
2015-10-30,50.77,51.17,50.6,50.94,987503.0,50.995,7162
2015-11-02,50.97,51.26,50.49,50.96,1046675.0,50.765,7743
2015-11-03,50.1,51.54,50.1,51.45,1314971.0,51.228,9890
2015-11-04,51.34,51.98,51.21,51.59,882606.0,51.61,6677
2015-11-05,51.51,51.82,51.36,51.5,865513.0,51.607,6261
2015-11-06,50.75,51.06,48.84,49.02,1521064.0,49.286,10883
2015-11-09,48.82,49.43,48.65,49.35,973290.0,49.128,7254
2015-11-10,49.48,50.45,49.18,50.37,1201900.0,50.176,8796
2015-11-11,50.51,51.14,50.38,51.07,952543.0,50.899,6408
2015-11-12,50.66,51.38,50.16,50.23,1219305.0,50.532,8449
2015-11-13,50.34,50.73,49.69,49.8,709803.0,50.103,5464
2015-11-16,49.85,51.02,49.84,50.97,1112424.0,50.551,8064
2015-11-17,50.83,51.22,49.48,49.65,1524334.0,50.059,11103
2015-11-18,49.79,50.68,49.4,50.6,1295644.0,50.078,9422
2015-11-19,50.77,51.29,50.49,51.04,1341082.0,50.972,9919
2015-11-20,51.43,51.9,51.18,51.44,1524867.0,51.478,10593
2015-11-23,51.5,51.69,50.98,51.13,918806.0,51.282,7751
2015-11-24,50.84,50.91,50.38,50.65,1274352.0,50.637,7361
2015-11-25,50.63,50.63,50.2,50.36,744532.0,50.368,4931
2015-11-27,50.55,50.91,50.29,50.53,810079.0,50.615,6081
2015-11-30,50.7,51.54,50.41,50.95,2020251.0,51.019,14370
2015-12-01,50.78,51.19,50.19,50.77,1819661.0,50.62,12921
2015-12-02,50.62,50.79,49.66,49.73,716272.0,49.942,5648
