date,open,high,low,close,volume,average,barCount
2015-10-12,22.06,22.37,22.03,22.13,7632479.315664003,22.1660004,27078
2015-10-13,22.11,22.23,21.77,21.81,8056875.613518441,21.9214071,27614
2015-10-14,21.86,21.89,21.56,21.67,12073734.39910251,21.685371,30707
2015-10-15,21.76,22.21,21.24,22.08,15638084.42013743,21.8458185,52759
2015-10-16,22.17,22.21,21.64,21.72,11592278.782779414,21.8301303,33673
2015-10-19,21.66,21.72,21.36,21.52,9554066.75080634,21.4614576,34963
2015-10-20,21.54,21.9,21.51,21.81,8979335.296592344,21.7773609,32589
2015-10-21,21.84,22.0,21.66,21.72,6040751.647735241,21.8244255,23701
2015-10-22,21.81,22.14,21.77,22.11,6839593.324919366,22.0027005,27756
2015-10-23,22.01,22.04,21.28,21.29,9267214.97686159,21.5220711,28074
2015-10-26,21.3,21.39,20.67,20.8,11505062.40358996,20.836782,42602
2015-10-27,20.71,20.77,20.25,20.36,9037419.716729771,20.4310281,33244
2015-10-28,20.42,20.66,20.11,20.37,12257841.817416912,20.3903814,41360
2015-10-29,20.29,20.42,19.9,20.39,9700947.973636236,20.2327863,36067
2015-10-30,20.44,20.75,19.76,19.91,16543449.726546068,20.0830353,56436
2015-11-02,19.95,20.27,19.95,20.23,10156164.633291263,20.1821562,35267
2015-11-03,20.22,20.38,20.04,20.33,7593017.809563876,20.2142457,25692
2015-11-04,20.34,20.75,20.29,20.75,10992740.148646753,20.5900494,35863
2015-11-05,20.77,20.83,20.45,20.49,7585460.664703408,20.5850577,29349
2015-11-06,20.22,20.33,19.77,20.03,11734550.553919507,19.9425546,39692
2015-11-09,20.11,20.83,20.09,20.54,15841263.497405695,20.4866499,55892
2015-11-10,20.36,20.69,20.32,20.49,8441138.690225774,20.494494,31127
2015-11-11,20.57,20.67,20.45,20.59,7625234.889917263,20.5401324,28802
2015-11-12,20.47,20.67,20.36,20.37,8230029.448885149,20.4823713,31623
2015-11-13,20.37,20.59,20.15,20.21,10810475.389145983,20.3098011,36239
2015-11-16,20.21,20.43,20.16,20.43,6699806.478754733,20.3311941,24755
2015-11-17,20.39,20.54,19.68,19.75,12109760.201935213,19.9339974,37609
2015-11-18,19.75,20.1,19.6,20.05,12044847.84742673,19.859835,36320
2015-11-19,20.1,20.39,20.05,20.08,7395180.1991305575,20.18073,26520
2015-11-20,20.17,20.32,19.66,19.97,11045191.417753471,19.9111782,34738
2015-11-23,19.95,20.02,19.69,19.73,7649559.669050625,19.8305979,27766
2015-11-24,19.66,19.87,19.54,19.81,9043887.252839714,19.738608,32321
2015-11-25,19.79,19.84,19.6,19.75,5053479.175431216,19.7050923,18883
2015-11-27,19.79,19.85,19.65,19.7,2850242.6027205163,19.7293377,10211
2015-11-30,19.7,19.77,19.45,19.47,10214286.916281028,19.5788736,36580
2015-12-01,19.6,19.88,19.55,19.86,8494933.389426447,19.7450259,33166
2015-12-02,19.79,19.85,19.44,19.5,7673376.805497126,19.5560544,27940
2015-12-03,19.41,19.6,19.28,19.35,6838230.262235311,19.4376798,25960
2015-12-04,19.5,19.57,19.0,19.05,13848130.69695695,19.1859555,41365
2015-12-07,19.05,19.18,18.74,19.08,11252040.38704249,18.9984102,42515
2015-12-08,18.97,19.04,18.7,18.93,7018190.997055111,18.8408151,27737
2015-12-09,18.81,19.3,18.76,18.95,6970535.6892441455,19.0319259,29245
2015-12-10,18.98,19.08,18.76,18.88,8040636.6568503715,18.9121251,29886
2015-12-11,18.73,18.93,18.46,18.5,8975966.905062404,18.61191,32182
2015-12-14,18.53,18.55,17.89,18.16,13043040.246809704,18.1419771,45848
2015-12-15,18.18,18.58,18.16,18.29,12786173.04725845,18.3387927,38374
2015-12-16,18.31,18.96,18.27,18.85,13208729.490954986,18.676089,47397
2015-12-17,18.85,19.1,18.69,18.97,10343756.836348338,18.96846,34711
2015-12-18,18.9,19.28,18.73,19.18,13864056.934511289,19.0661547,46845
2015-12-21,19.3,19.62,19.14,19.56,12264012.060019633,19.4505156,45936
2015-12-22,19.52,19.7,19.4,19.62,7514094.797363624,19.5589068,28940
2015-12-23,19.63,19.87,19.55,19.82,6020862.431636517,19.738608,23284
2015-12-24,19.73,19.87,19.72,19.79,1632029.1684195765,19.7892381,6199
2015-12-28,19.72,19.84,19.51,19.8,5874392.090870846,19.7493045,17772
2015-12-29,19.9,19.97,19.76,19.93,5519492.35731314,19.8919245,20413
2015-12-30,19.78,19.93,19.61,19.75,5334783.340344973,19.7535831,20460
2015-12-31,19.71,19.86,19.48,19.8,6060154.256065068,19.7514438,21270
2016-01-04,19.6,19.97,19.49,19.95,8868005.88977703,19.7935167,32986
2016-01-05,19.88,20.1,19.55,20.08,6631824.428551395,19.9104651,25292
2016-01-06,19.89,20.17,19.8,20.1,8212583.0879259575,20.0388231,27726
2016-01-07,19.84,20.1,19.73,19.85,6649070.256626,19.9111782,27948
2016-01-08,19.9,19.95,19.57,19.84,8807778.712663021,19.7578617,31157
2016-01-11,19.93,20.22,19.84,20.01,10360559.528817838,20.0495196,37714
2016-01-12,20.1,20.1,19.66,19.92,8388033.936334316,19.8576957,33139
2016-01-13,19.94,20.09,19.5,19.64,9447052.306829337,19.7678451,36301
2016-01-14,19.63,20.04,19.38,19.9,11009607.34819801,19.7407473,42007
2016-01-15,19.51,19.95,19.23,19.58,12459045.014724443,19.474761,48106
2016-01-19,19.7,19.92,19.58,19.71,10664589.819099706,19.7236329,42376
2016-01-20,19.55,19.57,18.73,19.1,13915398.96227738,19.0376307,53296
2016-01-21,19.17,19.63,18.95,19.55,11480483.803113168,19.374927,47123
