date,open,high,low,close,volume,average,barCount
2015-10-13,126.19,129.15,125.4,128.1,1419683.0,128.035,9434
2015-10-14,124.2,126.12,119.56,121.85,3580270.0,122.106,22813
2015-10-15,122.49,125.74,121.84,125.18,1425340.0,123.919,9766
2015-10-16,125.63,127.86,125.63,127.38,1389356.0,127.051,9772
2015-10-19,127.43,131.07,126.5,130.45,1455970.0,129.687,9774
2015-10-20,130.44,131.26,128.11,129.04,1529982.0,129.371,9922
2015-10-21,129.98,131.51,128.14,129.14,1146965.0,129.788,7765
2015-10-22,126.9,129.74,125.6,127.58,2241187.0,127.377,14396
2015-10-23,129.35,129.35,125.21,125.41,3145623.0,126.524,13756
2015-10-26,125.88,129.26,125.7,128.39,1739364.0,128.15,11793
2015-10-27,128.84,129.75,125.88,127.11,1374286.0,127.071,9661
2015-10-28,127.98,128.02,124.61,125.8,1983904.0,126.149,13702
2015-10-29,125.75,127.57,124.54,127.06,2936605.0,125.864,19002
2015-10-30,136.0,139.58,135.7,136.3,6721978.0,137.523,40941
2015-11-02,136.2,137.27,133.42,135.41,2176245.0,135.398,15246
2015-11-03,135.41,137.5,133.57,136.39,1462938.0,136.199,10251
2015-11-04,137.02,137.3,132.49,134.17,1758015.0,134.22,12067
2015-11-05,138.54,140.51,136.41,137.31,6562437.0,138.345,38832
2015-11-06,138.08,138.21,131.6,133.32,4210699.0,133.741,28437
2015-11-09,131.83,133.23,129.34,129.48,2645579.0,130.542,18212
2015-11-10,129.68,130.32,128.13,129.01,1659949.0,129.214,11011
2015-11-11,129.76,130.29,128.5,128.74,1923409.0,129.329,12253
2015-11-12,128.43,129.16,127.75,127.94,2118613.0,128.474,14057
2015-11-13,127.75,128.66,124.83,125.2,2420493.0,125.95,16142
2015-11-16,122.62,123.38,120.71,122.53,4304911.0,122.042,29574
2015-11-17,123.58,124.01,119.35,120.89,2227218.0,121.849,15970
2015-11-18,121.26,125.99,121.0,125.3,3056627.0,123.595,23566
2015-11-19,126.07,129.97,124.38,128.09,3962292.0,127.581,28868
2015-11-20,128.55,128.87,125.87,126.25,2046166.0,126.834,13987
2015-11-23,126.61,127.22,123.84,124.92,1068500.0,125.186,8204
2015-11-24,122.75,123.2,120.03,121.27,1981213.0,121.372,14350
2015-11-25,121.93,124.0,121.5,123.62,1081539.0,123.352,8926
2015-11-27,124.09,124.19,121.66,123.63,517930.0,123.156,4196
2015-11-30,123.49,124.35,122.14,123.11,1044652.0,123.122,8218
2015-12-01,124.09,125.23,122.76,125.04,1531131.0,124.076,12274
2015-12-02,125.0,125.6,122.78,123.11,1140829.0,123.597,8790
2015-12-03,123.39,125.13,121.58,122.27,2607799.0,122.712,16787
2015-12-04,123.14,126.06,122.21,125.92,1472562.0,124.759,10706
2015-12-07,126.34,126.48,123.92,125.04,1148900.0,124.824,9295
2015-12-08,123.92,126.17,123.01,125.63,798183.0,125.02,6271
2015-12-09,125.03,126.86,123.31,125.02,2112192.0,125.036,17014
2015-12-10,124.8,126.6,123.12,125.61,1498127.0,125.401,11252
2015-12-11,123.55,125.61,122.74,123.21,2118386.0,123.945,15043
2015-12-14,123.48,126.0,123.44,124.3,1513455.0,124.561,12354
2015-12-15,125.77,132.0,125.73,130.24,2721401.0,129.976,20558
2015-12-16,131.12,133.07,128.3,131.16,2846295.0,130.575,21654
2015-12-17,131.23,131.9,128.45,128.67,1672808.0,129.448,13217
2015-12-18,128.66,129.54,125.0,125.36,2739170.0,125.966,17382
2015-12-21,126.06,127.39,124.52,125.58,1207955.0,125.584,9135
2015-12-22,126.33,128.03,125.05,127.52,1530772.0,126.907,11680
2015-12-23,128.3,128.52,125.0,126.28,1608944.0,126.129,12240
2015-12-24,126.17,127.43,125.6,126.47,475785.0,126.896,3482
2015-12-28,126.3,127.48,124.66,126.1,763014.0,125.806,5925
2015-12-29,126.43,128.92,126.43,127.7,940789.0,127.901,7718
2015-12-30,127.68,127.97,126.01,126.27,872391.0,126.776,6470
2015-12-31,125.49,126.21,123.96,124.3,1076530.0,124.772,7588
2016-01-04,121.26,122.0,119.06,120.8,2445152.0,120.127,17169
2016-01-05,121.25,122.13,118.39,119.93,3181162.0,119.993,20305
2016-01-06,117.56,120.16,116.51,119.04,1576622.0,119.006,12559
2016-01-07,117.01,117.78,114.0,114.81,1528817.0,115.97,11277
2016-01-08,116.06,116.5,111.25,111.41,2014519.0,113.063,15383
2016-01-11,112.11,112.78,109.25,111.2,1748615.0,111.091,13581
2016-01-12,112.05,113.12,110.15,111.9,1514342.0,111.927,12020
2016-01-13,112.44,112.91,105.33,106.37,3113822.0,107.717,21137
2016-01-14,106.74,109.49,102.87,107.67,2222743.0,106.711,16573
2016-01-15,103.56,104.02,99.56,102.76,3891028.0,102.228,26379
2016-01-19,104.81,106.77,104.08,105.32,2752248.0,105.38,19304
2016-01-20,103.73,107.88,100.07,106.28,2408620.0,104.033,17938
2016-01-21,106.39,107.62,105.19,106.4,1700396.0,106.378,12493
2016-01-22,108.46,109.24,106.04,107.12,1311196.0,107.422,10496
2016-01-25,106.88,107.86,104.98,105.21,1476061.0,106.079,10681
2016-01-26,104.66,105.93,102.36,104.93,1318058.0,104.424,10329
2016-01-27,102.91,104.0,99.0,99.53,2774811.0,101.369,20253
2016-01-28,101.29,101.49,97.22,98.69,2123478.0,98.625,16435
2016-01-29,99.22,101.27,98.13,101.04,1545492.0,99.732,10839
2016-02-01,100.16,102.93,98.71,102.15,2235220.0,100.956,15858
2016-02-02,101.44,101.79,97.35,98.71,2381728.0,98.643,18341
2016-02-03,98.85,99.08,92.41,96.3,2758458.0,95.375,20001
2016-02-04,95.98,100.21,94.5,99.9,1865862.0,98.301,14965
2016-02-05,99.31,99.31,91.91,93.54,4776915.0,94.205,35619
2016-02-08,91.37,92.27,88.4,91.53,3914159.0,90.406,29668
2016-02-09,90.25,94.4,89.24,92.64,3712644.0,91.679,27582
2016-02-10,93.36,96.51,93.02,94.35,3955853.0,95.086,30248
