date,open,high,low,close,volume,average,barCount
2015-10-13,9.55,9.7,9.31,9.49,23408768.0,9.5435,36608
2015-10-14,9.48,9.58,9.36,9.47,16472596.0,9.47125,25262
2015-10-15,9.51,9.54,9.36,9.53,14356128.0,9.469,21304
2015-10-16,9.47,9.47,9.27,9.37,12584152.0,9.33925,20176
2015-10-19,9.33,9.38,9.2,9.26,7007608.0,9.25325,11963
2015-10-20,9.22,9.38,9.19,9.26,8336808.0,9.291,15003
2015-10-21,9.28,9.35,9.17,9.23,8049924.0,9.2405,14804
2015-10-22,9.28,9.67,9.28,9.63,14857960.0,9.5415,26106
2015-10-23,9.61,9.72,9.5,9.69,11081196.0,9.62425,20240
2015-10-26,9.65,9.78,9.59,9.62,7282916.0,9.66975,13273
2015-10-27,9.53,9.61,9.42,9.58,7300916.0,9.537,13357
2015-10-28,9.63,9.83,9.57,9.76,8547920.0,9.759,15854
2015-10-29,9.74,9.79,9.68,9.76,6141500.0,9.74125,9916
2015-10-30,9.78,9.84,9.77,9.79,8374432.0,9.8065,13141
2015-11-02,9.8,10.13,9.78,10.06,14418240.0,9.95,22505
2015-11-03,10.06,10.2,10.02,10.13,7813132.0,10.12825,14156
2015-11-04,10.15,10.21,10.04,10.06,9126020.0,10.09575,15138
2015-11-05,10.08,10.41,10.01,10.31,12765252.0,10.23225,21936
2015-11-06,10.35,10.35,10.12,10.27,9528004.0,10.23375,16964
2015-11-09,10.24,10.25,10.06,10.15,9098308.0,10.12,15216
2015-11-10,10.13,10.21,10.04,10.12,6276968.0,10.09175,11019
2015-11-11,10.18,10.18,9.97,10.05,7230444.0,10.05575,13210
2015-11-12,10.0,10.12,9.65,9.66,22356212.0,9.863,30178
2015-11-13,9.65,9.79,9.62,9.65,7815864.0,9.68775,13979
2015-11-16,9.64,9.79,9.63,9.79,5664716.0,9.71975,10686
2015-11-17,9.65,9.82,9.65,9.71,4654588.0,9.738,9100
2015-11-18,9.76,9.93,9.69,9.92,6148524.0,9.837,10641
2015-11-19,9.9,9.9,9.77,9.87,7789644.0,9.82375,13707
2015-11-20,9.92,10.02,9.88,9.93,5893908.0,9.9405,10047
2015-11-23,9.91,9.97,9.87,9.93,6808224.0,9.91175,8843
2015-11-24,9.9,9.99,9.82,9.95,6738880.0,9.9165,11728
2015-11-25,10.0,10.05,9.95,10.02,5157156.0,10.00625,9553
2015-11-27,10.03,10.1,10.0,10.08,2548948.0,10.05,4812
2015-11-30,10.1,10.17,10.05,10.15,7206832.0,10.1345,12458
2015-12-01,10.21,10.28,10.13,10.23,9813316.0,10.1945,16198
2015-12-02,10.2,10.24,10.0,10.04,7188540.0,10.11,13725
2015-12-03,10.04,10.09,9.79,9.86,9642648.0,9.89275,16026
2015-12-04,9.91,10.07,9.88,10.04,7877320.0,9.977,14161
2015-12-07,10.03,10.22,9.97,10.21,10218696.0,10.13775,19173
2015-12-08,10.05,10.14,9.99,10.05,7998892.0,10.06575,14617
2015-12-09,9.99,10.23,9.97,10.06,7159932.0,10.08725,14049
2015-12-10,10.05,10.12,9.98,10.04,4674660.0,10.05075,9253
2015-12-11,9.88,10.03,9.81,9.87,7874456.0,9.91775,13041
2015-12-14,9.9,9.98,9.79,9.97,5639052.0,9.894,10399
2015-12-15,10.04,10.08,9.9,9.96,6998256.0,9.97525,12762
2015-12-16,10.04,10.13,9.91,10.07,6863884.0,10.0335,13464
2015-12-17,10.11,10.12,9.92,10.0,9475680.0,10.01225,17607
2015-12-18,9.94,9.98,9.76,9.77,13519960.0,9.845,20979
2015-12-21,9.81,9.88,9.61,9.71,9890536.0,9.68475,17220
2015-12-22,9.75,10.02,9.7,10.02,8334764.0,9.90675,14847
2015-12-23,10.07,10.33,9.88,10.31,10102188.0,10.25225,18437
2015-12-24,10.32,10.44,10.25,10.38,4772692.0,10.39575,9013
2015-12-28,10.35,10.4,10.24,10.35,5359100.0,10.333,10488
2015-12-29,10.4,10.49,10.37,10.41,5518188.0,10.4305,9962
2015-12-30,10.38,10.49,10.37,10.38,6863392.0,10.4275,13271
2015-12-31,10.35,10.4,10.2,10.21,4340756.0,10.2535,8302
2016-01-04,10.06,10.06,9.88,10.05,11629108.0,9.96825,19226
2016-01-05,10.13,10.14,9.81,9.94,11634568.0,9.91675,19320
2016-01-06,9.83,10.09,9.75,9.97,12687264.0,9.99725,21210
2016-01-07,9.8,9.9,9.66,9.76,10022916.0,9.7775,16985
2016-01-08,9.82,9.9,9.67,9.7,9560500.0,9.76025,16837
2016-01-11,9.76,9.78,9.63,9.72,15414904.0,9.70875,23838
2016-01-12,9.77,9.88,9.71,9.86,10508040.0,9.8025,19575
2016-01-13,9.88,9.94,9.66,9.69,15427220.0,9.776,27798
2016-01-14,9.75,9.89,9.5,9.81,20456812.0,9.74675,37520
2016-01-15,8.79,9.68,8.78,9.42,55412388.0,9.28725,81275
2016-01-19,9.51,9.61,9.09,9.19,21510452.0,9.256,35986
2016-01-20,9.09,9.22,8.79,9.13,16419392.0,9.00025,30312
2016-01-21,9.17,9.34,9.03,9.29,14134852.0,9.2115,26514
2016-01-22,9.43,9.53,9.26,9.49,12856900.0,9.408,24746
2016-01-25,9.46,9.52,9.19,9.21,11821196.0,9.32675,19982
2016-01-26,9.33,9.56,9.29,9.51,15376640.0,9.467,25756
2016-01-27,9.41,9.71,9.33,9.51,12721956.0,9.54125,23680
2016-01-28,9.53,9.85,9.49,9.84,13762636.0,9.75525,24947
2016-01-29,9.87,10.14,9.82,10.14,12575484.0,10.07975,22035
2016-02-01,10.55,10.65,9.88,10.11,15145616.0,10.02025,27516
2016-02-02,9.96,10.0,9.74,9.78,9732168.0,9.8275,18428
2016-02-03,9.88,10.08,9.62,9.91,13463592.0,9.86275,22832
2016-02-04,10.38,11.11,10.38,10.88,41088568.0,10.86675,62108
2016-02-05,10.82,10.94,10.7,10.81,17072648.0,10.80375,30238
2016-02-08,10.73,11.06,10.63,10.92,22093216.0,10.8655,34816
2016-02-09,10.81,11.06,10.79,10.84,19578760.0,10.93475,32288
