date,open,high,low,close,volume,average,barCount
2015-10-13,32.51,32.66,32.21,32.33,3876455.0,32.411,18865
2015-10-14,32.39,32.78,32.24,32.5,3469975.0,32.547,17416
2015-10-15,32.64,32.87,32.46,32.74,3614938.0,32.7,17685
2015-10-16,32.96,33.0,32.43,32.5,2918761.0,32.653,15506
2015-10-19,32.58,32.64,32.07,32.22,2707180.0,32.204,15593
2015-10-20,32.2,32.68,32.08,32.63,4744359.0,32.518,22252
2015-10-21,32.68,32.81,32.19,32.24,2270347.0,32.397,12141
2015-10-22,32.35,32.79,32.01,32.51,3039809.0,32.533,17463
2015-10-23,32.5,32.55,31.62,31.67,2613877.0,31.872,13935
2015-10-26,31.8,31.85,31.02,31.29,3188900.0,31.249,19646
2015-10-27,31.28,31.39,30.89,31.19,1728618.0,31.133,11540
2015-10-28,31.2,31.36,30.47,30.84,2019182.0,30.911,13680
2015-10-29,30.74,30.86,30.13,30.82,2531715.0,30.581,15713
2015-10-30,31.09,31.49,30.81,31.2,3884727.0,31.182,22519
2015-11-02,31.21,31.33,30.7,31.16,3592520.0,31.055,19774
2015-11-03,31.15,31.31,30.51,31.07,3988785.0,30.837,23349
2015-11-04,30.67,31.09,30.62,30.99,3805290.0,30.931,21618
2015-11-05,30.94,30.98,30.32,30.4,2658483.0,30.524,15314
2015-11-06,30.01,30.08,29.05,29.29,3461126.0,29.351,19647
2015-11-09,29.17,29.32,28.89,29.12,3300271.0,29.087,18080
2015-11-10,29.16,29.74,29.12,29.48,2427677.0,29.463,13894
2015-11-11,29.58,30.22,29.48,30.21,4033134.0,29.969,21181
2015-11-12,30.12,30.65,30.06,30.16,4808393.0,30.397,28253
2015-11-13,30.2,30.75,30.15,30.6,4364433.0,30.593,24660
2015-11-16,30.54,30.75,30.27,30.44,2579865.0,30.477,16391
2015-11-17,30.48,30.8,30.01,30.06,2516915.0,30.261,14071
2015-11-18,30.06,30.48,29.62,30.41,5236362.0,30.103,23639
2015-11-19,30.68,31.26,30.68,31.21,3684852.0,31.095,18595
2015-11-20,31.33,31.52,30.88,31.49,4555257.0,31.26,19360
2015-11-23,31.54,31.74,31.14,31.17,2782393.0,31.43,15833
2015-11-24,31.0,31.27,30.84,31.16,2034870.0,31.049,12571
2015-11-25,31.13,31.16,30.59,30.93,2607581.0,30.871,14608
2015-11-27,30.95,31.29,30.9,31.15,1344451.0,31.139,8629
2015-11-30,31.1,31.46,30.92,31.39,4233457.0,31.258,21067
2015-12-01,31.59,32.46,31.51,32.27,8205436.0,32.111,36455
2015-12-02,32.27,32.54,31.67,31.98,5960133.0,32.039,32530
2015-12-03,32.09,32.34,31.8,32.05,5860650.0,32.03,29439
2015-12-04,32.24,32.99,32.09,32.82,5407033.0,32.723,26275
2015-12-07,32.74,32.88,32.4,32.48,4372399.0,32.595,23073
2015-12-08,32.33,32.5,31.7,31.9,3996323.0,31.918,23281
2015-12-09,31.65,32.45,31.6,32.05,4167345.0,32.135,23797
