date,open,high,low,close,volume,average,barCount
2015-10-13,119.37,121.5,118.5,120.62,469745.0,120.548,3739
2015-10-14,120.38,120.41,117.16,117.47,890582.0,118.672,7072
2015-10-15,117.89,118.7,116.42,116.63,965548.0,117.07,7355
2015-10-16,117.13,119.0,116.13,118.31,764349.0,118.156,6359
2015-10-19,118.41,119.3,116.7,118.51,569185.0,118.545,4329
2015-10-20,117.49,120.09,117.34,119.98,1005025.0,119.242,7007
2015-10-21,120.35,120.55,116.96,117.07,797009.0,118.658,6195
2015-10-22,117.99,121.26,117.99,120.54,617915.0,120.361,4924
2015-10-23,121.63,122.0,119.32,119.5,685827.0,120.097,5524
2015-10-26,119.5,120.54,118.25,119.94,629460.0,119.633,5154
2015-10-27,119.83,121.06,119.05,120.29,973751.0,120.258,6181
2015-10-28,120.79,121.75,118.64,121.34,1171955.0,120.586,8843
2015-10-29,108.02,114.25,108.0,110.08,5323664.0,110.949,39099
2015-10-30,110.43,111.17,109.61,110.2,1153512.0,110.504,9394
2015-11-02,109.0,110.68,108.24,110.65,1956946.0,109.484,13650
2015-11-03,110.56,113.77,109.8,112.78,1632703.0,112.285,11462
2015-11-04,112.76,113.8,110.77,111.01,738953.0,111.718,5822
2015-11-05,111.05,111.72,109.01,109.6,944959.0,109.653,6939
2015-11-06,109.46,110.16,108.22,109.67,1047472.0,109.526,8104
2015-11-09,109.26,109.87,108.68,109.5,668290.0,109.301,5508
2015-11-10,109.34,109.6,106.8,107.38,1123706.0,107.637,8927
2015-11-11,107.34,108.57,106.82,107.87,765412.0,107.793,6421
2015-11-12,107.32,108.51,106.14,106.31,847006.0,107.119,6940
2015-11-13,102.88,102.88,100.32,101.97,2242491.0,102.063,17887
2015-11-16,101.54,105.3,100.65,104.93,1075585.0,104.549,9537
2015-11-17,104.86,105.57,103.84,104.02,1166981.0,104.703,9714
2015-11-18,105.02,105.5,103.39,104.13,786444.0,104.197,6508
2015-11-19,104.52,104.82,102.9,103.47,620261.0,103.668,5050
