date,open,high,low,close,volume,average,barCount
2015-10-13,89.91,90.82,88.39,88.54,126769.0,89.327,880
2015-10-14,88.54,89.19,87.54,87.62,61808.0,88.103,451
2015-10-15,88.05,90.16,87.81,89.98,96196.0,89.557,810
2015-10-16,90.05,90.2,88.78,89.51,109589.0,89.578,783
2015-10-19,88.89,90.42,88.89,89.82,103771.0,89.757,815
2015-10-20,89.84,90.71,89.26,89.56,113531.0,89.987,801
2015-10-21,89.91,89.91,87.78,88.03,69127.0,88.68,610
2015-10-22,88.65,90.01,88.65,89.21,124272.0,89.54,957
2015-10-23,90.07,90.8,89.35,90.68,89987.0,90.056,748
2015-10-26,90.78,91.79,90.0,90.97,250686.0,91.071,1611
2015-10-27,90.52,91.05,88.36,88.65,120417.0,89.568,1080
2015-10-28,89.03,93.37,88.82,93.35,244863.0,91.042,1768
2015-10-29,94.35,94.75,90.91,92.22,106502.0,92.309,798
2015-10-30,91.97,93.0,91.59,92.37,53191.0,92.49,439
2015-11-02,92.61,93.23,92.25,92.77,196844.0,92.735,1198
2015-11-03,92.45,94.0,90.66,93.65,195779.0,93.232,1126
2015-11-04,93.85,94.0,93.11,93.42,101148.0,93.593,835
2015-11-05,93.48,93.8,92.05,92.21,82252.0,92.616,709
2015-11-06,89.5,89.5,78.11,87.37,682591.0,84.806,4673
2015-11-09,86.76,87.35,85.9,87.01,191803.0,86.797,1334
2015-11-10,86.57,87.4,86.03,87.19,129243.0,86.917,1125
2015-11-11,87.62,88.02,86.86,86.89,167414.0,87.248,1118
2015-11-12,86.41,87.42,85.95,86.38,156156.0,86.936,1368
2015-11-13,85.79,87.15,85.37,87.0,173262.0,86.655,1450
2015-11-16,87.22,87.92,86.73,87.56,95308.0,87.502,763
2015-11-17,87.8,89.21,87.25,87.76,116003.0,87.988,1001
2015-11-18,87.85,90.86,87.5,89.7,214984.0,89.795,1736
2015-11-19,89.79,91.0,89.79,90.04,257533.0,90.202,1045
2015-11-20,90.49,91.63,90.38,91.58,148660.0,91.059,1066
2015-11-23,91.26,92.34,91.26,92.13,62836.0,92.06,557
2015-11-24,91.37,93.03,91.13,92.84,83244.0,92.139,663
2015-11-25,92.83,94.89,92.83,94.59,111743.0,94.293,954
2015-11-27,94.61,95.35,94.05,94.85,60326.0,94.827,517
2015-11-30,95.15,95.4,94.7,95.25,90159.0,95.173,792
2015-12-01,95.39,96.18,95.13,95.89,78649.0,95.641,677
2015-12-02,95.88,96.06,94.57,94.85,42877.0,95.246,405
2015-12-03,95.01,95.01,91.91,92.1,73263.0,93.043,676
2015-12-04,92.1,94.01,92.05,93.64,108458.0,93.152,937
2015-12-07,93.61,93.95,91.79,91.99,81213.0,92.339,764
