date,open,high,low,close,volume,average,barCount
2015-10-12,46.09,46.34,46.0,46.22,1794880.0,46.1655,6392
2015-10-13,46.09,46.19,45.71,45.79,1440052.0,45.9355,5099
2015-10-14,45.81,46.01,45.36,45.47,1295782.0,45.622,5366
2015-10-15,45.69,45.74,45.32,45.52,1865376.0,45.447,8249
2015-10-16,45.6,45.99,45.4,45.98,1903076.0,45.6965,7667
2015-10-19,45.9,46.38,45.73,46.38,1063244.0,46.2,4594
2015-10-20,46.29,46.5,46.2,46.44,1709464.0,46.378,6977
2015-10-21,46.6,46.8,46.17,46.3,1566450.0,46.4205,6501
2015-10-22,46.46,47.38,46.46,47.26,1747002.0,47.1525,7505
2015-10-23,47.79,48.07,47.24,47.88,1598442.0,47.615,6233
2015-10-26,47.98,48.07,47.49,47.77,2137454.0,47.6705,8800
2015-10-27,47.59,47.88,47.44,47.72,1442966.0,47.675,6243
2015-10-28,48.1,48.71,47.75,48.3,3093772.0,48.208,12019
2015-10-29,48.05,48.52,47.88,48.35,2116422.0,48.2285,8202
2015-10-30,48.49,48.69,48.26,48.26,1653098.0,48.452,6267
2015-11-02,48.43,48.56,48.13,48.38,2278190.0,48.3215,7572
2015-11-03,48.48,48.48,47.52,47.82,3152166.0,47.7925,10938
2015-11-04,47.88,48.22,47.78,47.87,2208148.0,47.998,7741
2015-11-05,48.02,48.2,47.8,47.97,1885588.0,48.0115,6654
2015-11-06,47.82,48.13,47.74,47.95,1707332.0,47.9445,6257
2015-11-09,47.88,47.9,47.37,47.66,1666872.0,47.5705,5957
2015-11-10,47.66,48.22,47.62,48.2,1330750.0,47.9365,4665
2015-11-11,48.2,48.57,48.06,48.24,1049436.0,48.2825,3787
2015-11-12,47.99,48.17,47.7,47.72,1196288.0,47.9035,4445
2015-11-13,47.55,47.81,47.15,47.19,1168692.0,47.3925,4439
2015-11-16,47.28,47.8,47.11,47.78,1154622.0,47.509,5023
2015-11-17,47.94,48.13,47.63,47.79,1332254.0,47.877,5545
2015-11-18,47.87,48.11,47.42,48.01,1838778.0,47.856,6996
2015-11-19,48.22,48.51,48.05,48.33,1739372.0,48.3365,6405
2015-11-20,48.58,48.76,48.33,48.4,1352094.0,48.4755,4583
2015-11-23,48.51,48.63,48.1,48.13,2203222.0,48.228,7716
2015-11-24,47.88,48.09,47.29,47.62,2225694.0,47.6185,7986
2015-11-25,47.74,47.88,47.54,47.71,1283048.0,47.6925,5234
2015-11-27,47.7,48.07,47.53,47.87,656016.0,47.844,2693
2015-11-30,48.16,48.24,47.82,48.12,1883294.0,48.0205,6845
2015-12-01,48.27,48.88,48.23,48.6,1659800.0,48.571,6528
2015-12-02,48.49,48.6,47.85,47.94,2761854.0,48.0755,9454
2015-12-03,47.98,48.13,46.57,46.88,2679678.0,47.0525,9942
2015-12-04,46.9,47.74,46.9,47.73,2974702.0,47.4285,10173
2015-12-07,47.62,47.73,46.91,47.3,1412208.0,47.191,5737
2015-12-08,46.98,47.43,46.73,47.34,1448638.0,47.2155,6230
2015-12-09,47.0,47.46,46.48,46.59,1282140.0,46.8225,5162
2015-12-10,46.74,47.1,46.35,46.82,1533736.0,46.8355,6276
2015-12-11,46.16,46.61,45.84,45.87,1792654.0,46.1325,6590
2015-12-14,45.9,46.75,45.89,46.72,1958042.0,46.3575,8413
2015-12-15,46.85,47.23,46.69,46.97,1770524.0,46.9855,6999
2015-12-16,47.31,47.5,46.32,46.82,2476226.0,46.7635,9931
2015-12-17,47.02,47.18,46.33,46.46,2186532.0,46.702,9168
2015-12-18,46.16,46.49,45.59,45.73,3923914.0,45.8735,12965
2015-12-21,46.06,46.2,45.81,46.19,1170212.0,46.0085,4858
2015-12-22,46.35,46.57,45.9,46.47,1088018.0,46.273,4530
2015-12-23,46.74,46.87,46.33,46.73,1239708.0,46.6605,5053
2015-12-24,46.74,46.75,46.48,46.53,604356.0,46.5895,2607
2015-12-28,46.32,46.58,46.0,46.57,1126472.0,46.339,4781
2015-12-29,46.96,47.34,46.82,47.09,1366962.0,47.095,5547
2015-12-30,47.09,47.26,46.47,46.48,1150908.0,46.751,4455
2015-12-31,46.39,46.74,45.7,45.73,1261446.0,46.035,5175
2016-01-04,45.05,45.49,44.09,44.75,2380322.0,44.494,9556
2016-01-05,44.71,45.12,44.64,44.96,1656450.0,44.9225,6860
2016-01-06,44.28,44.8,44.09,44.62,1437726.0,44.61,6029
2016-01-07,43.21,44.37,42.82,44.1,2734788.0,44.091,11281
2016-01-08,44.12,44.51,43.55,43.77,2040206.0,44.1155,6770
2016-01-11,43.93,44.18,43.64,43.97,2045752.0,43.933,8022
2016-01-12,44.04,44.74,43.85,44.66,1541704.0,44.384,6611
2016-01-13,44.77,44.78,43.34,43.42,1445566.0,43.908,6052
2016-01-14,43.59,44.92,43.4,44.52,2035178.0,44.437,8715
2016-01-15,43.1,43.98,43.01,43.67,1741256.0,43.5165,6675
2016-01-19,43.97,44.73,43.88,44.52,2506152.0,44.31,8968
2016-01-20,43.83,44.82,43.17,44.48,3080456.0,44.09,11588
2016-01-21,44.7,45.26,44.29,44.82,1936648.0,44.9225,7865
2016-01-22,45.49,45.93,45.09,45.74,1318386.0,45.74,5364
2016-01-25,45.2,45.74,44.99,45.08,1950532.0,45.398,6615
2016-01-26,45.26,45.94,45.05,45.7,1221664.0,45.64,5029
2016-01-27,45.59,46.13,45.1,45.23,1511972.0,45.576,6380
2016-01-28,45.6,45.94,45.13,45.51,1371386.0,45.565,5263
2016-01-29,45.8,47.32,45.66,47.28,1697080.0,46.8405,6677
2016-02-01,46.77,47.47,46.7,47.19,2329114.0,47.198,8452
2016-02-02,46.96,46.96,46.24,46.52,1666116.0,46.5275,6954
2016-02-03,47.5,47.6,46.37,47.4,4356368.0,47.1245,14405
2016-02-04,47.51,48.28,47.35,48.27,2391846.0,47.8635,9382
2016-02-05,47.91,48.26,47.0,47.3,2187014.0,47.2885,9406
2016-02-08,46.88,47.35,45.24,45.91,3357368.0,45.903,13047
2016-02-09,45.67,46.46,45.48,46.05,2397640.0,46.058,9350
2016-02-10,46.59,47.18,46.27,46.35,1291108.0,46.731,5443
2016-02-11,45.47,46.14,45.3,45.84,2229036.0,45.7575,8762
2016-02-12,46.7,47.17,46.21,46.54,1641956.0,46.5115,6057
2016-02-16,47.16,47.38,46.65,47.18,2337004.0,47.1725,8568
2016-02-17,47.5,48.12,47.02,47.93,3371312.0,47.797,12011
2016-02-18,48.02,48.33,47.77,48.16,1686882.0,48.111,6270
2016-02-19,48.04,48.4,47.69,48.33,2177320.0,48.1505,6851
2016-02-22,48.46,49.16,48.45,48.96,1461730.0,48.846,5544
2016-02-23,48.9,49.04,48.56,48.6,2646626.0,48.8205,6430
2016-02-24,48.35,49.23,47.92,49.15,1407950.0,48.6075,5807
2016-02-25,49.36,49.74,48.86,49.74,1392588.0,49.355,5019
2016-02-26,49.8,49.85,48.82,48.99,1270646.0,49.2,5049
2016-02-29,48.84,49.13,47.75,47.82,3183146.0,48.4265,10236
2016-03-01,48.36,49.17,48.13,49.17,2657618.0,48.923,11154
2016-03-02,49.12,49.49,48.31,48.64,1272718.0,48.532,5366
2016-03-03,48.42,48.67,48.24,48.65,1558310.0,48.5365,6699
2016-03-04,48.82,48.87,48.23,48.58,1581108.0,48.545,6732
2016-03-07,48.44,48.58,48.07,48.29,1335422.0,48.319,5779
2016-03-08,48.17,48.41,47.87,47.92,1695196.0,48.086,7342
2016-03-09,48.18,48.35,47.99,48.23,1485736.0,48.1565,6439
2016-03-10,48.49,49.01,47.83,48.22,1095008.0,48.269,4505
2016-03-11,48.71,49.1,48.16,49.07,1034248.0,48.872,4304
2016-03-14,48.92,49.32,48.81,49.21,1285700.0,49.0825,4902
