date,open,high,low,close,volume,average,barCount
2015-10-13,14.88,15.1,14.83,14.94,20249696.0,14.985,43342
2015-10-14,14.94,15.04,14.86,15.01,21184058.0,14.962,45082
2015-10-15,15.2,15.23,14.99,15.22,24660691.0,15.143,58378
2015-10-16,15.25,15.29,15.11,15.28,21672669.0,15.218,53074
2015-10-19,15.23,15.36,15.15,15.36,15071996.0,15.262,34841
2015-10-20,15.27,15.6,15.27,15.38,26551874.0,15.461,63310
2015-10-21,15.6,15.69,15.35,15.41,28191039.0,15.536,59662
2015-10-22,15.49,15.63,15.4,15.58,22025798.0,15.563,53402
2015-10-23,15.71,15.75,15.49,15.67,25227135.0,15.637,63381
2015-10-26,15.73,15.84,15.57,15.68,30393068.0,15.688,73337
2015-10-27,15.01,15.15,14.8,14.89,57535927.0,14.965,114674
2015-10-28,14.78,15.0,14.67,14.97,31878827.0,14.874,70311
2015-10-29,14.95,14.96,14.61,14.73,29713995.0,14.724,61347
2015-10-30,14.74,14.95,14.63,14.81,25810387.0,14.817,55887
2015-11-02,14.79,14.9,14.71,14.75,27891140.0,14.787,63992
2015-11-03,14.78,14.87,14.72,14.81,23949071.0,14.803,50847
2015-11-04,14.83,14.86,14.64,14.65,22871621.0,14.723,46490
2015-11-05,14.7,14.71,14.5,14.57,19473616.0,14.576,48064
2015-11-06,14.51,14.55,14.38,14.52,20773247.0,14.483,51672
2015-11-09,14.52,14.53,14.26,14.33,18122301.0,14.344,42437
2015-11-10,14.33,14.34,14.14,14.28,20525012.0,14.225,48611
2015-11-11,14.28,14.38,14.18,14.31,15509578.0,14.297,41873
2015-11-12,14.21,14.27,14.02,14.04,18705560.0,14.133,45237
2015-11-13,14.02,14.07,13.89,13.92,23372975.0,13.965,50264
2015-11-16,13.85,14.06,13.85,14.04,19097273.0,13.974,45349
2015-11-17,14.02,14.37,14.01,14.15,23265860.0,14.212,59998
2015-11-18,14.23,14.5,14.18,14.46,21350714.0,14.348,51442
2015-11-19,14.45,14.63,14.42,14.57,20892557.0,14.556,53763
2015-11-20,14.62,14.76,14.54,14.6,17005187.0,14.629,43078
2015-11-23,14.6,14.73,14.51,14.55,15933821.0,14.604,42993
2015-11-24,14.41,14.63,14.32,14.55,18992462.0,14.49,40332
2015-11-25,14.54,14.68,14.52,14.55,11267552.0,14.576,35144
2015-11-27,14.54,14.59,14.5,14.53,7075904.0,14.544,16765
2015-11-30,14.54,14.55,14.29,14.33,23727326.0,14.378,61080
2015-12-01,14.3,14.56,14.29,14.56,25850642.0,14.481,66070
2015-12-02,14.6,14.62,14.24,14.26,18829758.0,14.412,42997
2015-12-03,14.32,14.34,13.93,13.98,26320809.0,14.107,61554
2015-12-04,14.08,14.26,14.0,14.2,19293225.0,14.143,51278
2015-12-07,14.19,14.2,14.02,14.12,12809349.0,14.106,33361
2015-12-08,14.03,14.1,13.88,13.97,25552818.0,13.955,52642
2015-12-09,13.91,14.14,13.8,13.89,20800910.0,13.933,50934
2015-12-10,13.91,14.09,13.89,13.96,18722202.0,14.016,45131
2015-12-11,13.84,13.92,13.58,13.64,26552855.0,13.676,60421
2015-12-14,13.66,13.74,13.4,13.62,24369423.0,13.553,64200
2015-12-15,13.74,14.0,13.72,13.87,39513433.0,13.909,59623
2015-12-16,14.0,14.36,13.99,14.36,37120882.0,14.2,88274
2015-12-17,14.37,14.38,13.95,13.98,23944128.0,14.076,58143
2015-12-18,13.87,13.91,13.72,13.8,31853789.0,13.826,75538
2015-12-21,13.89,13.95,13.67,13.73,22100145.0,13.761,50154
2015-12-22,13.93,14.25,13.9,14.2,43319969.0,14.145,83795
2015-12-23,14.27,14.38,14.26,14.36,18748398.0,14.329,46963
2015-12-24,14.35,14.37,14.25,14.31,6973135.0,14.307,15902
2015-12-28,14.28,14.34,14.16,14.18,12731236.0,14.213,32363
2015-12-29,14.28,14.3,14.15,14.23,16819133.0,14.232,40539
2015-12-30,14.23,14.26,14.12,14.17,12624410.0,14.205,31722
2015-12-31,14.14,14.17,14.04,14.09,17061887.0,14.111,36729
2016-01-04,13.87,14.0,13.75,13.97,29140671.0,13.852,66289
2016-01-05,13.97,14.0,13.51,13.72,43027286.0,13.649,103907
2016-01-06,13.56,13.56,13.05,13.11,53143224.0,13.223,105215
2016-01-07,12.9,13.04,12.6,12.7,53249094.0,12.789,117081
2016-01-08,13.05,13.1,12.5,12.54,41279691.0,12.75,94680
2016-01-11,12.8,12.82,12.55,12.77,33829240.0,12.7,73875
2016-01-12,13.03,13.04,12.58,12.85,42541376.0,12.77,96067
2016-01-13,12.7,12.84,12.06,12.2,94343680.0,12.354,204292
2016-01-14,12.19,12.31,11.82,12.19,55732115.0,12.089,127700
2016-01-15,11.81,12.0,11.58,11.97,61714792.0,11.864,147155
2016-01-19,12.15,12.16,11.82,11.95,36373525.0,11.995,84154
2016-01-20,11.79,12.07,11.47,11.9,54449375.0,11.737,119790
2016-01-21,12.01,12.28,11.86,12.01,46015973.0,12.066,105556
2016-01-22,12.26,12.36,12.03,12.14,38373168.0,12.175,93120
2016-01-25,12.3,12.32,11.93,11.98,36492114.0,12.058,79036
2016-01-26,12.14,12.3,12.04,12.26,42500884.0,12.206,97827
2016-01-27,12.05,12.1,11.73,11.85,39030811.0,11.925,94446
2016-01-28,12.03,12.06,11.2,11.71,71857157.0,11.614,160554
2016-01-29,11.83,11.94,11.65,11.94,43641575.0,11.789,94327
2016-02-01,11.92,12.14,11.73,12.07,33301706.0,12.001,84364
2016-02-02,11.94,12.08,11.45,11.51,50894649.0,11.656,113630
2016-02-03,11.67,11.68,11.02,11.46,61774375.0,11.279,128038
2016-02-04,11.37,11.69,11.26,11.53,37191764.0,11.465,90007
