date,open,high,low,close,volume,average,barCount
2015-10-13,17.11,17.18,16.78,16.88,11082853.0,16.996,40641
2015-10-14,16.9,17.12,16.86,17.0,14505200.0,16.991,48658
2015-10-15,17.03,17.08,16.72,16.85,13841504.0,16.871,52049
2015-10-16,16.87,16.94,16.75,16.89,14501445.0,16.869,49654
2015-10-19,16.82,17.02,16.68,16.82,14327366.0,16.846,50891
2015-10-20,16.78,17.01,16.73,16.85,11204772.0,16.879,44327
2015-10-21,16.83,16.97,16.68,16.71,9120809.0,16.824,32999
2015-10-22,16.88,17.74,16.79,17.6,39761248.0,17.281,116698
2015-10-23,17.76,17.76,17.39,17.6,12590483.0,17.578,50331
2015-10-26,17.53,17.55,17.18,17.32,10939056.0,17.283,48673
2015-10-27,17.6,18.35,16.93,18.26,21877334.0,18.047,81455
2015-10-28,18.25,18.82,18.2,18.82,14610308.0,18.581,56489
2015-10-29,18.77,19.0,18.69,18.85,14365814.0,18.847,50101
2015-10-30,18.94,18.95,18.59,18.6,11877883.0,18.691,41924
2015-11-02,18.59,18.89,18.58,18.82,7810112.0,18.808,31090
2015-11-03,18.7,18.98,18.68,18.83,7668953.0,18.884,29203
2015-11-04,18.85,19.04,18.73,18.87,7111759.0,18.895,28696
2015-11-05,18.79,19.2,18.79,19.06,7384255.0,19.056,30778
2015-11-06,18.99,19.13,18.85,18.92,7396508.0,18.977,29417
2015-11-09,18.83,18.93,18.7,18.77,9092847.0,18.821,33703
2015-11-10,18.59,18.86,18.55,18.78,9139974.0,18.737,35629
2015-11-11,18.81,18.87,18.51,18.51,5696428.0,18.62,24538
2015-11-12,18.38,18.55,18.12,18.14,6998750.0,18.288,28676
2015-11-13,18.04,18.23,17.82,17.93,11074156.0,18.031,41318
2015-11-16,17.88,18.46,17.84,18.34,6638870.0,18.269,31356
2015-11-17,18.35,18.7,18.29,18.45,7544788.0,18.506,32421
2015-11-18,18.51,18.89,18.42,18.83,8921376.0,18.748,34368
2015-11-19,18.83,19.2,18.8,18.99,8908259.0,19.052,33787
