date,open,high,low,close,volume,average,barCount
2015-10-13,28.95,29.56,28.95,29.04,502234.0,29.147,3641
2015-10-14,29.01,29.31,28.13,28.19,581159.0,28.669,3899
2015-10-15,28.28,28.41,27.68,28.0,604426.0,28.028,5058
2015-10-16,28.02,28.02,27.56,27.93,470473.0,27.88,3212
2015-10-19,27.73,28.16,27.41,27.48,394006.0,27.692,3141
2015-10-20,27.59,28.16,27.26,27.73,606691.0,27.817,4360
2015-10-21,27.9,28.05,26.84,26.99,929778.0,27.1,6268
2015-10-22,27.07,28.35,26.9,27.83,611808.0,27.873,4958
2015-10-23,28.12,28.56,27.81,28.54,823843.0,28.301,5048
2015-10-26,28.53,28.55,27.6,27.96,758227.0,27.88,5684
2015-10-27,27.73,27.87,26.33,26.88,1406706.0,26.904,10068
2015-10-28,29.5,33.0,29.2,30.13,4893477.0,30.305,25029
2015-10-29,30.71,32.66,30.47,32.0,2402312.0,31.963,14902
2015-10-30,32.02,32.23,31.53,31.56,609783.0,31.791,4502
2015-11-02,31.65,32.62,31.36,32.39,746301.0,32.171,5546
2015-11-03,32.07,32.49,31.8,31.88,574510.0,32.102,4144
2015-11-04,32.03,32.52,31.93,32.24,532381.0,32.313,3964
2015-11-05,32.25,32.3,31.01,31.57,529888.0,31.534,4374
2015-11-06,31.39,31.58,30.39,30.85,619751.0,30.82,5149
2015-11-09,30.73,30.9,29.8,30.33,473258.0,30.205,3363
2015-11-10,30.18,30.7,29.91,30.36,356081.0,30.291,2648
2015-11-11,30.35,30.35,29.57,29.58,536320.0,29.813,3758
2015-11-12,29.29,29.46,28.81,28.86,579184.0,29.06,4325
2015-11-13,28.72,29.73,28.41,29.7,855054.0,29.282,6260
2015-11-16,29.65,30.19,29.41,30.07,482696.0,29.778,3748
2015-11-17,30.11,31.06,29.93,30.31,691872.0,30.545,4806
2015-11-18,30.34,30.55,29.79,30.07,334031.0,30.108,2524
2015-11-19,30.05,30.42,29.71,30.15,387125.0,30.123,3116
2015-11-20,30.39,30.79,30.17,30.3,435405.0,30.379,3178
2015-11-23,30.29,30.44,29.9,30.17,467712.0,30.203,3612
2015-11-24,29.96,31.25,29.95,31.03,729996.0,30.661,3395
2015-11-25,30.94,31.79,30.73,31.65,530488.0,31.453,3294
2015-11-27,31.46,31.73,30.99,31.58,277516.0,31.422,1897
2015-11-30,31.57,32.28,31.32,32.1,587984.0,31.994,4502
2015-12-01,32.19,32.59,31.91,32.53,998172.0,32.235,6204
2015-12-02,32.39,32.58,31.67,31.92,728549.0,32.181,4786
2015-12-03,31.95,31.97,31.12,31.44,977948.0,31.49,6659
2015-12-04,31.45,31.63,31.03,31.34,763321.0,31.297,4777
2015-12-07,31.24,31.6,30.58,31.46,801565.0,31.253,4770
2015-12-08,31.1,31.1,30.27,30.3,763017.0,30.602,4642
