date,open,high,low,close,volume,average,barCount
2015-10-13,84.9,85.26,84.26,84.37,278677.0,84.663,2085
2015-10-14,84.09,84.49,83.14,83.33,564351.0,83.48,4606
2015-10-15,83.61,83.84,82.25,83.72,585614.0,83.118,4709
2015-10-16,83.91,84.17,82.6,83.28,925252.0,83.148,6467
2015-10-19,81.35,86.25,81.31,84.66,2657219.0,84.733,16726
2015-10-20,84.69,87.15,84.63,85.68,1243209.0,86.075,9997
2015-10-21,86.03,86.82,85.75,86.08,850483.0,86.202,5379
2015-10-22,86.9,88.83,86.7,88.34,929556.0,88.019,6706
2015-10-23,88.83,89.3,88.06,89.19,761932.0,88.743,5752
2015-10-26,89.27,90.09,89.14,89.91,745620.0,89.823,4518
2015-10-27,89.48,89.99,88.41,88.6,660406.0,89.157,4310
2015-10-28,88.83,90.13,88.59,90.1,381325.0,89.511,3194
2015-10-29,90.05,90.32,89.22,90.21,456828.0,89.832,3533
2015-10-30,90.24,91.38,90.11,90.76,599080.0,90.951,4249
2015-11-02,90.76,91.93,90.6,91.85,414869.0,91.334,3478
2015-11-03,91.63,92.16,91.22,91.58,339438.0,91.67,2903
2015-11-04,91.79,92.04,91.08,91.32,473352.0,91.392,3955
2015-11-05,91.4,92.32,91.08,91.95,630622.0,91.806,5002
2015-11-06,91.53,91.69,89.03,89.52,1131157.0,89.922,8291
2015-11-09,89.51,89.76,88.37,88.91,624184.0,88.968,4686
2015-11-10,88.89,89.78,88.75,89.78,619861.0,89.395,3444
2015-11-11,89.78,89.92,88.88,89.38,460390.0,89.479,3488
2015-11-12,88.88,89.16,87.21,87.26,908163.0,88.016,6050
2015-11-13,87.0,87.29,85.72,85.83,603315.0,86.348,4871
2015-11-16,85.9,87.92,85.71,87.8,595706.0,87.028,4440
2015-11-17,87.98,88.69,87.69,88.05,615145.0,88.139,4919
2015-11-18,88.15,88.51,87.13,88.41,518777.0,87.818,4159
2015-11-19,88.65,89.63,88.13,89.01,590240.0,88.996,4575
2015-11-20,89.4,90.33,89.28,90.24,612708.0,89.976,4498
2015-11-23,90.38,91.11,90.05,90.44,391499.0,90.629,3158
2015-11-24,89.82,90.07,89.23,89.66,639987.0,89.681,3575
2015-11-25,89.63,90.89,89.52,90.58,413177.0,90.541,3181
2015-11-27,90.69,90.99,90.2,90.88,125117.0,90.741,1060
2015-11-30,91.06,91.11,90.05,90.63,361814.0,90.51,2962
2015-12-01,91.03,91.42,90.31,90.61,356266.0,90.694,2704
2015-12-02,89.88,90.27,88.46,88.66,340668.0,89.179,2497
2015-12-03,88.64,88.77,87.4,88.12,699864.0,87.995,5615
2015-12-04,88.36,89.3,88.14,89.06,417277.0,88.821,3536
2015-12-07,88.68,89.16,88.38,89.1,314222.0,88.791,2583
2015-12-08,88.02,89.13,87.62,88.67,397575.0,88.549,2910
2015-12-09,87.93,89.5,86.96,87.27,473266.0,87.655,3770
2015-12-10,87.31,87.93,86.99,87.57,347664.0,87.504,2917
2015-12-11,86.57,86.61,84.99,85.25,560996.0,85.707,4809
2015-12-14,85.61,86.62,85.23,86.15,499859.0,85.937,4053
2015-12-15,86.63,86.87,85.41,86.1,516116.0,85.92,4000
2015-12-16,86.77,87.21,85.54,87.14,358974.0,86.549,2969
2015-12-17,87.09,87.16,85.85,85.87,373492.0,86.319,2733
2015-12-18,85.59,85.61,83.54,83.58,734335.0,84.417,4300
2015-12-21,84.3,84.52,83.1,83.98,273700.0,83.698,2168
2015-12-22,84.15,85.2,84.15,84.83,430768.0,84.772,3169
2015-12-23,85.17,86.48,85.02,86.23,238306.0,86.089,1800
2015-12-24,85.88,86.46,85.85,86.1,120031.0,86.165,898
2015-12-28,86.06,86.85,85.8,86.75,258328.0,86.408,2047
2015-12-29,87.27,87.76,86.96,87.49,259137.0,87.376,2125
2015-12-30,87.26,87.74,86.72,86.87,244354.0,87.16,1910
2015-12-31,86.31,86.65,85.77,85.89,387457.0,86.14,2857
2016-01-04,84.81,84.81,82.76,84.03,799047.0,83.533,6181
2016-01-05,84.53,84.57,83.07,84.33,800897.0,83.9,6398
2016-01-06,83.13,83.39,82.02,82.66,671143.0,82.561,5342
2016-01-07,81.13,82.3,80.64,80.88,572417.0,81.337,4590
2016-01-08,81.15,81.6,78.45,78.56,861599.0,79.743,6605
2016-01-11,79.77,79.85,78.13,79.07,854970.0,78.746,5712
2016-01-12,79.55,80.0,78.65,79.64,658296.0,79.361,4999
2016-01-13,79.92,80.07,77.33,77.4,790379.0,78.295,6004
2016-01-14,77.62,79.1,76.99,78.5,771847.0,78.251,5776
2016-01-15,76.89,78.64,76.5,78.47,979152.0,77.828,6994
2016-01-19,79.14,79.33,77.39,78.31,706737.0,78.417,5523
