date,open,high,low,close,volume,average,barCount
2015-10-13,74.27,75.5,74.11,74.13,776125.0,74.73,5932
2015-10-14,74.11,74.75,73.47,73.67,839817.0,73.989,5718
2015-10-15,74.0,75.36,73.83,75.33,950929.0,74.697,7827
2015-10-16,75.58,77.91,74.63,77.78,2268368.0,76.999,16596
2015-10-19,76.77,77.5,70.82,72.18,4673221.0,72.407,33599
2015-10-20,71.93,74.21,71.35,72.94,1864735.0,72.861,13287
2015-10-21,73.45,74.48,73.32,73.99,1219865.0,73.988,9498
2015-10-22,74.36,76.78,74.29,76.76,1855875.0,75.765,10443
2015-10-23,77.25,79.24,77.02,78.87,2241061.0,78.544,14019
2015-10-26,78.25,79.44,78.14,78.31,1622026.0,78.857,10206
2015-10-27,77.76,78.49,77.46,78.22,927335.0,77.953,5467
2015-10-28,78.26,78.5,77.49,78.18,646867.0,78.022,4576
2015-10-29,77.44,77.83,76.92,77.75,507246.0,77.4,3880
2015-10-30,77.52,77.72,76.82,76.83,770824.0,77.034,6132
2015-11-02,77.28,77.33,76.65,77.24,934205.0,76.94,5728
2015-11-03,77.09,77.51,76.97,77.23,836413.0,77.237,6100
2015-11-04,77.46,77.75,76.78,77.01,566163.0,77.127,4307
2015-11-05,77.39,77.87,76.42,77.06,436029.0,77.007,3214
2015-11-06,76.81,78.68,76.71,78.24,559158.0,78.063,4556
2015-11-09,78.0,78.74,77.31,78.39,799663.0,78.192,6170
2015-11-10,78.66,79.9,78.37,79.81,685619.0,79.322,5441
2015-11-11,79.87,79.93,78.21,78.57,845730.0,78.852,5011
2015-11-12,78.79,79.64,77.56,77.85,910495.0,78.27,7024
2015-11-13,77.52,77.69,75.72,76.01,789879.0,76.298,5641
2015-11-16,75.9,76.58,74.23,75.77,1144108.0,75.357,8995
2015-11-17,75.32,75.82,74.12,74.76,1473031.0,74.901,10573
2015-11-18,75.11,75.68,74.32,75.57,940307.0,75.364,7335
2015-11-19,75.68,77.0,75.22,75.6,1103261.0,75.591,8266
2015-11-20,75.98,76.34,75.44,75.49,1017801.0,75.726,7406
2015-11-23,75.6,76.84,74.06,75.19,1201660.0,75.609,9825
2015-11-24,74.64,75.7,74.15,75.68,610479.0,75.201,5006
2015-11-25,76.0,76.69,74.8,76.46,442587.0,76.165,3578
2015-11-27,76.32,76.78,75.21,75.37,351219.0,75.58,2501
2015-11-30,75.56,75.56,72.87,73.09,1361469.0,73.442,10714
2015-12-01,73.74,73.93,72.07,73.13,1492656.0,72.76,9819
2015-12-02,73.15,73.36,72.23,72.51,874985.0,72.697,6765
2015-12-03,72.99,73.15,69.69,70.41,2640590.0,70.414,15556
2015-12-04,70.17,70.5,67.72,68.71,2598916.0,68.589,17427
2015-12-07,68.85,69.44,68.58,68.85,888671.0,68.916,6838
2015-12-08,69.44,71.35,69.0,69.82,1296614.0,70.03,9575
2015-12-09,69.25,70.35,67.88,68.41,1275952.0,68.68,9618
2015-12-10,68.7,68.84,68.09,68.22,1326004.0,68.4,8777
2015-12-11,67.66,69.18,67.5,68.37,1758077.0,68.129,8036
2015-12-14,68.93,69.58,68.57,69.19,1274531.0,69.065,8118
2015-12-15,69.83,70.77,68.92,69.19,1169894.0,69.67,8723
2015-12-16,69.59,71.04,68.05,69.21,1198112.0,69.282,7948
2015-12-17,69.15,69.21,66.33,66.39,1684641.0,67.142,11577
2015-12-18,66.3,66.88,65.31,65.83,1755544.0,66.139,12257
2015-12-21,66.46,66.82,64.91,65.31,1299282.0,65.452,8495
2015-12-22,65.64,66.81,65.41,66.77,720971.0,66.252,5690
2015-12-23,67.39,67.74,65.86,67.26,1568784.0,66.831,11014
2015-12-24,67.11,68.09,67.0,67.62,339479.0,67.616,2673
2015-12-28,67.4,67.88,66.8,67.65,515821.0,67.444,3978
2015-12-29,68.02,68.77,67.48,68.43,770604.0,68.432,5604
2015-12-30,68.3,68.62,67.47,67.5,454393.0,67.647,3472
2015-12-31,67.37,67.87,67.22,67.36,628390.0,67.541,4680
2016-01-04,66.34,66.98,65.52,66.96,881834.0,66.401,7111
2016-01-05,67.3,68.5,67.01,68.18,1330258.0,67.824,9334
2016-01-06,66.77,71.1,66.61,69.89,2624789.0,69.188,18795
2016-01-07,68.5,70.3,68.03,69.12,1487031.0,69.512,12258
2016-01-08,69.25,69.57,67.91,68.04,823300.0,68.837,7015
