date,open,high,low,close,volume,average,barCount
2015-10-13,77.32,78.48,75.69,75.86,3093365.0,76.806,21104
2015-10-14,76.11,77.14,75.39,76.02,3005585.0,76.11,17420
2015-10-15,69.5,72.58,68.13,72.21,14277260.0,70.616,73790
2015-10-16,72.51,74.57,72.1,72.95,5035632.0,73.025,33391
2015-10-19,72.92,73.93,72.13,73.51,3168112.0,73.303,20821
2015-10-20,73.49,74.15,71.85,72.42,3385560.0,72.629,23597
2015-10-21,72.91,72.96,69.78,71.2,3566421.0,71.148,24493
2015-10-22,65.79,69.01,64.04,66.08,13391664.0,66.124,78745
2015-10-23,67.0,69.67,66.4,68.98,5796270.0,68.421,37952
2015-10-26,68.54,70.54,68.39,69.08,4857756.0,69.496,32480
2015-10-27,69.64,70.94,68.36,68.8,6410273.0,69.358,39725
2015-10-28,68.74,69.64,67.05,68.98,6381956.0,68.533,39486
2015-10-29,69.0,69.65,67.67,67.7,4000502.0,68.295,25992
2015-10-30,68.39,69.86,68.01,68.79,5425122.0,69.016,32236
2015-11-02,68.96,70.05,68.8,69.75,2922969.0,69.628,18104
2015-11-03,69.35,69.79,68.16,68.8,2949252.0,68.974,19680
2015-11-04,68.98,69.49,68.15,68.67,2641004.0,68.774,17508
2015-11-05,68.67,68.98,67.27,68.59,4477342.0,68.237,26638
2015-11-06,68.46,70.46,68.46,69.97,4172792.0,69.588,27234
2015-11-09,69.59,70.09,68.79,69.98,2797127.0,69.551,19528
2015-11-10,69.84,70.6,69.41,70.08,3008867.0,70.029,21535
2015-11-11,70.32,70.32,67.52,67.66,2970683.0,68.372,19991
2015-11-12,67.48,67.79,65.02,65.11,5147604.0,66.102,31192
2015-11-13,65.16,67.14,64.67,66.45,2810189.0,66.282,19775
2015-11-16,66.31,67.31,65.95,67.2,3508284.0,66.689,25726
2015-11-17,67.13,69.58,66.74,69.25,3648347.0,68.864,25290
2015-11-18,69.3,70.72,69.03,70.21,3257476.0,70.053,23179
2015-11-19,68.97,69.09,65.09,65.39,7997376.0,66.111,40834
2015-11-20,66.03,67.78,65.74,67.42,3827342.0,66.811,21148
2015-11-23,66.43,68.2,66.03,67.36,2850321.0,67.457,16608
2015-11-24,67.09,69.11,66.79,68.99,2078499.0,68.318,15265
2015-11-25,68.99,69.6,68.6,68.96,1851541.0,69.184,13089
2015-11-27,69.2,69.97,68.91,69.45,802327.0,69.541,5194
2015-11-30,69.51,69.71,68.02,68.06,2558314.0,68.386,16074
2015-12-01,68.77,71.63,68.33,71.16,3447486.0,70.14,20649
2015-12-02,71.01,72.3,69.74,70.01,4046980.0,70.891,22636
2015-12-03,70.02,70.56,66.82,67.38,3461356.0,68.323,23720
2015-12-04,67.72,68.43,67.01,67.25,3379725.0,67.622,22073
2015-12-07,67.28,67.31,65.83,66.42,2893794.0,66.334,18571
2015-12-08,66.13,67.63,65.39,67.25,2313403.0,66.84,17060
2015-12-09,66.97,68.98,66.78,67.38,2143782.0,67.707,15623
2015-12-10,67.44,69.09,67.37,68.43,2163459.0,68.59,15878
2015-12-11,67.63,68.14,65.89,66.3,2283918.0,66.601,16760
2015-12-14,66.43,66.93,63.32,65.46,3570474.0,64.818,25410
2015-12-15,65.97,67.05,65.43,65.66,2231306.0,65.913,16865
2015-12-16,66.49,67.49,64.28,65.46,4139124.0,65.465,24840
2015-12-17,64.42,66.1,64.42,64.74,3862430.0,65.096,27391
2015-12-18,64.31,65.6,64.18,64.47,2970727.0,64.644,19786
2015-12-21,64.99,67.68,64.85,67.61,4149134.0,66.957,25949
2015-12-22,67.68,68.24,66.45,66.86,2062477.0,66.998,15328
2015-12-23,67.32,69.79,67.3,69.54,2411912.0,69.212,18132
2015-12-24,69.21,70.0,68.62,68.92,698349.0,69.094,5501
2015-12-28,68.79,68.95,67.62,68.04,1310932.0,67.938,9603
2015-12-29,68.34,69.33,68.24,68.99,1435351.0,68.892,10150
2015-12-30,68.81,69.6,68.22,68.44,1561047.0,68.83,10707
2015-12-31,67.95,68.86,67.6,67.63,1620473.0,67.997,12061
2016-01-04,65.69,66.36,65.07,66.29,3222586.0,65.813,23923
2016-01-05,66.56,67.0,65.79,66.44,3151029.0,66.405,21805
2016-01-06,65.49,66.53,65.14,65.98,3239522.0,65.78,22083
2016-01-07,65.14,65.51,63.6,64.29,3402057.0,64.524,23958
2016-01-08,64.48,65.55,63.63,64.27,3109398.0,64.551,21692
2016-01-11,68.63,69.46,67.35,67.83,7428474.0,68.19,48549
2016-01-12,68.51,69.01,65.51,66.65,4083820.0,67.132,27347
2016-01-13,66.6,68.02,63.6,64.95,5852435.0,65.704,34168
2016-01-14,65.06,66.47,64.54,65.12,4205660.0,65.358,30239
2016-01-15,63.7,65.37,63.09,64.27,5227851.0,63.899,30902
2016-01-19,64.94,65.53,62.47,63.47,3863240.0,63.604,28741
2016-01-20,62.44,63.54,60.07,62.83,4071143.0,61.695,26610
2016-01-21,62.99,65.39,62.37,64.03,2871454.0,64.155,21224
2016-01-22,64.82,66.96,64.68,65.82,3686571.0,65.872,24608
2016-01-25,65.75,66.47,65.35,65.58,1683444.0,65.767,12214
2016-01-26,65.72,67.35,65.39,66.96,2062101.0,66.729,15641
2016-01-27,66.94,68.66,66.93,67.47,3421888.0,67.728,22460
2016-01-28,68.79,70.39,66.31,67.51,4707374.0,67.968,31394
2016-01-29,68.0,71.27,67.75,69.58,5503217.0,69.926,35850
2016-02-01,69.45,71.51,69.18,71.02,3990977.0,70.7,21500
2016-02-02,70.47,72.45,69.87,71.96,3820011.0,71.777,26861
2016-02-03,72.58,72.71,68.59,70.2,4117701.0,69.958,28454
2016-02-04,70.2,70.89,69.03,70.13,2279476.0,69.858,17574
2016-02-05,70.13,71.2,68.8,69.19,2847512.0,69.954,21107
2016-02-08,68.36,68.44,66.12,66.77,2943965.0,66.795,21545
2016-02-09,65.94,67.24,65.77,66.5,2352569.0,66.49,17567
2016-02-10,66.77,68.51,66.71,67.3,1908652.0,67.631,14562
2016-02-11,66.11,67.28,64.11,64.25,3423648.0,65.038,24108
2016-02-12,64.5,66.11,64.23,66.01,2385148.0,65.289,18077
2016-02-16,64.06,65.69,63.87,65.6,3220265.0,64.841,22820
2016-02-17,66.2,67.65,65.6,67.05,2666142.0,67.02,20144
2016-02-18,67.4,68.22,66.91,67.52,2514649.0,67.644,19996
2016-02-19,67.48,68.02,66.02,67.62,2900649.0,67.286,20665
2016-02-22,68.09,70.18,68.0,69.95,2785165.0,69.676,19428
2016-02-23,69.7,70.48,69.01,69.84,2764425.0,69.887,18999
2016-02-24,69.35,70.4,68.67,70.14,1889455.0,69.689,13911
2016-02-25,70.43,70.81,69.08,70.0,2312976.0,69.98,15184
2016-02-26,70.2,71.82,69.88,70.44,3406975.0,70.965,18886
2016-02-29,70.28,70.54,69.19,69.21,1857193.0,69.728,13049
2016-03-01,69.67,70.94,69.48,70.79,2690053.0,70.282,16608
2016-03-02,70.53,71.5,69.93,71.3,1693209.0,70.851,11954
2016-03-03,71.23,73.0,71.11,72.93,2978839.0,72.546,18638
2016-03-04,72.96,74.21,72.46,73.0,3436323.0,73.375,23047
2016-03-07,72.51,73.4,72.02,72.94,2099420.0,72.695,13491
2016-03-08,72.25,72.86,71.25,71.49,2163312.0,72.092,15836
2016-03-09,71.85,72.37,71.03,72.26,1933571.0,71.775,14343
2016-03-10,72.6,73.72,71.78,72.2,1927755.0,72.66,13887
2016-03-11,72.9,75.06,72.79,74.95,3275516.0,74.274,22195
2016-03-14,75.92,75.95,74.13,74.72,2165880.0,74.847,15443
2016-03-15,74.08,74.52,72.9,73.17,1201749.0,73.243,9478
2016-03-16,72.99,74.77,72.98,74.49,1629754.0,74.258,11887
2016-03-17,74.36,74.58,72.8,73.72,1945982.0,73.608,13984
2016-03-18,73.94,76.23,73.76,75.46,3478072.0,75.413,19929
2016-03-21,75.25,76.61,74.93,75.52,2042947.0,75.529,14164
2016-03-22,75.12,78.0,75.02,77.16,2490084.0,76.995,17090
2016-03-23,77.27,78.67,76.83,76.95,2264359.0,77.412,16746
2016-03-24,76.19,77.0,75.33,76.37,2002946.0,76.031,14603
2016-03-28,76.56,77.2,75.96,76.44,1013695.0,76.623,7665
2016-03-29,76.05,77.61,76.0,77.56,1589521.0,76.939,11642
2016-03-30,78.0,79.0,77.15,78.1,1844812.0,78.021,12752
2016-03-31,77.92,78.7,77.84,78.05,1799863.0,78.21,12999
2016-04-01,77.82,79.36,77.11,79.2,2083294.0,78.669,14796
2016-04-04,79.25,79.35,78.21,78.73,1572956.0,78.781,11584
2016-04-05,78.08,78.67,77.67,78.24,2317550.0,78.307,17309
2016-04-06,78.2,79.18,77.92,79.1,2153141.0,78.626,16686
2016-04-07,78.49,79.31,78.06,78.84,2453169.0,78.579,19275
2016-04-08,79.45,80.22,78.77,79.14,2700811.0,79.252,18081
2016-04-11,79.32,80.05,79.09,79.57,1938993.0,79.638,15475
2016-04-12,79.28,80.03,79.28,79.78,2731326.0,79.757,20707
2016-04-13,80.5,81.0,79.97,80.6,2590084.0,80.674,19126
2016-04-14,80.79,81.0,80.24,80.72,2411739.0,80.658,17795
2016-04-15,80.72,80.93,78.58,80.33,3335652.0,79.797,21678
2016-04-18,80.23,81.01,79.1,80.88,3388854.0,80.402,23861
2016-04-19,81.12,81.45,79.25,79.78,4249446.0,79.766,27611
2016-04-20,79.43,81.06,78.06,80.11,3433528.0,79.74,24500
2016-04-21,80.39,81.09,80.01,80.22,2772396.0,80.464,20441
2016-04-22,80.44,81.43,80.44,80.91,2292760.0,80.927,18159
2016-04-25,80.73,80.94,79.45,80.12,1560449.0,79.972,11348
2016-04-26,80.62,81.54,80.13,81.18,1960038.0,81.055,15778
2016-04-27,81.2,82.0,80.65,81.78,2139959.0,81.577,16664
2016-04-28,81.56,83.69,81.51,81.96,3443038.0,82.644,22354
2016-04-29,81.47,81.52,79.3,80.62,2585534.0,80.333,20147
2016-05-02,80.6,81.24,79.43,81.21,3120588.0,80.533,23825
2016-05-03,79.51,79.62,76.83,79.06,5015646.0,78.176,34176
2016-05-04,78.67,80.4,78.56,79.8,3144929.0,79.625,21752
2016-05-05,79.99,80.96,79.9,80.61,1799703.0,80.516,14200
2016-05-06,80.29,82.0,80.11,80.9,2917209.0,81.115,20039
2016-05-09,81.0,81.32,80.59,80.98,1953202.0,80.997,14463
2016-05-10,81.06,81.07,80.13,80.93,1776210.0,80.743,11826
2016-05-11,80.9,81.47,80.24,80.25,1472416.0,80.738,11491
2016-05-12,80.6,80.85,77.42,77.69,3493694.0,78.518,22617
2016-05-13,77.86,78.57,77.45,77.92,1720644.0,77.846,13356
2016-05-16,78.02,78.5,77.17,77.81,2268967.0,77.652,15229
2016-05-17,77.87,78.46,76.77,77.27,2655406.0,77.524,20034
2016-05-18,77.27,77.42,76.29,76.58,1592789.0,76.803,13287
2016-05-19,76.07,77.15,75.69,76.72,2042159.0,76.321,12268
2016-05-20,77.24,77.99,76.79,77.12,1384894.0,77.264,10816
2016-05-23,76.79,77.09,75.96,76.22,1785776.0,76.276,14268
2016-05-24,76.2,77.95,76.03,77.56,2088643.0,77.442,15239
2016-05-25,77.61,78.48,77.61,77.73,1635401.0,77.977,11935
2016-05-26,77.75,77.88,76.89,77.2,1112676.0,77.195,9313
2016-05-27,77.29,78.24,77.19,77.36,1012115.0,77.682,8092
2016-05-31,77.5,78.11,77.26,78.02,1353137.0,77.69,10775
2016-06-01,77.65,78.79,77.65,78.37,1783777.0,78.438,14214
2016-06-02,78.18,78.99,77.97,78.98,1607463.0,78.55,11946
2016-06-03,79.0,79.03,78.0,78.14,1407928.0,78.328,10516
2016-06-06,78.11,78.83,77.91,78.67,1080304.0,78.399,7665
2016-06-07,78.58,79.66,78.58,79.24,1135744.0,79.377,8583
2016-06-08,79.27,81.22,79.27,80.98,2434649.0,80.655,15222
2016-06-09,80.82,81.28,80.63,81.03,1315014.0,80.979,10614
2016-06-10,80.29,80.47,79.21,79.55,1202698.0,79.669,10093
2016-06-13,79.2,79.45,77.95,77.95,1721830.0,78.413,14369
2016-06-14,77.61,78.41,77.26,78.01,1149824.0,77.83,9774
2016-06-15,78.27,78.54,77.63,77.81,1110874.0,78.023,9185
2016-06-16,77.01,77.75,76.51,77.66,1064545.0,77.24,8770
2016-06-17,77.72,78.46,76.82,77.43,1647912.0,77.409,11273
2016-06-20,78.13,78.97,78.13,78.57,1663140.0,78.606,13017
2016-06-21,78.88,79.18,78.04,78.75,1514679.0,78.651,9890
2016-06-22,78.66,79.76,78.35,79.3,1536082.0,79.13,11509
2016-06-23,79.85,80.62,79.45,79.75,1153144.0,79.813,9008
2016-06-24,77.3,78.22,76.57,76.72,2451306.0,77.199,17630
2016-06-27,76.15,76.2,73.82,74.43,2364427.0,74.388,16685
2016-06-28,75.02,76.07,74.95,75.93,1483589.0,75.717,11788
2016-06-29,76.39,77.31,76.3,77.05,1216687.0,76.923,9192
2016-06-30,77.17,77.5,76.21,77.01,1680017.0,76.938,13505
2016-07-01,76.76,77.56,76.36,76.66,1907885.0,76.822,12644
2016-07-05,76.5,76.5,75.33,76.11,3019675.0,75.946,17189
2016-07-06,75.91,76.68,75.13,76.17,1705369.0,76.108,13326
2016-07-07,76.38,77.94,76.11,76.99,1884032.0,77.33,13454
2016-07-08,77.57,78.59,77.37,78.21,3503838.0,78.07,16842
2016-07-11,78.56,78.68,78.1,78.16,1243210.0,78.469,9626
2016-07-12,78.27,78.73,77.91,78.4,2265082.0,78.29,15826
2016-07-13,78.87,79.95,78.84,79.55,2411331.0,79.556,15008
2016-07-14,79.98,80.13,78.04,78.31,1719794.0,78.637,10523
2016-07-15,78.58,79.32,78.56,78.71,1279412.0,78.845,8938
2016-07-18,78.61,79.6,78.61,79.55,1099688.0,79.263,8124
2016-07-19,79.45,80.08,78.6,79.36,1336329.0,79.318,9255
2016-07-20,79.63,80.6,79.63,80.53,1401714.0,80.339,10424
2016-07-21,80.37,81.79,80.17,80.63,2454755.0,81.092,13278
2016-07-22,81.02,81.2,79.3,80.35,1180709.0,80.086,9176
2016-07-25,80.23,80.49,79.1,79.7,1522692.0,79.658,12138
2016-07-26,79.48,80.15,79.08,79.66,2141490.0,79.702,14278
2016-07-27,77.54,78.92,76.4,77.98,3452240.0,77.911,24874
2016-07-28,74.8,78.87,74.1,77.88,4181695.0,77.01,25720
2016-07-29,76.73,77.86,75.95,77.13,2977115.0,76.907,20830
2016-08-01,77.0,77.75,75.08,75.52,3217017.0,75.839,20896
2016-08-02,75.45,76.08,74.64,75.04,3126841.0,75.107,20009
2016-08-03,74.25,75.94,74.11,75.71,2548085.0,75.188,18178
2016-08-04,75.64,75.7,75.0,75.25,1360743.0,75.303,10415
2016-08-05,75.6,75.93,75.26,75.84,1231919.0,75.75,9512
2016-08-08,76.02,77.07,75.65,76.25,3120732.0,76.396,19880
