date,open,high,low,close,volume,average,barCount
2015-10-13,46.6,46.94,46.45,46.52,1133672.0,46.656,8098
2015-10-14,46.42,46.61,45.83,45.88,1590027.0,46.215,11741
2015-10-15,46.32,46.96,46.16,46.95,1606368.0,46.568,10254
2015-10-16,47.23,47.28,46.8,47.14,1393939.0,47.039,8461
2015-10-19,47.0,47.51,46.83,47.49,2257556.0,47.193,16487
2015-10-20,47.59,48.43,47.46,48.08,3553664.0,48.061,22292
2015-10-21,48.28,49.07,48.12,48.41,2495870.0,48.671,18001
2015-10-22,48.7,49.21,48.63,48.78,2396689.0,48.933,15873
2015-10-23,49.1,49.41,48.92,49.24,2618672.0,49.153,17317
2015-10-26,49.16,49.25,48.54,48.81,2397379.0,48.876,16470
2015-10-27,46.0,46.23,44.52,45.34,11768521.0,45.142,63701
2015-10-28,44.99,46.44,44.89,46.42,4293998.0,45.888,27064
2015-10-29,46.37,47.18,46.28,47.12,3578202.0,46.881,22526
2015-10-30,47.03,47.2,46.24,46.26,3777766.0,46.505,19438
2015-11-02,46.42,46.94,46.35,46.76,3138142.0,46.764,18651
2015-11-03,46.58,46.92,46.41,46.5,2934713.0,46.592,17565
2015-11-04,46.47,46.62,46.27,46.59,2367380.0,46.477,15689
2015-11-05,46.54,46.96,46.54,46.9,1260836.0,46.789,8474
2015-11-06,47.6,47.79,47.21,47.6,2674072.0,47.494,17167
2015-11-09,47.58,47.66,46.69,46.88,1930893.0,46.964,13359
2015-11-10,46.78,47.38,46.78,47.34,1810411.0,47.202,10970
2015-11-11,47.46,47.6,46.73,46.74,1912494.0,47.004,12359
2015-11-12,46.39,46.64,45.73,45.73,2770581.0,46.017,16327
2015-11-13,45.58,45.85,45.08,45.14,3010872.0,45.398,19608
2015-11-16,45.06,45.9,45.02,45.88,1583256.0,45.468,11784
2015-11-17,46.02,46.2,45.48,45.54,2160590.0,45.823,15737
2015-11-18,45.22,45.97,45.13,45.9,2576592.0,45.628,16885
2015-11-19,45.9,46.17,45.78,46.02,1672379.0,46.0,12106
2015-11-20,46.21,46.43,45.79,45.98,2187626.0,46.041,14059
2015-11-23,45.85,46.21,45.72,45.85,1752207.0,46.017,11977
2015-11-24,45.55,45.91,45.48,45.7,1493649.0,45.724,10013
2015-11-25,45.7,45.82,45.41,45.52,1600648.0,45.538,10893
2015-11-27,45.46,45.72,45.2,45.55,779177.0,45.54,5448
2015-11-30,45.57,45.89,45.15,45.64,1818086.0,45.608,13602
2015-12-01,45.92,46.29,45.68,46.2,1724751.0,46.092,12531
2015-12-02,46.26,46.39,45.86,45.96,1921452.0,46.102,14218
2015-12-03,46.12,46.23,45.18,45.27,2049879.0,45.648,15649
2015-12-04,45.51,46.87,45.43,46.71,2455276.0,46.517,16796
2015-12-07,46.72,46.97,46.18,46.38,1742587.0,46.479,12370
2015-12-08,45.95,46.25,45.75,45.84,1649828.0,45.909,11282
2015-12-09,45.55,45.99,44.9,45.14,1686856.0,45.291,12929
2015-12-10,45.11,45.46,44.89,45.0,1832481.0,45.149,13292
2015-12-11,44.3,44.7,43.63,43.87,2118976.0,44.111,14655
