date,open,high,low,close,volume,average,barCount
2015-10-12,96.43,96.8,96.0,96.63,1557428.5835311753,96.48759971021295,10758
2015-10-13,95.85,96.24,94.93,95.03,3344511.614437463,95.39375688299486,21916
2015-10-14,95.07,95.2,93.52,93.54,2932166.1770704607,94.18281860952105,18509
2015-10-15,94.09,94.09,92.73,93.77,5456501.644006313,93.40599028314163,33692
2015-10-16,95.2,96.01,90.75,92.37,12342234.836731557,91.93801322520405,54076
2015-10-19,92.14,92.85,91.87,92.51,5333954.845997943,92.50064256453031,34214
2015-10-20,92.53,94.1,92.53,93.56,3815339.471223618,93.50023783744501,25540
2015-10-21,94.12,95.11,93.51,94.03,3342717.488306023,94.2542182718721,22043
2015-10-22,94.5,97.96,94.5,97.66,3932319.0160138207,96.967405441212,24435
2015-10-23,98.35,98.82,97.19,98.18,3582109.376687252,97.90702499775182,24264
2015-10-26,98.46,98.46,97.6,97.85,1493330.5913376212,97.87656114181537,10422
2015-10-27,97.66,98.05,97.13,97.53,2040810.0711117317,97.55764264998068,13962
2015-10-28,97.59,98.67,97.3,98.61,2086844.952675169,98.18691167416794,14814
2015-10-29,98.28,98.86,97.42,98.0,2866803.4730137605,97.85561724085906,19680
2015-10-30,98.33,99.01,98.0,98.32,2276659.9259360433,98.5515259499073,16319
2015-11-02,98.31,99.34,98.06,99.18,1990845.5491163763,98.87901240122412,13807
2015-11-03,98.98,99.21,98.43,98.67,2159626.80946393,98.88853235620425,14239
2015-11-04,98.71,99.22,98.26,98.41,1500318.01933899,98.60293370680004,10819
2015-11-05,98.42,98.93,97.92,98.63,1939212.9520058413,98.53248603994702,12311
2015-11-06,97.93,99.01,97.68,99.01,1898067.7994481723,98.36398283679854,12400
2015-11-09,98.39,98.65,97.12,97.78,2674121.889558098,97.6271383213357,17959
2015-11-10,97.36,97.92,96.45,97.48,2425551.38634284,97.17303646878302,16935
2015-11-11,97.94,99.13,97.53,98.3,1995231.074057103,98.52772606245695,13316
2015-11-12,97.54,97.71,96.75,97.07,3121951.7384275408,97.22444422567578,20705
2015-11-13,96.87,97.59,95.95,96.23,2084029.81331202,96.54186345359975,14740
2015-11-16,96.23,98.05,96.11,98.02,1894777.8679237757,97.42626727125474,13234
2015-11-17,98.23,98.23,97.05,97.38,2050704.0254630386,97.56430661846677,14985
2015-11-18,97.69,99.15,97.49,99.06,2138155.0692691044,98.35255889082237,12921
2015-11-19,99.26,100.13,99.07,100.0,2601962.93487469,99.6663126780817,16953
2015-11-20,100.33,101.04,100.29,100.56,2207010.4369013538,100.6906598339448,13098
2015-11-23,100.49,100.85,98.86,99.57,2762944.788591131,99.52827333086967,17782
2015-11-24,98.34,98.82,97.19,98.22,5188486.721107751,97.99556057906712,31832
2015-11-25,98.51,98.92,97.97,98.66,3404611.688565291,98.6533894681948,15610
2015-11-27,98.68,99.39,98.46,99.06,990207.4137604136,99.09606737477131,6125
2015-11-30,99.29,99.52,98.84,98.96,2169741.3530936926,99.17317901011045,14285
2015-12-01,98.91,100.22,98.79,99.15,2688677.6306607686,99.26647456891581,16861
2015-12-02,98.92,99.28,97.98,98.15,1891849.282645992,98.60198171130205,12858
2015-12-03,98.45,98.7,96.97,97.48,2318167.4751654607,97.81372943894645,15407
2015-12-04,97.85,99.68,97.49,99.53,3023161.3552837153,99.07417147831698,17657
2015-12-07,99.53,99.82,98.64,99.18,2011749.0093128942,99.13985916767994,14800
2015-12-08,98.08,98.59,97.47,97.73,2366756.9906584425,97.81087345245241,15787
2015-12-09,97.2,98.58,96.54,97.0,1973708.9134557734,97.2463401221301,14325
2015-12-10,97.26,97.43,96.44,96.88,2461257.437548872,96.87601387340266,16055
2015-12-11,95.46,96.14,93.21,93.51,5049912.53638187,94.2951540782867,34198
2015-12-14,93.62,94.3,92.97,94.23,5119133.451961273,93.68778095055377,35701
2015-12-15,94.65,95.15,93.66,93.74,4518150.567910297,94.16282670406277,28831
2015-12-16,96.88,99.4,96.44,99.08,6612259.210397472,98.09742409735462,38703
2015-12-17,99.2,99.51,97.35,97.4,3343066.2294510105,98.2107115616183,23489
2015-12-18,97.19,98.05,96.58,96.94,3608375.2572005154,97.16922848679097,21116
2015-12-21,97.79,98.77,97.04,97.67,2378400.9532854976,97.75851370006164,16831
2015-12-22,97.99,99.45,97.59,99.16,2231102.98780926,98.65910144118288,14941
2015-12-23,99.66,100.26,99.23,99.92,3243132.983759757,99.8567117776845,22850
2015-12-24,99.84,99.95,99.46,99.63,607340.0569710438,99.71486444848041,4065
2015-12-28,99.23,99.6,98.85,99.32,1155006.5124192738,99.20554685704292,8580
2015-12-29,100.15,100.64,99.24,100.28,1729726.6672323945,100.2736858058146,10870
2015-12-30,100.34,100.38,99.19,99.45,1891087.7244227522,99.7691281918672,14952
2015-12-31,99.07,99.56,98.51,98.6,1500658.3570828931,98.97897192851558,10678
2016-01-04,96.74,97.71,96.14,97.65,2636025.0707436595,96.95122151774576,18939
2016-01-05,97.71,98.62,97.36,98.45,2149367.307165468,98.08124017388838,15941
2016-01-06,97.24,97.58,96.61,97.33,1982680.5945381082,97.10925277041609,13555
2016-01-07,95.71,96.26,93.97,94.47,2972400.6110356483,95.05294249470585,19985
2016-01-08,95.12,95.52,93.47,93.7,3461492.209652801,94.73402400287117,24887
2016-01-11,94.08,94.65,92.76,93.7,2690271.125591327,93.41360624712574,19085
2016-01-12,94.46,94.81,93.12,94.41,2721591.6518566324,93.91721186557514,20438
2016-01-13,94.96,95.1,92.08,92.44,2521165.283876903,93.25747898545144,17885
2016-01-14,92.67,94.7,91.89,94.0,4713607.37457396,93.89150798712878,31348
2016-01-15,91.69,92.91,91.3,92.59,3834159.9383764328,92.27977960899106,24497
