date,open,high,low,close,volume,average,barCount
2021-07-29,38.0,40.25,33.35,34.82,91513096.0,36.248,274543
2021-07-30,34.94,36.98,33.25,35.15,35203488.0,35.209,111309
2021-08-02,35.97,37.98,35.3,37.68,17155433.0,36.954,53155
2021-08-03,37.94,48.59,37.15,46.8,79873362.0,44.005,243252
2021-08-04,54.45,85.0,54.39,70.39,142154714.0,65.521,491539
2021-08-05,62.7,66.5,50.46,50.97,63490931.0,58.616,221474
2021-08-06,57.77,60.88,53.1,55.01,55369316.0,56.796,183031
2021-08-09,59.08,59.96,56.0,56.83,21643130.0,57.524,68340
2021-08-10,56.46,58.49,53.5,53.94,14197629.0,55.309,45733
2021-08-11,54.57,54.61,49.0,51.19,12753649.0,51.168,40928
2021-08-12,50.13,50.39,47.52,48.1,10800423.0,48.428,33678
2021-08-13,48.45,53.2,48.22,50.63,21918061.0,50.819,67940
2021-08-16,49.4,49.79,47.0,47.19,9850738.0,48.017,33776
2021-08-17,47.3,48.85,46.01,46.67,7479954.0,47.344,22467
2021-08-18,47.97,52.06,47.2,49.8,17915637.0,49.778,52952
2021-08-19,45.07,46.88,44.13,44.69,14371834.0,45.4,51826
2021-08-20,45.2,45.56,42.44,42.64,9425230.0,43.429,32335
2021-08-23,44.16,46.85,43.32,45.29,12676629.0,45.002,46102
2021-08-24,46.46,50.24,46.0,49.38,14623713.0,48.155,48605
2021-08-25,48.43,50.99,47.5,48.98,8802645.0,48.909,33787
2021-08-26,48.0,49.85,46.4,46.86,5814987.0,47.937,20134
2021-08-27,46.8,48.1,46.14,46.87,4751586.0,47.057,18570
2021-08-30,46.3,46.6,42.56,43.64,10061538.0,44.473,37708
2021-08-31,42.03,44.5,41.51,44.32,6754050.0,43.528,26680
2021-09-01,43.76,47.12,43.7,44.57,9304248.0,45.26,34231
2021-09-02,45.2,45.8,44.2,44.49,3376061.0,44.922,12157
2021-09-03,44.69,44.88,43.15,43.35,3765534.0,43.821,13428
2021-09-07,43.33,43.39,41.75,42.13,4968579.0,42.485,18214
2021-09-08,42.0,42.21,39.81,40.05,6456680.0,40.572,26455
2021-09-09,40.52,42.54,40.38,41.28,5924089.0,41.417,20355
2021-09-10,41.5,42.52,40.72,41.17,4132206.0,41.545,15786
2021-09-13,41.22,41.39,39.8,40.6,3544321.0,40.317,15340
2021-09-14,41.0,41.0,39.23,40.02,3464787.0,39.916,13517
2021-09-15,40.2,41.94,39.83,41.87,4686311.0,40.969,18281
2021-09-16,41.62,42.43,40.91,41.95,3204769.0,41.767,12658
2021-09-17,41.92,42.91,41.9,42.38,3813989.0,42.488,14594
2021-09-20,40.62,41.56,40.03,40.7,3422735.0,40.68,13051
2021-09-21,41.04,42.69,40.79,42.29,5005883.0,41.98,18893
2021-09-22,43.0,46.94,42.76,46.88,12145954.0,44.677,43679
2021-09-23,46.29,47.84,44.71,45.94,10047754.0,46.471,34805
2021-09-24,44.7,46.55,44.35,44.91,4833068.0,45.302,18474
2021-09-27,44.91,45.91,43.95,44.76,3348490.0,44.953,12010
2021-09-28,43.92,45.96,42.51,44.62,4909104.0,44.312,16776
