date,open,high,low,close,volume,average,barCount
2015-10-19,10.75,10.75,9.58,9.62,2717583.9867970385,9.81046810164,2054
2015-10-20,9.44,9.84,9.44,9.8,1216427.0826185208,9.654137557279999,208
2015-10-21,10.02,10.08,9.53,9.58,134516.7387863371,9.789546541799998,432
2015-10-22,9.71,9.91,9.44,9.85,187471.68136580015,9.789546541799998,259
2015-10-23,10.02,10.02,9.79,9.88,102812.60175866507,9.886018178839999,311
2015-10-26,9.94,9.94,9.48,9.54,885411.8020676228,9.68900682368,1143
2015-10-27,9.62,9.73,9.07,9.14,1146807.0346326532,9.23221943384,1720
2015-10-28,9.24,9.5,9.21,9.46,439421.9202730346,9.32985337976,1047
2015-10-29,9.3,9.46,9.04,9.27,429297.2449801813,9.190376314159998,1073
2015-10-30,9.24,9.36,8.55,8.55,2354861.1277924683,8.97825494356,4362
2015-11-02,8.71,8.82,8.05,8.42,64183732.29670242,8.57260914444,126626
2015-11-03,8.18,8.55,7.94,8.35,63451076.79122267,8.11756521792,111960
2015-11-04,8.36,8.43,7.91,7.94,48238118.94132652,8.121633298999999,88147
2015-11-05,7.93,8.07,7.62,7.72,35143584.20801191,7.849071866639999,68898
2015-11-06,7.66,8.42,7.64,8.37,49051028.50113303,8.089088650359999,68596
2015-11-09,8.29,8.42,8.21,8.25,28245092.646973502,8.26866537232,44341
2015-11-10,8.21,8.39,8.14,8.37,22748498.66070025,8.303534638719999,39808
2015-11-11,8.25,8.32,8.19,8.2,17515127.30419818,8.242513422519998,26300
2015-11-12,8.03,8.03,7.9,7.96,33018892.53397084,7.943800040359999,51338
2015-11-13,7.91,8.0,7.64,7.78,22472928.194440022,7.805485283639999,31845
2015-11-16,7.77,7.91,7.64,7.78,21032448.79278562,7.755506001799998,38826
2015-11-17,7.78,7.84,7.62,7.68,20088037.183369026,7.719474426519998,34346
2015-11-18,7.83,7.98,7.66,7.93,21252844.596696194,7.839773395599999,37381
2015-11-19,7.86,8.07,7.86,8.01,21296285.717097856,7.982156233399999,33872
2015-11-20,8.01,8.5,7.95,8.26,30045598.55036125,8.27040883564,50297
2015-11-23,8.23,8.26,7.89,8.05,24941913.891254112,8.0315543608,49629
2015-11-24,7.89,8.15,7.85,7.96,33505197.000645828,7.986224314479999,53010
2015-11-25,8.1,8.64,8.04,8.21,36565493.67496875,8.229728024839998,58745
2015-11-27,8.21,8.51,8.17,8.34,9425014.459151343,8.40465551128,18684
2015-11-30,8.27,8.72,8.24,8.64,35898387.010516524,8.55866143788,56556
2015-12-01,8.65,9.23,8.63,9.07,36152056.2417109,8.996851885639998,62151
2015-12-02,8.93,9.03,8.64,8.69,16570197.760168541,8.7521858664,37887
2015-12-03,8.72,8.91,8.47,8.5,24345208.47848982,8.605734947519998,52343
2015-12-04,8.36,8.89,8.28,8.85,16002264.389479674,8.703368893439999,36706
2015-12-07,8.72,9.0,8.67,8.98,12126151.871092996,8.895731013079999,35220
2015-12-08,8.77,8.89,8.5,8.82,15362914.54643279,8.78182474284,32277
2015-12-09,8.71,8.94,8.53,8.63,19455134.851933684,8.70104427568,39771
2015-12-10,8.6,8.61,8.44,8.55,16063050.296922797,8.556336820119999,31173
2015-12-11,8.71,8.95,8.22,8.24,14800451.322371386,8.357582001639999,29086
2015-12-14,8.31,8.43,8.09,8.39,15425001.312904023,8.25878574684,31655
2015-12-15,8.43,8.71,8.42,8.46,20471030.041515302,8.5487818124,39953
2015-12-16,8.5,8.61,8.46,8.54,12176331.303603224,8.537739878039998,21008
2015-12-17,8.49,8.55,8.26,8.32,11220593.961219674,8.388383186959999,23202
2015-12-18,8.29,8.36,8.14,8.23,16259538.514409358,8.220429553799999,30535
2015-12-21,8.21,8.37,8.06,8.15,13824590.24145114,8.193115295119998,29087
2015-12-22,8.16,8.22,8.09,8.17,9784519.584845642,8.156502565399999,27184
2015-12-23,8.25,8.7,8.17,8.67,15801741.100007774,8.528441406999999,33698
2015-12-24,8.61,8.82,8.6,8.73,3122521.097834167,8.724871607719999,8028
2015-12-28,8.65,8.88,8.61,8.85,7929425.782241294,8.781243588399999,18754
2015-12-29,8.89,8.97,8.82,8.83,7988138.230519243,8.887013696479999,21695
2015-12-30,8.89,9.0,8.8,8.88,8155374.3270033365,8.922464117319999,20882
2015-12-31,8.85,8.9,8.78,8.83,7356170.24624298,8.8509821212,16208
2016-01-04,8.7,8.8,8.57,8.79,20444682.484057084,8.68128502472,43255
2016-01-05,8.79,8.86,8.68,8.73,14063638.574283287,8.728939688799999,29392
2016-01-06,8.5,8.72,8.43,8.6,15494129.23697185,8.598761094239999,32685
2016-01-07,8.43,8.46,7.93,7.97,27506497.240217254,8.10477982024,56120
2016-01-08,8.0,8.15,7.74,7.87,22354269.546663024,7.871736889799999,54908
2016-01-11,7.8,7.97,7.6,7.71,21813986.313173488,7.697390557799998,53461
2016-01-12,7.76,7.8,7.61,7.71,18503869.64263751,7.685186314559998,48885
2016-01-13,7.76,7.76,7.28,7.41,24324823.191577103,7.423666816559998,49877
2016-01-14,7.41,7.65,7.35,7.56,19086786.982131638,7.539897704559998,37616
2016-01-15,7.32,7.44,7.26,7.29,28648250.54076848,7.326032870639998,41236
2016-01-19,7.37,7.43,7.09,7.16,16323003.571993707,7.177257333999998,34966
2016-01-20,6.97,7.09,6.75,7.01,25056325.819346752,6.938984013599998,52261
2016-01-21,6.97,7.29,6.87,7.21,25239937.94145323,7.165634245199998,46673
2016-01-22,7.38,7.8,7.35,7.76,22332509.41006319,7.686929777879998,47355
2016-01-25,7.72,7.87,7.62,7.75,14728566.816077327,7.756087156239998,36835
2016-01-26,7.76,7.98,7.76,7.9,14943986.317991482,7.857789183239999,38519
2016-01-27,7.86,7.91,7.53,7.78,25809142.9190492,7.725867125359998,55613
2016-01-28,7.82,7.96,7.6,7.67,12921193.547106002,7.724123662039998,30677
2016-01-29,7.79,8.07,7.76,8.0,13498010.959014615,7.962978136879999,30920
2016-02-01,7.94,8.07,7.86,8.01,12538216.175376724,7.957166592479999,29609
2016-02-02,7.96,8.12,7.76,7.82,12885203.113994967,7.865925345399999,30640
2016-02-03,7.94,8.0,7.62,7.77,9730790.321416114,7.753181384039998,28296
2016-02-04,7.74,8.07,7.74,8.05,8365081.061757011,7.991454704439999,23212
