date,open,high,low,close,volume,average,barCount
2015-10-13,33.06,33.27,32.88,32.95,1628044.0,33.0715,6125
2015-10-14,32.95,32.99,32.21,32.35,1412766.0,32.4965,5072
2015-10-15,32.42,32.65,32.05,32.45,1299866.0,32.3395,5052
2015-10-16,32.55,32.98,32.42,32.95,1308054.0,32.7335,3886
2015-10-19,32.92,33.35,32.75,33.17,1473422.0,33.1555,5534
2015-10-20,33.13,33.19,32.82,32.97,1191976.0,32.939,4498
2015-10-21,33.01,33.49,32.92,33.31,1507498.0,33.3055,4953
2015-10-22,33.43,34.35,33.35,34.24,1541358.0,34.016,5963
2015-10-23,34.43,34.49,33.94,34.17,1330552.0,34.126,4861
2015-10-26,34.09,34.15,33.52,33.81,2147120.0,33.829,7336
2015-10-27,33.54,33.71,33.1,33.42,2365344.0,33.324,8336
2015-10-28,33.54,33.9,33.35,33.82,1515912.0,33.666,5674
2015-10-29,33.69,33.95,33.48,33.92,1056708.0,33.783,3933
2015-10-30,33.79,34.08,33.73,33.77,1531146.0,33.884,6402
2015-11-02,33.95,34.05,33.35,33.76,1406228.0,33.6615,5222
2015-11-03,33.69,33.91,33.31,33.88,888062.0,33.748,3307
2015-11-04,34.05,34.08,33.39,33.61,1295854.0,33.6415,4947
2015-11-05,33.65,33.87,33.54,33.8,1098856.0,33.741,4278
2015-11-06,33.72,33.76,32.99,33.32,1379118.0,33.19,5215
2015-11-09,33.26,33.37,32.92,33.3,1013876.0,33.163,3707
2015-11-10,33.2,33.62,33.19,33.53,1337610.0,33.4235,4855
2015-11-11,33.85,33.91,33.6,33.68,1708282.0,33.741,6187
2015-11-12,33.49,33.65,33.12,33.22,1012170.0,33.2885,3915
2015-11-13,33.18,33.44,33.02,33.09,1544796.0,33.1305,6076
2015-11-16,33.07,33.92,33.02,33.91,1540680.0,33.64,6126
2015-11-17,34.0,34.02,33.6,33.82,1613744.0,33.805,6508
2015-11-18,33.96,34.26,33.85,34.23,1472318.0,34.0495,5376
2015-11-19,34.41,34.6,34.23,34.42,1163124.0,34.4215,4543
2015-11-20,34.62,34.63,34.06,34.09,1251338.0,34.307,4465
2015-11-23,34.24,34.72,34.1,34.63,1649710.0,34.6025,6045
2015-11-24,35.27,35.85,34.98,35.66,3025996.0,35.477,10821
2015-11-25,36.06,36.99,36.04,36.77,3421566.0,36.6485,11560
2015-11-27,36.87,37.6,36.62,37.51,1772266.0,37.2425,5879
2015-11-30,37.69,37.72,37.2,37.46,2261948.0,37.517,7615
2015-12-01,37.82,38.23,37.64,37.76,2646278.0,37.911,8991
2015-12-02,37.73,38.05,37.7,37.74,2432952.0,37.8505,8257
2015-12-03,37.82,38.51,37.66,37.88,3264512.0,38.016,11240
2015-12-04,37.95,38.84,37.91,38.8,2088164.0,38.4825,7637
2015-12-07,38.8,38.91,38.42,38.73,1539750.0,38.644,5570
2015-12-08,38.5,38.96,38.24,38.86,1745504.0,38.6605,6651
2015-12-09,38.98,39.33,38.32,38.51,2863534.0,38.721,9206
2015-12-10,38.54,38.79,38.38,38.52,1869292.0,38.5985,7043
2015-12-11,38.23,38.9,38.19,38.72,1856636.0,38.6475,7464
2015-12-14,38.26,39.07,38.09,38.99,1917828.0,38.736,7352
2015-12-15,39.19,39.37,38.72,39.01,2183104.0,39.0025,9032
2015-12-16,39.36,39.99,39.24,39.92,3090560.0,39.6625,11700
2015-12-17,39.87,40.1,39.45,39.74,2745006.0,39.8265,10363
2015-12-18,39.52,39.71,39.26,39.4,3829000.0,39.473,14212
2015-12-21,39.65,39.9,39.46,39.83,1459248.0,39.6485,5932
2015-12-22,39.96,40.27,39.54,40.26,1821532.0,39.945,6245
2015-12-23,40.33,40.39,39.35,39.88,3072104.0,39.6925,9863
2015-12-24,39.93,40.09,39.78,39.91,832808.0,39.9415,3054
2015-12-28,39.82,40.01,39.66,40.01,1087748.0,39.8565,4254
2015-12-29,40.13,40.32,39.97,40.25,1289598.0,40.1715,4443
2015-12-30,40.01,40.18,39.53,39.83,1677798.0,39.832,5721
2015-12-31,39.74,39.85,39.47,39.54,1404632.0,39.6305,5224
2016-01-04,39.13,39.17,38.79,39.11,2322310.0,39.007,8774
2016-01-05,39.27,39.95,39.1,39.91,2822034.0,39.6565,10980
2016-01-06,39.51,40.27,39.22,40.04,3751460.0,39.907,13981
2016-01-07,39.56,39.7,38.9,39.32,3932092.0,39.271,13648
2016-01-08,39.48,39.92,39.01,39.09,2235162.0,39.44,8411
2016-01-11,39.23,39.28,38.52,39.02,3213562.0,38.866,10961
2016-01-12,39.38,39.87,39.21,39.76,2151592.0,39.5805,7967
2016-01-13,39.82,40.13,39.15,39.22,1822640.0,39.5635,6861
2016-01-14,39.24,39.67,39.07,39.42,1715130.0,39.355,5840
2016-01-15,38.95,38.98,37.75,38.06,4315726.0,38.1675,14814
2016-01-19,38.6,38.88,38.13,38.45,3697678.0,38.394,12742
2016-01-20,38.11,38.31,36.87,37.78,4194686.0,37.4515,14012
2016-01-21,37.9,38.18,36.98,37.24,3113662.0,37.3665,12273
2016-01-22,37.63,38.06,37.45,37.99,1889726.0,37.8505,7303
2016-01-25,38.0,38.24,37.68,37.76,2550614.0,37.983,10063
2016-01-26,37.83,38.73,37.76,38.42,2003006.0,38.422,8179
2016-01-27,38.42,38.83,38.14,38.31,1849862.0,38.508,7489
2016-01-28,38.46,39.5,38.41,39.17,3176292.0,39.167,11906
2016-01-29,39.42,40.27,39.35,40.21,3504392.0,40.03,13334
2016-02-01,40.29,41.18,40.09,41.01,3375218.0,40.918,11954
2016-02-02,40.94,40.94,40.5,40.67,3846362.0,40.6935,14069
2016-02-03,41.27,41.31,39.81,39.96,3368582.0,40.2255,12858
2016-02-04,39.9,39.9,39.12,39.22,2477920.0,39.3645,9798
2016-02-05,39.35,39.9,39.07,39.47,2880462.0,39.351,11944
2016-02-08,39.45,40.87,39.26,40.7,3248972.0,40.1525,13416
2016-02-09,40.45,41.54,40.35,41.43,3682264.0,41.1755,15161
2016-02-10,41.41,42.1,41.3,41.67,2152626.0,41.735,14619
2016-02-11,41.43,41.93,40.67,41.69,2714814.0,41.414,18235
2016-02-12,41.81,42.2,41.1,41.5,3217960.0,41.563,20272
2016-02-16,43.46,45.72,43.1,44.44,5932569.0,44.256,34051
2016-02-17,44.46,44.82,43.61,44.47,4364979.0,44.27,27371
2016-02-18,43.77,43.94,42.77,42.89,3460381.0,43.195,21285
2016-02-19,42.69,43.27,42.41,42.75,3006517.0,42.871,20234
2016-02-22,43.13,43.21,42.75,43.03,1669349.0,42.966,11125
2016-02-23,43.04,43.7,42.92,43.57,1971424.0,43.384,11634
2016-02-24,43.5,43.86,43.11,43.71,2048247.0,43.544,13073
2016-02-25,43.89,44.0,43.5,43.87,1622655.0,43.799,10776
2016-02-26,44.0,44.15,42.87,42.97,1788724.0,43.192,10944
2016-02-29,42.84,43.28,42.46,42.51,2185540.0,42.796,13272
2016-03-01,42.82,43.25,42.68,43.02,1846578.0,43.016,12133
2016-03-02,43.1,43.42,42.83,43.35,1687070.0,43.187,10168
2016-03-03,43.35,44.45,43.28,44.09,3251188.0,43.991,18829
2016-03-04,44.01,44.19,43.62,44.01,1912429.0,43.951,12156
2016-03-07,43.73,43.8,43.35,43.44,1336476.0,43.521,8739
2016-03-08,43.3,43.96,43.25,43.69,1280278.0,43.714,8963
2016-03-09,43.78,44.15,43.62,43.92,1995462.0,43.903,13259
2016-03-10,43.96,44.02,43.01,43.51,1664570.0,43.353,12174
2016-03-11,43.8,43.93,43.22,43.58,1839919.0,43.487,10941
2016-03-14,43.38,43.91,43.26,43.85,1373725.0,43.698,9372
2016-03-15,43.73,44.31,43.58,44.08,1426543.0,44.094,10088
2016-03-16,43.94,44.73,43.64,44.42,1930410.0,44.352,11989
2016-03-17,44.34,44.38,43.75,44.05,2056386.0,44.033,13488
2016-03-18,44.14,44.22,43.56,43.7,1879407.0,43.904,10157
2016-03-21,43.61,43.92,43.4,43.63,1576128.0,43.705,10242
2016-03-22,43.67,43.85,43.43,43.54,1438181.0,43.591,8297
2016-03-23,43.48,43.99,43.26,43.69,1869647.0,43.631,11891
2016-03-24,43.55,43.84,43.08,43.27,1123371.0,43.339,6863
2016-03-28,43.27,43.89,43.27,43.8,1083204.0,43.696,7157
2016-03-29,43.87,44.68,43.83,44.4,1891138.0,44.345,12328
2016-03-30,44.68,44.68,43.48,43.95,2157971.0,43.842,13504
2016-03-31,43.9,44.04,43.0,43.24,2080692.0,43.311,13211
2016-04-01,43.07,43.94,43.02,43.91,2368370.0,43.699,15591
2016-04-04,43.93,43.98,43.16,43.55,1777826.0,43.429,12596
2016-04-05,42.58,42.87,41.92,42.24,3892574.0,42.229,23640
2016-04-06,42.18,43.01,42.16,43.0,2769832.0,42.687,17724
2016-04-07,43.03,43.15,42.09,42.19,2192401.0,42.404,14083
2016-04-08,42.33,42.35,41.3,41.82,3047610.0,41.726,20000
2016-04-11,41.93,42.05,40.99,41.17,2863564.0,41.336,18275
2016-04-12,41.2,41.23,40.58,40.68,4107361.0,40.799,23696
2016-04-13,40.68,40.85,39.49,39.82,5949875.0,39.908,32641
2016-04-14,39.62,40.0,39.22,39.25,3938017.0,39.494,25395
2016-04-15,39.26,39.61,38.8,39.46,3105361.0,39.383,19673
2016-04-18,39.4,39.56,39.2,39.4,1702177.0,39.413,11164
2016-04-19,39.58,39.72,39.06,39.47,1969475.0,39.465,11985
2016-04-20,39.36,39.64,38.57,38.59,2729250.0,38.879,16881
2016-04-21,38.54,38.56,37.63,37.84,3614413.0,37.925,21565
2016-04-22,38.0,38.06,37.49,37.66,3127875.0,37.774,18676
2016-04-25,37.76,38.18,37.57,37.91,2370196.0,37.923,13201
2016-04-26,38.14,38.51,38.04,38.24,2818148.0,38.337,17176
2016-04-27,38.31,39.31,38.26,38.57,2726844.0,38.676,18064
2016-04-28,38.44,39.02,38.42,38.73,2086693.0,38.791,14286
2016-04-29,38.57,38.83,38.2,38.55,1731418.0,38.453,10841
2016-05-02,38.56,39.17,38.54,38.71,2013563.0,38.718,12497
2016-05-03,38.65,38.83,38.35,38.53,1906206.0,38.565,12022
2016-05-04,38.43,39.0,38.43,38.73,2369217.0,38.799,15047
2016-05-05,38.77,39.14,38.07,38.19,2934973.0,38.33,16083
2016-05-06,38.2,38.67,37.86,38.55,2384584.0,38.238,14484
2016-05-09,38.81,40.02,38.71,39.74,3931585.0,39.726,26042
2016-05-10,39.86,40.1,39.6,40.0,2719319.0,39.811,16355
2016-05-11,39.9,40.34,39.89,40.01,2770800.0,40.087,17142
2016-05-12,40.09,40.49,39.87,40.21,2189007.0,40.217,14026
2016-05-13,40.1,40.54,39.76,39.9,1747567.0,40.043,11922
2016-05-16,39.86,40.36,39.8,40.24,2451732.0,40.147,16083
2016-05-17,40.0,40.23,38.56,38.8,4724983.0,39.047,27049
