date,open,high,low,close,volume,average,barCount
2015-10-13,96.79,97.12,95.56,95.74,880328.0,96.217,6768
2015-10-14,95.67,95.9,94.06,94.3,609576.0,94.625,4877
2015-10-15,94.97,95.26,93.61,94.73,596909.0,94.321,4226
2015-10-16,95.2,95.64,94.62,95.28,394298.0,95.057,2674
2015-10-19,95.01,95.7,95.01,95.25,297654.0,95.274,2173
2015-10-20,95.0,95.04,94.03,94.21,671488.0,94.274,5207
2015-10-21,94.4,94.8,94.02,94.05,670180.0,94.431,5073
2015-10-22,94.64,96.18,94.53,95.93,806615.0,95.432,6147
2015-10-23,96.25,96.75,94.93,95.67,559333.0,95.527,4326
2015-10-26,95.65,95.81,94.27,94.96,766911.0,94.949,5760
2015-10-27,94.65,94.95,93.75,94.33,1112974.0,94.27,8536
2015-10-28,90.95,91.42,88.02,88.24,3592041.0,89.306,23698
2015-10-29,88.2,89.67,87.06,88.96,3011937.0,88.68,20808
2015-10-30,89.12,89.79,88.67,88.69,974799.0,89.136,7297
2015-11-02,88.87,89.2,87.19,87.96,1586591.0,87.86,11431
2015-11-03,87.81,88.43,87.37,88.06,1372406.0,87.984,10277
2015-11-04,88.35,88.47,87.06,87.71,1177161.0,87.609,8133
2015-11-05,88.18,88.48,87.43,87.71,1079606.0,87.801,7576
2015-11-06,87.24,87.51,85.42,86.16,1042370.0,85.991,7829
2015-11-09,86.0,86.16,84.59,85.12,1139463.0,84.94,7922
2015-11-10,85.23,85.92,84.62,85.8,939397.0,85.564,7286
2015-11-11,86.0,86.99,85.8,86.59,711146.0,86.55,5725
2015-11-12,86.63,86.71,85.1,85.16,807285.0,85.667,5754
2015-11-13,85.21,85.55,83.35,83.82,1322632.0,84.012,8405
2015-11-16,83.87,84.79,83.77,84.76,1072326.0,84.379,6695
2015-11-17,84.74,85.09,83.04,83.58,1258205.0,83.719,8801
2015-11-18,83.94,85.6,83.32,85.32,1305078.0,84.898,10075
2015-11-19,85.52,86.15,85.01,85.09,863758.0,85.372,6890
2015-11-20,85.39,85.75,84.53,84.59,1358401.0,84.75,8385
2015-11-23,84.44,85.65,84.4,85.65,1176455.0,85.416,7427
2015-11-24,85.06,86.68,85.06,86.52,2020531.0,85.964,11018
2015-11-25,86.25,87.22,86.06,86.91,1039709.0,86.875,7130
2015-11-27,86.79,87.72,86.5,87.0,529123.0,87.1,3783
2015-11-30,86.97,87.32,86.3,86.31,978675.0,86.669,7178
2015-12-01,86.35,86.86,85.23,85.62,2257502.0,85.965,9432
2015-12-02,85.82,86.35,84.85,85.21,938699.0,85.568,6932
2015-12-03,85.3,85.67,84.0,84.56,796635.0,84.722,5721
2015-12-04,84.81,86.79,84.81,86.5,888763.0,85.94,6309
2015-12-07,86.44,87.28,86.22,87.14,718779.0,86.931,5278
