date,open,high,low,close,volume,average,barCount
2015-10-12,91.32,91.67,89.83,90.32,115620.0,90.546,1067
2015-10-13,90.1,90.48,89.33,89.33,224914.0,89.845,1431
2015-10-14,89.36,89.44,88.15,88.24,84357.0,88.79,793
2015-10-15,88.61,89.06,87.5,88.98,62855.0,88.508,541
2015-10-16,88.81,89.29,86.88,87.0,219705.0,87.279,1822
2015-10-19,87.09,87.52,86.33,87.4,187731.0,87.077,1443
2015-10-20,86.95,89.12,86.95,88.22,191648.0,88.161,1127
2015-10-21,88.46,89.45,86.96,87.44,333713.0,88.189,1921
2015-10-22,88.32,93.69,87.13,93.35,563199.0,92.52,4521
2015-10-23,93.19,95.0,92.73,94.12,306631.0,94.081,2669
2015-10-26,94.18,94.5,93.42,94.2,166573.0,94.153,1558
2015-10-27,93.43,94.47,92.8,93.93,242719.0,93.807,2020
2015-10-28,94.42,96.28,94.05,96.23,200860.0,95.496,1658
2015-10-29,95.74,96.69,94.99,96.25,250901.0,96.074,1462
2015-10-30,95.79,97.45,95.79,96.85,232005.0,96.879,1906
2015-11-02,97.49,97.77,96.59,97.53,123060.0,97.341,1146
2015-11-03,97.59,97.59,96.29,96.82,201710.0,97.019,1567
2015-11-04,96.82,97.41,96.28,96.45,200917.0,96.825,1236
2015-11-05,96.23,97.17,96.0,96.43,199078.0,96.515,1213
2015-11-06,96.32,96.58,95.51,95.83,257314.0,95.874,1511
2015-11-09,95.84,95.84,93.77,94.58,140172.0,94.56,1173
2015-11-10,93.96,94.3,91.1,94.22,360465.0,92.7,2180
2015-11-11,94.17,95.57,94.0,94.93,204181.0,95.036,938
2015-11-12,93.82,94.56,93.23,93.5,441620.0,93.878,2275
2015-11-13,93.33,95.6,93.07,95.42,674658.0,94.919,2439
2015-11-16,95.61,97.5,94.6,97.3,431013.0,96.356,2471
2015-11-17,97.0,97.11,95.66,96.0,302939.0,96.045,2402
2015-11-18,96.32,98.68,96.27,98.2,176997.0,97.866,1585
2015-11-19,97.79,98.43,96.81,97.77,169620.0,97.702,1479
2015-11-20,97.97,98.91,97.1,97.33,248876.0,97.761,2155
2015-11-23,97.18,98.15,97.02,97.57,122294.0,97.525,1042
2015-11-24,96.66,99.01,96.58,98.56,126725.0,98.191,1176
2015-11-25,97.61,99.62,97.22,99.25,175085.0,99.23,1477
2015-11-27,99.17,100.16,98.37,99.64,64911.0,99.61,612
2015-11-30,99.93,100.73,98.93,99.29,113836.0,99.39,1022
2015-12-01,99.29,100.16,98.6,99.86,81135.0,99.448,746
2015-12-02,99.57,99.76,98.59,98.8,85278.0,99.017,761
2015-12-03,98.97,99.02,97.4,97.69,212687.0,98.076,1605
2015-12-04,97.42,98.49,97.09,98.08,93489.0,97.972,862
2015-12-07,97.86,98.07,96.89,97.47,138893.0,97.412,1149
2015-12-08,96.4,96.8,95.6,95.98,177651.0,96.045,1576
2015-12-09,95.61,96.82,94.51,95.34,222476.0,95.599,1954
2015-12-10,95.51,96.08,94.3,95.19,101538.0,95.226,920
2015-12-11,94.18,96.03,93.96,94.76,216268.0,94.944,1979
2015-12-14,94.67,95.3,93.25,94.04,276100.0,94.107,2346
2015-12-15,94.04,95.6,93.05,93.3,255425.0,93.519,2188
2015-12-16,93.79,95.35,93.18,94.77,277344.0,94.217,2448
2015-12-17,95.16,95.38,92.97,93.36,307676.0,93.826,2740
2015-12-18,93.31,93.55,91.5,92.05,308351.0,92.635,2275
2015-12-21,92.11,94.32,92.11,94.3,173226.0,93.674,1296
2015-12-22,94.36,97.76,93.87,96.98,383863.0,96.366,3445
2015-12-23,97.89,100.16,97.38,100.16,298913.0,99.251,2458
2015-12-24,100.1,102.44,99.6,101.42,444312.0,99.841,358
2015-12-28,101.0,101.62,99.78,101.61,208929.0,100.716,1592
2015-12-29,102.15,104.07,101.69,103.0,183478.0,102.909,1527
2015-12-30,102.37,104.47,102.37,103.3,190237.0,103.797,1606
2015-12-31,102.45,103.51,101.04,101.04,127541.0,102.117,1128
2016-01-04,100.08,102.89,99.2,101.98,283718.0,101.317,1874
2016-01-05,102.15,102.62,100.15,100.3,316312.0,100.717,2254
2016-01-06,99.01,100.0,98.16,98.74,238187.0,98.893,1738
2016-01-07,96.01,97.19,93.92,95.0,530089.0,95.078,3860
2016-01-08,95.5,96.99,94.27,94.91,288709.0,94.955,2198
2016-01-11,94.8,94.83,91.6,91.98,492446.0,92.493,3678
2016-01-12,92.85,93.69,91.53,92.28,390695.0,92.389,2979
2016-01-13,92.74,93.47,88.88,89.02,336854.0,90.687,2373
2016-01-14,89.59,90.86,88.32,90.68,335943.0,89.963,2770
2016-01-15,88.78,89.38,87.06,89.07,286870.0,88.499,2103
2016-01-19,89.92,90.03,87.78,88.49,168397.0,88.882,1528
2016-01-20,87.07,87.94,85.09,86.76,353023.0,86.43,2501
2016-01-21,87.08,88.87,86.42,87.25,279568.0,87.551,2338
2016-01-22,88.79,89.99,86.56,88.45,331999.0,87.934,2672
2016-01-25,87.96,88.49,86.5,86.74,210303.0,87.323,1718
2016-01-26,87.13,88.83,86.16,87.76,400753.0,87.873,3249
2016-01-27,87.59,88.67,86.23,86.29,384497.0,87.352,3250
2016-01-28,83.16,88.91,83.16,88.4,475575.0,86.824,3673
2016-01-29,87.92,90.71,87.33,90.43,580072.0,89.937,4006
2016-02-01,89.56,90.42,88.36,90.1,275324.0,89.268,1351
2016-02-02,89.25,89.58,87.84,87.96,242023.0,88.63,1430
2016-02-03,88.84,90.14,86.73,89.75,227427.0,89.12,1830
2016-02-04,89.7,92.58,89.7,91.88,505879.0,92.007,2541
2016-02-05,91.71,93.34,90.0,90.19,258013.0,91.279,2135
2016-02-08,89.25,90.06,88.38,89.87,301325.0,89.183,2235
2016-02-09,88.83,91.05,88.41,89.96,249834.0,89.887,1461
2016-02-10,90.54,90.76,89.41,89.8,198788.0,90.071,1142
2016-02-11,88.13,90.31,86.56,89.36,152082.0,89.192,1172
2016-02-12,90.02,90.77,88.13,89.94,271328.0,89.932,1949
2016-02-16,91.36,92.97,90.54,92.39,319092.0,91.98,1502
2016-02-17,93.09,94.48,92.78,93.05,220065.0,93.503,1487
2016-02-18,93.66,93.96,92.1,92.91,315186.0,93.38,1568
2016-02-19,92.45,93.61,92.04,93.55,195453.0,92.831,1381
2016-02-22,94.6,96.0,93.9,95.72,219627.0,95.027,1053
2016-02-23,95.09,96.16,94.63,96.07,441440.0,95.57,2676
2016-02-24,94.94,96.83,94.61,96.69,273783.0,95.885,1919
2016-02-25,96.69,98.02,95.73,97.84,171630.0,97.132,1200
2016-02-26,98.12,99.55,97.92,98.86,162148.0,98.726,1241
2016-02-29,99.09,100.17,98.67,99.36,281236.0,99.459,1715
2016-03-01,100.32,101.29,99.25,100.82,222501.0,100.548,1668
2016-03-02,100.46,102.2,100.46,102.08,200044.0,101.356,1363
2016-03-03,101.88,102.62,101.41,101.56,359714.0,101.903,2378
2016-03-04,101.65,102.03,100.83,101.07,469201.0,101.185,3472
2016-03-07,100.62,101.84,100.25,101.83,338484.0,100.915,2559
2016-03-08,101.26,101.65,99.87,99.9,186154.0,100.743,1292
2016-03-09,100.16,100.63,98.86,99.07,190192.0,99.527,1424
2016-03-10,99.56,99.86,98.57,99.76,173827.0,99.344,1211
2016-03-11,100.7,101.15,99.8,100.56,153096.0,100.536,1121
2016-03-14,100.03,100.13,99.3,99.73,144006.0,99.811,893
2016-03-15,98.65,100.45,97.74,100.41,197246.0,99.788,1294
2016-03-16,100.02,101.96,99.34,101.32,221580.0,101.053,1464
2016-03-17,101.74,102.92,101.32,102.48,308302.0,102.497,2309
2016-03-18,102.29,104.25,102.07,103.0,501801.0,102.955,3316
2016-03-21,102.41,103.58,102.41,102.77,197835.0,102.859,1669
2016-03-22,102.7,103.01,102.13,102.51,228478.0,102.483,1988
2016-03-23,102.27,102.55,100.89,100.93,141557.0,101.684,1252
2016-03-24,99.89,101.44,98.93,100.96,172949.0,100.699,1350
2016-03-28,101.31,102.11,100.27,101.94,184865.0,101.326,1624
2016-03-29,101.4,103.82,101.01,103.56,157808.0,102.916,1365
2016-03-30,104.4,105.59,103.76,105.38,193283.0,105.007,1592
2016-03-31,105.06,106.66,104.43,105.93,249477.0,106.076,2256
2016-04-01,104.92,108.36,104.37,108.24,333226.0,106.915,2634
2016-04-04,108.11,108.72,106.24,106.63,143100.0,107.236,1116
2016-04-05,105.69,106.28,104.83,105.5,178788.0,105.719,1069
2016-04-06,105.61,106.53,104.3,106.4,175629.0,105.998,1553
2016-04-07,105.86,106.91,105.61,106.62,235411.0,106.365,1785
2016-04-08,107.66,108.65,107.14,107.47,148611.0,107.727,1235
2016-04-11,107.8,108.27,106.36,106.49,172437.0,107.275,1507
2016-04-12,106.72,107.84,106.43,106.77,179932.0,107.033,1610
2016-04-13,107.13,109.15,107.13,109.11,176556.0,108.295,1390
2016-04-14,108.95,109.58,107.87,108.23,178938.0,108.41,1469
2016-04-15,108.23,109.31,107.72,108.98,224758.0,108.554,1852
2016-04-18,108.77,109.64,107.84,109.2,107300.0,108.974,926
2016-04-19,109.84,109.84,108.5,108.59,139731.0,108.893,1147
2016-04-20,108.6,109.43,107.52,108.47,114976.0,108.455,972
2016-04-21,108.47,109.34,108.3,109.04,107464.0,108.848,898
2016-04-22,108.77,109.78,107.63,108.2,268259.0,108.104,1973
2016-04-25,107.92,108.55,106.58,107.34,197139.0,107.289,1678
2016-04-26,108.73,111.23,106.78,106.98,303912.0,108.038,2523
2016-04-27,106.73,108.9,105.94,106.69,182116.0,106.709,1458
2016-04-28,105.89,106.99,105.01,105.57,97051.0,106.142,860
2016-04-29,105.52,105.95,104.22,105.76,181899.0,105.326,1589
2016-05-02,106.13,106.43,105.25,106.14,143984.0,105.99,1172
2016-05-03,105.28,105.95,104.27,105.85,153242.0,105.263,1238
2016-05-04,105.12,105.35,103.91,104.54,69825.0,104.608,637
2016-05-05,105.07,105.64,104.47,105.22,86002.0,105.074,718
2016-05-06,104.68,105.98,104.51,105.55,56727.0,105.428,508
2016-05-09,105.03,105.3,104.3,104.33,64952.0,104.769,548
2016-05-10,104.66,106.68,103.9,106.65,296501.0,104.928,2117
2016-05-11,106.6,108.13,105.9,106.31,126825.0,106.614,1068
2016-05-12,106.81,107.71,105.21,106.45,153544.0,106.427,1219
2016-05-13,105.98,106.39,103.42,104.16,155262.0,104.645,1231
2016-05-16,103.55,105.74,103.55,105.26,139652.0,104.969,1087
2016-05-17,105.9,106.57,104.04,104.88,181658.0,105.434,1501
2016-05-18,104.5,106.48,103.87,104.63,183766.0,105.123,1578
2016-05-19,103.76,103.97,102.18,103.55,100222.0,103.191,811
2016-05-20,103.71,105.0,103.4,104.8,164799.0,104.437,1456
2016-05-23,104.34,105.68,104.1,105.01,93644.0,105.207,677
2016-05-24,105.71,105.81,105.0,105.47,160406.0,105.48,1281
2016-05-25,105.7,106.46,105.54,106.26,141825.0,106.035,1209
2016-05-26,105.62,106.32,105.41,105.79,85691.0,105.794,633
2016-05-27,105.81,106.15,105.2,105.96,110381.0,105.758,871
2016-05-31,106.22,106.56,105.57,106.27,107889.0,106.117,930
2016-06-01,105.57,106.2,105.11,105.93,118060.0,105.83,876
2016-06-02,105.39,105.83,103.66,105.83,158380.0,105.45,1248
2016-06-03,105.5,105.9,104.39,104.39,152029.0,104.742,1295
2016-06-06,104.67,106.02,104.26,105.83,182022.0,105.299,1641
2016-06-07,105.96,106.14,105.23,105.79,126006.0,105.716,1041
2016-06-08,105.82,106.51,105.33,105.95,129161.0,106.11,1020
2016-06-09,105.18,105.81,104.44,105.72,131415.0,105.213,972
2016-06-10,105.02,105.02,102.57,102.68,109301.0,103.2,892
2016-06-13,102.49,103.43,101.42,103.01,155376.0,102.857,1188
2016-06-14,102.92,103.41,101.87,102.44,200145.0,102.683,671
2016-06-15,102.92,103.4,101.95,102.1,249892.0,102.867,1109
2016-06-16,101.41,101.77,100.24,101.5,446660.0,100.948,2004
2016-06-17,101.5,102.28,100.45,100.7,326330.0,101.252,2019
2016-06-20,102.26,103.29,101.83,101.95,381938.0,102.432,2801
2016-06-21,101.95,102.78,101.37,101.41,126956.0,101.765,1104
2016-06-22,101.92,102.36,101.72,101.84,154135.0,101.984,1251
2016-06-23,103.0,103.42,102.44,103.35,196803.0,102.984,1360
2016-06-24,99.0,101.86,98.62,100.91,286643.0,100.663,2276
2016-06-27,99.8,99.8,97.35,98.17,336089.0,98.175,2776
2016-06-28,98.96,99.11,97.87,98.88,112882.0,98.482,913
2016-06-29,100.0,101.68,100.0,101.45,370448.0,100.65,1940
2016-06-30,101.98,105.68,101.98,105.47,309783.0,104.361,2569
2016-07-01,105.5,107.51,105.0,105.55,178631.0,105.788,1362
2016-07-05,104.94,105.0,103.37,103.99,73425.0,103.896,642
2016-07-06,104.13,104.96,103.43,104.54,112130.0,104.37,1003
2016-07-07,104.99,105.73,104.39,104.95,84441.0,104.796,737
2016-07-08,105.84,106.32,105.3,106.06,128529.0,106.001,1059
2016-07-11,106.49,107.24,106.49,106.61,85832.0,106.848,732
2016-07-12,107.45,107.47,105.63,105.98,286474.0,106.056,2377
2016-07-13,106.45,106.64,105.6,106.19,172902.0,105.958,1493
2016-07-14,107.04,107.66,106.65,106.7,200973.0,107.027,1441
2016-07-15,106.85,107.18,106.56,106.92,69386.0,106.921,585
2016-07-18,106.65,107.07,106.57,106.76,41774.0,106.768,335
2016-07-19,106.43,107.09,106.03,106.52,68147.0,106.644,583
