date,open,high,low,close,volume,average,barCount
2015-10-13,180.53,185.99,180.53,184.45,1069860.0,184.384,8351
2015-10-14,184.6,185.69,181.3,182.52,566088.0,182.903,4307
2015-10-15,181.13,183.37,180.2,183.25,874182.0,182.393,6308
2015-10-16,184.0,185.08,182.83,184.2,836553.0,183.915,6021
2015-10-19,183.9,186.8,183.9,186.67,686633.0,185.89,5840
2015-10-20,186.82,187.45,184.98,185.92,648416.0,186.323,5542
2015-10-21,186.58,186.85,170.75,177.15,2491831.0,177.548,18392
2015-10-22,176.86,178.19,162.21,165.11,2924824.0,168.359,21094
2015-10-23,165.03,169.79,165.03,168.2,2368173.0,168.289,17099
2015-10-26,168.41,170.92,167.55,170.24,1309682.0,169.449,10602
2015-10-27,170.24,177.03,169.51,175.16,1210069.0,174.793,7608
2015-10-28,174.91,178.2,171.31,178.0,796674.0,175.55,5807
2015-10-29,178.0,183.3,175.41,180.57,1016577.0,181.3,7646
2015-10-30,180.81,182.12,178.56,178.63,662517.0,179.767,5405
2015-11-02,179.95,181.87,178.21,180.64,475261.0,180.887,3907
2015-11-03,179.98,181.5,177.01,178.53,487995.0,178.467,3004
2015-11-04,178.67,179.01,176.01,176.88,602001.0,176.814,4343
2015-11-05,177.0,179.98,176.32,179.05,622085.0,178.456,4915
2015-11-06,176.02,177.81,174.62,177.24,836706.0,176.337,6240
2015-11-09,176.7,178.08,175.76,177.65,514658.0,176.85,3582
2015-11-10,177.72,178.37,175.72,176.44,1474712.0,176.697,5607
2015-11-11,177.45,178.14,170.61,171.1,1052762.0,173.156,7190
2015-11-12,170.79,172.55,169.02,169.05,801310.0,170.649,4326
2015-11-13,168.51,170.43,166.85,167.36,990984.0,168.716,6314
2015-11-16,167.48,169.95,166.99,169.04,574575.0,168.941,4306
2015-11-17,168.7,171.74,168.57,169.52,833619.0,170.101,5640
2015-11-18,169.58,171.6,168.64,171.08,468486.0,170.478,3697
2015-11-19,165.29,168.18,163.4,164.25,1584110.0,165.345,9640
2015-11-20,165.21,169.24,164.5,167.61,1159637.0,167.888,7344
2015-11-23,167.94,170.35,167.01,168.07,1028831.0,169.184,7234
2015-11-24,166.91,168.77,166.44,168.41,606458.0,168.035,3801
2015-11-25,168.8,169.52,168.02,168.39,548802.0,168.584,3269
2015-11-27,168.91,169.98,168.17,168.9,564542.0,169.148,2275
2015-11-30,169.25,170.33,168.24,168.66,695104.0,169.214,4471
2015-12-01,168.92,173.61,168.92,173.55,1608119.0,171.819,5257
2015-12-02,173.5,175.67,172.5,173.13,958659.0,174.18,6161
2015-12-03,173.17,173.62,168.24,168.6,444067.0,169.89,3746
2015-12-04,169.65,172.62,169.04,170.77,629228.0,171.065,4788
2015-12-07,170.9,171.01,169.02,169.47,423474.0,169.707,3384
2015-12-08,168.98,170.6,168.35,170.04,523622.0,169.598,4432
2015-12-09,168.86,171.25,168.62,170.73,698280.0,170.679,3555
2015-12-10,170.77,173.14,170.24,172.02,264506.0,171.794,2131
2015-12-11,170.37,174.24,170.26,172.78,836081.0,173.071,5009
2015-12-14,173.26,175.1,172.05,174.89,659958.0,173.869,5291
2015-12-15,174.93,176.96,174.48,175.66,604514.0,176.206,4920
2015-12-16,177.2,178.3,175.69,176.36,1100430.0,177.006,8188
2015-12-17,176.35,177.83,175.31,176.88,507218.0,176.716,3786
2015-12-18,176.14,177.12,174.86,175.38,564982.0,176.03,4075
2015-12-21,175.65,176.75,174.47,176.1,807091.0,175.986,6453
2015-12-22,177.04,177.37,174.22,176.1,406135.0,175.747,3330
2015-12-23,176.58,179.49,171.35,179.14,719004.0,178.543,5387
2015-12-24,178.82,180.31,178.11,178.3,283836.0,179.199,2378
2015-12-28,177.73,178.33,176.01,177.86,185899.0,177.697,1501
2015-12-29,178.0,180.13,177.81,179.11,605476.0,179.24,4897
2015-12-30,179.53,179.62,177.51,179.0,328172.0,178.802,2725
2015-12-31,178.4,179.75,178.4,178.51,428747.0,179.094,3426
2016-01-04,177.67,179.88,176.44,179.75,719706.0,178.339,5713
2016-01-05,180.22,181.46,178.5,179.63,704236.0,179.807,5322
2016-01-06,177.8,179.24,175.04,176.61,1154124.0,177.042,7264
2016-01-07,175.08,176.66,173.81,175.15,1579110.0,175.164,9676
2016-01-08,174.56,176.33,172.44,172.91,455259.0,173.71,3546
2016-01-11,173.08,173.42,166.71,169.01,1333920.0,169.343,10153
2016-01-12,169.55,172.0,167.62,168.83,1112934.0,169.166,8520
2016-01-13,168.93,170.11,163.52,163.89,1077933.0,165.82,8146
2016-01-14,163.89,167.75,162.77,167.23,1026859.0,165.358,6404
2016-01-15,166.34,166.5,160.47,162.16,1319897.0,162.716,9010
2016-01-19,162.16,167.36,162.16,164.0,1219441.0,165.088,7987
2016-01-20,162.84,166.2,157.45,164.74,1196331.0,161.172,8118
2016-01-21,165.64,167.24,163.3,166.11,466827.0,165.601,3672
2016-01-22,167.44,168.23,165.64,166.22,835782.0,166.731,6331
2016-01-25,166.22,166.81,163.11,163.29,316271.0,164.264,2644
2016-01-26,163.25,165.54,163.01,164.66,317600.0,164.215,2274
2016-01-27,165.35,165.53,159.74,161.3,1043920.0,162.449,7487
2016-01-28,161.31,162.7,158.8,159.79,506864.0,160.219,3520
2016-01-29,160.62,163.45,158.12,162.79,685247.0,162.282,5370
2016-02-01,162.71,168.36,162.69,167.58,1398778.0,166.912,10977
2016-02-02,166.13,167.59,164.25,166.87,736699.0,166.58,4386
2016-02-03,167.54,167.98,164.75,166.78,641613.0,166.156,4766
2016-02-04,166.56,169.87,164.87,168.65,756036.0,167.748,6469
2016-02-05,167.97,169.32,163.32,164.78,876500.0,166.238,7272
2016-02-08,164.13,164.73,156.04,156.96,1028189.0,158.297,7958
2016-02-09,157.04,161.3,155.24,159.53,1035535.0,159.288,6396
2016-02-10,161.17,165.52,160.75,161.07,1496816.0,162.642,7824
2016-02-11,158.91,160.92,157.01,158.02,842177.0,159.306,6301
2016-02-12,158.34,160.47,157.41,160.37,451537.0,159.089,3566
2016-02-16,161.0,166.74,160.55,166.64,810092.0,165.126,5945
2016-02-17,167.33,169.59,166.0,168.31,951373.0,168.396,6490
2016-02-18,168.0,169.0,166.61,167.75,928316.0,167.786,6788
2016-02-19,167.8,168.22,164.47,165.34,627654.0,165.97,4704
