date,open,high,low,close,volume,average,barCount
2015-10-13,46.38,46.75,46.2,46.23,1719270.0,46.4624,2507
2015-10-14,46.24,46.72,45.78,45.87,1593575.0,46.215,2756
2015-10-15,46.07,47.36,46.04,47.24,1379355.0,46.9382,2121
2015-10-16,47.59,47.91,47.16,47.58,2002965.0,47.5244,2634
2015-10-19,47.21,48.23,47.21,48.05,2055115.0,47.9126,3572
2015-10-20,47.92,48.43,47.57,48.33,1950355.0,48.1172,2955
2015-10-21,48.41,48.57,47.34,47.38,1564255.0,47.8518,2580
2015-10-22,47.51,49.42,47.4,49.15,2168085.0,48.9334,3410
2015-10-23,49.41,49.88,49.14,49.76,1969835.0,49.5016,3086
2015-10-26,49.8,50.98,48.76,49.48,4761580.0,49.6246,7212
2015-10-27,49.28,51.47,49.0,51.14,6107150.0,50.885,9080
2015-10-28,51.19,51.61,50.33,51.53,2985950.0,51.2966,4438
2015-10-29,51.58,52.54,51.41,52.37,3776185.0,52.0864,4859
2015-10-30,52.31,52.44,50.39,50.48,3656840.0,51.0614,5429
2015-11-02,50.3,52.34,50.15,52.27,3464195.0,51.7978,5301
2015-11-03,52.0,52.48,51.68,52.1,2653790.0,52.1796,4265
2015-11-04,51.93,52.4,51.55,52.05,2777525.0,52.0348,3846
2015-11-05,52.11,52.47,51.86,52.3,2474675.0,52.157,3847
2015-11-06,52.89,53.18,52.15,52.46,2221885.0,52.4966,3336
2015-11-09,52.48,52.53,51.9,52.26,1476605.0,52.1806,2297
2015-11-10,52.09,52.85,51.82,52.74,1866270.0,52.4632,2898
2015-11-11,53.02,53.35,52.66,52.8,2944525.0,52.9666,4048
2015-11-12,52.47,52.78,51.96,52.02,3046230.0,52.1368,4742
2015-11-13,51.87,52.17,51.29,51.69,2184385.0,51.7228,3466
2015-11-16,51.77,52.45,51.32,52.42,2218740.0,51.9152,2400
2015-11-17,52.71,52.72,52.03,52.38,1758760.0,52.3578,2688
2015-11-18,52.62,52.75,51.81,52.72,1950100.0,52.335,3088
2015-11-19,52.62,52.75,52.32,52.59,1192920.0,52.5444,1918
2015-11-20,52.81,53.0,52.48,52.7,1263700.0,52.7374,1702
2015-11-23,52.68,53.0,52.51,52.66,807550.0,52.788,1359
2015-11-24,52.25,52.42,51.57,51.83,1341215.0,51.8288,2270
2015-11-25,51.86,52.23,51.69,51.9,706005.0,51.8334,1192
2015-11-27,51.92,52.19,51.69,52.05,310245.0,51.927,511
2015-11-30,52.05,52.36,51.67,51.97,1061040.0,52.0602,1767
2015-12-01,52.3,52.41,51.27,52.19,3293825.0,51.772,4435
2015-12-02,52.27,52.63,51.68,51.81,2209015.0,52.0882,2974
2015-12-03,51.91,52.2,50.62,50.77,3373080.0,51.3548,4819
2015-12-04,51.12,53.2,51.05,52.83,3509485.0,52.728,5628
