date,open,high,low,close,volume,average,barCount
2015-10-13,109.31,111.14,109.18,110.24,220214.0,110.476,1806
2015-10-14,110.06,111.14,109.86,109.98,123748.0,110.339,1052
2015-10-15,110.7,111.2,110.15,111.07,305077.0,110.652,2121
2015-10-16,112.0,112.56,111.47,112.53,244465.0,112.133,1869
2015-10-19,111.88,113.17,111.88,112.96,185884.0,112.651,1484
2015-10-20,112.9,113.41,112.45,112.78,214361.0,112.795,1816
2015-10-21,113.42,113.79,111.58,111.76,195896.0,112.254,1636
2015-10-22,112.73,113.76,112.49,113.73,334736.0,113.323,2668
2015-10-23,114.81,114.91,113.48,113.52,260975.0,113.865,2086
2015-10-26,113.56,114.92,113.46,114.67,181083.0,114.456,1632
2015-10-27,114.0,114.5,112.91,113.71,191058.0,113.635,1585
2015-10-28,113.65,115.52,113.44,115.05,238503.0,114.76,1877
2015-10-29,115.04,115.82,114.2,115.51,189134.0,115.373,1671
2015-10-30,115.67,117.05,115.07,116.06,221798.0,116.221,1874
2015-11-02,116.2,116.97,115.23,116.05,197681.0,116.088,1565
2015-11-03,115.91,116.56,115.69,116.18,277559.0,116.19,2364
2015-11-04,116.29,116.81,115.71,116.18,188242.0,116.275,1636
2015-11-05,116.21,116.36,115.31,115.97,207819.0,115.931,1135
2015-11-06,115.26,115.59,111.98,113.2,746105.0,113.352,5766
2015-11-09,113.4,114.26,112.34,114.11,461470.0,113.311,3664
2015-11-10,112.8,116.86,112.0,113.61,628475.0,113.657,4324
2015-11-11,114.44,116.44,114.21,115.9,285856.0,115.644,2476
2015-11-12,114.46,115.68,113.2,113.28,267550.0,113.965,2382
2015-11-13,113.34,113.86,111.33,111.75,298874.0,112.064,2435
2015-11-16,111.78,114.55,111.78,114.5,237730.0,113.597,1927
2015-11-17,114.05,116.49,114.0,115.45,323671.0,115.463,2671
2015-11-18,115.67,117.52,115.12,117.44,309107.0,116.775,2714
2015-11-19,117.48,119.4,116.34,117.84,385311.0,118.097,3031
2015-11-20,118.1,118.29,116.65,117.05,203033.0,117.341,1481
2015-11-23,117.23,119.1,116.33,118.56,250991.0,118.522,2008
2015-11-24,118.22,120.48,117.59,120.09,413836.0,119.375,3379
2015-11-25,120.54,120.76,119.62,120.25,229540.0,120.332,1974
2015-11-27,120.23,120.87,119.15,119.85,126523.0,119.823,1049
2015-11-30,120.34,121.03,119.46,120.01,236716.0,120.005,2037
2015-12-01,117.96,122.2,117.89,122.0,482668.0,120.601,3390
2015-12-02,121.56,122.21,120.1,120.41,290565.0,120.913,2441
2015-12-03,120.42,120.8,118.26,119.14,245409.0,119.493,1844
2015-12-04,119.48,121.53,119.48,121.25,220606.0,120.709,1789
2015-12-07,120.81,121.69,120.08,121.28,282030.0,121.191,2212
2015-12-08,120.57,121.64,119.71,121.03,279345.0,120.998,2454
2015-12-09,121.18,122.64,119.72,120.72,404652.0,121.011,3498
2015-12-10,120.57,120.98,118.04,118.31,369494.0,118.896,3024
2015-12-11,116.69,117.8,115.63,116.12,821784.0,116.335,6579
2015-12-14,116.23,117.38,115.2,116.32,964097.0,115.968,6524
2015-12-15,117.64,119.0,117.52,118.18,304042.0,118.289,2456
