date,open,high,low,close,volume,average,barCount
2015-10-13,32.07,32.48,31.98,32.04,26031186.0,32.197,110122
2015-10-14,31.39,32.93,30.85,32.8,71192031.0,31.94,274912
2015-10-15,32.84,33.06,32.46,32.75,32868600.0,32.729,142768
2015-10-16,32.75,33.2,32.48,33.04,24677859.0,32.953,93228
2015-10-19,32.88,33.62,32.87,33.59,25999419.0,33.428,108946
2015-10-20,33.4,33.7,33.31,33.44,21928360.0,33.503,96740
2015-10-21,33.67,34.05,33.32,33.37,30016421.0,33.711,120769
2015-10-22,33.67,34.5,33.59,34.4,31829790.0,34.197,130921
2015-10-23,34.54,35.01,34.4,34.9,33905383.0,34.787,131884
2015-10-26,34.77,34.96,34.55,34.59,19771950.0,34.723,86976
2015-10-27,34.41,34.55,34.31,34.47,18845765.0,34.418,79493
2015-10-28,34.47,34.71,34.12,34.71,19412228.0,34.444,87620
2015-10-29,34.21,34.29,33.77,34.03,19148023.0,34.057,79534
2015-10-30,34.1,34.29,33.86,33.86,20254622.0,33.985,94637
2015-11-02,33.73,34.28,33.64,34.11,19355297.0,34.027,86124
2015-11-03,34.04,34.41,33.98,34.31,14637368.0,34.234,65470
2015-11-04,34.27,34.27,33.9,34.15,16247727.0,34.083,68417
2015-11-05,34.1,34.2,33.73,34.0,13257852.0,33.968,62459
2015-11-06,33.93,33.97,33.41,33.84,20901604.0,33.704,85634
2015-11-09,33.6,33.83,33.08,33.35,20404229.0,33.319,96553
2015-11-10,33.17,33.27,32.81,33.21,19317715.0,33.047,89434
2015-11-11,33.16,33.38,32.8,32.86,16706029.0,33.068,77591
2015-11-12,32.77,32.92,32.39,32.4,18602003.0,32.635,90305
2015-11-13,32.35,32.38,31.96,32.11,19906160.0,32.151,85186
2015-11-16,32.09,32.26,31.93,32.1,25152911.0,32.108,94167
2015-11-17,32.19,32.88,32.01,32.64,19362492.0,32.555,92683
2015-11-18,32.73,33.25,32.62,33.16,15942391.0,32.905,73883
2015-11-19,33.22,34.73,33.13,34.3,39921562.0,34.105,159962
2015-11-20,34.5,35.29,34.48,34.66,32421785.0,34.821,125084
2015-11-23,34.7,34.85,34.41,34.48,16116391.0,34.608,76321
2015-11-24,34.31,34.44,33.9,34.36,19149363.0,34.197,92913
2015-11-25,34.26,34.74,34.14,34.45,13205168.0,34.533,63067
2015-11-27,34.54,34.68,34.4,34.46,5700936.0,34.537,26996
2015-11-30,34.54,34.9,34.43,34.77,15141076.0,34.718,70899
2015-12-01,35.0,35.2,34.71,35.09,19251062.0,34.978,90204
2015-12-02,35.09,35.41,34.8,34.83,15440136.0,35.085,70735
2015-12-03,34.97,34.99,34.0,34.04,23147192.0,34.353,111028
2015-12-04,34.11,35.03,34.0,34.94,20815857.0,34.728,99108
2015-12-07,34.79,35.17,34.75,34.98,13957912.0,34.996,71882
2015-12-08,34.67,34.95,34.42,34.75,11426775.0,34.727,57695
2015-12-09,34.88,35.22,34.51,34.81,18208276.0,34.815,86722
2015-12-10,34.85,35.07,34.66,34.77,13086101.0,34.868,67819
2015-12-11,34.38,34.65,34.2,34.27,17205125.0,34.421,90634
2015-12-14,34.39,34.48,33.88,34.47,16082370.0,34.201,89309
2015-12-15,34.65,35.35,34.63,35.18,20838200.0,35.075,99941
2015-12-16,35.36,35.47,34.77,35.3,20040920.0,35.125,92906
2015-12-17,35.32,35.37,34.76,34.91,21781335.0,35.091,98429
2015-12-18,34.65,34.75,33.86,33.87,25150044.0,34.286,88184
2015-12-21,34.11,34.3,33.81,34.24,13794900.0,34.071,66417
2015-12-22,34.36,34.78,34.27,34.73,15142896.0,34.643,74689
2015-12-23,34.95,35.05,34.78,35.0,9652397.0,34.952,50264
2015-12-24,35.06,35.26,34.96,34.98,4889841.0,35.117,23990
2015-12-28,34.95,35.0,34.57,34.93,8091297.0,34.791,43539
2015-12-29,35.01,35.59,35.01,35.44,11668615.0,35.434,50971
2015-12-30,35.38,35.45,34.94,34.99,8890646.0,35.112,43141
2015-12-31,34.82,34.96,34.44,34.45,10447152.0,34.643,45443
2016-01-04,33.88,34.01,33.46,33.99,21798453.0,33.698,101706
2016-01-05,33.96,34.0,33.53,33.83,14302196.0,33.72,71769
