date,open,high,low,close,volume,average,barCount
2015-10-13,92.51,93.2,91.26,91.36,1448893.0,92.119,11049
2015-10-14,91.3,92.14,90.41,90.41,1554457.0,91.068,11683
2015-10-15,91.03,92.48,90.82,92.43,1780400.0,91.587,13886
2015-10-16,92.57,93.79,91.17,93.62,1532101.0,93.224,9373
2015-10-19,93.53,94.39,92.49,94.08,861647.0,93.945,6312
2015-10-20,93.89,94.74,93.89,94.3,737163.0,94.283,5993
2015-10-21,94.9,94.98,93.36,93.87,1265404.0,94.055,9166
2015-10-22,94.43,97.3,94.36,96.86,1123051.0,96.584,8615
2015-10-23,97.56,98.0,96.12,97.94,882923.0,97.171,6837
2015-10-26,98.13,99.0,97.64,97.71,1039781.0,98.112,7828
2015-10-27,97.65,98.23,97.15,98.03,870317.0,97.668,5859
2015-10-28,98.31,98.4,97.29,97.99,1337016.0,97.883,11127
2015-10-29,97.9,98.27,97.57,97.75,1110856.0,97.899,6838
2015-10-30,97.95,98.12,97.35,97.43,863726.0,97.803,6946
2015-11-02,98.05,98.2,97.37,97.51,1229883.0,97.527,9442
2015-11-03,97.16,97.97,97.05,97.71,1103995.0,97.522,8865
2015-11-04,97.72,99.15,97.0,98.85,1059418.0,98.668,8004
2015-11-05,99.21,99.5,97.41,97.78,1116578.0,98.007,8744
2015-11-06,97.79,98.54,97.13,98.28,785927.0,97.909,6295
2015-11-09,98.18,98.21,96.75,97.51,830180.0,97.28,6893
2015-11-10,97.44,98.97,97.02,98.88,685185.0,98.414,5462
2015-11-11,99.42,100.63,98.78,99.39,1049214.0,99.665,8405
2015-11-12,99.17,99.79,98.0,98.05,598283.0,98.68,5164
2015-11-13,98.03,98.69,96.26,96.53,1114439.0,97.092,9216
2015-11-16,96.89,97.58,95.98,96.9,1213508.0,96.84,10153
2015-11-17,96.6,97.46,96.05,96.43,1493928.0,96.763,11620
2015-11-18,96.53,96.89,95.62,96.62,3209638.0,96.302,21900
2015-11-19,96.93,97.68,95.79,97.42,3412672.0,96.688,20767
2015-11-20,106.28,108.0,101.17,103.2,5788662.0,103.641,40637
2015-11-23,102.88,103.83,100.91,101.03,2410584.0,101.827,18015
2015-11-24,100.04,100.75,97.72,99.76,2807472.0,98.933,21033
2015-11-25,99.98,100.87,99.43,99.85,1581151.0,100.179,12698
2015-11-27,100.09,100.76,99.65,100.18,917757.0,100.24,7361
2015-11-30,100.38,100.76,99.01,100.2,1651253.0,100.086,13493
2015-12-01,100.94,102.58,100.61,101.79,1408927.0,101.403,11308
2015-12-02,101.33,101.8,99.26,99.5,1281229.0,100.121,10840
2015-12-03,99.46,99.91,95.94,96.38,2213180.0,97.006,16388
2015-12-04,96.81,98.86,96.73,98.63,1770583.0,97.899,14826
