date,open,high,low,close,volume,average,barCount
2017-02-01,20.1,20.42,20.0,20.0,30094123.0,20.161,82063
2017-02-02,20.04,20.41,20.04,20.23,4717503.0,20.281,19413
2017-02-03,20.35,20.8,20.3,20.63,2554529.0,20.46,11083
2017-02-06,21.14,21.14,20.55,20.73,1758964.0,20.764,8662
2017-02-07,20.75,20.86,20.62,20.8,2423997.0,20.76,10015
2017-02-08,20.8,20.92,20.73,20.84,915144.0,20.835,5874
2017-02-09,20.89,20.97,20.83,20.88,1760273.0,20.901,5811
2017-02-10,20.92,21.18,20.78,21.02,1494855.0,21.01,5984
2017-02-13,21.14,21.19,20.95,21.0,848469.0,21.054,4389
2017-02-14,20.89,21.05,20.75,21.03,1099824.0,20.974,3948
2017-02-15,21.16,21.16,20.86,20.91,994493.0,20.987,3981
2017-02-16,20.8,21.05,20.78,20.96,717677.0,20.97,3670
2017-02-17,20.93,21.22,20.76,21.15,626589.0,21.08,3589
2017-02-21,21.3,21.5,21.28,21.47,732045.0,21.377,4303
2017-02-22,21.45,21.65,21.4,21.57,665179.0,21.517,3500
2017-02-23,21.68,21.81,21.37,21.58,606823.0,21.524,3373
2017-02-24,21.52,21.71,21.5,21.6,713857.0,21.586,3079
2017-02-27,21.58,21.99,21.55,21.81,1117324.0,21.825,6693
2017-02-28,21.91,22.15,21.76,21.79,1485118.0,21.896,7231
2017-03-01,22.14,22.15,21.17,21.53,1366945.0,21.621,6122
2017-03-02,21.6,21.78,21.33,21.72,962617.0,21.566,5608
2017-03-03,21.56,21.95,21.26,21.81,1017630.0,21.71,6720
2017-03-06,21.78,22.0,21.62,21.92,1271732.0,21.841,8549
2017-03-07,21.8,21.98,21.5,21.81,659010.0,21.698,4518
2017-03-08,21.78,21.82,21.52,21.55,750190.0,21.672,4512
2017-03-09,21.6,21.74,21.04,21.24,1253365.0,21.243,6674
2017-03-10,21.28,21.54,21.28,21.4,1151324.0,21.453,6692
2017-03-13,21.39,21.84,21.06,21.38,1772836.0,21.301,10504
2017-03-14,21.38,21.45,21.05,21.25,563538.0,21.249,3199
2017-03-15,21.39,21.6,21.24,21.52,1449104.0,21.476,6212
2017-03-16,21.6,21.68,21.25,21.48,1104761.0,21.455,7058
2017-03-17,21.55,21.79,21.47,21.6,2320010.0,21.597,12447
2017-03-20,21.5,21.65,21.35,21.54,1256451.0,21.481,6143
2017-03-21,21.58,21.58,21.31,21.39,1475970.0,21.419,6934
2017-03-22,21.41,21.53,21.25,21.5,1346307.0,21.414,5766
2017-03-23,21.35,21.55,21.27,21.49,1486119.0,21.437,6403
2017-03-24,21.53,21.7,21.5,21.58,1028001.0,21.583,6879
2017-03-27,21.46,21.6,21.4,21.53,818486.0,21.506,5617
2017-03-28,21.45,21.68,21.45,21.64,832085.0,21.58,5322
2017-03-29,21.71,21.79,21.62,21.69,809283.0,21.693,4089
2017-03-30,21.78,21.86,21.59,21.75,493273.0,21.708,3528
2017-03-31,21.78,21.98,21.52,21.83,2075324.0,21.874,10977
2017-04-03,21.85,21.89,21.56,21.63,740430.0,21.651,4877
2017-04-04,21.8,21.86,21.45,21.54,1183234.0,21.681,6924
2017-04-05,21.66,21.67,21.45,21.58,685316.0,21.585,4429
2017-04-06,21.49,21.82,21.46,21.7,811212.0,21.695,5144
2017-04-07,21.76,21.84,21.58,21.61,320234.0,21.699,2189
2017-04-10,21.6,21.77,21.6,21.64,338845.0,21.704,2380
2017-04-11,21.69,21.69,21.43,21.55,908295.0,21.527,3600
2017-04-12,21.48,21.66,21.42,21.55,599484.0,21.558,2455
2017-04-13,21.62,21.67,21.19,21.29,897457.0,21.338,4554
2017-04-17,21.26,21.91,21.19,21.67,869048.0,21.734,4915
2017-04-18,21.62,21.81,21.62,21.77,750836.0,21.743,3393
2017-04-19,21.77,21.85,21.67,21.75,1080998.0,21.771,6700
2017-04-20,21.68,21.83,21.4,21.49,1231834.0,21.538,6460
2017-04-21,21.43,21.76,21.17,21.66,1030775.0,21.509,7225
2017-04-24,21.76,21.77,21.54,21.64,463998.0,21.644,2899
2017-04-25,21.65,21.75,21.56,21.72,487883.0,21.694,2983
2017-04-26,21.65,21.72,21.51,21.68,585086.0,21.658,4209
2017-04-27,21.7,21.75,21.55,21.59,374985.0,21.612,2517
2017-04-28,21.59,21.64,21.51,21.55,708302.0,21.566,3592
2017-05-01,21.58,21.75,21.58,21.68,522093.0,21.678,2918
2017-05-02,21.59,21.76,21.45,21.52,1150830.0,21.575,4551
2017-05-03,21.38,21.53,21.12,21.48,811712.0,21.4,3911
2017-05-04,21.49,21.49,21.09,21.2,1668026.0,21.209,5499
2017-05-05,21.25,21.49,21.17,21.27,915054.0,21.313,5168
2017-05-08,21.35,21.47,21.14,21.28,651959.0,21.241,3405
2017-05-09,21.25,21.56,21.18,21.45,1163017.0,21.437,5840
2017-05-10,21.37,21.89,21.37,21.67,2337102.0,21.735,7481
2017-05-11,21.68,22.02,21.39,21.9,1119243.0,21.828,6133
2017-05-12,21.95,21.95,21.53,21.79,644570.0,21.775,3418
2017-05-15,21.75,21.91,21.54,21.9,1134902.0,21.79,6682
2017-05-16,21.86,21.91,21.25,21.37,1674501.0,21.389,10181
2017-05-17,21.25,21.74,21.25,21.54,1138800.0,21.583,6762
2017-05-18,21.49,21.79,21.3,21.65,1003613.0,21.565,5519
2017-05-19,21.71,21.93,21.52,21.78,711870.0,21.727,4269
2017-05-22,21.7,21.9,21.56,21.67,726819.0,21.641,5139
2017-05-23,21.78,21.88,21.51,21.56,415686.0,21.648,2992
