date,open,high,low,close,volume,average,barCount
2015-10-13,41.71,42.48,41.63,42.03,2271437.0,42.163,14900
2015-10-14,42.17,42.5,41.91,42.11,2186341.0,42.171,14900
2015-10-15,42.05,42.27,41.15,42.15,2622992.0,41.852,16321
2015-10-16,42.18,42.3,41.6,42.13,1898024.0,41.986,11499
2015-10-19,41.97,41.99,41.21,41.51,2255541.0,41.524,13013
2015-10-20,41.35,41.87,41.18,41.44,2398526.0,41.467,13121
2015-10-21,41.26,41.39,40.6,41.2,2997333.0,41.077,15365
2015-10-22,41.66,42.9,41.51,42.69,3667766.0,42.335,20330
2015-10-23,43.17,43.96,42.95,43.85,3910830.0,43.551,22617
2015-10-26,43.82,43.9,43.16,43.46,2295731.0,43.506,14333
2015-10-27,43.28,43.43,42.7,43.01,2313814.0,43.005,14592
2015-10-28,43.03,44.18,42.65,43.93,3175827.0,43.694,20250
2015-10-29,43.97,44.0,42.8,42.98,2814417.0,43.103,19018
2015-10-30,43.15,43.41,42.64,42.69,1991898.0,42.971,14283
2015-11-02,42.75,43.62,42.72,43.42,1885482.0,43.237,12528
2015-11-03,43.12,43.43,42.74,42.78,2220824.0,43.068,13414
2015-11-04,42.99,43.09,42.44,42.51,2058816.0,42.677,12875
2015-11-05,42.52,42.75,41.85,42.04,2704187.0,42.118,15740
2015-11-06,41.85,42.7,41.63,42.55,3725991.0,42.143,14826
2015-11-09,42.36,42.51,41.8,42.11,1965148.0,42.105,13197
2015-11-10,42.01,42.32,41.42,41.95,2056288.0,41.821,13488
2015-11-11,42.1,42.43,41.87,42.32,2510772.0,42.27,16367
2015-11-12,41.5,41.69,40.22,40.24,2286946.0,40.738,15413
2015-11-13,40.25,40.69,39.98,40.19,2790444.0,40.344,19587
2015-11-16,40.16,40.29,39.59,39.99,3863817.0,39.858,28224
2015-11-17,40.22,41.72,39.86,39.87,6329106.0,40.549,39756
2015-11-18,40.0,41.14,40.0,41.06,2450108.0,40.811,17106
2015-11-19,41.03,41.44,40.83,41.26,2173724.0,41.229,14320
2015-11-20,41.49,41.84,41.05,41.22,1676018.0,41.36,11268
2015-11-23,41.17,41.89,41.08,41.19,1725397.0,41.341,11200
2015-11-24,41.01,41.92,40.86,41.83,2526747.0,41.701,16474
2015-11-25,41.81,41.93,41.33,41.64,1713227.0,41.696,10783
2015-11-27,41.68,42.11,41.5,41.85,907298.0,41.894,6741
2015-11-30,42.04,42.37,41.65,41.83,4117328.0,41.925,21069
2015-12-01,41.92,42.12,40.9,41.22,3080373.0,41.291,18905
2015-12-02,41.05,41.17,39.91,40.07,4760549.0,40.364,22888
2015-12-03,40.05,40.45,39.38,39.61,3662033.0,39.693,21751
2015-12-04,39.65,40.33,39.33,40.23,2565841.0,40.052,16731
2015-12-07,39.95,40.06,39.47,39.78,1576678.0,39.658,9941
2015-12-08,39.36,39.92,39.16,39.3,2371660.0,39.455,14722
2015-12-09,39.11,39.93,39.09,39.4,2421545.0,39.482,15848
2015-12-10,39.34,39.51,38.72,38.76,1958741.0,39.009,12936
2015-12-11,38.5,38.6,38.02,38.13,2119341.0,38.28,13412
2015-12-14,38.07,38.18,37.29,37.57,2704768.0,37.591,18541
2015-12-15,37.97,38.45,37.82,38.16,3369990.0,38.149,21065
2015-12-16,38.38,38.66,37.76,38.58,3001660.0,38.226,18067
2015-12-17,38.69,38.75,37.72,37.72,2912826.0,38.131,17165
2015-12-18,37.54,37.58,36.76,36.8,3939126.0,37.147,21316
2015-12-21,37.2,37.61,36.95,37.3,2311433.0,37.265,14119
2015-12-22,37.39,37.87,37.1,37.65,3100550.0,37.548,17961
2015-12-23,37.94,38.35,37.73,38.33,2166029.0,38.099,11874
2015-12-24,38.38,38.72,38.27,38.52,853307.0,38.526,5374
2015-12-28,38.35,38.44,37.96,38.12,1821316.0,38.161,10974
2015-12-29,38.36,38.75,38.21,38.65,2557340.0,38.524,16748
2015-12-30,38.52,38.8,38.16,38.2,2133115.0,38.39,11875
2015-12-31,38.08,38.2,37.69,37.7,2089217.0,37.945,12387
2016-01-04,37.16,37.67,36.86,37.67,3329443.0,37.274,21547
2016-01-05,37.79,38.0,37.42,37.99,2826394.0,37.711,18391
2016-01-06,37.47,37.58,37.12,37.39,3020625.0,37.37,20181
2016-01-07,36.79,37.22,36.18,36.29,3933542.0,36.686,26090
2016-01-08,36.3,36.78,35.78,35.9,4095595.0,36.243,27057
2016-01-11,36.18,36.54,35.94,36.4,5324417.0,36.252,33127
2016-01-12,36.72,36.88,35.95,36.35,3453940.0,36.34,23264
2016-01-13,36.55,37.05,35.98,36.05,3391579.0,36.471,23770
2016-01-14,36.17,36.79,35.68,36.54,3321249.0,36.338,22731
2016-01-15,35.49,36.8,35.49,36.42,4411528.0,36.247,27056
2016-01-19,36.76,36.83,35.02,35.64,3568066.0,35.71,22952
2016-01-20,35.07,35.61,34.03,35.29,4055193.0,34.68,28057
2016-01-21,35.45,36.0,34.94,35.46,2771031.0,35.518,19896
2016-01-22,36.03,36.8,36.03,36.45,3214267.0,36.365,21772
2016-01-25,34.98,35.01,32.5,32.58,13177557.0,33.476,64563
2016-01-26,32.81,33.29,32.58,32.87,7415550.0,32.961,35477
2016-01-27,32.77,33.67,32.53,32.91,6214081.0,33.082,35168
2016-01-28,33.1,33.24,32.55,32.65,3786296.0,32.818,21799
2016-01-29,32.88,34.22,32.83,34.21,5145779.0,33.671,28567
2016-02-01,34.03,34.33,33.5,34.09,4758521.0,33.932,30494
2016-02-02,34.06,34.09,33.48,33.86,4891092.0,33.788,26934
2016-02-03,34.7,35.48,33.06,34.17,7874682.0,34.054,51342
2016-02-04,34.23,35.39,33.89,35.07,5593330.0,34.779,34733
2016-02-05,35.06,35.36,34.81,34.97,5564392.0,35.03,32916
2016-02-08,34.5,34.61,33.72,34.36,3631380.0,34.126,24839
2016-02-09,34.01,35.2,33.75,35.13,5176151.0,34.582,34136
2016-02-10,35.27,36.12,34.7,34.78,7095518.0,35.39,41579
2016-02-11,33.85,34.13,32.86,33.12,4959648.0,33.272,30900
2016-02-12,33.57,35.15,33.52,34.16,5796858.0,34.352,32816
2016-02-16,34.55,35.14,34.22,35.1,2941661.0,34.781,15633
2016-02-17,35.3,36.17,35.26,35.58,3789540.0,35.68,23286
2016-02-18,35.54,35.61,35.03,35.32,2527831.0,35.302,16590
2016-02-19,34.81,34.81,33.43,34.01,5101899.0,33.985,29730
2016-02-22,34.43,34.5,34.08,34.35,3448861.0,34.327,19481
2016-02-23,34.18,34.31,33.76,34.19,3286814.0,34.139,19428
2016-02-24,33.99,34.86,33.8,34.71,3109840.0,34.419,19643
2016-02-25,34.78,34.95,34.31,34.79,2618725.0,34.646,14511
2016-02-26,35.0,35.5,34.97,35.24,2933649.0,35.267,19229
2016-02-29,35.2,36.2,35.16,35.7,3365966.0,35.818,20160
2016-03-01,36.02,36.91,35.92,36.64,3135741.0,36.468,19660
2016-03-02,36.45,37.05,36.42,36.78,2697045.0,36.789,16645
2016-03-03,36.8,38.37,36.78,38.31,4518500.0,37.842,25058
2016-03-04,38.23,39.18,38.13,38.73,4134553.0,38.735,23960
2016-03-07,38.65,39.09,38.55,38.92,2261350.0,38.834,13580
2016-03-08,38.74,38.9,37.77,37.83,2845235.0,38.017,17568
2016-03-09,38.09,38.62,37.88,38.55,3041741.0,38.348,17568
2016-03-10,38.78,39.36,38.46,39.25,4718365.0,38.936,29190
2016-03-11,39.8,40.05,39.71,39.9,3627577.0,39.884,20816
2016-03-14,39.98,40.43,39.86,40.01,4932846.0,40.173,25586
2016-03-15,39.82,39.94,39.13,39.47,4325170.0,39.48,27764
2016-03-16,39.35,40.57,39.29,40.39,5133789.0,39.942,28285
2016-03-17,40.31,41.71,40.23,41.27,4364452.0,41.164,25369
2016-03-18,41.91,41.91,40.51,40.94,5072870.0,40.922,26039
2016-03-21,40.95,42.09,40.95,41.46,3999344.0,41.591,24115
2016-03-22,41.22,41.8,40.95,41.28,2879777.0,41.381,17212
2016-03-23,41.18,41.38,40.65,40.71,2298276.0,40.939,14837
2016-03-24,40.5,40.82,40.22,40.79,2021896.0,40.595,12167
2016-03-28,40.9,41.01,40.54,40.86,1894411.0,40.778,12013
2016-03-29,40.77,41.37,40.34,41.34,2651934.0,40.945,17531
2016-03-30,41.45,41.55,40.86,41.0,2632105.0,41.135,16665
2016-03-31,41.0,41.16,40.61,41.04,3441991.0,40.95,20800
2016-04-01,40.75,41.02,40.38,40.97,3358661.0,40.628,20231
2016-04-04,41.02,41.12,40.5,40.56,2648299.0,40.752,16889
2016-04-05,40.09,40.33,39.63,39.87,4044951.0,39.951,22895
2016-04-06,39.8,40.24,39.35,40.2,2605687.0,39.892,16066
2016-04-07,39.85,40.15,39.37,39.6,1970264.0,39.628,13078
2016-04-08,39.93,40.47,39.9,40.22,1890076.0,40.242,12781
2016-04-11,40.41,40.7,40.11,40.18,2266352.0,40.371,15149
2016-04-12,40.35,40.6,39.99,40.52,2055819.0,40.413,12990
2016-04-13,40.86,41.37,40.8,41.32,2239338.0,41.187,12696
2016-04-14,41.4,41.45,40.72,40.99,2025964.0,40.99,12160
2016-04-15,40.9,41.79,40.86,41.72,2601453.0,41.5,13506
2016-04-18,41.54,42.09,41.4,42.02,1986491.0,41.866,11331
2016-04-19,42.08,43.46,42.05,42.92,4318075.0,42.908,23219
2016-04-20,42.96,43.09,42.51,42.55,2052518.0,42.716,11751
2016-04-21,42.92,43.5,42.52,42.57,3038373.0,42.928,16888
2016-04-22,42.73,43.49,42.7,43.36,2282016.0,43.19,13827
2016-04-25,42.86,43.04,42.35,42.85,2944518.0,42.682,18004
2016-04-26,42.95,43.48,42.93,43.37,2648465.0,43.295,16877
2016-04-27,44.06,44.6,43.56,44.18,3650984.0,44.014,21690
2016-04-28,43.65,44.26,43.11,43.57,2256896.0,43.788,14676
2016-04-29,43.5,43.75,43.0,43.27,2769794.0,43.302,18351
2016-05-02,43.3,43.69,42.88,43.46,3409446.0,43.416,20225
2016-05-03,42.72,42.82,41.62,42.18,3992770.0,42.036,23136
2016-05-04,42.0,42.24,41.51,41.77,2234400.0,41.803,15218
2016-05-05,41.95,42.09,41.47,41.5,2278146.0,41.652,15064
2016-05-06,41.46,42.37,41.28,42.1,2554885.0,41.998,16687
2016-05-09,42.19,42.78,42.03,42.52,2652800.0,42.48,16606
2016-05-10,42.62,43.21,42.58,43.09,1993785.0,42.963,12532
2016-05-11,43.08,43.33,42.81,42.81,1663836.0,42.982,10631
2016-05-12,43.31,43.44,42.4,42.6,1831630.0,42.713,12131
2016-05-13,42.51,42.65,41.89,41.97,2264699.0,42.207,12959
2016-05-16,42.01,42.4,41.67,42.21,2554903.0,42.063,16038
2016-05-17,41.75,41.76,40.8,41.19,5305154.0,41.168,30807
2016-05-18,41.08,41.32,40.18,40.29,3921891.0,40.671,23491
2016-05-19,40.2,40.3,39.52,40.26,3327523.0,39.881,19416
2016-05-20,40.5,40.63,40.23,40.43,2179844.0,40.427,12665
2016-05-23,40.53,41.52,40.49,40.93,2764473.0,41.144,15329
2016-05-24,41.24,41.54,41.14,41.42,2574121.0,41.368,14985
2016-05-25,41.18,42.42,41.18,42.13,4400806.0,42.081,23748
2016-05-26,42.17,42.26,41.71,41.84,2134995.0,41.895,13888
2016-05-27,41.92,42.22,41.8,42.09,1341050.0,42.085,8168
2016-05-31,42.3,42.5,41.79,42.16,2101923.0,42.097,12311
2016-06-01,41.95,42.12,41.69,42.11,1709833.0,41.938,10692
2016-06-02,42.15,43.09,42.07,42.9,2526637.0,42.687,16149
2016-06-03,42.9,42.98,42.4,42.93,2128486.0,42.74,13511
2016-06-06,43.0,43.25,42.93,43.12,1588980.0,43.109,10179
2016-06-07,43.2,44.11,43.2,43.91,3414498.0,43.852,19223
2016-06-08,44.12,44.18,43.87,44.11,2414764.0,44.029,14960
2016-06-09,43.9,43.99,43.36,43.59,1423386.0,43.531,8720
2016-06-10,43.35,43.39,42.9,43.18,2046019.0,43.112,12542
2016-06-13,42.92,43.04,41.93,41.98,2874996.0,42.324,18030
2016-06-14,41.78,41.94,41.31,41.73,2599766.0,41.571,16760
2016-06-15,42.0,42.26,41.55,41.59,2080698.0,41.897,13203
2016-06-16,41.37,41.76,40.89,41.73,2451506.0,41.258,14910
2016-06-17,41.72,42.04,41.45,41.96,1873086.0,41.781,11282
2016-06-20,42.45,43.11,42.41,42.68,1839580.0,42.869,11953
2016-06-21,42.85,42.87,42.43,42.45,1269071.0,42.578,8767
2016-06-22,42.53,42.69,42.37,42.37,1188892.0,42.53,8244
2016-06-23,43.02,43.29,42.88,43.29,1310267.0,43.101,9174
2016-06-24,41.52,42.38,41.25,41.37,3113298.0,41.632,18616
2016-06-27,41.0,41.08,39.23,39.64,3491138.0,39.746,21399
2016-06-28,40.0,40.27,39.51,40.26,2306799.0,39.977,15644
2016-06-29,40.83,41.34,40.63,41.17,1907835.0,41.025,12892
2016-06-30,41.31,42.38,40.99,42.38,2170938.0,41.926,14025
2016-07-01,42.7,42.82,42.19,42.71,1605443.0,42.596,11392
2016-07-05,42.3,42.42,41.52,41.76,1399454.0,41.8,9086
2016-07-06,41.69,42.0,41.08,41.96,3034482.0,41.557,19677
2016-07-07,41.95,42.48,41.67,41.9,1906763.0,41.99,12824
2016-07-08,42.27,42.86,42.19,42.75,1866839.0,42.607,11575
2016-07-11,42.72,43.11,42.48,43.03,1692656.0,42.89,9858
2016-07-12,43.32,44.22,43.28,44.17,2386406.0,43.962,14020
2016-07-13,44.19,44.4,43.85,44.24,2403515.0,44.104,14033
2016-07-14,44.5,44.68,43.98,44.05,2402092.0,44.148,14757
2016-07-15,44.56,45.97,44.41,45.47,4667399.0,45.491,24689
2016-07-18,45.49,45.63,45.11,45.53,1747886.0,45.423,11258
2016-07-19,45.44,45.65,44.81,44.97,2455197.0,45.079,14565
2016-07-20,45.01,45.47,44.89,45.01,2132150.0,45.155,12288
2016-07-21,45.07,45.32,44.72,44.88,1470787.0,44.964,9337
2016-07-22,44.94,45.22,44.75,45.12,1253591.0,45.06,7114
2016-07-25,45.04,45.14,44.7,45.12,1101194.0,44.967,7156
2016-07-26,45.19,45.71,45.04,45.68,1373414.0,45.436,8391
2016-07-27,45.68,45.86,45.1,45.59,2523639.0,45.445,16970
2016-07-28,45.5,46.28,44.93,45.73,2805685.0,45.813,18375
2016-07-29,45.57,45.89,45.28,45.81,1678464.0,45.699,10097
2016-08-01,45.76,45.88,45.17,45.5,1636063.0,45.419,10880
2016-08-02,45.39,45.65,45.22,45.39,1734504.0,45.395,10393
2016-08-03,45.38,45.82,45.16,45.74,1125193.0,45.568,7774
2016-08-04,45.85,46.38,45.72,45.82,1788211.0,46.017,11017
2016-08-05,46.11,46.47,45.89,45.98,1400886.0,46.072,8965
2016-08-08,45.93,46.34,45.84,46.18,1787882.0,46.119,11879
2016-08-09,46.2,46.5,46.01,46.06,915764.0,46.154,5714
2016-08-10,46.07,47.39,46.07,46.79,3592010.0,46.758,22017
2016-08-11,46.46,47.02,46.46,46.93,2324431.0,46.796,13796
2016-08-12,46.84,47.02,46.3,46.5,1889382.0,46.553,10940
2016-08-15,46.5,46.88,46.32,46.32,1574059.0,46.557,10053
2016-08-16,46.45,47.48,46.43,46.66,2516287.0,47.014,14883
2016-08-17,46.76,47.33,46.72,47.31,2125503.0,47.027,14807
2016-08-18,47.29,47.7,47.25,47.61,1892602.0,47.482,13218
2016-08-19,47.33,47.58,46.86,47.46,1515744.0,47.361,8342
2016-08-22,47.14,47.14,46.08,46.56,3073171.0,46.413,18205
2016-08-23,46.9,47.23,46.7,46.96,1455676.0,47.057,9001
2016-08-24,47.0,47.0,46.48,46.56,1187064.0,46.694,7228
