date,open,high,low,close,volume,average,barCount
2017-05-12,21.25,21.3,20.27,21.1,10785846.0,20.979,38430
2017-05-15,21.01,22.3,21.01,22.02,3207353.0,21.92,18085
2017-05-16,22.19,22.41,22.05,22.1,1253806.0,22.253,6564
2017-05-17,22.15,22.51,21.67,22.1,1521274.0,22.156,8132
2017-05-18,22.19,23.63,21.98,22.5,2710625.0,22.797,15050
2017-05-19,22.56,23.49,22.32,22.72,1197666.0,22.962,6860
2017-05-22,22.8,23.09,22.52,22.89,365700.0,22.748,2276
2017-05-23,22.99,23.61,22.65,23.45,664479.0,23.33,4073
2017-05-24,23.54,23.6,23.01,23.35,370923.0,23.376,2299
2017-05-25,23.42,23.82,22.31,22.51,1042004.0,22.926,4992
2017-05-26,22.55,23.24,22.35,23.03,681980.0,22.998,5090
2017-05-30,23.0,23.29,22.59,22.95,800796.0,22.822,3446
2017-05-31,22.97,23.18,22.67,22.93,443166.0,22.962,2794
2017-06-01,22.91,23.44,22.81,22.93,442965.0,23.087,3266
2017-06-02,22.89,23.1,22.6,22.65,513222.0,22.818,3398
2017-06-05,22.61,22.91,21.92,22.63,386475.0,22.422,2767
2017-06-06,21.83,22.71,21.83,22.29,1046553.0,22.356,4585
2017-06-07,22.4,22.79,21.57,21.76,692813.0,22.015,4356
2017-06-08,21.75,21.93,21.61,21.65,395697.0,21.714,2597
2017-06-09,21.68,22.82,21.68,22.49,533796.0,22.454,3480
2017-06-12,22.46,23.58,21.89,23.03,758308.0,22.945,5092
2017-06-13,22.99,24.24,22.8,23.49,831520.0,23.544,4981
2017-06-14,23.57,23.71,22.55,23.25,1861064.0,23.152,8110
2017-06-15,23.08,24.55,22.77,22.99,1108982.0,23.43,7238
2017-06-16,23.0,24.0,23.0,23.92,1083234.0,23.589,6897
2017-06-19,24.06,24.21,23.54,23.92,396573.0,23.861,2862
2017-06-20,23.72,23.72,22.21,22.62,927087.0,22.625,4972
2017-06-21,22.54,22.75,20.63,20.72,1168114.0,21.344,6301
2017-06-22,20.72,21.07,19.91,21.06,1181267.0,20.589,5738
2017-06-23,21.03,21.11,20.24,20.47,1333171.0,20.48,7664
2017-06-26,20.42,21.05,20.08,20.5,698923.0,20.523,5022
2017-06-27,20.56,21.63,20.42,21.29,871718.0,21.294,5609
2017-06-28,21.28,21.64,21.14,21.27,546483.0,21.357,2946
2017-06-29,21.33,21.54,21.04,21.43,734711.0,21.381,4409
2017-06-30,21.54,21.74,21.24,21.61,199964.0,21.484,1404
2017-07-03,21.75,22.4,21.39,22.34,343614.0,22.052,2638
2017-07-05,22.38,22.41,21.76,21.82,665026.0,22.068,4888
2017-07-06,21.61,21.61,20.89,20.97,1066310.0,21.118,6627
2017-07-07,20.99,21.22,20.58,20.67,858586.0,20.823,5620
2017-07-10,20.63,21.48,20.55,21.34,745525.0,21.169,4705
2017-07-11,21.23,21.8,21.02,21.73,555792.0,21.479,3459
2017-07-12,21.78,22.34,21.73,22.13,1010887.0,22.046,4876
2017-07-13,22.11,22.26,21.86,22.06,906233.0,22.048,3594
2017-07-14,22.13,22.29,21.99,22.08,171889.0,22.08,1156
2017-07-17,22.06,23.12,21.92,22.97,1219236.0,22.815,7614
2017-07-18,22.83,23.21,22.81,23.04,844628.0,23.038,4542
2017-07-19,23.03,23.42,23.0,23.42,689238.0,23.271,2156
2017-07-20,23.41,23.62,23.0,23.55,372456.0,23.373,2018
