date,open,high,low,close,volume,average,barCount
2015-10-12,34.19,34.27,33.57,33.81,710968.0416899078,33.775054278,4772
2015-10-13,33.59,34.25,33.57,33.79,1254408.136646489,33.927953633,7173
2015-10-14,33.67,34.06,33.48,33.6,1175212.3153168308,33.772574829,6436
2015-10-15,33.61,33.76,32.78,33.53,1265059.2934155937,33.292388206,8184
2015-10-16,33.45,33.63,32.06,32.5,1566109.6477483509,32.413836777,8573
2015-10-19,32.19,32.65,32.14,32.29,1101417.6940118552,32.351850552,6367
2015-10-20,32.1,33.08,32.09,32.51,1516310.6803164738,32.713023623,9308
2015-10-21,32.65,32.79,32.13,32.17,865691.1273432123,32.401439532,5976
2015-10-22,32.31,32.92,32.21,32.38,1038707.3902306522,32.513014737,6827
2015-10-23,32.59,33.03,32.46,32.85,1069103.6597243985,32.884932087,6917
2015-10-26,32.78,33.02,32.65,32.79,598451.5107993752,32.839475522,3488
2015-10-27,32.43,32.68,31.23,31.3,1413034.5088767707,31.631983859,7103
2015-10-28,31.47,32.54,31.41,32.14,1281612.567953606,32.086549509,8271
2015-10-29,31.98,32.44,31.92,32.27,738679.4404724599,32.165891877,4871
2015-10-30,32.36,33.37,32.27,33.18,1245349.2691319727,33.015516401,7710
2015-11-02,33.16,34.14,33.13,34.08,776341.4371499475,33.697364876,4715
2015-11-03,34.11,34.63,33.81,34.37,881772.52284681,34.306482847,5565
2015-11-04,34.39,34.61,34.16,34.36,704149.9946157393,34.375080936,4569
2015-11-05,34.25,34.76,34.01,34.58,726156.4968668444,34.475911862,4468
2015-11-06,34.22,34.5,33.79,34.06,730123.9105946524,33.991592824,4687
2015-11-09,34.03,34.13,33.31,33.97,1162299.7690212626,33.713068053,6641
2015-11-10,33.96,34.5,33.65,34.3,834020.7844565468,34.07589409,5282
2015-11-11,34.47,34.47,34.03,34.34,512212.59239452,34.233752343,3417
2015-11-12,33.92,34.21,33.41,33.41,874939.9564177365,33.722985849,5510
2015-11-13,33.52,34.09,33.41,33.65,1046578.0905354377,33.710588604,6561
2015-11-16,33.56,34.3,33.42,34.27,758253.9507769671,33.971757232,4946
2015-11-17,34.27,34.48,33.62,33.83,957632.5223870305,33.875058721,6063
2015-11-18,33.98,34.6,33.89,34.57,894515.6766684857,34.392437079,5843
2015-11-19,34.49,35.36,34.46,35.32,1464367.688143616,34.92717158,8940
2015-11-20,35.37,35.45,34.91,35.03,1748339.6512692943,35.120568602,9758
2015-11-23,33.44,36.08,33.39,35.99,2697653.7932419665,35.345371978,14866
2015-11-24,35.95,36.87,35.91,36.34,2595669.844388814,36.395005388,13474
2015-11-25,36.32,36.39,35.7,35.75,1213265.124630513,36.012343759,7654
2015-11-27,35.75,36.22,35.66,35.93,633070.4926780104,35.942919187,3757
2015-11-30,36.03,36.48,35.58,36.48,1263828.77808739,36.175987393,7563
2015-12-01,36.46,37.3,36.36,37.16,1330177.390218553,36.980155352,8056
2015-12-02,37.13,37.53,36.32,36.48,1237628.602161206,36.91899561,7011
2015-12-03,36.65,37.26,36.43,36.97,1853003.6310486728,36.870233113,10067
2015-12-04,36.81,37.32,36.44,36.86,1649462.8443658252,36.985940733,10141
2015-12-07,36.58,36.9,36.13,36.28,1381535.9783564818,36.509886525,8140
2015-12-08,35.7,35.91,34.89,35.56,1451520.4789451207,35.560257558,8492
2015-12-09,35.53,36.15,35.17,35.35,1133345.7554480857,35.594143361,6924
2015-12-10,35.41,35.62,35.26,35.33,714998.3726223045,35.416449516,4883
2015-12-11,34.85,35.22,34.54,34.6,936751.2701410678,34.807331545,4935
2015-12-14,34.56,34.6,34.08,34.46,917463.5170959355,34.295738568,5606
2015-12-15,34.79,35.08,34.56,34.84,878466.9497134243,34.80319913,5346
2015-12-16,35.02,35.35,34.58,35.18,1316875.2412330322,34.946180689,8238
2015-12-17,35.21,35.21,34.28,34.38,647039.3220429218,34.575089822,4229
2015-12-18,34.21,34.44,33.7,33.7,884255.3325355756,33.992419307,5325
2015-12-21,33.87,34.19,33.59,33.84,1209578.4184308692,33.789930972,7263
