date,open,high,low,close,volume,average,barCount
2015-10-13,25.82,26.09,25.66,25.93,3567385.0,25.948,18062
2015-10-14,26.0,26.0,25.22,25.26,3612798.0,25.566,19389
2015-10-15,25.26,25.46,25.14,25.42,5307006.0,25.275,25220
2015-10-16,25.43,25.87,25.43,25.84,2628527.0,25.733,14195
2015-10-19,25.81,26.2,25.75,26.18,2345437.0,26.048,13936
2015-10-20,26.16,26.26,25.96,26.08,2150229.0,26.108,11299
2015-10-21,26.26,26.33,25.87,25.91,1881932.0,26.057,10974
2015-10-22,26.13,26.41,26.0,26.39,2175323.0,26.272,13119
2015-10-23,26.38,26.49,26.09,26.32,1809374.0,26.292,11015
2015-10-26,26.38,26.53,26.23,26.52,1771326.0,26.39,10888
2015-10-27,26.49,26.88,25.81,26.85,2615075.0,26.725,14640
2015-10-28,26.86,27.24,26.58,27.1,3398245.0,27.01,19104
2015-10-29,26.95,27.22,26.87,27.11,2155779.0,27.061,12897
2015-10-30,27.16,27.2,26.71,26.77,2401028.0,26.841,14327
2015-11-02,26.71,27.33,26.69,27.31,2305883.0,27.141,13983
2015-11-03,27.11,27.25,26.96,27.17,1570372.0,27.128,9893
2015-11-04,27.25,27.25,26.8,26.9,1869049.0,26.983,12268
2015-11-05,26.08,27.0,25.69,26.94,2314703.0,26.786,13201
2015-11-06,26.56,26.56,25.89,26.15,2757914.0,26.117,17307
2015-11-09,25.95,26.15,25.31,25.52,2932500.0,25.512,17478
2015-11-10,25.53,25.9,25.43,25.83,1759363.0,25.762,10961
2015-11-11,25.96,26.21,25.81,26.12,2333114.0,26.04,12425
2015-11-12,26.01,26.23,25.78,25.9,2064714.0,25.913,12243
2015-11-13,25.95,26.02,25.46,25.49,2241451.0,25.619,13607
2015-11-16,25.48,25.8,25.26,25.79,1583364.0,25.624,9172
2015-11-17,25.6,26.11,25.52,25.89,1319552.0,25.913,8319
2015-11-18,26.0,26.27,25.7,26.25,1677726.0,26.039,10797
2015-11-19,26.34,26.47,26.2,26.33,1386616.0,26.341,9578
2015-11-20,26.46,26.7,26.38,26.51,2888783.0,26.524,11860
2015-11-23,26.55,26.57,26.14,26.19,3004980.0,26.308,17590
2015-11-24,26.07,26.22,25.87,26.08,3488641.0,26.029,14709
2015-11-25,26.09,26.18,25.89,26.1,2502041.0,26.077,14032
2015-11-27,26.09,26.46,26.05,26.38,808802.0,26.327,5799
2015-11-30,26.45,26.5,26.04,26.09,2501944.0,26.202,14119
2015-12-01,26.3,26.67,26.18,26.65,2412616.0,26.481,15507
2015-12-02,26.55,26.55,25.91,25.98,2332977.0,26.207,14654
2015-12-03,25.89,25.98,25.11,25.27,4682385.0,25.369,25642
2015-12-04,25.48,25.86,25.34,25.6,5193585.0,25.557,29067
2015-12-07,25.63,25.85,25.47,25.59,3374754.0,25.611,21223
2015-12-08,25.53,25.62,25.24,25.46,3520745.0,25.432,20041
2015-12-09,25.27,25.78,25.17,25.48,2136045.0,25.53,13483
2015-12-10,25.56,25.68,25.2,25.22,2899173.0,25.329,16053
2015-12-11,25.0,25.34,24.98,25.13,3755766.0,25.162,19976
2015-12-14,24.99,25.31,24.98,25.28,3577579.0,25.142,23375
2015-12-15,25.56,26.1,25.5,25.86,4240979.0,25.874,24301
2015-12-16,26.16,26.54,26.08,26.42,2736716.0,26.334,16569
2015-12-17,26.45,26.54,26.02,26.21,2696149.0,26.192,13918
2015-12-18,26.02,26.2,25.78,25.78,3792054.0,25.944,17936
2015-12-21,26.08,26.14,25.86,26.09,2630597.0,26.028,15601
2015-12-22,26.14,26.28,26.03,26.12,1949391.0,26.166,10656
2015-12-23,26.25,26.52,26.1,26.49,2036118.0,26.381,11481
2015-12-24,26.49,26.57,26.31,26.48,803409.0,26.497,5523
2015-12-28,26.38,26.68,26.35,26.66,2089408.0,26.568,11891
2015-12-29,26.82,27.13,26.67,26.97,1896370.0,26.999,11629
2015-12-30,26.71,26.83,26.6,26.69,1289205.0,26.763,7607
2015-12-31,26.67,26.78,26.45,26.46,1867633.0,26.615,11278
2016-01-04,26.17,26.19,25.51,25.75,3285441.0,25.755,20514
2016-01-05,25.86,26.68,25.76,26.56,2295677.0,26.377,13685
2016-01-06,26.33,26.65,26.27,26.32,4062494.0,26.439,17870
2016-01-07,25.85,26.1,25.65,25.66,3947629.0,25.858,19661
2016-01-08,25.8,25.9,25.17,25.22,2799328.0,25.546,16502
2016-01-11,25.28,25.72,25.27,25.62,2863169.0,25.465,16053
2016-01-12,25.89,26.01,25.23,25.51,3755232.0,25.422,20240
2016-01-13,25.56,25.98,25.18,25.21,3062980.0,25.513,18864
2016-01-14,25.39,25.55,25.15,25.28,2541881.0,25.358,13280
2016-01-15,24.84,25.47,24.75,25.4,4082715.0,25.252,22778
2016-01-19,25.74,25.87,25.59,25.71,2660690.0,25.74,17019
2016-01-20,25.32,25.72,24.85,25.35,4992944.0,25.149,27990
2016-01-21,25.57,26.32,25.35,26.0,6088901.0,25.939,29068
2016-01-22,26.38,26.84,26.27,26.58,3916215.0,26.571,21913
2016-01-25,26.6,26.87,26.18,26.19,3107028.0,26.397,17472
2016-01-26,26.22,26.75,26.22,26.74,2666448.0,26.615,16046
2016-01-27,26.58,26.72,26.26,26.44,2007548.0,26.502,14723
2016-01-28,26.67,26.78,26.36,26.44,2354005.0,26.567,14984
2016-01-29,26.69,27.21,26.49,27.19,3751541.0,26.998,19664
2016-02-01,26.99,27.58,26.75,27.29,3734646.0,27.339,20449
2016-02-02,27.16,27.35,27.05,27.18,3404488.0,27.203,19817
2016-02-03,27.97,28.08,27.43,27.74,4595138.0,27.665,29375
2016-02-04,27.64,27.93,27.53,27.81,2808767.0,27.797,17298
2016-02-05,27.81,27.81,27.45,27.57,2977129.0,27.587,16917
2016-02-08,27.57,27.68,26.35,26.86,3202082.0,26.778,20194
2016-02-09,26.67,27.29,26.58,27.02,3102314.0,26.948,20400
2016-02-10,27.15,27.36,26.7,26.74,3535416.0,27.024,19837
2016-02-11,26.36,26.54,26.05,26.28,3074731.0,26.341,19233
2016-02-12,26.58,26.67,26.12,26.29,3446790.0,26.321,18943
2016-02-16,26.66,26.8,26.24,26.52,3434405.0,26.438,19514
