date,open,high,low,close,volume,average,barCount
2015-10-12,18.68,18.7,18.06,18.35,1744843.0,18.33,8360
2015-10-13,18.14,18.34,17.83,17.9,1809771.0,18.024,7971
2015-10-14,18.0,18.13,17.56,17.61,2060208.0,17.803,8167
2015-10-15,17.7,17.82,17.42,17.7,3876683.0,17.601,12964
2015-10-16,17.8,17.86,17.58,17.8,2522030.0,17.717,8431
2015-10-19,17.8,17.8,17.22,17.23,3000171.0,17.381,12459
2015-10-20,17.25,17.35,16.91,16.97,2081586.0,17.092,7870
2015-10-21,17.04,17.29,17.0,17.05,1602787.0,17.119,6630
2015-10-22,17.21,17.55,17.14,17.39,1789926.0,17.423,7630
2015-10-23,17.64,18.0,17.57,17.79,1980723.0,17.837,8465
2015-10-26,17.8,17.92,17.66,17.77,2430819.0,17.746,11054
2015-10-27,17.69,17.85,17.24,17.6,1710966.0,17.464,7531
2015-10-28,15.97,17.23,15.89,16.85,13953533.0,16.777,53922
2015-10-29,16.5,17.97,16.14,17.3,10429965.0,17.208,36507
2015-10-30,17.38,17.77,16.95,17.15,5851415.0,17.319,21871
2015-11-02,17.33,18.79,17.3,18.33,7938126.0,18.24,33115
2015-11-03,18.29,19.14,18.16,18.9,5118877.0,18.943,20738
2015-11-04,18.75,18.79,17.96,18.45,4872443.0,18.233,20288
2015-11-05,18.72,19.2,18.64,18.88,4806296.0,18.886,17759
2015-11-06,18.89,19.09,18.48,18.99,3950023.0,18.883,15919
2015-11-09,18.95,18.95,18.01,18.21,2315428.0,18.319,11708
2015-11-10,18.21,18.54,17.76,18.04,2387560.0,18.05,11330
2015-11-11,18.13,18.15,17.78,18.02,2401383.0,18.02,11325
2015-11-12,17.99,18.21,17.86,17.9,2712373.0,18.015,12083
2015-11-13,17.84,18.23,17.43,17.63,2108345.0,17.589,9081
2015-11-16,17.5,17.8,17.36,17.65,1991706.0,17.555,9526
2015-11-17,17.68,17.8,17.13,17.27,3136157.0,17.421,15524
2015-11-18,17.38,17.68,17.29,17.48,2124039.0,17.474,9702
2015-11-19,17.5,17.84,17.44,17.54,2148023.0,17.608,9328
2015-11-20,17.6,17.69,17.41,17.45,2412069.0,17.514,11761
2015-11-23,17.46,17.6,17.02,17.1,2446488.0,17.278,10133
2015-11-24,17.0,17.1,16.89,17.03,2211297.0,17.007,9890
2015-11-25,17.09,17.22,16.96,17.09,1992865.0,17.074,8013
2015-11-27,17.1,17.2,16.95,17.1,580885.0,17.048,2446
2015-11-30,17.1,17.14,16.85,16.91,2231541.0,16.95,8703
2015-12-01,17.02,17.08,16.74,16.92,2609701.0,16.856,11275
2015-12-02,16.91,16.97,16.53,16.58,2132124.0,16.69,10170
2015-12-03,16.68,16.75,16.18,16.38,3370410.0,16.366,15955
2015-12-04,16.38,16.63,16.15,16.33,3537084.0,16.379,16128
