date,open,high,low,close,volume,average,barCount
2015-10-12,114.54,115.88,114.52,115.43,708642.0,115.4,5722
2015-10-13,114.98,115.63,114.83,115.05,707560.0,115.169,5943
2015-10-14,115.12,115.41,114.36,114.71,800539.0,114.751,6591
2015-10-15,115.42,116.27,115.24,116.13,1067387.0,115.783,8678
2015-10-16,116.84,117.48,116.38,117.28,886723.0,117.068,6119
2015-10-19,117.0,117.52,116.5,117.45,1061877.0,117.093,6861
2015-10-20,117.2,117.46,116.52,117.22,1489894.0,117.014,11636
2015-10-21,117.61,120.0,117.01,118.09,1818696.0,118.68,13673
2015-10-22,118.92,121.16,118.1,120.8,2075667.0,120.585,14633
2015-10-23,121.69,122.73,120.63,121.24,1604351.0,121.307,12331
2015-10-26,121.3,121.82,120.78,121.34,1010516.0,121.311,8335
2015-10-27,120.87,121.38,120.36,121.04,706207.0,120.828,5549
2015-10-28,121.49,121.5,119.53,120.86,812058.0,120.567,6369
2015-10-29,120.55,122.13,120.17,121.77,815861.0,121.452,6282
2015-10-30,121.72,121.97,119.71,119.71,1522702.0,120.676,12077
2015-11-02,120.61,121.59,120.42,121.56,1185197.0,121.109,9251
2015-11-03,120.86,121.42,120.02,121.03,761560.0,120.822,6304
2015-11-04,121.28,121.28,119.55,119.86,1011932.0,119.99,8086
2015-11-05,119.99,120.15,119.02,119.88,1348935.0,119.633,10491
2015-11-06,119.28,119.65,117.14,118.58,1053104.0,118.082,8497
2015-11-09,117.99,118.58,117.43,118.02,731808.0,117.864,5842
2015-11-10,117.81,119.2,117.5,118.92,660066.0,118.846,5595
2015-11-11,119.22,119.99,118.92,119.36,644573.0,119.709,5015
2015-11-12,118.7,119.28,117.44,117.69,673276.0,118.086,5692
2015-11-13,117.62,118.32,116.97,117.32,940632.0,117.465,7115
2015-11-16,117.32,119.69,117.13,119.53,1187342.0,118.925,9433
2015-11-17,119.69,120.16,118.81,119.18,1129490.0,119.495,8869
2015-11-18,119.34,121.13,118.97,120.94,1017985.0,120.372,7763
2015-11-19,121.26,122.48,121.2,121.66,852263.0,121.824,6687
2015-11-20,122.4,122.97,120.08,120.23,1298346.0,121.122,9202
2015-11-23,120.37,121.83,120.32,121.59,643135.0,121.425,4967
2015-11-24,120.77,121.52,120.38,121.11,709136.0,121.088,5727
2015-11-25,121.12,121.53,120.26,120.47,736945.0,120.717,5810
2015-11-27,120.77,121.08,120.31,120.85,342122.0,120.811,2934
2015-11-30,121.06,121.13,119.05,119.15,1111967.0,119.773,8648
2015-12-01,120.0,121.94,119.32,121.13,1256849.0,120.878,10569
2015-12-02,120.26,121.22,119.56,119.77,886035.0,120.393,6955
2015-12-03,120.28,120.56,117.52,118.25,1396806.0,118.518,10599
2015-12-04,119.16,121.37,118.76,121.3,1710139.0,120.547,13516
2015-12-07,121.15,122.15,120.8,122.11,1402257.0,121.437,11455
2015-12-08,121.08,121.98,120.1,121.56,1079139.0,121.353,7960
2015-12-09,120.63,122.77,119.83,120.28,899726.0,121.016,7017
2015-12-10,120.39,121.45,119.77,120.33,1110731.0,120.622,9060
2015-12-11,119.18,119.68,118.57,119.2,813330.0,119.188,6293
