date,open,high,low,close,volume,average,barCount
2015-10-13,32.03,32.28,31.45,31.48,10325632.0,31.818,47595
2015-10-14,31.42,31.81,31.19,31.73,9192227.0,31.508,46584
2015-10-15,31.86,32.32,31.18,32.23,7604015.0,31.821,39450
2015-10-16,32.57,32.79,31.78,32.21,8722820.0,32.151,41711
2015-10-19,31.68,32.11,31.13,31.72,9288926.0,31.524,44459
2015-10-20,31.5,32.04,31.32,31.93,7934342.0,31.781,42673
2015-10-21,31.94,32.2,31.31,31.42,10235142.0,31.69,52373
2015-10-22,29.64,30.32,28.92,29.75,38747380.0,29.564,159813
2015-10-23,29.72,29.75,28.96,29.23,18121545.0,29.321,82643
2015-10-26,28.08,28.54,27.48,27.56,37807047.0,27.969,153118
2015-10-27,27.3,27.52,26.96,27.28,24317389.0,27.293,100158
2015-10-28,27.35,27.8,27.27,27.74,21237965.0,27.626,80876
2015-10-29,27.25,27.55,27.07,27.2,13427304.0,27.258,61329
2015-10-30,27.34,27.49,26.6,27.35,16952063.0,27.089,74407
2015-11-02,26.28,27.12,26.28,26.62,23762907.0,26.773,93852
2015-11-03,26.66,27.78,26.43,27.51,18545801.0,27.201,74256
2015-11-04,27.52,27.64,26.45,26.81,20140821.0,26.966,82593
2015-11-05,26.8,27.0,25.57,25.91,20935640.0,26.092,87661
2015-11-06,25.66,26.09,25.2,26.06,21808983.0,25.586,90524
2015-11-09,26.14,26.3,25.4,25.56,13625400.0,25.669,60102
2015-11-10,25.55,25.76,25.31,25.45,12253754.0,25.479,54067
2015-11-11,25.41,25.48,24.23,24.4,22494617.0,24.525,84354
2015-11-12,24.15,24.15,23.39,23.46,24605001.0,23.76,95838
2015-11-13,23.45,23.81,22.57,23.35,24410339.0,23.199,98763
2015-11-16,23.35,24.07,23.3,24.03,19035393.0,23.732,74516
2015-11-17,24.05,24.07,23.11,23.36,16811529.0,23.504,67915
2015-11-18,23.48,24.33,23.47,24.3,22978512.0,24.017,94651
2015-11-19,24.2,24.31,23.46,23.66,14430179.0,23.75,57607
2015-11-20,23.7,23.91,23.35,23.39,18064213.0,23.591,71235
2015-11-23,23.48,24.09,23.27,23.67,16594056.0,23.767,61612
2015-11-24,23.69,24.43,23.62,24.41,22601661.0,24.172,86643
2015-11-25,24.3,24.62,24.0,24.1,15206848.0,24.155,60478
2015-11-27,24.0,24.09,23.8,23.87,6890577.0,23.941,26808
2015-11-30,23.82,23.99,23.51,23.57,17505315.0,23.703,69711
2015-12-01,23.6,23.62,22.36,22.42,27727603.0,22.746,97658
2015-12-02,22.18,22.19,20.39,20.66,64059023.0,20.866,214818
2015-12-03,20.61,20.66,19.14,19.26,70931374.0,19.802,225376
2015-12-04,18.91,19.0,16.56,16.82,143549010.0,17.633,425413
2015-12-07,15.66,16.59,15.13,16.42,127058144.0,15.825,349344
2015-12-08,15.29,16.16,15.06,15.72,141832552.0,15.582,403196
2015-12-09,16.02,17.35,15.9,16.81,169713846.0,16.672,532324
2015-12-10,16.55,17.45,16.5,17.01,73479463.0,17.039,227995
2015-12-11,16.48,17.08,16.03,16.66,81421099.0,16.552,270851
2015-12-14,16.31,16.49,15.5,16.0,67172079.0,15.981,223080
2015-12-15,16.1,16.47,15.81,15.84,44131875.0,16.017,162661
2015-12-16,15.73,16.22,15.64,15.94,39376228.0,15.951,145641
2015-12-17,15.86,15.94,15.11,15.37,40738565.0,15.392,148124
2015-12-18,15.37,15.61,15.01,15.14,44728559.0,15.242,159189
2015-12-21,15.07,15.18,14.22,15.14,39869295.0,14.895,141853
2015-12-22,15.03,15.92,15.03,15.32,31984460.0,15.484,107384
2015-12-23,15.57,16.59,15.52,16.41,46317352.0,16.268,141235
2015-12-24,16.34,16.66,15.92,16.08,15650777.0,16.157,51913
2015-12-28,15.79,15.83,15.16,15.26,25925478.0,15.381,89424
2015-12-29,15.45,15.75,14.91,15.1,29627833.0,15.164,95143
2015-12-30,14.6,15.15,14.47,14.54,33539800.0,14.686,99747
2015-12-31,14.4,15.05,14.39,14.92,27292114.0,14.823,81987
