date,open,high,low,close,volume,average,barCount
2015-10-13,118.31,119.93,118.14,118.57,222457.0,118.937,1926
2015-10-14,118.42,118.88,116.83,116.95,214525.0,117.58,1801
2015-10-15,117.28,118.01,116.3,117.82,302531.0,117.306,2672
2015-10-16,117.28,117.92,116.63,117.76,323519.0,117.34,2833
2015-10-19,117.0,125.11,115.02,124.71,1050429.0,121.323,8507
2015-10-20,124.79,127.38,123.6,124.15,440746.0,125.347,3798
2015-10-21,125.0,126.95,124.57,125.05,484432.0,125.822,4035
2015-10-22,125.47,128.48,125.21,127.78,493780.0,127.064,4002
2015-10-23,128.27,129.94,127.66,127.91,343719.0,128.463,2899
2015-10-26,128.0,130.34,127.43,129.43,355271.0,129.251,2704
2015-10-27,129.27,129.43,126.21,127.08,474136.0,127.421,3819
2015-10-28,127.55,131.52,127.28,131.16,361672.0,130.228,2884
2015-10-29,130.79,131.79,128.52,130.37,376807.0,130.124,2697
2015-10-30,130.43,134.34,130.43,132.81,392347.0,133.016,3068
2015-11-02,133.15,135.21,132.73,134.41,247141.0,134.433,2093
2015-11-03,134.29,135.55,133.12,134.68,255322.0,134.725,2062
2015-11-04,134.75,135.73,133.97,135.37,252317.0,135.177,1924
2015-11-05,135.36,136.9,133.68,136.29,330000.0,135.589,2192
2015-11-06,136.21,136.81,134.84,135.43,211040.0,135.827,1651
2015-11-09,134.61,135.6,132.34,133.47,354936.0,133.681,2736
2015-11-10,133.25,135.37,133.04,134.93,291043.0,134.375,1976
2015-11-11,134.16,136.24,133.62,135.24,247815.0,135.291,2066
2015-11-12,134.18,135.51,133.33,133.62,213712.0,134.329,1776
2015-11-13,133.71,134.98,132.75,133.33,163384.0,133.724,1437
2015-11-16,133.27,135.58,133.01,135.11,141507.0,134.458,1302
2015-11-17,135.46,136.34,134.07,134.17,203316.0,134.999,1680
2015-11-18,134.81,136.94,134.39,136.74,188882.0,135.94,1596
2015-11-19,136.05,137.18,134.93,136.5,143324.0,136.463,1174
2015-11-20,136.74,137.24,135.76,136.31,169078.0,136.451,1397
2015-11-23,136.71,138.57,136.15,136.69,248631.0,137.057,1991
2015-11-24,135.84,137.11,135.2,136.61,152599.0,136.373,1298
2015-11-25,136.56,138.48,135.93,136.87,117370.0,136.576,972
2015-11-27,136.79,138.26,136.55,137.63,48316.0,137.684,386
2015-11-30,137.91,137.95,135.27,135.92,417827.0,135.974,2495
2015-12-01,136.93,138.32,135.45,137.79,147085.0,137.241,1249
2015-12-02,137.81,138.13,134.95,135.45,227101.0,136.197,1935
2015-12-03,136.06,136.44,133.28,133.5,353891.0,134.6,2816
2015-12-04,133.71,136.37,133.37,136.33,471102.0,134.619,3415
2015-12-07,135.23,137.67,134.41,137.46,274533.0,136.575,2213
