date,open,high,low,close,volume,average,barCount
2015-10-12,6.65,6.71,6.61,6.65,6350430.0,6.6562,4781
2015-10-13,6.58,6.64,6.46,6.46,13053770.0,6.5387,10644
2015-10-14,6.46,6.83,6.41,6.73,29023050.0,6.6874,19822
2015-10-15,6.78,6.84,6.6,6.75,18746760.0,6.7125,14469
2015-10-16,6.75,6.84,6.65,6.83,15836640.0,6.7918,10522
2015-10-19,6.78,6.9,6.71,6.76,11885000.0,6.8013,10155
2015-10-20,6.66,7.2,6.65,7.0,48837400.0,6.9249,31138
2015-10-21,7.32,7.74,7.05,7.08,138497100.0,7.3849,90720
2015-10-22,7.18,7.44,7.1,7.26,56335250.0,7.265,41654
2015-10-23,7.41,7.5,7.28,7.46,40182790.0,7.4136,29551
2015-10-26,7.41,7.51,7.34,7.51,26228920.0,7.439,21401
2015-10-27,7.48,7.55,7.46,7.51,27079380.0,7.4984,18217
2015-10-28,7.57,7.62,7.42,7.57,29767070.0,7.545,19763
2015-10-29,7.5,7.6,7.47,7.58,17724720.0,7.5547,13473
2015-10-30,7.58,7.68,7.52,7.66,16738820.0,7.6168,11744
2015-11-02,7.68,7.71,7.59,7.66,20694300.0,7.6488,13936
2015-11-03,7.66,7.67,7.55,7.63,21534700.0,7.6033,13179
2015-11-04,7.68,7.7,7.58,7.7,20510910.0,7.6543,13731
2015-11-05,7.72,7.8,7.58,7.71,26463170.0,7.6729,15995
2015-11-06,7.71,7.75,7.58,7.69,19119910.0,7.6661,12943
2015-11-09,7.66,7.72,7.6,7.7,18088300.0,7.6656,11544
2015-11-10,7.67,7.74,7.6,7.64,17513370.0,7.6673,12585
2015-11-11,7.66,7.76,7.59,7.68,11137060.0,7.6847,8286
2015-11-12,7.61,7.65,7.5,7.54,15612510.0,7.5902,10673
2015-11-13,7.58,7.65,7.55,7.56,24827270.0,7.5899,17139
2015-11-16,7.53,7.75,7.5,7.74,16341080.0,7.6334,12771
2015-11-17,7.74,7.87,7.7,7.78,15600140.0,7.7909,10415
2015-11-18,7.75,7.85,7.72,7.84,11306670.0,7.8193,8736
2015-11-19,7.84,7.87,7.75,7.79,16521370.0,7.8139,11132
2015-11-20,7.85,7.9,7.79,7.84,10508880.0,7.8397,7151
2015-11-23,7.83,7.85,7.68,7.7,11021120.0,7.7437,8765
2015-11-24,7.69,7.77,7.65,7.73,9611040.0,7.7209,8138
2015-11-25,7.73,7.77,7.68,7.73,7386590.0,7.7354,5960
2015-11-27,7.75,7.8,7.71,7.76,3394210.0,7.742,2918
2015-11-30,7.81,7.85,7.73,7.82,9366790.0,7.7931,7450
2015-12-01,7.83,7.96,7.82,7.96,14299770.0,7.9087,10838
2015-12-02,7.92,7.99,7.85,7.87,16919310.0,7.9042,7205
2015-12-03,7.97,7.97,7.62,7.64,17685660.0,7.7234,11245
2015-12-04,7.67,7.81,7.64,7.77,18086520.0,7.7326,13029
2015-12-07,7.76,7.85,7.69,7.79,13754310.0,7.7849,10880
2015-12-08,7.9,8.07,7.73,8.04,35658960.0,7.9621,24013
2015-12-09,8.02,8.04,7.78,7.83,17639210.0,7.8735,13178
2015-12-10,7.87,8.07,7.81,8.0,17394370.0,7.9756,13773
2015-12-11,7.91,7.97,7.85,7.89,17466560.0,7.8936,13852
2015-12-14,7.91,7.94,7.67,7.76,12953620.0,7.75,11023
2015-12-15,7.89,8.07,7.85,7.99,16108930.0,8.0082,12628
2015-12-16,8.05,8.08,7.83,8.03,13019700.0,7.9524,10310
2015-12-17,8.05,8.08,7.87,7.87,10357170.0,7.9626,8128
2015-12-18,7.8,7.83,7.69,7.7,18632230.0,7.7472,12767
2015-12-21,7.79,7.88,7.72,7.88,11428420.0,7.7837,8396
2015-12-22,7.95,8.03,7.82,8.02,10244270.0,7.9594,7763
2015-12-23,8.06,8.08,8.01,8.04,7353210.0,8.0545,5599
2015-12-24,8.02,8.08,8.02,8.04,2775070.0,8.0368,2208
2015-12-28,8.02,8.02,7.89,8.0,8149750.0,7.9571,6587
2015-12-29,8.05,8.13,7.98,8.08,9421420.0,8.0906,7530
2015-12-30,8.08,8.12,7.98,8.02,5669860.0,8.0552,4739
2015-12-31,8.01,8.05,7.93,7.94,7554760.0,7.9779,6526
2016-01-04,7.78,7.82,7.68,7.77,17467320.0,7.748,13330
2016-01-05,7.82,7.85,7.71,7.82,14048040.0,7.8002,11607
2016-01-06,7.65,7.71,7.25,7.36,38798910.0,7.373,26525
2016-01-07,7.21,7.35,7.15,7.17,27255450.0,7.2349,20594
2016-01-08,7.24,7.26,6.94,7.05,35795150.0,7.072,23047
2016-01-11,7.11,7.14,6.97,7.1,19670480.0,7.0637,16266
2016-01-12,7.25,7.3,7.03,7.14,19019760.0,7.1321,14276
2016-01-13,7.16,7.23,6.88,6.91,24359390.0,7.0104,19941
2016-01-14,6.98,7.28,6.89,7.2,38137760.0,7.1376,25470
2016-01-15,6.93,6.93,6.61,6.8,52124380.0,6.763,34632
2016-01-19,6.91,6.97,6.7,6.75,22590460.0,6.8013,16597
2016-01-20,6.74,7.04,6.7,6.96,32951550.0,6.8492,26458
2016-01-21,7.0,7.0,6.76,6.81,30123080.0,6.8842,19673
2016-01-22,6.96,7.05,6.82,6.87,16590810.0,6.886,13943
2016-01-25,6.92,6.92,6.78,6.8,17011900.0,6.8362,11421
2016-01-26,6.81,6.89,6.75,6.87,12888740.0,6.8456,10423
2016-01-27,6.88,6.92,6.72,6.75,17974270.0,6.7884,14408
2016-01-28,6.85,7.1,6.81,6.95,37369220.0,6.9616,27451
2016-01-29,7.0,7.25,7.0,7.18,30494330.0,7.1479,22126
2016-02-01,7.18,7.33,7.11,7.26,19933970.0,7.2608,15239
2016-02-02,7.16,7.22,7.01,7.06,20734210.0,7.07,15819
2016-02-03,7.13,7.18,6.93,7.14,23626490.0,7.0677,14129
2016-02-04,7.14,7.21,7.06,7.15,14634680.0,7.1407,11248
2016-02-05,7.09,7.12,6.8,6.9,21150200.0,6.8907,15337
2016-02-08,6.8,6.84,6.5,6.61,17939530.0,6.6123,14513
2016-02-09,6.51,6.64,6.42,6.56,23300070.0,6.5458,17925
2016-02-10,6.6,6.67,6.51,6.55,22634880.0,6.5824,17458
2016-02-11,6.44,6.53,6.31,6.42,27163190.0,6.3981,21189
2016-02-12,6.49,6.66,6.43,6.6,16340370.0,6.5767,12637
2016-02-16,6.68,6.85,6.67,6.76,20516920.0,6.7813,16517
2016-02-17,6.81,6.93,6.78,6.93,19453490.0,6.8787,14619
2016-02-18,6.96,6.96,6.77,6.78,17923330.0,6.8483,15119
2016-02-19,6.95,7.14,6.94,6.98,32731350.0,7.0176,24125
2016-02-22,7.02,7.15,6.95,7.03,23357330.0,7.0221,16332
2016-02-23,6.97,7.03,6.9,6.92,15150330.0,6.9457,12039
2016-02-24,6.88,7.05,6.82,7.05,13746360.0,6.9385,9391
2016-02-25,7.05,7.25,7.01,7.24,23742370.0,7.1906,17371
2016-02-26,7.29,7.42,7.25,7.38,21446030.0,7.3507,16814
2016-02-29,7.34,7.46,7.31,7.33,17719020.0,7.3775,13341
2016-03-01,7.35,7.59,7.31,7.56,22256050.0,7.5186,16300
2016-03-02,7.53,7.59,7.38,7.46,19100420.0,7.4616,14802
2016-03-03,7.46,7.5,7.39,7.49,10185370.0,7.4627,8209
2016-03-04,7.52,7.53,7.38,7.43,12072650.0,7.4464,8993
2016-03-07,7.38,7.51,7.36,7.5,17909110.0,7.4582,12268
2016-03-08,7.47,7.51,7.33,7.33,20767350.0,7.4207,13614
2016-03-09,7.35,7.44,7.31,7.38,13434460.0,7.3801,10269
2016-03-10,7.41,7.6,7.38,7.52,24469230.0,7.5142,15207
2016-03-11,7.57,7.65,7.52,7.62,16674670.0,7.609,11994
2016-03-14,7.57,7.7,7.56,7.69,11688830.0,7.6668,9253
2016-03-15,7.71,7.75,7.65,7.72,16515370.0,7.71,11408
2016-03-16,7.71,7.79,7.65,7.78,19341900.0,7.7243,11577
2016-03-17,7.86,7.95,7.75,7.93,20679620.0,7.8798,13908
2016-03-18,7.96,8.0,7.88,7.94,18120830.0,7.9333,10619
2016-03-21,7.92,7.98,7.9,7.98,12180010.0,7.9358,8174
2016-03-22,8.01,8.04,7.91,8.02,11728110.0,8.0065,8460
2016-03-23,7.98,8.0,7.93,7.94,13033520.0,7.9643,10026
2016-03-24,7.87,7.89,7.75,7.89,14650030.0,7.8336,10916
2016-03-28,7.95,7.96,7.89,7.91,11550950.0,7.9238,8418
2016-03-29,7.91,8.21,7.88,8.19,25446150.0,8.1165,19425
2016-03-30,8.26,8.35,8.19,8.22,20675290.0,8.2585,14922
2016-03-31,8.18,8.31,8.09,8.26,26355040.0,8.2332,20096
2016-04-01,8.23,8.31,8.17,8.29,18501220.0,8.2689,14565
2016-04-04,8.3,8.3,8.18,8.28,13240420.0,8.2525,10686
2016-04-05,8.18,8.27,8.16,8.17,12833110.0,8.2164,10796
2016-04-06,8.15,8.27,8.13,8.26,16558200.0,8.2149,12382
2016-04-07,8.21,8.25,8.05,8.12,18705780.0,8.1075,14273
2016-04-08,8.2,8.25,8.07,8.11,12524480.0,8.1307,10140
2016-04-11,8.23,8.23,8.13,8.14,13520210.0,8.1677,11181
2016-04-12,8.17,8.2,8.03,8.14,19655010.0,8.0977,15946
2016-04-13,8.22,8.28,8.16,8.28,19809260.0,8.2267,14775
2016-04-14,8.17,8.23,8.07,8.16,20367170.0,8.1603,14228
2016-04-15,8.1,8.19,8.04,8.16,23557130.0,8.14,14465
2016-04-18,8.17,8.24,8.11,8.21,21209570.0,8.1979,14087
2016-04-19,8.25,8.31,8.18,8.28,21476400.0,8.2662,16066
2016-04-20,8.24,8.3,8.08,8.27,30032190.0,8.2063,20928
2016-04-21,8.27,8.38,8.02,8.08,33165920.0,8.1292,21492
2016-04-22,8.08,8.18,8.01,8.07,16332720.0,8.077,13139
2016-04-25,8.07,8.09,7.95,8.02,15251220.0,8.0016,12158
2016-04-26,8.06,8.14,7.98,8.03,21205060.0,8.0265,16593
2016-04-27,8.04,8.12,7.97,8.1,31287240.0,8.049,18763
2016-04-28,7.99,8.04,7.8,7.82,25951230.0,7.9242,18432
2016-04-29,7.78,7.8,7.57,7.64,35379750.0,7.633,24232
2016-05-02,7.64,7.72,7.58,7.66,30709570.0,7.6524,21860
2016-05-03,7.57,7.63,7.54,7.57,24094090.0,7.5822,15901
2016-05-04,7.54,7.62,7.46,7.49,24511520.0,7.5321,20302
2016-05-05,7.5,7.58,7.48,7.51,21336600.0,7.5339,14830
2016-05-06,7.48,7.53,7.42,7.49,18158770.0,7.474,12433
2016-05-09,7.5,7.54,7.43,7.46,19016580.0,7.4705,13986
2016-05-10,7.49,7.6,7.46,7.6,21854790.0,7.5695,14365
2016-05-11,7.54,7.61,7.53,7.56,14783180.0,7.5783,11072
2016-05-12,7.58,7.6,7.41,7.49,17891580.0,7.4826,14228
2016-05-13,7.47,7.5,7.42,7.43,14379020.0,7.4524,12018
2016-05-16,7.22,7.39,7.2,7.35,35087620.0,7.3093,24989
2016-05-17,7.37,7.39,7.29,7.31,25331230.0,7.3359,20045
2016-05-18,7.33,7.48,7.3,7.4,18313900.0,7.4058,14801
2016-05-19,7.37,7.4,7.3,7.33,13907720.0,7.3396,11192
2016-05-20,7.53,7.7,7.5,7.67,26978820.0,7.6382,17695
2016-05-23,7.67,7.73,7.62,7.68,25308170.0,7.6677,15611
2016-05-24,7.76,7.96,7.75,7.93,26273760.0,7.9027,19255
2016-05-25,7.96,8.08,7.92,8.06,22883560.0,8.0374,17677
2016-05-26,8.04,8.12,8.03,8.1,13920750.0,8.0775,10827
2016-05-27,8.12,8.34,8.12,8.3,30436770.0,8.2831,21726
2016-05-31,8.26,8.3,8.2,8.28,16640940.0,8.2513,12543
2016-06-01,8.25,8.32,8.2,8.31,16428520.0,8.2755,12455
2016-06-02,8.3,8.43,8.28,8.36,21848670.0,8.3283,14456
2016-06-03,8.33,8.34,8.25,8.31,11450750.0,8.3072,8842
2016-06-06,8.32,8.34,8.22,8.23,10714270.0,8.2543,9011
2016-06-07,8.29,8.33,8.23,8.3,11447080.0,8.2835,8446
2016-06-08,8.29,8.35,8.27,8.34,9166300.0,8.3293,7341
2016-06-09,8.27,8.37,8.21,8.36,12039330.0,8.315,8944
2016-06-10,8.23,8.26,8.18,8.24,12501010.0,8.2202,9341
2016-06-13,8.16,8.29,8.12,8.2,10486060.0,8.233,8671
2016-06-14,8.17,8.22,8.12,8.2,10991010.0,8.1853,8521
2016-06-15,8.26,8.32,8.19,8.25,12738550.0,8.257,9700
2016-06-16,8.18,8.28,8.14,8.27,9062080.0,8.2218,6772
2016-06-17,8.25,8.29,8.17,8.29,14045730.0,8.2594,9312
2016-06-20,8.4,8.47,8.36,8.43,21703040.0,8.4305,14944
2016-06-21,8.47,8.5,8.41,8.47,10088670.0,8.4618,8014
2016-06-22,8.45,8.59,8.44,8.57,19046800.0,8.5557,13573
2016-06-23,8.62,8.72,8.62,8.72,18637040.0,8.6745,13081
2016-06-24,8.33,8.58,8.23,8.23,38147260.0,8.4001,27116
2016-06-27,8.13,8.18,7.92,8.0,20416610.0,8.0015,16456
2016-06-28,8.1,8.17,8.05,8.17,17168510.0,8.1187,13194
2016-06-29,8.25,8.37,8.13,8.22,32243450.0,8.2281,24130
2016-06-30,8.28,8.41,8.22,8.41,21660170.0,8.3166,15420
2016-07-01,8.4,8.4,8.28,8.3,13631170.0,8.3258,10477
2016-07-05,8.27,8.27,8.1,8.19,13973420.0,8.1707,9999
2016-07-06,8.15,8.22,8.07,8.2,13950300.0,8.1702,11498
2016-07-07,8.22,8.32,8.15,8.2,14833140.0,8.2142,10852
2016-07-08,8.29,8.53,8.26,8.49,19733060.0,8.4531,13738
2016-07-11,8.55,8.67,8.5,8.63,14376220.0,8.6215,10759
2016-07-12,8.73,8.83,8.7,8.82,18169500.0,8.7791,12877
2016-07-13,8.85,8.94,8.82,8.86,17388590.0,8.8784,12549
2016-07-14,8.95,8.97,8.78,8.79,19920660.0,8.8356,12786
2016-07-15,8.82,8.88,8.76,8.86,14654320.0,8.8314,9808
2016-07-18,8.96,8.97,8.84,8.93,13227350.0,8.9273,10285
2016-07-19,8.88,9.0,8.82,8.95,11990450.0,8.9555,8629
2016-07-20,9.0,9.15,8.95,9.12,20390120.0,9.0976,13253
2016-07-21,9.11,9.13,8.9,8.93,15969240.0,8.9965,11896
2016-07-22,8.97,9.03,8.9,9.01,8342830.0,8.9792,7256
2016-07-25,9.01,9.07,8.96,9.06,9177000.0,9.0215,6707
2016-07-26,9.12,9.22,9.04,9.16,19786940.0,9.1279,13517
2016-07-27,9.22,9.23,9.1,9.2,21476240.0,9.1692,14498
2016-07-28,9.29,9.38,9.16,9.31,23079280.0,9.2779,16674
2016-07-29,9.31,9.31,8.97,8.98,21862350.0,9.066,16993
2016-08-01,9.02,9.1,8.98,9.08,11121540.0,9.0511,8863
2016-08-02,9.06,9.11,8.9,8.97,13242740.0,8.9767,10720
2016-08-03,8.93,9.08,8.92,9.08,9345240.0,9.026,7874
2016-08-04,9.08,9.2,9.04,9.19,12519910.0,9.1575,9443
2016-08-05,9.2,9.33,9.18,9.33,11149400.0,9.2906,8829
2016-08-08,9.32,9.33,9.25,9.27,10454760.0,9.2803,7177
2016-08-09,9.3,9.35,9.26,9.33,8764520.0,9.3157,6774
2016-08-10,9.31,9.32,8.81,8.91,57641340.0,8.921,39374
2016-08-11,8.92,8.99,8.86,8.89,40199340.0,8.9083,26726
2016-08-12,8.91,9.02,8.85,8.92,15968030.0,8.9377,11524
2016-08-15,8.92,9.14,8.91,9.07,17531760.0,9.0709,13993
2016-08-16,9.04,9.09,8.98,8.99,15823960.0,9.0304,11313
2016-08-17,8.96,9.07,8.95,9.02,14114400.0,9.0258,11715
2016-08-18,9.05,9.11,9.0,9.09,13183700.0,9.0793,9585
2016-08-19,9.22,9.36,9.15,9.32,22793270.0,9.2839,16027
2016-08-22,9.28,9.37,9.24,9.32,11172450.0,9.3055,8644
2016-08-23,9.44,9.49,9.35,9.39,20737190.0,9.4227,15168
