date,open,high,low,close,volume,average,barCount
2015-10-13,51.64,51.99,50.8,51.58,1780122.0,51.558,13338
2015-10-14,51.72,52.42,51.23,51.54,1372269.0,51.765,9555
2015-10-15,51.7,52.52,51.15,52.52,1601674.0,51.872,11881
2015-10-16,54.08,54.93,53.0,53.81,3784986.0,53.908,23508
2015-10-19,53.7,54.52,52.74,53.26,1759813.0,53.481,10970
2015-10-20,53.11,53.5,52.49,52.93,1366530.0,52.943,9104
2015-10-21,53.31,53.38,51.66,52.0,1945545.0,52.295,11806
2015-10-22,50.61,52.37,50.01,52.33,5387676.0,50.918,33072
2015-10-23,52.32,52.63,47.4,48.49,7193822.0,48.919,38371
2015-10-26,48.56,48.88,47.93,48.3,3186664.0,48.377,17643
2015-10-27,48.5,49.03,47.79,48.28,1439015.0,48.342,10034
2015-10-28,48.25,49.38,47.39,49.24,2980949.0,48.655,15023
2015-10-29,49.3,49.5,48.23,48.79,1838455.0,48.72,10565
2015-10-30,48.69,49.58,48.16,49.17,3331664.0,49.004,17468
2015-11-02,49.35,51.12,48.19,51.08,3308690.0,49.827,18703
2015-11-03,51.25,52.69,51.01,52.09,2303588.0,52.077,15018
2015-11-04,51.87,52.51,51.44,51.68,1857847.0,51.789,10344
2015-11-05,51.94,52.24,51.25,52.08,1041763.0,51.81,6542
2015-11-06,52.19,53.15,50.88,51.06,1666610.0,51.458,11581
2015-11-09,50.87,51.0,49.29,50.17,1642256.0,50.024,10880
2015-11-10,50.19,50.61,49.02,50.08,1647261.0,49.941,11883
2015-11-11,49.96,50.01,47.46,47.57,3337273.0,48.083,20139
2015-11-12,47.44,48.9,47.08,48.16,2418157.0,48.064,14876
2015-11-13,47.3,47.5,44.23,45.05,4849910.0,44.997,30415
2015-11-16,44.7,45.5,43.87,45.24,2041049.0,44.842,14047
2015-11-17,44.99,44.99,43.14,44.09,2794239.0,44.037,15972
2015-11-18,44.36,45.76,44.07,45.69,2161697.0,44.893,13557
2015-11-19,45.86,49.0,45.74,47.33,5623062.0,47.555,29371
2015-11-20,47.91,51.5,47.74,49.28,5469125.0,49.564,25604
2015-11-23,49.52,52.95,48.54,52.77,5278141.0,51.187,28741
2015-11-24,51.84,53.31,51.19,52.73,3059478.0,52.299,17394
2015-11-25,53.09,53.72,51.97,52.95,1793428.0,53.107,9048
2015-11-27,52.85,52.88,51.76,52.5,670181.0,52.372,3698
2015-11-30,49.28,50.0,47.54,47.82,7587716.0,48.891,38150
2015-12-01,48.84,49.2,47.75,49.05,3905094.0,48.551,21062
2015-12-02,48.92,49.53,48.55,49.0,2061839.0,48.933,12661
2015-12-03,49.42,49.7,48.63,49.12,2921423.0,49.274,16813
2015-12-04,49.0,49.31,46.78,49.18,3107333.0,48.407,20327
2015-12-07,49.02,51.93,48.12,51.79,4921365.0,50.576,30446
2015-12-08,51.27,52.39,50.68,52.16,5144280.0,51.626,30962
2015-12-09,46.94,50.39,45.05,45.31,17608729.0,47.455,97390
2015-12-10,44.73,46.5,44.62,45.95,5609890.0,45.755,34554
2015-12-11,45.39,46.64,45.1,46.12,3913757.0,46.012,25925
2015-12-14,46.09,47.85,45.87,47.79,3033145.0,47.11,19145
2015-12-15,47.9,49.79,47.51,49.26,2785622.0,49.041,17987
2015-12-16,49.73,50.7,49.19,49.97,3524513.0,49.941,20933
2015-12-17,50.55,51.24,49.75,50.0,2651658.0,50.19,17600
2015-12-18,49.75,51.07,49.05,50.26,2138482.0,50.334,15078
2015-12-21,50.37,51.99,50.35,51.9,2155253.0,51.499,14161
2015-12-22,51.76,53.35,51.58,53.15,2171091.0,52.816,14391
2015-12-23,53.67,53.96,52.48,52.89,1759052.0,52.954,12147
2015-12-24,52.72,53.59,52.43,53.19,720362.0,53.108,4658
2015-12-28,52.84,54.15,52.6,53.17,1853658.0,53.388,12047
2015-12-29,53.25,53.75,51.88,52.37,1760189.0,52.486,11470
2015-12-30,52.41,52.8,51.34,51.59,1458515.0,51.931,10371
2015-12-31,51.71,53.54,51.59,52.47,1425574.0,52.781,9101
2016-01-04,53.7,56.21,53.53,55.86,6311041.0,55.388,37409
2016-01-05,56.2,56.67,55.16,55.59,2301149.0,55.864,15787
2016-01-06,54.95,55.64,54.53,54.91,2263048.0,55.015,15119
2016-01-07,54.0,56.0,53.75,54.79,3405046.0,55.088,22179
2016-01-08,55.43,55.77,52.97,53.91,2603013.0,54.207,17476
2016-01-11,54.49,55.09,52.71,54.73,2485208.0,53.95,17014
2016-01-12,59.92,61.3,56.28,56.82,11305232.0,58.842,62429
2016-01-13,57.95,58.28,55.11,55.97,2763019.0,56.268,19321
2016-01-14,56.06,57.38,53.6,56.63,3034780.0,55.889,20488
2016-01-15,55.18,56.34,52.9,55.71,3391760.0,54.858,21446
2016-01-19,56.18,57.48,55.56,56.74,2600289.0,56.614,18019
2016-01-20,55.53,56.7,53.18,55.95,2652742.0,55.071,16181
2016-01-21,56.86,59.03,54.85,57.09,3061508.0,57.537,21237
2016-01-22,57.92,58.38,56.15,58.03,1844355.0,57.543,12531
2016-01-25,58.67,58.67,57.02,57.63,1668040.0,57.685,11723
2016-01-26,58.73,59.33,57.61,58.59,2152947.0,58.575,12462
2016-01-27,58.59,59.91,58.39,58.81,2002039.0,59.108,13750
2016-01-28,59.71,60.67,59.05,59.6,2298345.0,59.786,14396
2016-01-29,59.5,62.07,59.5,62.07,2653439.0,61.421,17857
2016-02-01,61.25,61.63,59.64,60.82,1964675.0,60.745,13576
2016-02-02,61.25,63.5,61.12,62.01,3129126.0,62.408,17336
2016-02-03,61.89,63.14,60.49,63.02,2731813.0,62.141,18591
2016-02-04,62.26,63.34,61.66,62.63,1781529.0,62.422,13061
2016-02-05,62.38,63.13,59.88,60.75,2309195.0,60.831,16189
2016-02-08,59.99,60.11,55.37,57.96,4603607.0,57.516,32813
2016-02-09,57.43,57.93,54.6,56.88,2878652.0,56.13,20843
2016-02-10,56.81,58.55,56.75,57.68,1520699.0,57.738,10618
2016-02-11,56.72,57.74,55.44,57.22,1854759.0,56.705,12953
2016-02-12,57.61,58.93,56.56,58.84,1248337.0,58.042,9023
2016-02-16,59.53,60.46,58.93,59.8,1260818.0,59.72,9245
2016-02-17,60.14,61.43,59.92,60.51,1571723.0,60.557,11077
2016-02-18,60.88,61.37,60.13,60.66,1232352.0,60.759,9029
2016-02-19,60.16,60.84,58.15,60.76,1586302.0,60.014,10475
2016-02-22,61.29,62.14,59.98,60.5,1914747.0,60.721,13929
2016-02-23,60.46,61.58,59.53,60.63,1243863.0,60.628,8589
2016-02-24,60.31,60.92,59.06,60.81,1552325.0,60.071,10329
2016-02-25,60.9,62.8,60.6,61.35,1700231.0,61.74,12031
2016-02-26,61.66,62.0,60.81,61.56,1364680.0,61.419,9827
2016-02-29,61.24,63.43,60.99,62.73,1735128.0,62.75,12448
2016-03-01,62.71,63.3,62.29,62.74,2157356.0,62.685,14819
2016-03-02,62.52,63.67,62.38,62.79,1447186.0,63.114,10086
2016-03-03,62.84,62.93,61.54,61.78,1479935.0,62.014,9853
2016-03-04,61.84,62.11,61.03,61.22,1737290.0,61.535,12094
2016-03-07,60.89,62.09,60.78,62.0,1400632.0,61.586,9067
2016-03-08,61.59,62.96,61.47,62.22,1319025.0,62.36,9585
2016-03-09,62.27,62.49,61.21,62.13,987174.0,61.989,6762
2016-03-10,62.76,63.68,62.4,63.23,1190118.0,63.165,7422
2016-03-11,63.52,64.68,63.33,64.42,1859357.0,64.122,11149
2016-03-14,64.18,64.99,63.94,64.73,1396755.0,64.559,10807
2016-03-15,63.72,63.72,61.95,62.98,1972147.0,62.833,13167
