date,open,high,low,close,volume,average,barCount
2015-10-13,46.1,47.81,46.0,46.95,5831587.0,47.139,33448
2015-10-14,46.76,48.48,46.73,48.08,7002510.0,47.986,40766
2015-10-15,49.9,50.5,48.82,49.46,7630482.0,49.291,40383
2015-10-16,47.4,50.33,47.25,49.72,8574506.0,49.368,41881
2015-10-19,48.86,48.99,46.73,47.54,8546832.0,47.674,47692
2015-10-20,47.55,48.07,46.87,47.32,4101306.0,47.457,25049
2015-10-21,46.98,47.51,46.11,46.84,4869509.0,46.972,30096
2015-10-22,48.32,48.6,45.95,46.6,8027586.0,46.64,43189
2015-10-23,47.24,49.54,46.93,49.19,6678292.0,48.671,38672
2015-10-26,49.2,49.41,48.25,48.83,3335615.0,48.859,19903
2015-10-27,47.91,48.82,47.15,47.54,4399927.0,47.681,25406
2015-10-28,47.95,48.68,47.41,48.44,2689023.0,48.187,16087
2015-10-29,49.0,49.69,48.26,48.85,3334919.0,48.918,19883
2015-10-30,48.93,49.78,48.78,49.51,3537790.0,49.365,21391
2015-11-02,49.75,51.64,49.7,50.61,4611408.0,50.837,24599
2015-11-03,49.89,51.49,49.7,50.91,4084973.0,50.782,24324
2015-11-04,51.69,52.14,49.28,49.69,5943379.0,50.219,29420
2015-11-05,49.63,50.46,49.2,49.55,3246969.0,49.762,17474
2015-11-06,49.31,49.88,49.0,49.78,2573216.0,49.55,14518
2015-11-09,48.8,48.9,46.15,46.61,6819226.0,46.807,39605
2015-11-10,46.32,46.94,45.77,46.93,3506912.0,46.452,22733
2015-11-11,47.07,47.1,46.18,46.49,2895085.0,46.64,17835
2015-11-12,46.1,47.38,45.7,46.03,2613847.0,46.633,15771
2015-11-13,45.81,46.4,45.24,45.69,2495966.0,45.808,15823
2015-11-16,45.58,46.2,44.83,46.02,2632526.0,45.643,13421
2015-11-17,46.2,46.36,45.06,45.35,4724394.0,45.642,26489
2015-11-18,45.37,46.06,44.53,45.99,3835115.0,45.558,21153
2015-11-19,45.96,46.27,45.47,46.07,2207545.0,45.998,12169
2015-11-20,46.18,46.33,44.6,45.08,4996765.0,45.091,26682
2015-11-23,44.88,46.0,44.88,45.19,5832879.0,45.43,28360
2015-11-24,44.98,45.27,44.39,44.9,6718291.0,44.953,33367
2015-11-25,45.17,45.23,44.41,44.82,3902802.0,44.866,21748
2015-11-27,44.54,44.62,43.65,44.32,2287960.0,44.168,11931
2015-11-30,44.43,45.04,43.95,44.06,4952020.0,44.32,25735
2015-12-01,44.5,44.96,43.61,44.8,5377299.0,44.285,25961
2015-12-02,44.53,46.22,44.36,45.18,5088727.0,45.399,24993
2015-12-03,45.45,45.5,43.13,43.54,3716941.0,43.875,18244
2015-12-04,43.53,44.02,42.8,43.69,4139139.0,43.4,20950
2015-12-07,43.46,43.69,42.83,43.12,3620814.0,43.051,17282
2015-12-08,42.45,42.82,41.56,42.55,3034044.0,42.417,15096
2015-12-09,43.35,45.25,43.1,43.7,6822377.0,44.087,34756
2015-12-10,43.85,44.35,42.51,42.8,4569479.0,43.135,25373
2015-12-11,42.05,42.22,41.03,41.26,4940616.0,41.65,26300
2015-12-14,41.02,42.02,40.21,40.42,5264738.0,40.63,26084
2015-12-15,40.93,42.21,40.69,41.49,5071707.0,41.67,24386
2015-12-16,42.0,43.65,41.67,43.4,4892129.0,42.992,25816
2015-12-17,43.72,43.91,41.8,41.82,3971691.0,42.311,22043
2015-12-18,41.21,42.18,41.16,41.53,4306377.0,41.65,23849
2015-12-21,41.83,42.45,41.45,42.04,3383290.0,42.024,17613
2015-12-22,42.15,43.17,41.91,42.93,3769364.0,42.652,21618
2015-12-23,43.39,44.9,43.26,44.51,5208079.0,44.471,29246
2015-12-24,44.33,44.71,43.51,44.36,2076601.0,44.197,10470
2015-12-28,43.81,44.29,43.2,44.12,2976040.0,43.873,16299
2015-12-29,44.44,45.0,43.98,44.38,2742987.0,44.42,14383
2015-12-30,44.28,44.48,43.76,43.99,1990872.0,44.012,10825
