date,open,high,low,close,volume,average,barCount
2015-10-13,36.15,36.39,36.0,36.03,3210453.0,36.068,9323
2015-10-14,36.07,36.13,35.55,35.64,1067792.0,35.793,7294
2015-10-15,35.77,36.12,35.49,36.01,1192376.0,35.77,6539
2015-10-16,36.07,36.28,35.98,36.18,1293042.0,36.126,8165
2015-10-19,36.07,36.28,35.98,36.11,1207031.0,36.109,7357
2015-10-20,36.07,36.54,35.87,36.43,1129514.0,36.377,6961
2015-10-21,36.52,36.65,36.22,36.25,721688.0,36.46,4596
2015-10-22,36.41,36.71,36.41,36.59,1417295.0,36.525,7427
2015-10-23,36.78,36.87,36.53,36.7,1075808.0,36.68,6308
2015-10-26,36.68,36.82,36.56,36.62,718767.0,36.685,4455
2015-10-27,36.39,36.45,36.03,36.12,890943.0,36.18,5293
2015-10-28,36.23,36.85,36.2,36.85,917003.0,36.575,6440
2015-10-29,36.7,36.95,36.52,36.8,846767.0,36.734,4881
2015-10-30,36.86,37.0,36.45,36.46,1022267.0,36.7,6711
2015-11-02,36.01,37.67,35.82,37.58,1666477.0,37.213,10775
2015-11-03,37.47,37.75,37.2,37.27,1073955.0,37.373,6030
2015-11-04,37.27,37.45,36.96,37.02,898349.0,37.173,5906
2015-11-05,37.04,37.32,36.9,37.24,1175177.0,37.131,6266
2015-11-06,37.39,37.81,37.21,37.8,950591.0,37.612,6593
2015-11-09,37.8,37.89,37.47,37.63,897562.0,37.638,6393
2015-11-10,37.58,37.9,37.5,37.83,474759.0,37.785,3492
2015-11-11,37.85,37.95,37.45,37.53,521094.0,37.648,3637
2015-11-12,37.29,37.49,37.02,37.03,692166.0,37.256,5371
2015-11-13,36.97,37.35,36.91,36.96,757171.0,37.059,5844
2015-11-16,36.79,37.57,36.79,37.57,851115.0,37.236,6227
2015-11-17,37.6,37.84,37.23,37.49,902611.0,37.637,6512
2015-11-18,37.57,38.02,37.57,37.97,721543.0,37.858,5184
2015-11-19,37.95,37.99,37.7,37.86,577273.0,37.805,4127
2015-11-20,37.98,38.19,37.76,37.91,506373.0,37.916,3047
2015-11-23,37.91,37.99,37.75,37.76,374887.0,37.848,2777
2015-11-24,37.62,37.96,37.56,37.86,514783.0,37.808,3656
2015-11-25,37.85,37.85,37.69,37.77,375680.0,37.767,2567
2015-11-27,37.79,37.91,37.58,37.72,247637.0,37.758,1865
2015-11-30,37.75,38.14,37.53,37.89,888918.0,37.895,5940
2015-12-01,38.05,38.34,37.51,38.31,946811.0,38.207,7080
2015-12-02,38.27,38.4,38.14,38.25,1423710.0,38.27,9913
2015-12-03,38.34,38.34,37.39,37.5,1555543.0,37.861,11914
2015-12-04,37.53,38.54,37.46,38.41,1324186.0,38.193,9115
