date,open,high,low,close,volume,average,barCount
2015-10-13,23.01,23.11,22.89,23.03,2876364.0,23.0295,9251
2015-10-14,22.99,24.09,22.99,23.66,6354546.0,23.684,22858
2015-10-15,23.86,24.18,23.61,23.67,4193418.0,23.825,16753
2015-10-16,23.68,23.71,23.34,23.47,2993394.0,23.476,11713
2015-10-19,23.44,23.75,23.39,23.61,2355240.0,23.6005,8218
2015-10-20,23.5,23.78,23.48,23.7,1852244.0,23.682,7250
2015-10-21,23.84,24.12,23.55,23.58,2973970.0,23.8255,11454
2015-10-22,23.97,24.49,23.76,24.43,5152512.0,24.3185,17960
2015-10-23,24.7,24.78,24.3,24.56,3764076.0,24.5945,12503
2015-10-26,24.5,24.8,24.18,24.25,2492164.0,24.3035,9247
2015-10-27,24.07,24.63,23.9,23.97,2908574.0,24.053,10476
2015-10-28,23.98,24.3,23.77,24.28,3122746.0,24.057,11388
2015-10-29,24.02,24.11,23.6,23.7,3003282.0,23.8255,10549
2015-10-30,23.71,24.21,23.71,24.15,3933704.0,23.9885,13254
2015-11-02,24.1,24.48,24.05,24.45,2553456.0,24.3525,9887
2015-11-03,24.46,24.5,24.18,24.41,2269300.0,24.3725,8816
2015-11-04,24.38,24.56,24.21,24.5,3559170.0,24.3905,13328
2015-11-05,24.88,24.92,23.66,23.96,4407252.0,23.9845,15544
2015-11-06,23.79,24.09,23.7,23.93,4502396.0,23.943,16799
2015-11-09,23.77,23.94,23.46,23.91,4518594.0,23.704,17011
2015-11-10,23.75,23.79,23.47,23.58,2519842.0,23.577,10097
2015-11-11,23.61,23.81,23.54,23.55,1759600.0,23.6405,6274
2015-11-12,23.4,23.7,23.18,23.18,3047174.0,23.425,10166
2015-11-13,23.18,23.48,22.77,22.82,2444392.0,22.906,9083
2015-11-16,22.0,22.99,22.0,22.98,2831834.0,22.8025,10774
2015-11-17,22.93,23.16,22.82,23.04,2316804.0,23.014,9588
2015-11-18,22.84,23.54,22.84,23.49,2444942.0,23.266,9258
2015-11-19,23.54,23.79,23.22,23.59,1654276.0,23.577,6682
2015-11-20,23.68,23.81,23.52,23.69,1511506.0,23.684,5626
2015-11-23,23.75,23.75,23.22,23.3,1883294.0,23.389,6536
2015-11-24,23.24,23.64,22.81,23.61,2169646.0,23.467,8630
2015-11-25,23.6,23.71,23.44,23.58,1735788.0,23.587,5999
2015-11-27,23.58,23.9,23.43,23.85,1053256.0,23.808,4196
2015-11-30,23.86,24.27,23.83,24.14,3108952.0,24.086,11607
2015-12-01,24.28,24.34,23.96,24.25,2696086.0,24.19,8371
2015-12-02,24.05,24.2,23.25,23.33,4731342.0,23.5305,17531
2015-12-03,23.53,23.71,23.04,23.22,2795298.0,23.3075,11132
2015-12-04,23.25,23.75,23.08,23.68,3027148.0,23.516,12341
2015-12-07,23.62,23.74,23.28,23.34,2251728.0,23.387,8970
2015-12-08,23.09,23.18,22.88,23.11,2275004.0,23.054,9786
2015-12-09,23.0,23.14,22.66,22.75,2554354.0,22.8025,6905
2015-12-10,22.74,22.84,22.5,22.68,2380120.0,22.69,10224
2015-12-11,22.44,22.71,22.29,22.32,3252522.0,22.476,12765
2015-12-14,22.41,22.49,22.08,22.31,2256916.0,22.2555,9660
2015-12-15,22.45,23.15,22.45,23.04,5671388.0,22.877,20463
2015-12-16,23.2,23.65,22.92,23.56,4872064.0,23.3505,18465
2015-12-17,23.78,23.95,23.22,23.22,3897102.0,23.414,15141
2015-12-18,23.02,23.17,22.77,23.05,5082104.0,22.9945,17752
2015-12-21,23.1,23.44,23.1,23.43,3155942.0,23.2655,11684
2015-12-22,23.54,23.64,23.38,23.59,1823790.0,23.5185,7526
2015-12-23,23.67,23.78,23.54,23.66,1440404.0,23.69,5975
2015-12-24,23.58,23.8,23.58,23.63,532506.0,23.718,2057
2015-12-28,23.56,23.78,23.27,23.77,3108318.0,23.589,10587
2015-12-29,23.87,24.18,23.77,24.06,1680314.0,24.0515,6860
2015-12-30,24.0,24.09,23.8,23.87,1550546.0,23.925,6320
2015-12-31,23.83,23.93,23.27,23.27,1741294.0,23.4905,7133
2016-01-04,22.83,23.05,22.63,22.99,3700446.0,22.835,14228
2016-01-05,22.99,23.16,22.72,22.82,2827804.0,22.8625,10878
2016-01-06,22.38,22.67,22.25,22.47,2857234.0,22.479,11314
2016-01-07,21.93,22.36,21.2,21.33,5073956.0,21.673,18832
2016-01-08,21.5,21.5,20.72,20.77,4725466.0,21.0635,16514
2016-01-11,20.95,21.08,20.53,20.75,3931380.0,20.734,14999
2016-01-12,20.99,21.1,20.66,20.93,2986846.0,20.8465,12233
2016-01-13,21.06,21.93,20.63,20.66,8594928.0,21.374,25755
2016-01-14,20.73,21.26,20.5,21.02,7168092.0,20.9675,23535
2016-01-15,20.71,20.71,19.82,20.26,6913880.0,20.238,25042
2016-01-19,21.09,22.06,20.47,20.85,9128300.0,20.8385,29360
2016-01-20,21.44,21.8,20.77,21.43,15590544.0,21.3125,50094
2016-01-21,21.66,22.21,21.42,21.81,7014980.0,21.857,24831
2016-01-22,22.15,22.28,21.18,21.57,6211824.0,21.5565,22589
2016-01-25,21.51,21.93,21.29,21.6,4463448.0,21.6695,15358
2016-01-26,21.56,22.4,21.56,22.13,6084226.0,22.1035,19070
