date,open,high,low,close,volume,average,barCount
2015-10-13,98.76,99.28,97.98,98.09,451439.0,98.616,3173
2015-10-14,97.85,99.14,97.13,97.63,564871.0,98.071,4371
2015-10-15,98.59,100.05,97.65,100.04,492048.0,99.355,3464
2015-10-16,100.54,101.0,100.01,100.58,541340.0,100.582,3799
2015-10-19,100.04,100.59,99.29,99.91,574461.0,99.877,4137
2015-10-20,99.65,100.43,99.64,100.15,326303.0,100.127,2701
2015-10-21,100.45,100.46,97.69,97.73,506224.0,98.487,4041
2015-10-22,98.09,99.57,98.07,99.02,596441.0,98.787,5077
2015-10-23,99.74,100.67,99.4,100.5,639934.0,100.256,5176
2015-10-26,100.5,101.12,99.99,100.97,271734.0,100.788,2226
2015-10-27,100.25,100.98,99.3,99.41,415236.0,99.665,3410
2015-10-28,99.69,100.39,98.78,100.39,936460.0,99.628,6779
2015-10-29,100.14,101.8,99.61,101.53,706118.0,101.073,5661
2015-10-30,98.6,100.72,96.11,96.16,1342387.0,97.728,10400
2015-11-02,95.0,96.52,94.2,96.45,2586950.0,95.415,16943
2015-11-03,96.12,99.21,95.87,99.2,1467163.0,98.281,10330
2015-11-04,99.2,100.11,99.17,99.63,1229386.0,99.628,9068
2015-11-05,100.11,101.92,99.39,101.6,899075.0,101.148,7062
2015-11-06,102.05,102.6,101.19,102.55,1918633.0,101.926,9491
2015-11-09,102.35,102.52,99.87,100.38,1452749.0,100.725,9946
2015-11-10,99.83,100.46,99.33,100.1,1309281.0,99.886,6310
2015-11-11,100.64,101.08,99.91,100.73,834525.0,100.557,6523
2015-11-12,99.87,101.11,99.03,99.4,2606307.0,99.91,8293
2015-11-13,99.6,99.6,96.39,96.9,1580769.0,97.505,8935
2015-11-16,96.61,98.11,96.07,98.09,1061416.0,97.209,7288
2015-11-17,99.3,102.54,98.82,101.2,1903818.0,101.539,14426
2015-11-18,101.45,103.29,99.14,103.2,999966.0,102.263,7389
2015-11-19,103.26,103.68,102.7,103.43,808555.0,103.198,5712
2015-11-20,103.81,104.63,103.4,104.34,1047985.0,104.311,5713
2015-11-23,104.55,104.83,104.05,104.17,1239193.0,104.438,6924
2015-11-24,103.33,103.75,102.93,103.49,723193.0,103.41,6068
2015-11-25,103.73,103.78,102.45,102.88,643729.0,103.064,5214
2015-11-27,103.17,104.02,102.74,103.79,400027.0,103.369,2341
2015-11-30,103.75,104.09,102.97,103.12,835908.0,103.369,6464
2015-12-01,103.49,103.81,102.59,103.44,918677.0,103.202,6851
2015-12-02,103.6,103.7,102.63,102.9,789374.0,103.127,5372
2015-12-03,103.13,103.35,101.09,101.36,1645209.0,102.476,11333
2015-12-04,101.69,104.05,101.48,104.02,708118.0,103.415,5183
2015-12-07,103.05,104.23,103.0,104.05,1737818.0,103.81,12626
2015-12-08,102.98,103.58,101.37,101.49,916504.0,102.051,7728
2015-12-09,100.97,102.32,99.24,99.34,876544.0,100.333,7127
2015-12-10,99.7,100.26,99.38,99.53,486368.0,99.786,3903
2015-12-11,98.25,98.95,95.22,95.73,1692145.0,96.344,12369
2015-12-14,96.01,97.0,95.37,96.78,1076065.0,96.182,8082
2015-12-15,97.87,99.89,97.19,98.66,1686307.0,99.158,10554
2015-12-16,99.38,100.32,98.06,99.32,1233948.0,99.131,9514
2015-12-17,99.58,100.39,97.82,97.88,678191.0,98.829,5323
2015-12-18,97.19,98.16,96.7,97.46,1129790.0,97.606,8270
2015-12-21,98.17,99.58,98.07,99.21,983784.0,98.959,7905
2015-12-22,99.53,99.53,98.0,99.03,457562.0,98.698,3844
2015-12-23,99.3,100.31,98.93,99.85,425883.0,99.915,3273
2015-12-24,99.4,100.66,99.24,100.11,152944.0,100.109,1338
2015-12-28,99.96,100.74,99.46,100.66,335323.0,100.265,2842
2015-12-29,101.32,101.69,100.17,101.56,387636.0,101.25,3348
2015-12-30,101.45,102.13,101.07,101.11,390462.0,101.643,2966
2015-12-31,100.8,101.86,100.32,100.34,358916.0,100.978,3125
