date,open,high,low,close,volume,average,barCount
2015-10-13,44.9,45.27,44.69,44.84,4671754.0,45.018,31919
2015-10-14,44.48,44.98,44.48,44.74,3642914.0,44.728,24739
2015-10-15,44.94,44.99,44.12,44.98,7547486.0,44.504,41806
2015-10-16,45.11,45.86,45.07,45.85,6210062.0,45.456,35093
2015-10-19,45.8,46.46,45.5,46.42,5561491.0,46.192,33948
2015-10-20,46.55,46.65,45.67,45.74,6600286.0,45.996,33332
2015-10-21,45.88,46.02,45.05,45.45,9132166.0,45.489,55511
2015-10-22,45.59,47.42,45.59,46.94,9821161.0,46.756,61014
2015-10-23,46.88,47.0,46.4,46.53,6323688.0,46.61,40054
2015-10-26,46.53,46.99,46.32,46.8,5587543.0,46.739,33320
2015-10-27,46.81,46.97,46.45,46.6,5786235.0,46.644,39033
2015-10-28,46.16,47.0,45.42,46.4,7532103.0,46.142,51833
2015-10-29,46.32,46.44,45.47,46.28,5223629.0,45.967,33561
2015-10-30,46.28,46.62,46.02,46.16,4891188.0,46.336,33932
2015-11-02,46.36,46.63,45.08,46.44,4234463.0,46.292,28013
2015-11-03,46.32,46.5,45.88,46.4,3667327.0,46.306,24463
2015-11-04,46.73,46.77,45.73,45.88,5209002.0,45.941,35273
2015-11-05,45.86,45.93,45.38,45.88,4668815.0,45.698,33106
2015-11-06,45.64,45.73,44.41,44.88,6166381.0,44.801,37225
2015-11-09,44.69,44.78,43.89,44.39,6129873.0,44.178,38065
2015-11-10,44.35,44.78,44.3,44.59,4818211.0,44.485,33271
2015-11-11,44.84,44.96,44.44,44.47,3818061.0,44.709,23881
2015-11-12,44.3,44.44,43.6,43.64,4895929.0,43.927,31902
2015-11-13,43.55,43.88,43.12,43.27,5756755.0,43.488,35762
2015-11-16,43.51,44.08,43.42,44.06,4173868.0,43.882,24871
2015-11-17,44.08,44.33,43.69,43.82,5303343.0,43.954,33424
2015-11-18,43.96,44.54,43.79,44.48,4904499.0,44.194,28137
2015-11-19,44.59,44.81,44.43,44.58,4467569.0,44.631,26924
2015-11-20,44.93,45.0,43.75,43.95,7177085.0,44.299,37494
2015-11-23,43.88,44.27,43.75,44.08,6308470.0,44.078,35175
2015-11-24,43.79,44.16,43.75,43.98,3765397.0,43.968,23367
2015-11-25,43.95,44.15,43.85,43.93,4120326.0,44.006,21358
2015-11-27,44.07,44.57,43.79,44.42,2874429.0,44.196,15397
2015-11-30,44.42,44.58,43.62,43.66,5077232.0,43.882,30365
2015-12-01,44.08,44.54,43.76,44.32,5696401.0,44.236,33406
2015-12-02,44.34,44.35,43.75,43.86,4228142.0,44.022,28025
2015-12-03,43.91,44.13,42.41,42.61,9530854.0,42.976,58755
2015-12-04,42.83,44.54,42.82,44.5,9636632.0,44.162,50210
2015-12-07,44.43,44.5,43.73,44.03,5059666.0,44.039,32276
2015-12-08,43.49,44.21,43.14,44.0,4727697.0,43.886,27272
2015-12-09,43.77,44.25,43.36,43.65,4462750.0,43.73,30635
2015-12-10,43.58,44.34,43.52,43.98,6433427.0,44.006,38166
2015-12-11,43.16,43.57,42.57,42.73,6117645.0,43.0,41093
2015-12-14,43.07,43.39,42.63,43.32,6675454.0,42.935,47377
2015-12-15,44.24,44.51,43.75,44.02,6921332.0,44.121,45157
2015-12-16,43.98,44.94,43.97,44.84,7390578.0,44.533,47036
2015-12-17,44.85,44.9,44.22,44.36,5689822.0,44.558,38659
2015-12-18,43.93,44.26,42.95,43.3,10832662.0,43.404,54718
2015-12-21,43.65,44.52,43.36,44.44,6375680.0,44.131,43450
2015-12-22,44.53,44.81,44.0,44.71,4530959.0,44.484,30889
2015-12-23,44.94,45.62,44.81,45.58,4186068.0,45.342,27951
2015-12-24,45.52,45.67,45.34,45.35,1882874.0,45.45,12120
2015-12-28,45.24,45.49,44.96,45.07,2872030.0,45.082,19878
2015-12-29,45.15,45.81,45.09,45.75,4318342.0,45.568,23780
2015-12-30,45.74,45.95,45.42,45.51,3183576.0,45.74,20480
2015-12-31,45.21,45.45,44.76,44.84,3049874.0,45.058,19655
2016-01-04,44.09,44.45,43.25,43.79,7826917.0,43.657,51838
2016-01-05,43.79,44.45,43.65,44.15,8788134.0,44.087,49826
2016-01-06,43.34,44.17,43.28,43.99,11229945.0,43.845,65279
2016-01-07,42.97,43.04,41.35,41.59,15613996.0,41.917,93891
2016-01-08,41.65,42.06,40.97,40.99,10266824.0,41.538,67290
2016-01-11,41.37,41.8,41.04,41.68,7991418.0,41.427,55190
2016-01-12,42.02,42.29,41.51,42.12,5752466.0,41.85,40291
2016-01-13,42.11,42.33,40.52,40.59,10565345.0,41.257,58751
2016-01-14,41.55,41.93,40.59,41.36,8071887.0,41.312,52828
2016-01-15,40.56,40.86,39.79,40.31,12007422.0,40.259,74197
2016-01-19,41.09,41.66,40.65,41.46,10739106.0,41.25,67189
2016-01-20,40.89,41.15,39.68,40.67,10258148.0,40.415,67979
