date,open,high,low,close,volume,average,barCount
2015-10-12,93.32,94.6,92.67,94.26,16781328.0,93.918,82697
2015-10-13,93.66,95.37,93.55,94.12,17545559.0,94.645,82989
2015-10-14,94.08,95.2,93.61,94.07,17175261.0,94.333,85643
2015-10-15,94.99,96.3,94.9,95.96,25025484.0,95.831,119305
2015-10-16,96.18,97.59,95.35,97.54,22296796.0,96.643,98602
2015-10-19,97.18,98.57,96.92,98.47,18912107.0,97.931,88265
2015-10-20,98.73,99.59,96.56,97.0,28072377.0,97.811,128024
2015-10-21,97.37,98.18,96.47,97.11,19529583.0,97.239,94000
2015-10-22,97.79,99.73,97.55,99.67,22574871.0,98.655,109042
2015-10-23,101.91,102.85,100.16,102.19,38408059.0,101.648,179300
2015-10-26,102.2,103.81,101.55,103.77,22794973.0,102.986,100970
2015-10-27,102.94,104.1,102.4,103.7,19303585.0,103.438,91705
2015-10-28,103.9,104.48,102.92,104.2,21774577.0,103.843,94798
2015-10-29,103.96,105.12,103.52,104.88,18053621.0,104.45,84809
2015-10-30,104.51,104.72,101.65,101.97,29324519.0,102.91,128557
2015-11-02,102.43,103.47,101.18,103.31,20974820.0,102.695,99603
2015-11-03,103.34,103.65,102.4,102.58,18681358.0,102.888,93687
2015-11-04,103.19,104.14,102.48,103.94,29516245.0,103.477,139004
2015-11-05,108.8,110.65,107.95,108.76,53794655.0,109.199,232406
2015-11-06,108.04,108.74,105.91,107.09,31745701.0,107.226,148495
2015-11-09,107.0,108.25,105.86,106.49,22605028.0,106.768,107532
2015-11-10,105.96,108.15,105.24,107.91,22105078.0,107.191,99237
2015-11-11,108.27,109.87,107.11,109.01,23056875.0,108.755,107339
2015-11-12,108.41,109.39,108.0,108.02,18584045.0,108.693,91447
2015-11-13,107.71,108.25,103.83,103.95,26703602.0,105.823,129689
2015-11-16,103.32,104.17,100.47,104.04,45272812.0,102.39,245333
2015-11-17,104.57,106.2,104.14,105.13,24140714.0,105.17,112965
2015-11-18,105.8,107.88,105.39,107.77,20770647.0,106.636,102323
2015-11-19,107.36,107.73,105.95,106.26,22830717.0,106.782,108930
2015-11-20,106.84,107.87,106.62,107.32,19078988.0,107.288,86536
2015-11-23,107.19,107.47,106.08,106.95,16208537.0,106.821,77685
2015-11-24,106.0,106.49,104.39,105.74,21001585.0,105.585,105129
2015-11-25,106.33,106.6,105.1,105.41,12896717.0,105.768,62646
2015-11-27,105.78,105.96,104.86,105.45,5163353.0,105.337,25409
2015-11-30,105.88,106.1,103.75,104.24,16096392.0,104.549,80164
2015-12-01,104.83,107.15,104.5,107.12,19519880.0,106.086,89586
2015-12-02,107.0,107.92,105.79,106.07,17505001.0,106.886,84174
2015-12-03,106.27,106.85,103.35,104.38,20338388.0,104.897,100366
2015-12-04,104.77,107.73,104.11,106.18,17900456.0,105.466,92280
2015-12-07,106.48,106.83,104.66,105.61,13673636.0,105.437,70637
2015-12-08,104.0,106.91,103.95,106.49,17213578.0,106.007,89110
2015-12-09,106.18,106.44,103.55,104.6,20752420.0,104.885,109913
2015-12-10,105.05,106.4,104.41,105.42,15520748.0,105.609,78286
2015-12-11,104.15,104.34,101.91,102.12,22941025.0,103.116,116136
2015-12-14,102.29,104.74,101.46,104.66,21438917.0,103.07,113195
2015-12-15,105.3,105.8,104.28,104.55,17993219.0,105.191,91674
2015-12-16,105.37,107.09,104.19,106.79,19466453.0,105.66,96849
2015-12-17,107.49,107.75,106.13,106.22,19158744.0,106.988,101039
2015-12-18,106.08,106.59,103.97,104.04,22468312.0,105.317,108843
2015-12-21,104.91,105.15,103.6,104.77,12599875.0,104.358,66733
2015-12-22,105.22,105.67,104.81,105.51,12687191.0,105.213,68535
2015-12-23,105.84,106.11,103.86,104.63,16772001.0,104.732,87313
2015-12-24,104.79,105.32,104.5,105.02,5561232.0,104.975,27034
2015-12-28,105.02,105.98,104.53,105.93,11653955.0,105.271,57954
