date,open,high,low,close,volume,average,barCount
2015-10-13,22.9,22.93,21.89,21.95,4807122.0,22.17416666666666,6078
2015-10-14,21.8,21.94,21.23,21.43,6159450.0,21.47183333333334,7435
2015-10-15,21.54,21.81,21.22,21.76,4675326.0,21.5435,5780
2015-10-16,21.96,22.27,21.84,22.04,3876066.0,22.039,4549
2015-10-19,22.01,22.15,21.9,22.12,2208018.0,22.05516666666666,3116
2015-10-20,22.31,23.75,22.22,23.27,13565670.0,23.25233333333334,15065
2015-10-21,23.43,23.62,22.97,23.15,5624238.0,23.21783333333334,6808
2015-10-22,23.22,23.92,23.17,23.75,5001204.0,23.66083333333334,6585
2015-10-23,23.84,23.85,23.25,23.6,2919846.0,23.5345,3509
2015-10-26,23.58,23.92,23.42,23.58,5261880.0,23.702,6098
2015-10-27,23.52,23.82,23.3,23.44,2784954.0,23.44883333333334,3696
2015-10-28,23.47,23.57,23.12,23.56,2293518.0,23.3745,2988
2015-10-29,23.35,23.35,22.33,22.77,8347746.0,22.72066666666666,8226
2015-10-30,22.79,23.02,22.67,22.72,4828332.0,22.813,5884
2015-11-02,22.66,22.73,22.22,22.5,3504576.0,22.527,4513
2015-11-03,22.35,22.75,22.09,22.45,5428938.0,22.37433333333334,5429
2015-11-04,22.42,22.49,21.87,22.14,7142922.0,22.08683333333334,8161
2015-11-05,22.25,22.3,21.81,22.04,7456590.0,21.989,8864
2015-11-06,23.83,25.48,23.83,25.04,21360084.0,24.851,25115
2015-11-09,24.96,25.0,24.46,24.84,6888492.0,24.674,9190
2015-11-10,24.85,25.42,24.58,25.32,7120098.0,25.15733333333334,8750
2015-11-11,25.53,25.65,25.02,25.34,8374500.0,25.4015,9558
2015-11-12,25.32,25.32,24.52,24.74,4759416.0,24.7955,5799
2015-11-13,24.75,25.0,24.36,24.46,3691386.0,24.557,4662
2015-11-16,24.53,24.59,24.17,24.58,3095160.0,24.42083333333334,4100
2015-11-17,24.58,24.86,24.14,24.27,3298686.0,24.37583333333334,4321
2015-11-18,24.26,24.89,24.24,24.86,3350550.0,24.63216666666666,4112
2015-11-19,24.82,24.99,24.66,24.89,2974872.0,24.85616666666666,3731
2015-11-20,25.07,25.07,24.57,24.68,6759936.0,24.85483333333334,7092
2015-11-23,24.77,25.39,24.75,25.07,5565072.0,25.09633333333334,5723
2015-11-24,25.1,25.48,24.85,25.38,4301250.0,25.2475,5291
2015-11-25,25.36,26.17,25.26,26.07,5355384.0,25.94783333333334,6149
2015-11-27,26.07,26.28,25.93,26.09,1806540.0,26.08183333333334,2274
2015-11-30,26.12,26.39,25.72,25.77,3933672.0,25.9585,4805
2015-12-01,25.93,26.38,25.83,26.2,3995208.0,26.18166666666666,5091
2015-12-02,26.17,26.3,25.75,25.8,3981270.0,26.03166666666666,5028
2015-12-03,25.72,26.34,25.35,25.51,4899906.0,25.73516666666666,6270
2015-12-04,25.52,26.38,25.52,26.11,5033982.0,26.15033333333334,6415
2015-12-07,26.7,26.75,25.73,25.93,7381266.0,25.974,8874
