date,open,high,low,close,volume,average,barCount
2015-10-13,69.16,69.61,68.92,69.04,749510.0,69.301,4643
2015-10-14,68.93,69.2,68.61,68.7,669899.0,68.894,4537
2015-10-15,69.0,69.44,68.94,69.27,924396.0,69.261,5889
2015-10-16,69.46,69.69,69.09,69.26,861478.0,69.307,5535
2015-10-19,68.98,69.29,68.76,69.03,592123.0,69.038,3865
2015-10-20,69.0,69.83,68.94,69.48,1530360.0,69.589,10802
2015-10-21,69.58,69.85,69.06,69.47,1315320.0,69.42,7619
2015-10-22,69.21,70.98,69.16,70.48,1353896.0,70.431,7879
2015-10-23,70.71,70.77,70.0,70.48,1038537.0,70.355,7461
2015-10-26,70.48,70.56,69.84,70.05,1138673.0,70.108,6731
2015-10-27,69.65,70.18,69.47,69.96,764645.0,69.948,4717
2015-10-28,70.2,70.83,69.79,70.37,819344.0,70.287,5878
2015-10-29,70.17,70.62,70.0,70.13,842656.0,70.323,5715
2015-10-30,70.17,70.54,69.8,69.97,1175345.0,70.198,7772
2015-11-02,70.05,70.82,69.57,70.73,1224305.0,70.2,8353
2015-11-03,70.63,71.57,70.32,71.36,1123731.0,71.193,7974
2015-11-04,68.1,69.23,63.95,65.24,6730191.0,65.551,45017
2015-11-05,64.9,67.72,64.9,67.4,2781352.0,67.167,18871
2015-11-06,67.53,68.04,67.04,68.01,981853.0,67.646,7280
2015-11-09,67.92,68.32,67.18,68.2,1494329.0,67.822,10149
2015-11-10,68.09,68.55,67.78,68.34,1189073.0,68.297,8580
2015-11-11,68.56,70.49,68.35,70.02,1068391.0,69.815,7602
2015-11-12,69.74,69.98,69.3,69.44,764672.0,69.638,5791
2015-11-13,69.07,69.57,68.37,69.03,1545673.0,68.924,8691
2015-11-16,68.92,70.11,68.65,70.02,709934.0,69.61,4654
2015-11-17,70.14,71.19,69.84,71.05,912952.0,70.841,6534
2015-11-18,71.12,72.0,70.98,71.98,1092321.0,71.738,6927
2015-11-19,72.0,72.97,71.67,72.45,1216566.0,72.514,7173
2015-11-20,72.76,72.81,72.18,72.19,1100409.0,72.405,6406
2015-11-23,72.24,72.52,71.82,72.24,823662.0,72.301,5344
2015-11-24,71.56,72.45,71.5,71.96,661839.0,72.011,4695
2015-11-25,72.16,72.16,71.65,71.83,673084.0,71.886,5291
2015-11-27,71.98,72.15,70.98,72.02,274836.0,71.989,2169
2015-11-30,72.22,72.22,71.6,71.78,758373.0,71.859,5383
2015-12-01,72.1,72.32,71.67,72.05,1054706.0,72.025,7232
2015-12-02,72.27,72.44,71.8,71.89,610030.0,72.075,4570
2015-12-03,72.13,72.22,70.86,71.08,620279.0,71.264,4921
2015-12-04,71.3,72.39,71.3,72.11,1186096.0,71.88,8345
2015-12-07,71.73,71.98,70.28,70.38,1375450.0,70.895,10364
2015-12-08,69.78,70.3,69.26,69.75,839535.0,69.682,6631
2015-12-09,69.44,69.81,68.73,69.31,884263.0,69.267,7033
2015-12-10,69.16,70.08,69.09,69.37,876669.0,69.563,7109
2015-12-11,68.55,68.81,67.85,68.61,1115584.0,68.369,7179
2015-12-14,68.51,69.03,67.89,68.14,889424.0,68.257,6288
2015-12-15,68.59,69.79,68.43,69.13,627024.0,69.29,4861
2015-12-16,69.52,69.89,68.99,69.52,771088.0,69.491,5896
2015-12-17,69.8,70.49,68.56,68.56,825030.0,69.224,5630
2015-12-18,68.26,68.55,67.55,67.58,1120017.0,68.099,5839
2015-12-21,67.76,68.14,67.62,68.03,400401.0,67.84,3171
2015-12-22,68.35,69.16,67.9,68.87,665612.0,68.572,4469
2015-12-23,69.29,69.42,68.87,69.21,290272.0,69.122,2152
2015-12-24,69.24,69.39,68.87,69.06,178487.0,69.096,1388
2015-12-28,68.86,69.32,68.68,69.18,240880.0,68.975,1809
2015-12-29,69.51,69.78,69.44,69.64,284780.0,69.592,2106
2015-12-30,69.56,69.89,69.2,69.3,253909.0,69.562,2032
2015-12-31,69.0,69.24,68.45,68.45,215593.0,68.792,1650
2016-01-04,67.67,67.67,66.62,67.13,666718.0,66.937,5617
2016-01-05,66.63,67.11,65.81,66.39,993641.0,66.339,7808
2016-01-06,65.57,66.58,65.25,65.43,756045.0,65.577,5588
2016-01-07,64.63,65.29,63.54,64.11,941619.0,64.287,7005
2016-01-08,64.33,64.95,64.0,64.25,948977.0,64.446,6800
2016-01-11,64.66,64.98,63.86,64.37,728966.0,64.529,5501
2016-01-12,64.93,65.05,63.85,64.91,923787.0,64.498,4931
2016-01-13,65.07,65.15,63.2,63.37,722900.0,63.921,5463
2016-01-14,63.66,63.91,62.98,63.11,1009960.0,63.455,7098
2016-01-15,61.8,62.28,61.21,61.59,1079095.0,61.696,7726
2016-01-19,62.3,62.36,60.66,61.13,1102090.0,61.435,8845
2016-01-20,60.38,60.76,59.13,60.36,1061079.0,59.969,8262
2016-01-21,60.4,61.27,60.03,60.82,641054.0,60.889,5361
2016-01-22,61.56,62.12,61.41,62.04,551670.0,61.801,4449
2016-01-25,61.93,62.87,61.59,62.42,705716.0,62.411,5383
2016-01-26,62.51,63.43,62.4,63.16,604636.0,63.08,4938
2016-01-27,63.44,65.99,63.44,64.8,1415264.0,65.041,10785
2016-01-28,64.96,65.45,64.38,64.74,898157.0,64.9,7114
2016-01-29,65.05,66.79,64.73,66.77,751048.0,66.179,5827
2016-02-01,66.58,67.2,66.22,66.85,833205.0,66.835,6465
2016-02-02,66.09,66.43,64.01,64.32,1672190.0,64.909,12294
2016-02-03,64.65,65.61,63.85,64.88,564695.0,64.595,4727
2016-02-04,64.7,64.91,63.81,64.25,718172.0,64.301,6195
2016-02-05,63.99,64.26,62.52,62.82,812728.0,62.893,7011
2016-02-08,62.22,62.48,61.25,62.09,888987.0,61.79,7212
2016-02-09,61.49,63.4,61.48,62.24,1017940.0,62.682,7788
2016-02-10,62.72,63.17,60.9,60.97,878653.0,61.697,7269
2016-02-11,60.19,60.83,59.78,60.52,646852.0,60.289,5231
2016-02-12,61.0,61.96,60.68,61.78,414983.0,61.574,3402
2016-02-16,62.47,63.46,62.36,63.42,509118.0,63.077,4094
2016-02-17,63.93,65.19,63.74,65.05,723840.0,64.757,5420
2016-02-18,65.17,65.41,64.67,64.78,737065.0,64.955,5572
2016-02-19,64.78,66.06,64.33,66.0,1307551.0,65.329,7051
2016-02-22,66.46,67.13,66.21,66.75,1614965.0,66.671,9023
2016-02-23,70.04,72.71,69.31,70.78,4537901.0,71.218,28379
2016-02-24,70.63,73.0,70.63,72.84,3206019.0,71.824,21403
2016-02-25,72.99,74.18,72.67,74.06,1772367.0,73.741,11475
2016-02-26,74.3,75.81,74.06,74.86,1764652.0,75.243,12271
2016-02-29,74.82,75.27,72.95,73.49,3593767.0,73.755,21732
2016-03-01,70.94,71.68,69.31,71.19,6591331.0,70.465,38469
2016-03-02,71.2,71.34,70.39,71.28,2337468.0,70.923,16821
2016-03-03,71.2,71.58,70.75,71.25,3159034.0,71.165,19256
2016-03-04,71.66,71.75,70.78,70.95,2219608.0,71.268,14413
2016-03-07,70.67,71.19,70.47,71.01,1702183.0,70.922,13632
2016-03-08,70.71,71.45,70.64,71.1,1230231.0,71.063,9572
2016-03-09,71.34,71.83,71.17,71.48,1327066.0,71.599,9089
2016-03-10,71.83,72.63,70.68,71.22,2524415.0,71.295,11574
2016-03-11,71.46,71.75,70.89,71.2,2145012.0,71.188,12250
2016-03-14,71.0,72.0,70.59,71.83,2147740.0,71.438,13796
2016-03-15,71.51,72.64,71.51,71.97,2088513.0,72.179,14650
2016-03-16,71.96,72.41,71.34,72.24,1592141.0,71.912,11340
2016-03-17,72.53,73.77,72.25,72.83,1460450.0,73.106,9849
2016-03-18,72.99,73.03,72.51,72.59,973774.0,72.799,6252
2016-03-21,72.41,73.31,71.96,73.12,1933484.0,72.857,10067
2016-03-22,73.02,74.04,72.72,73.71,2051081.0,73.46,11327
2016-03-23,73.69,73.69,72.85,73.15,1112195.0,73.197,6507
2016-03-24,73.04,73.04,72.4,72.59,749858.0,72.57,5232
2016-03-28,72.75,73.91,72.75,73.37,1171184.0,73.511,8258
2016-03-29,73.5,74.39,73.26,74.09,635637.0,74.009,4575
2016-03-30,74.5,75.38,74.29,74.89,1041762.0,74.894,7348
2016-03-31,74.78,75.83,74.78,75.7,1123544.0,75.448,8415
2016-04-01,75.3,76.59,75.02,76.11,1702640.0,76.097,12882
2016-04-04,75.4,76.83,75.13,76.32,1511858.0,76.299,10699
2016-04-05,75.97,76.22,75.09,75.71,1356422.0,75.883,9910
2016-04-06,75.93,76.15,75.17,76.09,1150616.0,75.641,8807
2016-04-07,75.77,75.92,74.86,74.99,791880.0,75.234,6056
2016-04-08,75.52,75.6,75.07,75.24,580852.0,75.338,4345
2016-04-11,75.37,75.58,74.76,74.88,843051.0,75.086,5897
2016-04-12,75.02,75.14,74.59,75.04,749560.0,74.961,5283
2016-04-13,75.54,75.58,75.01,75.37,973117.0,75.28,6546
2016-04-14,75.45,75.67,74.9,75.31,609623.0,75.176,4456
2016-04-15,75.18,75.77,74.88,75.64,906479.0,75.486,5383
2016-04-18,75.36,75.7,75.0,75.69,584248.0,75.495,4344
2016-04-19,75.99,76.0,75.53,75.97,500313.0,75.856,3656
2016-04-20,75.9,75.9,74.91,75.55,781580.0,75.381,5851
2016-04-21,75.4,75.55,74.85,74.99,459928.0,75.081,3847
2016-04-22,74.63,75.93,74.63,75.56,464135.0,75.489,3755
2016-04-25,75.23,75.75,75.23,75.51,460697.0,75.472,3582
2016-04-26,75.5,76.12,75.15,75.9,608325.0,75.882,4422
2016-04-27,75.55,76.48,75.24,76.04,1099708.0,75.935,5972
2016-04-28,75.7,76.15,75.17,75.34,487473.0,75.723,3810
2016-04-29,75.07,75.3,74.22,75.19,684810.0,74.819,5122
2016-05-02,75.47,76.03,74.94,76.0,773825.0,75.674,6184
2016-05-03,75.63,75.63,74.63,74.96,961715.0,75.01,7948
2016-05-04,74.22,74.71,73.74,74.22,716882.0,74.148,5436
2016-05-05,74.21,75.27,74.07,74.25,1087789.0,74.552,7948
2016-05-06,71.89,71.89,66.51,70.54,5011719.0,68.895,30739
2016-05-09,70.42,71.26,70.0,70.82,2448694.0,70.609,17537
2016-05-10,70.87,71.69,70.62,71.05,1235555.0,71.171,9080
2016-05-11,71.05,71.33,69.97,70.07,1704261.0,70.426,12450
2016-05-12,70.21,71.54,69.65,71.11,1550705.0,70.757,10898
2016-05-13,70.98,71.3,70.37,70.62,1627110.0,70.878,11643
2016-05-16,70.4,71.27,70.06,70.83,1422202.0,70.757,8391
2016-05-17,70.66,70.8,69.86,69.89,1521981.0,70.188,11027
2016-05-18,69.82,70.2,69.05,69.46,915699.0,69.651,7955
2016-05-19,69.36,69.76,68.29,68.72,966711.0,68.688,7599
2016-05-20,69.14,69.14,68.61,68.75,1370324.0,68.784,9383
2016-05-23,68.58,69.0,68.49,68.78,1348894.0,68.802,9451
2016-05-24,68.87,69.79,68.86,69.68,1199793.0,69.547,9018
2016-05-25,69.75,69.97,69.33,69.35,927447.0,69.648,7684
2016-05-26,69.32,69.84,68.96,69.4,657736.0,69.287,5299
2016-05-27,69.13,69.51,68.54,69.5,968765.0,69.048,7742
2016-05-31,69.6,69.73,68.73,69.27,1623736.0,69.136,11872
2016-06-01,69.01,69.45,68.64,69.06,1206608.0,69.121,9096
2016-06-02,69.06,69.16,68.62,68.8,2080907.0,68.804,10712
2016-06-03,68.65,68.78,67.69,68.47,3797056.0,68.101,17839
2016-06-06,68.52,69.05,68.2,68.77,2388365.0,68.661,13630
2016-06-07,68.48,68.65,67.93,68.16,2713361.0,68.217,13753
2016-06-08,68.4,69.32,68.18,69.05,2360240.0,68.782,9945
2016-06-09,68.92,69.25,68.35,68.56,1157144.0,68.553,8373
2016-06-10,67.92,68.05,67.23,67.44,1651225.0,67.528,12010
2016-06-13,66.9,67.91,66.77,66.82,2056429.0,67.349,13938
2016-06-14,66.55,67.46,66.5,67.24,1368534.0,67.133,10830
2016-06-15,67.31,67.9,67.21,67.54,4265262.0,67.533,13487
2016-06-16,67.12,67.87,67.03,67.8,1837616.0,67.532,10015
2016-06-17,67.82,67.92,67.3,67.33,1488547.0,67.53,10564
2016-06-20,67.93,68.59,67.85,68.35,3602080.0,68.173,14812
2016-06-21,68.31,68.42,67.8,67.81,1052148.0,68.047,7226
2016-06-22,67.72,67.93,67.38,67.43,845121.0,67.555,5791
2016-06-23,67.83,68.16,67.7,68.01,730165.0,67.904,5537
2016-06-24,66.05,66.45,64.6,64.73,2310308.0,65.478,14307
2016-06-27,64.17,64.17,62.76,63.08,1949585.0,63.092,14543
2016-06-28,63.61,63.81,62.82,63.69,1859960.0,63.278,12009
2016-06-29,64.23,64.65,63.73,64.55,861505.0,64.259,6834
2016-06-30,65.37,65.98,64.88,65.97,1490148.0,65.614,10699
2016-07-01,65.86,66.46,65.56,66.01,909052.0,66.039,7011
2016-07-05,65.47,65.48,64.73,64.77,727673.0,64.92,5571
2016-07-06,64.42,65.35,64.05,65.3,1760328.0,64.951,13059
2016-07-07,65.19,65.43,64.76,65.05,735765.0,65.103,5925
2016-07-08,65.67,66.54,65.5,66.38,681094.0,66.21,5189
2016-07-11,66.57,66.74,66.21,66.62,685147.0,66.555,5167
2016-07-12,67.26,67.51,66.88,67.4,853650.0,67.295,6572
2016-07-13,67.67,67.73,67.32,67.46,761064.0,67.497,5762
2016-07-14,67.87,68.16,67.47,67.58,768374.0,67.717,5713
2016-07-15,67.79,67.79,67.08,67.4,704501.0,67.48,5048
2016-07-18,67.4,68.0,67.4,67.55,528527.0,67.644,4056
2016-07-19,67.6,67.76,67.1,67.5,580504.0,67.337,3759
2016-07-20,67.57,68.02,67.53,67.93,624339.0,67.858,4071
2016-07-21,67.83,68.13,67.31,67.55,434142.0,67.555,3451
2016-07-22,67.46,68.36,67.46,68.25,625657.0,68.14,4769
2016-07-25,68.03,68.34,67.86,68.09,394706.0,68.0,3352
2016-07-26,68.15,68.49,68.1,68.42,420788.0,68.292,3536
2016-07-27,68.42,69.29,68.21,69.26,1104102.0,68.938,8457
2016-07-28,69.02,69.73,69.01,69.58,986797.0,69.531,7948
2016-07-29,69.46,69.57,68.99,69.38,630071.0,69.344,4527
2016-08-01,69.4,69.7,69.03,69.63,661014.0,69.499,5133
