date,open,high,low,close,volume,average,barCount
2015-10-13,32.52,33.17,32.51,32.61,8860724.0,32.862,46135
2015-10-14,32.58,33.11,32.38,32.54,8967516.0,32.646,43775
2015-10-15,32.71,33.68,32.36,33.61,11304105.0,33.187,54910
2015-10-16,33.84,34.08,33.5,33.95,12453303.0,33.801,59830
2015-10-19,31.89,32.33,31.6,32.32,35026950.0,32.021,138226
2015-10-20,32.21,32.4,31.66,32.25,21217982.0,32.056,86530
2015-10-21,32.4,32.41,31.35,31.48,20545835.0,31.642,83629
2015-10-22,31.7,32.43,31.63,32.35,17228514.0,32.133,77981
2015-10-23,32.58,33.0,32.34,32.62,13130798.0,32.65,58356
2015-10-26,32.63,32.82,32.32,32.55,8333531.0,32.484,41532
2015-10-27,32.35,32.37,31.79,32.23,11869909.0,32.057,54119
2015-10-28,32.15,33.63,32.11,33.44,15173906.0,33.036,74810
2015-10-29,33.44,33.88,33.35,33.54,11232197.0,33.555,56472
2015-10-30,33.44,33.57,32.93,32.97,11428677.0,33.211,53209
2015-11-02,33.08,33.72,33.02,33.48,8731794.0,33.427,40692
2015-11-03,33.27,33.54,33.08,33.29,9802790.0,33.31,49180
2015-11-04,33.4,33.6,33.23,33.4,7561651.0,33.422,38513
2015-11-05,33.53,34.05,33.41,33.88,10843245.0,33.839,49739
2015-11-06,34.94,35.61,34.85,35.41,17295595.0,35.32,85910
2015-11-09,35.52,35.74,34.84,35.11,9695526.0,35.178,51943
2015-11-10,35.0,35.32,34.72,35.24,6147483.0,35.04,33858
2015-11-11,35.38,35.54,34.95,35.02,6652885.0,35.167,35590
2015-11-12,34.74,34.77,34.18,34.23,8197011.0,34.447,46027
2015-11-13,34.04,34.37,33.78,33.93,7069674.0,34.005,41083
2015-11-16,33.74,34.14,33.22,34.05,9572823.0,33.695,52549
2015-11-17,34.44,34.44,33.47,33.59,9692378.0,33.788,53173
2015-11-18,33.69,34.31,33.61,34.25,9146033.0,33.985,47721
2015-11-19,34.28,34.44,33.95,34.17,6420113.0,34.203,36443
2015-11-20,34.33,34.53,33.78,33.91,7641603.0,34.059,41201
2015-11-23,33.92,34.14,33.57,33.64,6714111.0,33.84,36125
2015-11-24,33.25,33.78,33.18,33.59,6815978.0,33.514,37597
2015-11-25,33.62,33.75,33.44,33.61,4832792.0,33.585,27200
2015-11-27,33.63,33.92,33.48,33.78,2475800.0,33.751,13927
2015-11-30,33.81,34.53,33.7,34.3,14804861.0,34.172,63888
2015-12-01,34.69,35.35,34.6,35.27,16510881.0,35.083,72233
2015-12-02,35.36,35.4,34.72,34.89,9666902.0,35.027,48559
2015-12-03,35.05,35.22,34.29,34.45,13062521.0,34.668,66107
2015-12-04,34.66,35.58,34.4,35.32,11377757.0,35.23,62068
2015-12-07,35.28,35.31,34.42,34.68,7227197.0,34.732,39150
2015-12-08,34.23,34.35,33.84,34.06,9383341.0,34.079,48312
2015-12-09,33.8,34.31,33.09,33.37,11591366.0,33.554,63124
2015-12-10,33.5,33.9,33.28,33.42,8366424.0,33.595,42994
2015-12-11,32.81,33.05,31.93,32.08,13968114.0,32.413,70341
2015-12-14,32.13,32.52,31.39,31.88,13026791.0,31.846,76386
2015-12-15,32.63,33.08,32.56,32.84,11968524.0,32.838,67123
2015-12-16,33.17,33.77,32.68,33.61,12160713.0,33.228,66597
2015-12-17,33.83,33.85,32.36,32.38,14003216.0,32.783,73491
2015-12-18,32.13,32.25,31.25,31.29,13390261.0,31.718,64843
2015-12-21,31.62,31.8,31.19,31.68,9992279.0,31.466,52904
2015-12-22,31.96,32.38,31.61,32.22,10347288.0,32.012,53292
2015-12-23,32.44,32.73,32.27,32.6,5975566.0,32.475,34587
2015-12-24,32.57,32.71,32.44,32.48,2289821.0,32.56,12078
2015-12-28,32.36,32.36,31.95,32.17,4684481.0,32.134,24514
2015-12-29,32.44,32.71,32.32,32.55,5383575.0,32.53,28500
2015-12-30,32.5,32.65,32.2,32.23,4251579.0,32.418,21389
2015-12-31,31.91,32.3,31.77,31.81,6608345.0,32.019,35630
2016-01-04,30.7,31.52,30.56,31.48,13200909.0,31.211,71089
2016-01-05,31.48,31.7,30.93,31.28,8841935.0,31.18,44818
2016-01-06,30.63,30.78,30.25,30.5,11198461.0,30.487,55650
2016-01-07,29.88,30.07,28.78,28.98,15891305.0,29.358,79821
2016-01-08,29.41,29.49,28.3,28.38,13256065.0,28.788,68921
2016-01-11,28.45,28.6,27.81,28.46,17529038.0,28.224,92388
2016-01-12,28.74,28.88,28.0,28.46,13565532.0,28.372,69842
2016-01-13,28.73,28.8,26.5,26.89,27412721.0,27.317,137731
2016-01-14,26.99,27.32,26.23,27.15,21804648.0,27.045,112071
2016-01-15,26.03,26.41,25.51,25.97,26058948.0,25.924,121497
2016-01-19,26.8,27.13,25.76,26.26,24575353.0,26.377,110186
2016-01-20,25.7,25.77,24.67,25.24,24353406.0,25.187,130969
2016-01-21,25.25,25.59,24.69,24.78,18504088.0,25.106,96336
2016-01-22,25.26,25.98,25.18,25.61,20347316.0,25.62,95894
2016-01-25,25.46,25.51,24.94,24.98,18256260.0,25.141,85772
2016-01-26,25.04,25.66,25.03,25.49,12042655.0,25.468,64885
2016-01-27,25.25,26.16,25.05,25.37,18348534.0,25.586,100781
2016-01-28,25.67,25.84,24.94,25.17,14539892.0,25.27,73381
2016-01-29,25.35,25.89,25.11,25.88,15856104.0,25.536,75548
2016-02-01,25.77,25.93,25.42,25.71,9840511.0,25.692,49578
2016-02-02,25.36,25.37,24.39,24.5,16805680.0,24.719,76627
2016-02-03,24.43,24.52,23.29,24.32,22757711.0,24.041,111701
2016-02-04,24.15,25.2,24.12,25.01,16114706.0,24.831,82076
2016-02-05,25.09,25.42,24.18,24.35,14511423.0,24.603,70957
2016-02-08,23.81,23.84,22.32,22.67,22206378.0,22.778,107111
2016-02-09,21.89,23.29,21.76,22.93,23711350.0,22.811,112360
2016-02-10,23.38,23.78,22.64,22.7,20092501.0,23.161,98709
2016-02-11,21.67,22.14,21.15,21.69,26738064.0,21.665,129549
2016-02-12,21.93,23.2,21.86,23.09,20973824.0,22.763,97313
2016-02-16,24.07,24.14,23.21,23.72,17999341.0,23.628,91738
2016-02-17,24.22,24.67,24.12,24.23,17734829.0,24.35,82912
2016-02-18,24.36,24.54,23.78,23.96,15289810.0,24.044,75622
2016-02-19,23.78,24.19,23.64,24.0,11290728.0,23.962,52568
2016-02-22,24.4,24.74,24.33,24.54,10686057.0,24.492,53032
2016-02-23,24.45,24.49,23.68,23.71,13339718.0,23.852,65391
2016-02-24,23.16,23.71,22.68,23.71,18997763.0,23.136,77477
2016-02-25,23.8,24.68,23.77,24.63,15856780.0,24.366,67371
2016-02-26,25.0,25.67,24.78,25.16,17068444.0,25.238,75478
2016-02-29,25.01,25.15,24.67,24.7,11038162.0,24.878,56881
2016-03-01,25.09,26.12,25.06,26.09,15975053.0,25.751,70790
2016-03-02,26.0,26.29,25.83,26.11,14089784.0,26.042,63757
2016-03-03,26.1,26.19,25.81,26.14,10511820.0,26.062,51280
2016-03-04,26.26,26.5,25.91,26.13,12434579.0,26.178,58238
2016-03-07,25.84,26.33,25.7,26.09,8877483.0,26.081,43523
2016-03-08,25.7,25.86,24.94,25.01,19684384.0,25.245,78605
2016-03-09,25.2,25.26,24.44,24.61,21860638.0,24.666,99800
2016-03-10,24.91,25.15,24.44,24.65,18319159.0,24.712,81927
2016-03-11,25.14,26.09,25.11,26.0,22695281.0,25.678,85241
2016-03-14,25.83,26.07,25.66,25.91,16010601.0,25.896,70260
2016-03-15,25.63,25.69,25.12,25.43,14303967.0,25.349,57784
2016-03-16,25.3,25.79,24.71,25.16,16526617.0,25.217,68293
2016-03-17,25.01,26.03,24.58,25.85,18631714.0,25.501,76662
2016-03-18,26.05,26.55,25.98,26.28,17092379.0,26.216,71443
2016-03-21,26.17,26.61,25.85,25.94,8852983.0,26.084,44628
2016-03-22,25.61,26.02,25.44,25.84,10873290.0,25.746,48804
2016-03-23,25.83,25.87,25.2,25.27,8584664.0,25.404,39979
2016-03-24,24.94,24.96,24.29,24.93,13852746.0,24.638,59194
2016-03-28,24.98,25.07,24.67,24.72,8328862.0,24.794,37851
2016-03-29,24.56,24.81,24.12,24.78,12527095.0,24.475,59296
2016-03-30,24.96,25.43,24.76,25.07,10593978.0,25.072,47439
2016-03-31,24.91,25.54,24.89,25.01,13601387.0,25.233,54339
2016-04-01,24.89,25.68,24.62,25.53,13864175.0,25.353,58448
2016-04-04,25.49,25.51,24.91,25.04,9936157.0,25.131,47570
2016-04-05,24.63,24.7,24.24,24.38,11757482.0,24.489,49014
2016-04-06,24.34,24.73,24.27,24.42,13843445.0,24.466,58014
2016-04-07,24.23,24.31,23.51,23.72,15352356.0,23.89,60979
2016-04-08,24.01,24.18,23.66,23.75,8978641.0,23.905,40006
2016-04-11,23.9,24.44,23.87,24.11,10292532.0,24.238,45977
