date,open,high,low,close,volume,average,barCount
2015-10-13,25.32,25.47,25.24,25.31,3331100.0,25.32325,6543
2015-10-14,25.33,25.44,25.17,25.23,3733068.0,25.27475,6630
2015-10-15,25.36,25.84,25.31,25.8,5420168.0,25.655,10128
2015-10-16,25.95,26.07,25.78,25.92,5079944.0,25.9125,8958
2015-10-19,25.9,25.96,25.64,25.94,3854232.0,25.818,7028
2015-10-20,25.88,26.11,25.8,25.99,3842860.0,26.00075,6914
2015-10-21,26.08,26.22,25.98,26.05,3680792.0,26.10975,6740
2015-10-22,26.12,26.46,26.05,26.43,5410048.0,26.3155,9222
2015-10-23,26.39,26.46,26.09,26.14,4938656.0,26.1695,8941
2015-10-26,26.2,26.2,25.82,25.96,7579276.0,25.9645,12815
2015-10-27,25.93,26.07,25.87,26.03,7034132.0,25.97975,12106
2015-10-28,26.03,26.33,25.38,25.74,5931860.0,25.8255,11148
2015-10-29,25.66,25.66,25.25,25.45,5330860.0,25.38825,10036
2015-10-30,25.46,25.76,25.38,25.67,6348244.0,25.62225,11703
2015-11-02,25.69,25.75,25.35,25.56,5320808.0,25.5075,9870
2015-11-03,25.44,25.62,25.34,25.58,3911384.0,25.511,7504
2015-11-04,25.58,25.83,25.53,25.81,4193424.0,25.7595,6819
2015-11-05,25.76,25.88,25.51,25.53,4753716.0,25.62525,8173
2015-11-06,25.16,25.27,24.36,24.71,9332180.0,24.625,15595
2015-11-09,24.66,24.82,24.57,24.73,6565436.0,24.7165,10412
2015-11-10,24.72,24.88,24.66,24.75,5479076.0,24.7445,8877
2015-11-11,24.77,24.96,24.69,24.93,5256684.0,24.851,9080
2015-11-12,24.93,25.4,24.86,25.18,10895216.0,25.289,17599
2015-11-13,25.2,25.42,25.06,25.11,6992356.0,25.2135,13195
2015-11-16,25.13,25.54,25.04,25.53,4823400.0,25.35075,8594
2015-11-17,25.51,25.77,25.13,25.19,8126588.0,25.44075,14169
2015-11-18,25.19,25.32,24.64,24.93,16064992.0,24.8055,25373
2015-11-19,24.96,25.31,24.91,25.25,7579520.0,25.146,15177
2015-11-20,25.24,25.47,25.14,25.25,5618196.0,25.26275,9053
2015-11-23,25.25,25.34,25.06,25.12,4456124.0,25.15325,8235
2015-11-24,24.83,24.98,24.66,24.85,4745888.0,24.7935,8894
2015-11-25,24.8,24.82,24.63,24.72,3200324.0,24.7185,5735
2015-11-27,24.78,24.93,24.75,24.84,2268108.0,24.8515,4458
2015-11-30,24.82,25.13,24.82,24.97,5834980.0,25.00775,10957
2015-12-01,25.01,25.24,24.91,25.14,5222140.0,25.0585,9348
2015-12-02,25.06,25.11,24.48,24.5,8242628.0,24.6375,14229
2015-12-03,24.37,24.5,24.05,24.11,8431704.0,24.14975,14521
2015-12-04,24.24,24.58,24.1,24.54,10520900.0,24.49525,17805
2015-12-07,24.5,24.68,24.43,24.64,7699416.0,24.54575,12955
2015-12-08,24.59,24.87,24.52,24.84,8800128.0,24.746,17149
2015-12-09,24.7,24.95,24.5,24.69,8309936.0,24.712,17424
2015-12-10,24.75,24.75,24.37,24.4,5215992.0,24.51,9869
2015-12-11,24.22,24.43,24.08,24.35,6015684.0,24.3235,10814
2015-12-14,24.37,24.6,24.27,24.5,9942276.0,24.44825,18535
2015-12-15,24.62,24.82,24.51,24.68,7535552.0,24.69025,14213
2015-12-16,24.85,25.98,24.85,25.91,13403864.0,25.6475,22895
2015-12-17,25.91,26.11,25.75,25.85,7691100.0,25.9495,13322
2015-12-18,25.84,25.85,25.18,25.53,10164000.0,25.53075,16275
2015-12-21,25.7,25.74,25.38,25.58,7544920.0,25.544,11722
2015-12-22,25.66,25.82,25.38,25.73,4942288.0,25.607,9232
2015-12-23,25.77,26.08,25.75,26.0,4859356.0,25.9895,9025
2015-12-24,25.96,26.04,25.88,25.98,1503236.0,25.94675,2646
2015-12-28,25.92,26.02,25.83,26.0,5518120.0,25.93825,7849
2015-12-29,26.16,26.33,26.12,26.16,3209244.0,26.197,5696
2015-12-30,26.16,26.32,26.11,26.23,4265072.0,26.226,7694
2015-12-31,26.23,26.23,25.76,25.97,3417152.0,26.00025,6222
2016-01-04,25.72,25.91,25.59,25.89,5314764.0,25.73525,10085
2016-01-05,25.92,26.24,25.55,26.15,6932736.0,25.9755,13118
2016-01-06,25.97,26.17,25.88,26.06,5318448.0,26.0405,9611
2016-01-07,25.8,26.27,25.76,26.18,10275596.0,26.111,17079
2016-01-08,26.22,26.48,26.19,26.29,11840172.0,26.3045,18042
2016-01-11,26.33,26.65,26.28,26.4,11232624.0,26.46225,18032
2016-01-12,26.44,26.52,26.09,26.35,6622924.0,26.28325,11941
2016-01-13,26.42,26.47,25.93,26.16,8337304.0,26.1915,15491
2016-01-14,26.2,26.69,26.09,26.42,7669440.0,26.417,14197
2016-01-15,26.36,26.47,26.02,26.32,11812452.0,26.21375,20580
2016-01-19,26.36,27.06,26.28,26.95,11496232.0,26.75625,19865
2016-01-20,26.72,26.89,25.84,26.33,10573944.0,26.3135,18186
2016-01-21,26.36,26.45,25.97,26.26,6429980.0,26.2115,12434
2016-01-22,26.45,26.67,26.25,26.65,7344736.0,26.49725,13525
2016-01-25,26.68,26.76,26.37,26.61,6735916.0,26.606,11618
2016-01-26,26.65,26.93,26.47,26.64,10127056.0,26.62575,15994
2016-01-27,26.72,26.95,26.55,26.68,9182240.0,26.75075,15876
2016-01-28,26.44,27.19,26.38,27.08,12640460.0,26.948,20081
2016-01-29,27.35,27.97,27.2,27.93,15170180.0,27.70675,25437
2016-02-01,27.91,28.36,27.7,28.25,12612268.0,28.13375,21266
2016-02-02,28.01,28.52,28.0,28.48,8819628.0,28.32275,16084
2016-02-03,28.53,28.88,28.42,28.69,10361412.0,28.65475,19655
2016-02-04,28.48,28.74,28.14,28.38,8842688.0,28.35575,17552
2016-02-05,28.33,28.54,28.06,28.4,8363860.0,28.2905,16212
2016-02-08,28.41,28.65,28.2,28.54,7890760.0,28.39225,14657
2016-02-09,28.5,28.99,28.41,28.84,11260612.0,28.8235,21518
2016-02-10,28.16,28.53,27.85,28.43,10968312.0,28.256,18354
2016-02-11,28.26,28.49,27.97,27.98,9263520.0,28.0995,16771
2016-02-12,28.03,28.08,27.65,27.92,8541736.0,27.83575,14346
2016-02-16,28.11,28.24,27.8,28.09,6855724.0,28.05875,10759
2016-02-17,28.07,28.07,27.82,27.86,6930304.0,27.91375,12685
2016-02-18,27.96,28.7,27.92,28.58,10123040.0,28.495,17512
2016-02-19,28.63,28.86,28.4,28.69,9437556.0,28.694,14932
2016-02-22,28.78,29.13,28.69,28.93,8648980.0,28.9015,13857
2016-02-23,28.83,29.14,28.71,29.03,6841244.0,29.002,12424
2016-02-24,28.67,29.03,28.61,29.0,7610464.0,28.829,13712
2016-02-25,29.09,29.25,28.78,28.96,6661860.0,28.946,9889
2016-02-26,28.83,28.95,28.05,28.13,7349672.0,28.27175,13459
2016-02-29,28.09,28.49,28.01,28.21,6309272.0,28.297,10103
2016-03-01,28.36,28.43,27.99,28.15,7652588.0,28.15625,13356
2016-03-02,28.06,28.22,27.34,28.09,8785388.0,27.87975,16290
2016-03-03,28.12,28.14,27.49,27.91,10419700.0,27.796,18367
2016-03-04,27.8,28.64,27.66,28.57,9538924.0,28.355,17267
2016-03-07,28.52,28.68,28.37,28.61,6603304.0,28.573,13328
2016-03-08,28.62,28.93,28.54,28.86,5972784.0,28.80725,10666
2016-03-09,28.84,29.1,28.84,29.07,4585204.0,29.006,8734
2016-03-10,29.21,29.24,28.63,28.92,4630592.0,28.90425,9092
2016-03-11,29.07,29.1,28.84,28.96,4910996.0,28.9525,8511
2016-03-14,29.01,29.19,28.82,28.96,4413860.0,28.96025,8296
2016-03-15,28.96,29.17,28.82,28.9,6497484.0,28.92775,12168
2016-03-16,28.89,29.38,28.61,29.28,5419536.0,29.0495,10065
2016-03-17,29.32,29.64,29.13,29.58,5276172.0,29.50075,9367
2016-03-18,29.68,29.72,29.39,29.63,11021344.0,29.583,13942
2016-03-21,29.47,29.6,29.15,29.39,4066936.0,29.39025,7452
2016-03-22,29.34,29.54,29.18,29.26,3636372.0,29.34375,6881
2016-03-23,29.18,29.53,29.11,29.42,4870800.0,29.36825,9011
2016-03-24,29.37,29.66,29.32,29.62,6516136.0,29.54125,11636
2016-03-28,29.59,29.73,29.34,29.4,3381600.0,29.44225,6511
2016-03-29,29.49,29.78,29.3,29.75,3790308.0,29.54725,6568
2016-03-30,29.79,29.84,29.53,29.63,3763932.0,29.65225,6690
2016-03-31,29.56,29.7,29.46,29.59,4945084.0,29.5455,9879
2016-04-01,29.52,29.75,29.36,29.68,5679588.0,29.5305,10605
2016-04-04,29.76,29.8,29.49,29.68,3273016.0,29.6055,6385
2016-04-05,29.58,29.73,29.04,29.09,6400948.0,29.17275,11119
2016-04-06,29.08,29.18,28.9,29.18,4520316.0,29.0645,8699
2016-04-07,29.09,29.33,29.0,29.05,3531480.0,29.1005,6540
2016-04-08,29.0,29.36,29.0,29.2,2893452.0,29.21325,5345
2016-04-11,29.27,29.41,29.01,29.06,2838628.0,29.13675,4544
2016-04-12,29.12,29.32,29.02,29.26,3287128.0,29.2175,6455
2016-04-13,29.35,29.4,28.94,29.12,3492476.0,29.05,5841
2016-04-14,29.04,29.23,28.75,29.04,4215064.0,29.052,7626
2016-04-15,29.13,29.4,29.04,29.36,5087324.0,29.29375,7328
2016-04-18,29.3,29.44,29.12,29.44,4467024.0,29.31525,7734
2016-04-19,29.52,29.6,29.31,29.53,5413504.0,29.45775,6772
2016-04-20,29.52,29.58,28.86,28.88,4192572.0,29.1885,7127
2016-04-21,28.81,28.81,28.11,28.23,7226816.0,28.36675,11577
2016-04-22,28.34,28.63,28.31,28.61,5132304.0,28.53875,8862
2016-04-25,28.58,28.62,28.46,28.62,2871968.0,28.5405,5578
2016-04-26,28.68,28.91,28.55,28.88,6055716.0,28.83575,10959
2016-04-27,28.92,29.5,28.85,29.22,7772756.0,29.2355,13481
2016-04-28,28.95,29.43,28.78,29.12,6497768.0,29.1375,10433
2016-04-29,29.05,29.44,28.79,29.4,6036608.0,29.17425,11762
2016-05-02,29.46,29.69,29.32,29.52,5669144.0,29.50325,10413
2016-05-03,29.59,29.74,29.36,29.61,3740420.0,29.5455,7157
2016-05-04,29.5,30.11,29.43,29.86,4719352.0,29.889,8350
2016-05-05,29.86,30.11,29.49,29.71,6534368.0,29.7155,12333
2016-05-06,29.77,29.78,29.38,29.62,4559084.0,29.5565,7830
2016-05-09,29.66,29.77,29.53,29.72,3489464.0,29.676,6449
2016-05-10,29.82,30.0,29.73,29.9,3307688.0,29.899,6126
2016-05-11,29.94,30.09,29.63,29.92,3248428.0,29.85,6103
2016-05-12,29.97,30.35,29.82,30.29,5740824.0,30.23925,11472
2016-05-13,30.23,30.33,29.93,30.19,3940992.0,30.16825,7480
2016-05-16,30.09,30.38,29.95,30.37,3427792.0,30.25125,6338
2016-05-17,30.28,30.32,29.74,29.95,5989120.0,29.9235,10687
2016-05-18,29.81,30.2,29.35,29.5,6806688.0,29.72925,13086
2016-05-19,29.28,29.61,29.13,29.6,5979108.0,29.477,10273
2016-05-20,29.65,29.85,29.47,29.83,6839184.0,29.72325,11833
2016-05-23,29.86,29.88,29.47,29.5,3263592.0,29.638,6237
2016-05-24,29.56,30.02,29.52,29.97,5210108.0,29.8405,8146
2016-05-25,29.9,29.99,29.72,29.78,4024324.0,29.814,7593
2016-05-26,29.55,29.98,29.55,29.96,3040872.0,29.85725,5770
2016-05-27,29.98,30.02,29.8,29.96,2881500.0,29.9195,5710
2016-05-31,29.96,30.22,29.86,30.03,6575172.0,30.01575,12586
2016-06-01,30.03,30.21,29.9,30.04,4556304.0,30.02875,9093
