date,open,high,low,close,volume,average,barCount
2015-10-13,18.43,18.61,18.15,18.37,6816717.0,18.421,40256
2015-10-14,18.78,19.59,18.48,19.47,11168551.0,19.08,54530
2015-10-15,19.22,19.44,18.99,19.3,8723659.0,19.241,44200
2015-10-16,19.37,19.46,18.96,18.99,6638050.0,19.145,33362
2015-10-19,18.86,19.21,18.47,18.55,5250882.0,18.727,29244
2015-10-20,18.76,19.14,18.62,18.84,5721263.0,18.919,32379
2015-10-21,18.7,18.73,18.22,18.42,3946587.0,18.391,22868
2015-10-22,18.38,19.13,18.31,19.03,5644850.0,18.936,32006
2015-10-23,19.24,19.64,19.05,19.55,6515930.0,19.429,38785
2015-10-26,19.37,19.41,18.79,18.8,5198797.0,18.931,26809
2015-10-27,18.76,19.14,18.52,18.77,4223038.0,18.799,24256
2015-10-28,19.08,20.3,18.55,19.15,11474374.0,19.424,60411
2015-10-29,19.48,20.57,19.44,19.89,11425554.0,20.009,60621
2015-10-30,19.91,20.13,19.46,19.46,6649920.0,19.741,38180
2015-11-02,19.32,19.76,18.98,19.63,5532935.0,19.467,30010
2015-11-03,19.4,19.49,18.88,19.22,5562498.0,19.183,30234
2015-11-04,19.36,19.51,18.92,19.01,4811550.0,19.112,27885
2015-11-05,18.96,18.96,17.26,17.5,14025853.0,17.753,66948
2015-11-06,16.99,17.7,16.81,17.54,9786283.0,17.316,52806
2015-11-09,17.5,17.94,17.26,17.86,6135103.0,17.591,34259
2015-11-10,17.52,17.8,17.45,17.46,4263999.0,17.581,23786
2015-11-11,17.59,17.83,17.44,17.79,3736052.0,17.671,20778
2015-11-12,17.34,17.87,17.08,17.33,6834624.0,17.449,34733
2015-11-13,17.33,17.51,17.23,17.5,4171195.0,17.388,23712
2015-11-16,17.59,17.91,17.5,17.63,5383804.0,17.628,21890
2015-11-17,17.51,17.67,16.65,16.88,7574780.0,17.006,37761
2015-11-18,17.0,17.72,16.81,17.63,6494402.0,17.269,34541
2015-11-19,17.8,18.11,17.64,18.05,6197031.0,17.939,32934
2015-11-20,18.1,18.18,17.58,17.68,5281335.0,17.774,26562
2015-11-23,17.54,17.67,17.23,17.56,4742794.0,17.495,26615
2015-11-24,17.82,18.15,17.58,18.0,5233314.0,17.937,27990
2015-11-25,17.71,18.25,17.67,17.91,4047567.0,17.976,23144
2015-11-27,17.5,17.63,17.24,17.39,3599548.0,17.417,19494
2015-11-30,17.59,18.52,17.48,18.41,8031706.0,18.173,39016
2015-12-01,18.28,18.45,17.85,18.39,7315768.0,18.128,39508
2015-12-02,18.06,18.39,17.77,17.85,6034084.0,18.012,32684
2015-12-03,18.09,18.94,18.03,18.73,7903945.0,18.616,40526
2015-12-04,18.94,20.49,18.87,20.46,13149650.0,19.896,68274
2015-12-07,20.03,20.17,19.55,19.75,8983174.0,19.761,41900
2015-12-08,19.61,19.7,19.15,19.38,6106030.0,19.362,33995
2015-12-09,19.76,20.04,19.29,19.6,6756728.0,19.631,35859
2015-12-10,19.5,19.79,19.42,19.43,4141997.0,19.625,22000
2015-12-11,19.13,19.8,18.93,19.13,6781817.0,19.286,37054
