date,open,high,low,close,volume,average,barCount
2015-10-13,18.9,19.29,18.81,19.11,3408927.0,19.117,16733
2015-10-14,19.12,19.18,19.03,19.07,1327619.0,19.09,7620
2015-10-15,19.12,19.42,18.94,19.39,2004403.0,19.223,11228
2015-10-16,19.47,19.52,19.29,19.46,1606849.0,19.426,8711
2015-10-19,19.42,19.55,19.29,19.55,1548243.0,19.421,9107
2015-10-20,19.5,19.56,19.3,19.54,3228660.0,19.464,14553
2015-10-21,19.59,19.75,19.36,19.4,1403435.0,19.488,7771
2015-10-22,19.44,19.8,19.38,19.75,1333541.0,19.652,7040
2015-10-23,19.72,19.85,19.49,19.61,2113567.0,19.648,11877
2015-10-26,19.65,19.65,19.43,19.57,1335641.0,19.539,7586
2015-10-27,19.52,19.56,19.12,19.27,2423861.0,19.274,13689
2015-10-28,19.19,19.28,18.85,19.1,2565982.0,19.043,13232
2015-10-29,19.1,19.1,18.74,18.89,3499918.0,18.893,17676
2015-10-30,18.92,19.35,18.92,19.16,2257387.0,19.174,12827
2015-11-02,19.13,19.28,19.04,19.18,2811865.0,19.189,15312
2015-11-03,19.22,19.44,18.99,19.12,2298902.0,19.109,14068
2015-11-04,19.12,19.39,19.12,19.36,3024386.0,19.288,14019
2015-11-05,19.37,19.7,19.25,19.56,3360949.0,19.54,16562
2015-11-06,19.24,19.31,18.77,18.96,4235761.0,18.905,18837
2015-11-09,18.83,19.05,18.76,18.92,2289440.0,18.897,12789
2015-11-10,18.94,19.3,18.9,19.25,2577677.0,19.208,11830
2015-11-11,19.32,19.57,19.29,19.42,1776990.0,19.4,9983
2015-11-12,19.36,19.53,19.09,19.14,1443360.0,19.231,8757
2015-11-13,19.07,19.2,19.0,19.08,1449361.0,19.109,8056
2015-11-16,19.04,19.32,19.0,19.32,1788195.0,19.145,9043
2015-11-17,19.24,19.48,19.13,19.18,1429182.0,19.28,7389
2015-11-18,19.4,19.6,19.15,19.58,3115728.0,19.326,13521
2015-11-19,19.6,19.75,19.52,19.71,1154485.0,19.646,7034
2015-11-20,19.77,20.13,19.72,19.83,2574983.0,19.896,12660
2015-11-23,19.85,20.01,19.65,19.75,2123668.0,19.8,10795
2015-11-24,19.73,19.73,19.49,19.52,1877743.0,19.545,9787
2015-11-25,19.5,19.5,19.08,19.14,2636926.0,19.179,13474
2015-11-27,19.18,19.38,19.12,19.22,749046.0,19.251,4861
2015-11-30,19.26,19.31,19.0,19.19,3142322.0,19.147,13521
2015-12-01,19.23,19.41,19.14,19.39,1748199.0,19.279,11208
