date,open,high,low,close,volume,average,barCount
2015-10-13,63.0,63.27,62.8,62.91,4711908.0,62.9815,15153
2015-10-14,62.99,63.31,62.7,62.92,5201126.0,62.9685,16445
2015-10-15,63.61,64.58,63.48,64.39,8868706.0,64.2075,26427
2015-10-16,64.75,65.3,64.44,65.24,7725758.0,64.8955,23156
2015-10-19,65.86,66.76,65.56,66.61,10626036.0,66.3615,31091
2015-10-20,66.53,66.68,65.99,66.19,7610538.0,66.2765,21947
2015-10-21,66.33,66.61,65.92,66.24,4635848.0,66.275,13995
2015-10-22,66.44,66.73,65.29,66.21,7896462.0,65.9005,27200
2015-10-23,66.54,66.6,64.46,65.27,8918242.0,65.2515,27998
2015-10-26,65.14,66.11,65.08,65.69,5480474.0,65.791,16978
2015-10-27,65.5,65.62,64.83,65.41,4863344.0,65.365,16903
2015-10-28,65.86,66.03,64.97,65.64,5752590.0,65.5065,17909
2015-10-29,65.34,65.74,64.98,65.56,4033926.0,65.329,15035
2015-10-30,65.78,65.81,65.04,65.52,5362806.0,65.495,17607
2015-11-02,65.86,66.0,64.73,65.6,4977360.0,65.326,16152
2015-11-03,65.62,65.85,65.34,65.7,3982024.0,65.608,13373
2015-11-04,65.7,65.94,64.94,65.18,3990952.0,65.28,13784
2015-11-05,65.59,66.22,65.23,65.93,3840696.0,65.838,13546
2015-11-06,65.8,66.47,65.68,65.89,3928964.0,65.9405,12713
2015-11-09,65.63,65.71,64.64,65.24,4716168.0,65.069,16485
2015-11-10,65.05,65.35,64.77,65.0,4414680.0,65.046,14992
2015-11-11,65.14,65.3,63.64,63.71,7168020.0,64.0095,22585
2015-11-12,63.5,64.0,62.71,62.99,7974066.0,63.179,27130
2015-11-13,62.54,62.61,60.58,60.93,13725018.0,61.161,45129
2015-11-16,60.9,61.74,60.67,61.73,7706336.0,61.263,24127
2015-11-17,61.52,61.8,60.21,61.29,9199006.0,61.0925,28435
2015-11-18,61.52,63.02,61.33,62.89,9015188.0,62.1955,24040
2015-11-19,63.13,63.49,62.69,62.89,6727862.0,62.987,21617
2015-11-20,66.06,66.4,65.24,66.33,15688816.0,65.9305,44294
2015-11-23,66.41,66.5,65.89,66.23,5771930.0,66.2485,17964
2015-11-24,65.82,66.49,65.63,66.26,4102554.0,66.096,13796
2015-11-25,66.54,67.28,66.52,67.07,5654686.0,66.977,17761
2015-11-27,67.46,67.65,66.67,67.17,3340716.0,67.1945,10477
2015-11-30,66.97,67.1,65.82,66.14,6301862.0,66.241,20156
