date,open,high,low,close,volume,average,barCount
2015-10-13,176.7,177.92,176.23,177.0,686124.0,177.215,5160
2015-10-14,176.81,176.93,173.51,173.8,510964.0,175.052,4238
2015-10-15,174.52,174.74,172.4,174.06,778999.0,173.764,5689
2015-10-16,174.95,175.44,173.62,174.88,760636.0,174.284,5606
2015-10-19,174.06,174.63,172.87,174.58,432100.0,174.119,3623
2015-10-20,173.69,175.34,173.19,174.45,534090.0,174.389,3913
2015-10-21,175.69,176.05,173.87,174.13,575247.0,174.691,4407
2015-10-22,174.71,180.35,174.23,179.5,911560.0,178.276,6601
2015-10-23,180.12,181.0,178.62,179.83,648386.0,179.803,4863
2015-10-26,180.04,180.99,178.98,180.29,896719.0,179.94,6388
2015-10-27,179.58,181.89,179.58,180.6,1359624.0,180.885,10065
2015-10-28,191.02,193.99,188.75,190.5,3409819.0,191.445,21536
2015-10-29,188.67,192.25,188.5,190.07,1533663.0,190.14,12591
2015-10-30,190.81,190.89,187.75,187.75,992716.0,189.094,7678
2015-11-02,188.48,189.83,188.01,189.54,803681.0,188.865,5633
2015-11-03,189.11,189.32,186.58,186.64,672423.0,187.258,5054
2015-11-04,187.29,188.45,185.41,186.17,802821.0,186.309,5805
2015-11-05,186.42,187.5,185.47,186.42,504912.0,186.19,3604
2015-11-06,186.02,186.41,183.12,184.01,933930.0,184.129,6413
2015-11-09,183.37,184.2,181.1,181.66,766412.0,181.851,5787
2015-11-10,181.04,182.58,180.02,181.49,679372.0,181.411,5074
2015-11-11,181.69,182.89,181.4,181.7,660531.0,182.145,4584
2015-11-12,181.29,182.15,179.9,180.31,587550.0,180.773,4341
2015-11-13,179.47,181.38,178.6,178.82,552917.0,179.625,4500
2015-11-16,179.9,186.7,179.4,186.61,1400149.0,184.941,9494
2015-11-17,188.0,188.0,185.11,186.14,1016697.0,186.158,7163
2015-11-18,186.45,188.48,186.28,188.14,539399.0,187.413,4116
2015-11-19,188.92,189.44,187.18,188.26,711143.0,188.109,5348
2015-11-20,189.36,190.15,188.84,189.48,871700.0,189.498,6185
2015-11-23,189.5,190.0,187.77,187.83,669760.0,188.428,4338
2015-11-24,186.8,188.61,186.18,188.0,683055.0,187.608,5256
2015-11-25,187.76,188.95,186.95,187.77,596029.0,187.82,4353
2015-11-27,188.07,188.95,186.58,188.41,315442.0,187.988,2222
2015-11-30,188.92,188.93,185.95,186.36,799718.0,187.116,6148
2015-12-01,187.09,189.37,186.6,187.31,670922.0,187.345,5199
2015-12-02,186.92,187.82,185.42,185.69,490094.0,186.32,3908
2015-12-03,185.97,186.38,182.01,183.06,813057.0,183.717,5991
2015-12-04,183.48,188.2,183.39,187.95,568155.0,187.057,4542
2015-12-07,187.97,188.44,186.77,187.99,485523.0,187.714,3681
