date,open,high,low,close,volume,average,barCount
2015-10-13,33.1,33.87,32.9,33.43,3004018.0,33.596,21325
2015-10-14,33.46,33.95,33.42,33.88,2825650.0,33.782,18850
2015-10-15,33.63,33.78,33.37,33.78,2614683.0,33.6,18470
2015-10-16,33.79,33.83,33.48,33.82,2009792.0,33.697,14470
2015-10-19,33.74,33.92,33.6,33.68,1199932.0,33.725,8769
2015-10-20,33.53,33.84,33.5,33.72,1668163.0,33.683,11609
2015-10-21,33.78,33.85,33.32,33.4,2522304.0,33.463,17485
2015-10-22,33.79,34.4,33.34,34.38,2451207.0,34.165,16396
2015-10-23,34.5,34.81,34.22,34.67,2543541.0,34.59,17556
2015-10-26,33.92,34.03,33.11,33.15,2959582.0,33.336,21351
2015-10-27,32.97,33.54,32.86,33.36,3236452.0,33.277,22393
2015-10-28,33.56,34.08,33.37,34.06,2137184.0,33.816,15850
2015-10-29,33.73,34.07,33.61,33.76,1195560.0,33.781,9429
2015-10-30,33.97,34.09,33.39,34.0,1431734.0,33.918,9715
2015-11-02,33.93,34.39,33.86,34.38,1808964.0,34.182,13555
2015-11-03,34.28,34.73,34.18,34.49,1611921.0,34.519,11250
2015-11-04,34.49,34.53,33.77,33.82,2370109.0,33.952,16420
2015-11-05,33.95,34.6,33.93,34.2,2994052.0,34.241,19092
2015-11-06,33.96,34.44,33.88,34.4,2046282.0,34.282,13082
2015-11-09,34.31,34.38,33.96,34.14,1870517.0,34.131,13268
2015-11-10,34.01,34.03,33.21,33.33,2133271.0,33.444,14897
2015-11-11,33.48,33.51,32.31,32.43,3410915.0,32.599,23447
2015-11-12,31.69,32.44,31.69,31.84,3682807.0,32.073,25627
2015-11-13,31.58,31.88,30.83,31.31,3558465.0,31.235,25285
2015-11-16,31.28,31.65,31.18,31.49,2376678.0,31.476,17018
2015-11-17,31.48,31.94,31.14,31.3,3354145.0,31.5,23333
2015-11-18,31.2,31.47,30.76,31.04,4920492.0,30.99,33017
2015-11-19,31.35,31.48,30.12,30.97,6615444.0,30.701,42839
2015-11-20,31.12,31.25,30.5,31.05,3015983.0,31.009,21366
2015-11-23,31.11,31.59,30.93,31.01,2107478.0,31.262,15538
