date,open,high,low,close,volume,average,barCount
2015-10-13,68.94,69.0,68.18,68.44,665131.0,68.498,5568
2015-10-14,68.0,68.06,67.05,67.68,1050236.0,67.672,8125
2015-10-15,68.13,69.46,67.82,69.45,1428334.0,68.942,9060
2015-10-16,69.73,69.84,68.94,69.11,987293.0,69.313,6295
2015-10-19,68.71,69.08,68.26,68.34,1106901.0,68.718,7637
2015-10-20,68.6,69.85,68.6,69.57,1478342.0,69.428,11358
2015-10-21,68.02,69.48,66.31,66.55,2357172.0,67.114,16156
2015-10-22,66.53,68.77,66.52,68.1,2176153.0,68.202,16112
2015-10-23,68.6,69.18,67.69,69.17,1387571.0,68.727,11455
2015-10-26,69.3,69.55,68.53,68.9,650590.0,69.008,5764
2015-10-27,68.58,69.45,68.28,68.93,666127.0,68.776,5380
2015-10-28,68.49,71.69,68.49,71.44,1526111.0,70.475,11452
2015-10-29,71.49,72.09,70.76,71.02,1198177.0,71.282,9495
2015-10-30,70.97,71.48,70.26,70.39,1226333.0,70.855,10860
2015-11-02,70.8,71.55,70.6,71.29,751531.0,71.16,6693
2015-11-03,70.89,72.06,70.89,71.73,724949.0,71.678,6467
2015-11-04,71.75,72.46,71.54,72.17,794182.0,72.121,6946
2015-11-05,72.44,73.4,72.06,73.28,1105383.0,73.053,8896
2015-11-06,74.4,75.92,74.12,74.97,1426868.0,74.852,10483
2015-11-09,75.0,75.43,73.67,74.04,705919.0,74.325,5497
2015-11-10,73.94,74.83,73.39,74.82,1373353.0,74.28,10514
2015-11-11,74.96,75.47,74.65,74.95,821450.0,75.014,7236
2015-11-12,74.31,74.68,73.93,73.95,834334.0,74.259,7396
2015-11-13,73.91,74.52,73.06,73.23,1020605.0,73.421,8207
2015-11-16,73.11,74.01,72.61,74.01,1021060.0,73.32,8692
2015-11-17,74.1,74.79,73.73,73.98,529379.0,74.181,4651
2015-11-18,74.48,75.84,74.12,75.76,822372.0,75.087,6879
2015-11-19,75.58,75.9,75.01,75.4,529248.0,75.409,4595
2015-11-20,75.94,76.11,75.12,75.64,693879.0,75.605,5462
2015-11-23,75.43,75.88,74.9,75.2,780796.0,75.465,6861
2015-11-24,74.68,75.54,74.3,75.1,899876.0,75.1,7823
2015-11-25,75.41,75.81,74.72,75.0,1001778.0,75.017,8719
2015-11-27,75.11,75.67,74.8,75.54,500306.0,75.296,4513
2015-11-30,75.52,75.58,74.87,74.94,960848.0,75.171,7851
2015-12-01,75.45,75.62,74.64,75.02,1563332.0,75.014,12568
2015-12-02,74.88,75.14,74.1,74.2,1242177.0,74.484,9727
