date,open,high,low,close,volume,average,barCount
2015-10-12,69.21,69.47,67.5,69.36,518570.0,68.52,3631
2015-10-13,68.56,68.7,67.42,67.45,399635.0,67.999,2758
2015-10-14,67.49,69.22,66.69,68.71,424406.0,68.192,2940
2015-10-15,68.65,69.41,67.66,69.27,215339.0,68.799,1557
2015-10-16,69.49,70.06,68.93,69.68,365488.0,69.69,2680
2015-10-19,68.92,69.14,67.0,67.78,494442.0,67.894,3403
2015-10-20,67.43,68.22,67.07,67.45,322886.0,67.572,2503
2015-10-21,67.18,67.72,66.0,66.05,311452.0,66.636,2162
2015-10-22,65.99,66.61,63.02,63.86,882244.0,64.201,6600
2015-10-23,63.9,64.67,63.12,63.94,646774.0,63.675,4587
2015-10-26,63.31,63.94,61.76,61.85,698819.0,62.43,4602
2015-10-27,61.18,61.36,59.67,60.39,1181495.0,60.229,6496
2015-10-28,60.61,63.34,60.6,62.93,564740.0,62.616,3898
2015-10-29,61.74,63.69,61.32,63.18,365961.0,62.893,2198
2015-10-30,63.2,65.3,62.25,63.81,681895.0,64.075,4644
2015-11-02,63.46,65.64,63.09,64.67,600197.0,64.797,4352
2015-11-03,66.94,69.3,65.92,69.14,1044343.0,68.132,7677
2015-11-04,69.5,69.85,67.53,68.71,1093337.0,68.691,7428
2015-11-05,68.09,69.87,68.08,68.82,781982.0,68.855,5393
2015-11-06,67.92,68.75,66.8,67.09,505433.0,67.558,3609
2015-11-09,67.0,67.86,66.16,66.71,324191.0,66.732,2289
2015-11-10,66.72,67.3,66.12,66.28,369274.0,66.445,2500
2015-11-11,66.3,67.05,64.71,65.13,524425.0,65.304,3158
2015-11-12,64.43,65.05,63.81,64.11,541789.0,64.488,3423
2015-11-13,64.29,64.93,62.98,64.06,671431.0,64.003,4032
2015-11-16,64.84,66.17,62.95,65.01,799824.0,65.086,5694
2015-11-17,64.87,65.25,63.52,63.95,548802.0,64.143,3627
2015-11-18,63.95,65.03,62.9,63.77,540164.0,63.858,3704
2015-11-19,63.47,63.77,62.5,62.95,655212.0,62.93,4821
2015-11-20,63.55,63.67,61.73,62.21,722754.0,62.631,4167
2015-11-23,62.01,63.5,61.51,63.0,541673.0,62.853,3639
2015-11-24,63.19,64.71,63.08,63.71,557409.0,63.95,3737
2015-11-25,63.69,64.38,62.82,63.63,391980.0,63.752,2489
2015-11-27,63.37,63.73,62.91,63.57,128814.0,63.337,699
2015-11-30,63.5,64.13,62.4,62.53,583014.0,63.08,3979
2015-12-01,62.61,63.24,61.96,62.55,763697.0,62.565,5330
2015-12-02,61.67,62.47,60.35,61.86,1357998.0,61.432,8993
2015-12-03,62.11,62.96,59.9,60.14,853336.0,60.759,5827
2015-12-04,59.93,62.25,59.04,60.24,1544376.0,60.607,9110
2015-12-07,59.05,59.05,54.56,56.99,3299604.0,56.663,21292
2015-12-08,55.28,58.35,54.51,57.33,1851649.0,56.951,11264
2015-12-09,58.09,64.01,58.02,63.89,2178326.0,61.893,14804
2015-12-10,63.34,64.16,62.35,63.58,1283251.0,63.402,7854
2015-12-11,62.67,62.98,59.24,59.99,1773606.0,60.539,10927
2015-12-14,59.26,60.18,57.71,58.93,1324959.0,58.777,8170
2015-12-15,59.31,60.79,58.42,59.9,1384104.0,59.775,8804
2015-12-16,60.09,63.53,59.38,62.78,1413732.0,62.023,8867
2015-12-17,62.81,63.06,60.35,61.02,1188082.0,61.34,6605
2015-12-18,61.3,63.45,61.01,62.53,1712239.0,62.436,11384
2015-12-21,62.74,65.34,61.98,65.31,1204665.0,63.779,7751
2015-12-22,65.01,69.07,64.92,66.27,1668143.0,67.269,10036
2015-12-23,66.88,69.64,66.85,68.99,1435412.0,68.719,9135
2015-12-24,69.28,70.01,68.1,68.1,431155.0,68.905,2948
2015-12-28,67.03,68.62,65.76,67.69,795914.0,67.445,4898
2015-12-29,68.61,68.85,66.74,67.53,639333.0,67.533,4411
2015-12-30,66.14,67.25,65.29,66.37,711189.0,66.309,4944
2015-12-31,66.24,68.49,65.62,67.92,1008394.0,67.559,6351
2016-01-04,67.37,69.14,67.1,68.66,1117210.0,68.318,8034
2016-01-05,68.92,69.49,67.21,69.26,735651.0,68.556,5341
2016-01-06,67.98,69.54,66.69,67.02,1057003.0,67.906,7353
2016-01-07,65.02,67.15,64.48,65.33,1134277.0,65.717,8283
2016-01-08,65.52,67.3,65.45,65.86,915714.0,66.072,6599
2016-01-11,65.42,66.02,63.84,64.52,918732.0,64.748,6719
2016-01-12,65.67,67.24,63.26,66.67,1250212.0,65.052,8291
2016-01-13,66.87,67.66,63.25,64.79,1323792.0,64.959,8992
2016-01-14,65.11,66.88,63.51,66.19,1542275.0,65.196,9913
2016-01-15,64.22,65.16,62.84,64.24,1265587.0,64.042,7848
2016-01-19,64.6,64.98,60.09,61.63,1213577.0,62.496,7100
2016-01-20,60.04,60.04,55.25,56.97,2951775.0,56.743,18562
2016-01-21,57.1,59.55,55.64,58.68,1490652.0,57.737,9290
2016-01-22,60.66,63.37,60.08,61.72,1378473.0,61.338,9340
2016-01-25,60.71,62.99,58.72,58.88,1407312.0,60.002,9573
2016-01-26,59.55,62.37,59.0,62.23,922385.0,61.142,6147
2016-01-27,62.3,64.2,60.0,62.86,1245816.0,62.935,8687
2016-01-28,65.19,66.0,62.52,63.24,723578.0,63.727,4803
2016-01-29,63.74,65.5,63.49,64.23,712087.0,64.461,5108
2016-02-01,63.68,64.57,62.0,63.72,796366.0,63.234,5518
2016-02-02,62.05,63.72,61.41,63.67,663411.0,62.825,4656
2016-02-03,63.53,63.56,60.49,62.74,684431.0,61.888,4965
2016-02-04,60.76,64.14,59.27,63.95,1115666.0,62.225,7600
2016-02-05,62.5,65.0,61.08,61.44,747476.0,62.727,4947
2016-02-08,60.87,62.17,59.03,61.75,1125892.0,60.626,7914
2016-02-09,62.31,62.31,57.81,59.43,1065412.0,59.068,7045
2016-02-10,59.45,60.87,58.08,59.3,676286.0,59.505,4846
2016-02-11,57.96,60.04,55.75,57.25,1390432.0,57.505,9475
2016-02-12,59.42,60.07,57.5,59.33,1286580.0,59.121,9207
2016-02-16,60.87,62.58,60.36,61.53,1059403.0,61.569,7001
2016-02-17,62.94,65.56,62.36,65.19,1191910.0,64.712,6886
2016-02-18,66.37,66.37,64.15,64.86,825386.0,64.916,5606
2016-02-19,64.0,64.75,63.21,63.77,577247.0,63.839,4461
2016-02-22,65.68,66.76,64.48,66.21,634012.0,65.956,4092
2016-02-23,65.59,66.2,63.85,64.71,500237.0,65.127,3370
2016-02-24,63.33,65.92,63.03,65.59,505785.0,64.835,3559
2016-02-25,64.68,65.95,64.22,64.76,640668.0,64.887,4372
2016-02-26,65.64,67.7,65.24,66.39,610658.0,66.763,4438
2016-02-29,66.79,68.75,66.31,67.58,873317.0,67.972,6420
2016-03-01,68.36,68.52,66.79,67.16,668380.0,67.635,4596
2016-03-02,66.83,69.85,66.15,69.62,713545.0,68.471,4652
2016-03-03,69.57,70.85,69.57,70.17,769912.0,70.225,5422
2016-03-04,70.82,71.48,69.53,70.92,836966.0,70.878,5691
2016-03-07,70.68,72.0,70.29,71.3,654715.0,71.103,4825
