date,open,high,low,close,volume,average,barCount
2015-10-13,9.82,10.13,9.81,10.03,5065935.0,10.013,22946
2015-10-14,9.99,10.97,9.99,10.74,12063204.0,10.636,51663
2015-10-15,10.76,10.89,10.31,10.6,7377893.0,10.599,38389
2015-10-16,10.58,10.63,10.28,10.49,3338147.0,10.52,18918
2015-10-19,10.5,10.64,10.33,10.39,3124252.0,10.441,17781
2015-10-20,10.34,10.64,10.34,10.56,2916634.0,10.553,16243
2015-10-21,10.63,10.74,10.28,10.3,3540780.0,10.505,20052
2015-10-22,10.51,10.89,10.4,10.88,4222485.0,10.778,22639
2015-10-23,11.0,11.59,10.73,11.48,8242400.0,11.333,38018
2015-10-26,11.39,11.46,10.89,10.99,3504102.0,11.029,20005
2015-10-27,10.91,10.99,10.74,10.81,3319776.0,10.833,19077
2015-10-28,10.84,11.05,10.79,11.03,4835807.0,10.953,26315
2015-10-29,10.7,10.7,10.2,10.28,11158996.0,10.34,48352
2015-10-30,11.03,11.38,10.82,11.0,10581600.0,11.083,45315
2015-11-02,10.97,11.25,10.9,11.18,3730117.0,11.168,19229
2015-11-03,11.09,11.3,11.07,11.21,3653358.0,11.217,18853
2015-11-04,11.29,11.55,11.1,11.54,4396355.0,11.415,20325
2015-11-05,11.5,11.6,11.2,11.28,4754460.0,11.306,16251
2015-11-06,11.27,11.62,11.25,11.6,2657462.0,11.515,12619
2015-11-09,11.57,11.6,11.39,11.51,2288815.0,11.474,12991
2015-11-10,11.37,11.39,11.2,11.22,2454933.0,11.25,11821
2015-11-11,11.29,11.42,11.19,11.22,3905446.0,11.282,17300
2015-11-12,11.12,11.24,10.85,10.85,4076681.0,10.995,20556
2015-11-13,10.84,10.95,10.68,10.72,5760234.0,10.801,27120
2015-11-16,10.71,10.86,10.55,10.67,5833761.0,10.668,24657
2015-11-17,10.7,10.9,10.64,10.74,3309788.0,10.765,17124
2015-11-18,10.39,10.39,9.53,9.89,27266473.0,9.898,85055
2015-11-19,10.2,10.33,9.94,10.1,8141647.0,10.098,33920
2015-11-20,10.2,10.29,10.11,10.16,5691235.0,10.19,24887
2015-11-23,10.13,10.24,10.07,10.15,5463521.0,10.162,23169
2015-11-24,10.14,10.41,10.03,10.35,8862812.0,10.283,33595
2015-11-25,10.35,10.55,10.29,10.46,8167362.0,10.484,23752
2015-11-27,10.46,10.77,10.46,10.73,2251990.0,10.639,10971
2015-11-30,10.73,11.05,10.68,10.96,8047680.0,10.89,28028
2015-12-01,11.01,11.28,11.01,11.27,8694768.0,11.149,29893
2015-12-02,11.31,11.35,11.1,11.33,7582855.0,11.247,26745
2015-12-03,11.42,11.42,10.97,11.08,5203645.0,11.147,25531
2015-12-04,11.06,11.4,11.01,11.37,3958588.0,11.275,16811
2015-12-07,11.27,11.36,11.21,11.24,6503871.0,11.271,25308
2015-12-08,10.51,10.7,10.26,10.46,11220977.0,10.462,46062
