date,open,high,low,close,volume,average,barCount
2015-10-13,72.41,73.55,72.01,72.68,2482146.858743497,73.00578600000001,16215
2015-10-14,72.59,74.14,72.27,73.87,3602593.0372148855,73.53457440000001,23590
2015-10-15,73.68,74.77,73.11,74.69,4598465.386154462,74.12933640000001,24182
2015-10-16,75.46,75.47,73.49,74.2,4438118.247298919,74.14133160000002,27009
2015-10-19,73.36,73.5,72.13,72.68,3856185.4741896754,72.6379332,23847
2015-10-20,72.43,73.25,72.04,72.55,3927371.9487795113,72.6329352,24793
2015-10-21,72.46,72.95,71.91,71.98,3235560.2240896355,72.4690008,17387
2015-10-22,72.57,74.41,72.56,74.31,3012153.8615446175,73.7634828,20324
2015-10-23,73.91,74.48,73.34,73.68,3184818.927571028,73.7534868,21460
2015-10-26,73.37,73.57,71.62,71.63,3083213.2853141255,72.12913680000001,20209
2015-10-27,70.65,70.76,69.57,70.17,3654871.9487795113,70.12194000000001,23188
2015-10-28,70.74,74.48,70.25,73.78,6024433.773509403,73.325658,37935
2015-10-29,73.42,74.85,72.97,74.1,3973035.214085634,74.3442504,27548
2015-10-30,74.4,75.53,73.55,74.51,3610194.077631052,74.65912440000001,24951
2015-11-02,73.96,76.15,73.85,75.55,3360690.2761104438,75.13493400000002,22783
2015-11-03,76.32,77.33,75.83,76.57,4497671.068427371,76.7212992,27090
2015-11-04,76.47,76.47,75.08,75.73,3399973.989595838,75.6017472,24863
2015-11-05,75.24,77.24,75.12,75.68,3399593.8375350134,76.1555256,23429
2015-11-06,75.02,75.62,74.32,75.07,3139401.7607042813,74.85904440000002,20362
2015-11-09,74.91,75.61,74.57,75.18,3305524.209683873,75.1879128,22308
2015-11-10,74.9,76.71,74.69,76.23,3516339.5358143253,75.8666412,22615
2015-11-11,76.35,77.34,75.46,75.59,4375290.116046418,76.37043960000001,31352
2015-11-12,74.5,74.92,72.93,73.11,3150217.0868347334,73.78047600000001,20862
2015-11-13,72.91,73.92,72.33,73.48,3053570.428171268,73.30866480000002,18040
2015-11-16,73.62,74.99,72.98,74.94,3646961.7847138853,74.26928040000001,24045
2015-11-17,75.0,75.13,73.95,74.22,2781456.582633053,74.49618960000001,19339
2015-11-18,74.58,75.87,74.28,75.74,2933424.369747899,75.10694520000001,20116
2015-11-19,75.29,76.35,74.78,75.27,3067267.9071628647,75.37283880000001,19125
2015-11-20,75.22,75.55,73.93,74.06,2556448.579431772,74.51118360000001,16091
2015-11-23,73.96,74.68,73.56,74.07,2016418.5674269705,74.17032,13884
2015-11-24,74.52,76.18,73.94,75.87,3232626.050420168,75.41482200000002,22165
2015-11-25,75.07,76.01,74.72,75.35,2230039.015606242,75.56476200000002,15362
2015-11-27,74.52,75.23,74.47,75.16,1110743.2973189275,74.97399840000001,8136
2015-11-30,75.23,76.37,74.78,75.56,3521067.426970788,75.71170320000002,23994
2015-12-01,75.65,76.72,74.98,76.66,3756576.6306522605,75.8736384,27237
2015-12-02,75.97,77.14,74.97,75.28,5177400.960384153,75.90662520000001,33913
2015-12-03,75.68,75.8,71.9,72.4,5628926.570628251,73.23069600000001,37394
2015-12-04,71.38,72.58,69.61,71.69,7477224.889955982,70.86264360000001,47811
2015-12-07,69.91,70.61,68.25,69.29,6272672.06882753,69.16432320000001,43292
2015-12-08,66.57,67.89,65.9,67.27,6515195.078031212,67.17911760000001,43065
2015-12-09,67.38,69.19,67.25,67.92,3585890.3561424566,68.06576280000002,23053
2015-12-10,67.63,69.29,67.32,68.39,4065955.3821528605,68.60454720000001,26168
2015-12-11,67.28,67.43,65.61,66.0,5243218.287314925,66.0975504,34397
2015-12-14,65.47,66.74,64.86,66.62,5373310.324129651,65.8466508,37906
2015-12-15,67.41,68.79,67.28,68.41,4067920.1680672267,68.20770600000002,28964
2015-12-16,68.41,69.59,67.49,68.84,4520642.256902761,68.5405728,31533
2015-12-17,68.2,68.57,65.62,66.39,4743482.392957183,66.65832600000002,29189
2015-12-18,66.39,66.99,65.8,65.93,4191761.7046818724,66.42342000000001,25240
2015-12-21,66.31,66.91,65.19,66.11,3704724.889955982,65.8216608,25322
2015-12-22,66.28,68.12,65.71,66.95,4856743.697478991,67.21510320000002,29911
2015-12-23,68.25,69.31,67.86,69.18,4723624.449779912,68.652528,25757
2015-12-24,69.18,69.6,68.62,69.17,1689709.8839535813,69.16132440000001,10646
2015-12-28,67.8,68.44,67.43,67.96,2795386.1544617843,68.00178840000001,16669
2015-12-29,69.25,69.47,67.62,68.16,2787237.8951580627,68.17871760000001,17719
2015-12-30,67.23,68.48,66.85,66.99,2545785.31412565,67.28207640000001,15905
2015-12-31,66.39,67.97,66.39,67.58,3559530.8123249295,67.47200040000001,23118
2016-01-04,67.06,67.85,66.34,67.38,3597423.9695878346,67.03617480000001,25222
2016-01-05,67.15,68.68,66.75,68.5,3417930.1720688273,67.8198612,23938
2016-01-06,66.72,67.08,64.73,65.41,5580821.328531412,65.69871,35482
2016-01-07,64.04,65.65,63.66,64.23,4951375.550220087,64.4102256,31172
2016-01-08,64.73,64.92,62.91,63.14,5056981.792717086,63.68951400000001,34650
2016-01-11,62.93,63.39,59.95,61.2,7787052.82112845,61.20950640000001,48292
2016-01-12,61.4,61.86,58.8,60.95,6549099.639855942,60.09595200000001,41523
2016-01-13,61.73,62.77,60.0,60.38,6007084.833933573,61.40242920000001,41761
2016-01-14,60.73,64.78,60.17,63.97,7879672.869147658,62.94281280000001,51642
2016-01-15,61.3,63.02,60.94,62.76,5934031.612645057,62.26308480000001,40011
2016-01-19,63.47,63.62,60.32,61.44,6544880.9523809515,62.12014200000001,41385
2016-01-20,60.33,60.85,58.22,59.6,8108667.466986794,59.55516840000001,52545
2016-01-21,59.09,61.15,58.74,60.83,6132352.94117647,60.29687160000001,37098
2016-01-22,63.5,64.36,61.42,63.77,6328431.372549019,63.09875040000001,42159
2016-01-25,62.98,64.27,61.71,61.77,4127840.1360544213,62.66092560000001,29976
2016-01-26,63.06,63.58,62.12,63.2,4407563.025210083,63.02877840000001,30995
2016-01-27,62.77,65.84,62.26,64.13,5241281.512605041,64.35324840000001,38744
2016-01-28,66.12,66.72,64.05,65.84,6399203.681472588,65.61574320000001,45622
2016-01-29,65.96,68.8,65.85,68.8,7707488.995598239,67.71190440000001,51032
2016-02-01,67.51,67.75,65.8,66.53,4773492.396958783,66.6843156,31060
2016-02-02,64.31,66.27,64.0,65.45,4747239.895958383,65.4018288,31699
2016-02-03,66.56,68.16,64.72,68.1,5179774.909963985,66.76828200000001,36180
2016-02-04,68.87,70.46,66.75,66.95,7960079.031612644,68.63953320000002,49841
2016-02-05,66.37,66.62,64.72,65.44,5130096.038415366,65.3908332,36567
2016-02-08,63.65,66.67,63.21,66.16,4817254.901960784,64.9710012,33123
2016-02-09,65.1,66.14,64.02,65.19,4024628.851540616,65.1379344,27398
2016-02-10,65.1,66.97,64.25,65.63,6388499.399759904,66.04057320000001,41517
2016-02-11,64.36,66.49,64.09,66.17,4872588.035214085,65.31586320000001,32032
2016-02-12,66.97,67.75,66.41,67.03,3995844.3377350937,67.0891536,27687
2016-02-16,68.22,68.29,67.12,67.98,4395037.014805922,67.72489920000001,28560
2016-02-17,69.31,71.27,68.68,70.6,5482633.053221288,70.03497480000001,34294
2016-02-18,71.3,71.43,69.78,70.26,3920827.3309323727,70.54876920000001,27620
2016-02-19,69.81,70.34,68.9,70.23,4320658.263305321,69.70610640000001,29288
2016-02-22,71.87,72.16,71.07,71.65,3924352.7410964384,71.52138000000001,25009
2016-02-23,71.34,71.74,68.55,68.97,3461097.43897559,69.62813760000002,23614
2016-02-24,67.68,69.58,67.37,69.44,2806376.5506202476,68.48459520000002,19240
2016-02-25,69.55,69.93,68.46,69.65,2053704.0,69.267,15312
2016-02-26,71.23,71.23,69.75,69.8,2713558.0,70.265,20174
2016-02-29,70.31,70.53,68.52,68.82,3089931.0,69.343,22409
2016-03-01,69.25,70.6,68.57,70.45,3323483.0,69.784,21750
2016-03-02,70.08,71.66,69.57,71.61,3890340.0,70.781,24970
2016-03-03,71.59,71.62,69.38,70.49,5310172.0,70.387,34678
2016-03-04,70.7,71.0,69.15,69.72,4946996.0,69.999,32671
2016-03-07,70.07,70.74,68.32,70.35,5917114.0,69.567,39630
2016-03-08,69.12,69.18,66.2,66.4,5800218.0,67.029,40006
2016-03-09,67.23,69.25,66.3,68.43,4741671.0,68.095,31975
2016-03-10,68.27,68.73,67.53,68.44,3592108.0,68.119,23474
2016-03-11,69.67,70.21,69.11,69.95,3096911.0,69.754,19873
2016-03-14,69.13,69.67,68.65,69.05,2344071.0,69.109,16132
2016-03-15,68.06,68.36,67.48,68.33,3603676.0,67.989,23583
2016-03-16,68.74,69.74,68.07,69.42,2914245.0,68.89,19317
2016-03-17,70.33,71.17,69.45,70.66,3330817.0,70.585,24375
2016-03-18,71.24,71.57,70.1,71.3,3691575.0,71.073,21819
2016-03-21,70.89,71.37,70.07,70.67,1710444.0,70.603,11890
2016-03-22,70.03,70.57,69.37,69.61,2534530.0,69.853,17379
2016-03-23,68.89,69.4,68.03,68.29,3578194.0,68.502,25102
2016-03-24,67.27,68.74,67.25,68.51,3777380.0,68.339,25105
2016-03-28,68.46,68.72,67.76,68.03,1891400.0,68.065,13939
2016-03-29,66.95,68.04,66.9,67.93,2627209.0,67.543,18654
2016-03-30,68.91,69.31,68.22,68.6,2337879.0,68.744,15087
2016-03-31,68.24,69.42,68.15,68.43,2173111.0,68.702,15136
2016-04-01,67.23,68.42,66.98,68.2,1876523.0,67.977,13043
2016-04-04,68.68,69.12,67.77,68.19,2552007.0,68.477,18145
2016-04-05,67.48,68.08,66.94,67.42,3446591.0,67.597,21272
2016-04-06,67.94,70.24,67.4,70.12,3148266.0,69.234,21595
2016-04-07,69.55,70.4,69.0,69.38,1963816.0,69.491,13582
2016-04-08,70.71,71.14,70.22,70.6,2589555.0,70.599,18949
2016-04-11,70.81,71.58,70.76,70.79,2365936.0,71.142,16151
2016-04-12,71.28,72.92,70.33,72.45,3398844.0,72.099,22326
2016-04-13,72.5,72.88,71.65,72.24,2593073.0,72.146,19326
2016-04-14,72.66,74.47,72.3,74.32,4908391.0,73.827,31149
2016-04-15,73.8,74.0,72.1,72.15,3588979.0,72.756,22387
2016-04-18,70.7,73.66,70.7,73.3,3021288.0,72.904,21283
2016-04-19,73.71,74.99,72.99,74.86,3264131.0,74.395,21956
2016-04-20,74.63,76.12,74.0,75.07,3188050.0,75.172,22039
2016-04-21,75.21,75.73,74.38,74.62,2451847.0,75.075,17309
2016-04-22,74.9,76.0,74.83,75.85,2094157.0,75.658,14432
2016-04-25,75.26,75.93,74.62,75.1,2424318.0,75.064,16505
2016-04-26,75.75,76.6,75.24,76.48,2482068.0,76.182,15810
2016-04-27,76.76,78.09,76.65,77.52,2983660.0,77.491,20065
2016-04-28,77.71,77.71,75.83,76.23,2949536.0,76.582,20142
2016-04-29,76.5,77.23,75.78,76.65,3447796.0,76.443,25021
2016-05-02,76.22,76.5,75.39,76.33,2725188.0,76.073,20772
2016-05-03,75.43,75.88,74.71,75.57,3452150.0,75.199,25314
2016-05-04,75.18,75.78,73.85,73.96,5013071.0,74.645,30132
2016-05-05,75.66,76.89,75.08,76.14,5348917.0,76.001,37176
2016-05-06,75.31,76.64,75.1,76.06,4519220.0,76.103,31790
2016-05-09,75.25,75.83,74.25,75.54,3210185.0,75.065,21900
2016-05-10,75.66,76.58,75.52,76.41,3647819.0,76.252,23912
2016-05-11,75.9,77.03,75.68,76.31,3780077.0,76.432,21871
2016-05-12,76.98,77.2,76.16,76.48,2860635.0,76.518,19607
2016-05-13,76.36,76.38,75.17,75.34,2723297.0,75.678,17347
2016-05-16,76.15,76.86,75.84,76.53,3582046.0,76.452,23003
2016-05-17,76.33,77.08,75.76,76.34,4549733.0,76.406,31214
2016-05-18,75.38,75.89,74.31,74.81,4898621.0,75.096,32604
2016-05-19,74.5,75.0,73.82,74.84,3411703.0,74.486,21248
2016-05-20,75.31,75.43,74.6,74.96,2790984.0,75.043,17382
2016-05-23,74.48,75.37,74.31,74.87,2533342.0,74.944,16410
2016-05-24,75.54,76.39,74.98,76.12,3045327.0,76.034,20116
2016-05-25,76.87,77.35,75.88,76.17,2779124.0,76.364,18572
2016-05-26,76.7,77.18,76.05,76.11,1881033.0,76.438,12493
2016-05-27,75.97,76.22,75.58,76.15,1807557.0,75.947,12202
2016-05-31,76.22,76.51,75.08,75.44,2567239.0,75.72,17604
2016-06-01,74.9,75.55,74.33,75.44,2426489.0,75.058,16277
2016-06-02,74.82,75.25,74.36,75.21,1700440.0,74.901,11642
2016-06-03,75.48,75.72,74.37,74.83,1976657.0,74.859,14071
2016-06-06,75.56,76.18,75.22,75.41,2411916.0,75.626,14298
2016-06-07,76.0,77.17,75.57,76.87,3691087.0,76.464,20660
2016-06-08,76.6,76.97,75.31,75.44,3426200.0,75.892,21717
2016-06-09,74.56,75.66,74.52,75.6,2808507.0,75.335,17998
2016-06-10,75.0,75.46,74.8,75.45,3256903.0,75.195,20478
2016-06-13,74.84,75.69,74.63,75.25,4378690.0,75.303,29744
2016-06-14,74.92,75.26,74.8,75.12,3269677.0,75.034,20864
2016-06-15,75.09,75.34,74.59,74.85,2537355.0,74.956,16576
