date,open,high,low,close,volume,average,barCount
2015-10-13,52.99,53.23,52.68,52.74,2075445.0,52.873,13365
2015-10-14,52.8,53.29,52.7,52.77,2206384.0,52.941,13459
2015-10-15,52.88,54.08,52.87,54.05,2496459.0,53.494,16068
2015-10-16,53.99,54.35,53.88,54.03,3446987.0,54.074,18226
2015-10-19,53.93,54.29,53.62,54.29,2474846.0,53.975,14789
2015-10-20,54.09,54.83,54.0,54.33,1305806.0,54.463,8798
2015-10-21,54.71,54.99,54.13,54.17,1589099.0,54.411,10487
2015-10-22,54.24,54.7,54.22,54.5,1906160.0,54.495,12824
2015-10-23,54.41,54.57,53.57,53.63,1835207.0,53.893,10749
2015-10-26,53.77,53.91,53.27,53.79,2879073.0,53.691,14237
2015-10-27,53.73,54.21,53.73,54.07,3785344.0,54.015,17784
2015-10-28,53.9,54.1,52.14,52.95,3388758.0,52.95,21914
2015-10-29,52.75,53.34,51.47,52.35,4824966.0,51.883,23806
2015-10-30,52.47,53.76,52.37,53.4,3586172.0,53.295,23485
2015-11-02,53.35,53.73,52.93,53.55,2241016.0,53.39,15118
2015-11-03,53.37,53.69,52.97,53.63,2036897.0,53.362,12711
2015-11-04,53.48,54.21,53.39,54.16,2520678.0,53.92,14985
2015-11-05,54.07,54.38,53.67,53.72,2315552.0,53.993,15232
2015-11-06,52.85,52.85,51.05,51.93,4442715.0,51.699,22902
2015-11-09,51.72,52.7,51.62,52.5,2955139.0,52.252,15304
2015-11-10,52.47,53.39,52.28,53.37,2326462.0,53.157,15168
2015-11-11,53.46,53.79,53.32,53.67,2033916.0,53.579,12208
2015-11-12,53.56,54.12,52.77,52.79,1385100.0,53.163,9777
2015-11-13,52.79,53.32,52.13,52.26,1418400.0,52.547,9929
2015-11-16,52.22,53.45,52.05,53.44,1635532.0,53.06,11427
2015-11-17,53.25,53.68,51.95,52.15,2483684.0,52.654,14994
2015-11-18,52.17,52.78,51.72,52.67,1847526.0,52.166,13249
2015-11-19,52.79,53.4,52.67,53.19,1331182.0,53.039,9209
2015-11-20,53.49,53.94,53.34,53.58,1553622.0,53.596,9280
2015-11-23,52.67,53.64,52.53,52.73,2567745.0,53.029,14963
2015-11-24,52.53,52.72,52.02,52.55,2122354.0,52.426,13207
2015-11-25,52.67,52.69,52.17,52.36,1062035.0,52.348,6472
2015-11-27,52.43,53.05,52.43,52.77,577671.0,52.837,4124
2015-11-30,52.75,53.29,52.64,52.73,2475530.0,52.886,15235
2015-12-01,53.04,53.3,52.38,52.93,1257274.0,52.797,9115
2015-12-02,52.72,52.88,52.14,52.22,2470924.0,52.291,11374
2015-12-03,51.8,52.22,51.4,51.81,2778002.0,51.907,14111
2015-12-04,52.01,53.21,52.01,53.12,4211458.0,52.911,20634
2015-12-07,53.06,53.16,52.07,53.14,2824239.0,52.644,17543
