date,open,high,low,close,volume,average,barCount
2015-10-13,74.24,74.28,73.66,74.11,6580080.0,73.971,37793
2015-10-14,74.21,74.61,73.9,74.21,7126165.0,74.255,38173
2015-10-15,74.64,74.84,74.03,74.27,6984674.0,74.273,39803
2015-10-16,74.72,75.04,74.34,74.9,7264420.0,74.777,31426
2015-10-19,74.65,75.19,74.53,75.16,6007055.0,74.951,32232
2015-10-20,74.87,75.05,74.16,74.43,7218776.0,74.469,40035
2015-10-21,73.75,74.54,73.5,73.59,6538176.0,74.009,38010
2015-10-22,73.86,75.61,73.61,74.85,11797272.0,74.875,61600
2015-10-23,76.76,78.45,76.31,77.03,13319336.0,77.188,73102
2015-10-26,77.0,77.9,77.0,77.49,9592028.0,77.486,55106
2015-10-27,77.12,77.36,76.8,77.29,7201045.0,77.101,42345
2015-10-28,77.39,77.54,75.69,76.51,8966534.0,76.576,51292
2015-10-29,76.75,77.19,76.24,77.02,6643817.0,76.856,39033
2015-10-30,76.98,77.14,76.38,76.38,7019029.0,76.738,42313
2015-11-02,76.57,76.77,76.05,76.6,5957768.0,76.329,35091
2015-11-03,76.3,77.42,75.96,77.05,6835755.0,76.708,41167
2015-11-04,77.03,77.14,76.5,77.06,5065834.0,76.852,31418
2015-11-05,77.09,77.26,75.96,76.39,5705284.0,76.395,33722
2015-11-06,75.88,76.0,74.69,75.57,8270094.0,75.183,50894
2015-11-09,75.19,75.63,74.93,75.4,6681600.0,75.262,40115
2015-11-10,75.38,76.24,75.23,75.77,5665804.0,75.856,34795
2015-11-11,76.02,76.43,75.92,75.96,4596836.0,76.108,26854
2015-11-12,75.67,76.01,74.66,74.66,6420393.0,75.064,40486
2015-11-13,74.64,74.98,73.95,73.96,6868495.0,74.331,42837
2015-11-16,74.25,75.33,74.01,75.3,5994075.0,74.852,34295
2015-11-17,75.33,76.01,74.87,75.07,7097477.0,75.45,41654
2015-11-18,74.98,75.96,74.81,75.9,5317975.0,75.409,32089
2015-11-19,76.14,76.96,76.02,76.22,6580400.0,76.423,38113
2015-11-20,76.53,76.86,75.68,75.82,7815317.0,76.235,40508
2015-11-23,75.82,76.06,75.4,75.97,7895551.0,75.715,40705
2015-11-24,75.62,76.69,75.61,76.45,5324362.0,76.265,33583
2015-11-25,76.53,76.74,75.88,75.9,3323312.0,76.198,19935
2015-11-27,75.89,76.37,75.5,75.7,1948087.0,75.745,12127
2015-11-30,75.58,75.81,74.84,74.84,5915625.0,75.176,33884
2015-12-01,74.87,76.22,74.87,75.94,6274903.0,75.748,34851
2015-12-02,75.73,76.46,75.65,75.79,6110545.0,76.041,37666
2015-12-03,75.83,76.2,75.17,75.74,9482983.0,75.625,52594
