date,open,high,low,close,volume,average,barCount
2015-10-13,19.64,19.98,19.4,19.5,9473437.0,19.691,40355
2015-10-14,19.45,19.54,18.63,18.89,9809804.0,18.902,42982
2015-10-15,18.98,19.15,18.65,19.1,6355840.0,18.948,27695
2015-10-16,19.13,19.36,18.92,19.09,6590021.0,19.129,26393
2015-10-19,19.06,19.16,18.92,19.12,6209956.0,19.052,25322
2015-10-20,19.13,19.66,19.05,19.42,5299139.0,19.481,25899
2015-10-21,19.53,19.61,19.23,19.45,4320915.0,19.439,23014
2015-10-22,18.51,18.75,17.52,18.16,21608647.0,18.096,86369
2015-10-23,18.2,18.43,17.6,18.34,13372891.0,18.035,58502
2015-10-26,18.34,18.58,17.99,18.18,8191359.0,18.183,35266
2015-10-27,18.09,18.15,17.87,18.04,7141845.0,18.014,35229
2015-10-28,18.09,18.52,17.96,18.42,4974101.0,18.302,27599
2015-10-29,18.26,18.31,17.77,17.96,4402114.0,17.942,22480
2015-10-30,17.92,18.42,17.84,18.33,5215872.0,18.255,26505
2015-11-02,18.32,18.5,18.24,18.39,4295116.0,18.392,22598
2015-11-03,18.32,18.68,18.11,18.46,4756187.0,18.432,23399
2015-11-04,18.49,18.63,18.26,18.34,5248306.0,18.406,24233
2015-11-05,18.34,18.4,17.88,18.15,8426517.0,18.067,35947
2015-11-06,17.98,18.19,17.75,17.91,5335234.0,17.893,24667
2015-11-09,17.93,17.93,17.29,17.56,5605102.0,17.496,26808
2015-11-10,17.56,18.22,17.52,18.19,8316360.0,17.959,39033
2015-11-11,18.22,18.49,18.06,18.43,5235048.0,18.333,28985
2015-11-12,18.21,18.23,17.83,17.92,3842932.0,17.986,20455
2015-11-13,17.94,18.1,17.67,17.71,3226870.0,17.86,17138
2015-11-16,17.67,18.49,17.65,18.44,5501146.0,18.209,23265
2015-11-17,18.45,18.7,18.33,18.41,3979811.0,18.498,18796
2015-11-18,18.36,19.0,18.34,18.97,4910377.0,18.825,21799
