date,open,high,low,close,volume,average,barCount
2015-10-13,105.6,105.86,103.29,103.56,1433764.0,104.612,9825
2015-10-14,103.22,103.92,101.21,102.3,1190283.0,102.558,9165
2015-10-15,102.64,102.64,99.9,102.37,1312318.0,101.332,10382
2015-10-16,102.04,102.1,99.61,100.62,1265151.0,100.435,8894
2015-10-19,100.19,100.37,99.32,100.05,870571.0,99.922,6271
2015-10-20,99.34,102.85,98.37,102.14,1938480.0,101.535,13471
2015-10-21,102.5,104.63,101.45,101.75,1670150.0,102.492,13252
2015-10-22,97.42,102.52,97.42,100.77,4490650.0,100.386,34536
2015-10-23,101.51,103.14,101.11,103.07,2524644.0,102.194,18267
2015-10-26,102.81,103.34,101.13,101.79,1285843.0,101.858,9723
2015-10-27,100.53,101.58,99.1,101.49,1190301.0,100.707,9429
2015-10-28,101.93,104.0,99.38,102.98,1047404.0,102.79,7824
2015-10-29,102.64,104.61,102.33,104.51,1147756.0,103.847,8575
2015-10-30,104.74,105.62,104.16,104.7,904643.0,104.865,6956
2015-11-02,104.59,107.18,104.11,106.8,950628.0,105.987,7562
2015-11-03,106.44,107.83,105.81,107.13,860593.0,106.964,6795
2015-11-04,107.3,108.0,105.63,105.8,1183363.0,106.416,7909
2015-11-05,105.68,106.5,104.08,106.19,794017.0,105.618,6457
2015-11-06,105.04,105.63,103.41,104.87,967499.0,104.443,6595
2015-11-09,104.62,105.17,102.25,102.6,966990.0,102.967,6522
2015-11-10,102.33,103.01,101.25,102.2,794587.0,102.025,5681
2015-11-11,102.7,102.84,101.7,102.57,880280.0,102.367,6636
2015-11-12,101.35,101.91,99.15,99.31,1439376.0,100.668,10163
2015-11-13,99.31,100.98,98.64,99.85,1075401.0,99.912,8517
2015-11-16,99.83,101.98,99.51,101.9,513426.0,101.197,3796
2015-11-17,101.95,102.59,100.8,100.87,721431.0,101.5,5889
2015-11-18,101.5,102.68,101.26,102.55,702194.0,101.974,5899
2015-11-19,102.51,104.03,101.99,103.71,747863.0,103.411,6058
2015-11-20,104.26,105.24,103.49,103.73,678972.0,104.247,5379
2015-11-23,103.54,104.63,102.95,103.28,762577.0,103.626,5601
2015-11-24,102.76,104.03,102.56,103.59,718235.0,103.367,5732
2015-11-25,103.78,104.18,103.41,103.75,542488.0,103.794,4116
2015-11-27,103.57,104.41,103.29,103.7,221582.0,103.908,1671
2015-11-30,104.28,105.8,104.0,104.66,740196.0,104.958,5805
2015-12-01,104.78,105.23,102.68,103.5,1091790.0,103.559,8010
2015-12-02,103.5,103.67,101.71,101.95,810250.0,102.525,5718
2015-12-03,102.36,102.82,100.26,101.31,1297195.0,101.355,8087
2015-12-04,101.38,102.81,100.96,102.44,1296759.0,102.064,9572
2015-12-07,101.72,102.17,99.91,100.23,877149.0,100.425,7025
2015-12-08,99.04,99.35,97.52,97.75,1101467.0,98.157,8642
2015-12-09,96.89,99.06,96.89,97.68,766487.0,97.751,6324
2015-12-10,97.58,98.91,97.5,98.0,819921.0,98.175,6647
2015-12-11,96.51,96.72,95.43,95.56,1197551.0,95.929,8415
2015-12-14,95.6,96.37,94.34,95.49,933328.0,95.096,7113
2015-12-15,94.92,95.79,93.55,95.69,1611309.0,94.859,10670
2015-12-16,96.1,98.88,95.41,98.72,1367645.0,97.427,10748
2015-12-17,98.63,98.63,95.16,95.19,1260347.0,96.459,9218
2015-12-18,94.57,95.74,93.62,93.62,1238319.0,94.512,7529
2015-12-21,94.42,94.92,93.62,94.18,831201.0,94.043,6595
2015-12-22,94.63,96.98,94.43,96.49,775671.0,96.081,5714
2015-12-23,97.45,100.06,97.37,99.48,919999.0,99.218,6759
2015-12-24,99.22,100.12,99.09,99.85,432835.0,99.871,3249
2015-12-28,99.48,100.05,98.33,98.63,506443.0,98.821,3935
2015-12-29,99.28,99.84,98.48,99.52,474620.0,99.296,3746
2015-12-30,99.21,99.73,98.24,98.34,506045.0,98.979,3845
2015-12-31,97.76,98.4,96.98,96.98,676535.0,97.463,5487
2016-01-04,95.2,96.82,94.29,96.66,1066619.0,95.676,7825
2016-01-05,97.27,97.29,94.65,95.06,1094652.0,95.435,7499
2016-01-06,93.71,94.62,92.98,93.8,1102295.0,93.86,7023
2016-01-07,92.21,93.47,91.61,92.21,941803.0,92.286,6795
2016-01-08,92.92,93.44,90.33,90.55,1290750.0,91.835,7441
2016-01-11,91.03,91.27,89.43,90.37,1036489.0,90.173,8422
2016-01-12,91.31,91.61,88.86,90.51,1006890.0,89.864,7834
2016-01-13,90.98,91.6,89.51,89.72,1171057.0,90.278,9592
2016-01-14,89.89,92.43,88.33,90.65,1756816.0,90.936,11327
2016-01-15,87.7,89.11,87.39,87.99,1856009.0,88.212,12284
2016-01-19,89.43,89.5,87.15,87.87,1043108.0,88.116,7665
2016-01-20,86.41,87.69,83.32,86.51,2224646.0,84.879,16872
2016-01-21,86.66,89.61,85.9,87.95,1022926.0,88.178,8451
2016-01-22,89.63,91.54,88.69,89.82,1305266.0,89.681,8649
2016-01-25,88.85,89.93,87.82,88.12,1632628.0,88.707,11784
2016-01-26,93.39,94.8,88.08,91.77,4679927.0,91.712,34193
2016-01-27,91.5,93.4,90.23,91.69,1299826.0,91.811,10657
2016-01-28,92.67,94.54,92.64,94.08,1583291.0,93.723,12310
2016-01-29,94.57,97.16,94.37,97.16,1585646.0,96.281,12383
2016-02-01,96.05,96.96,95.02,96.37,1371673.0,96.117,10977
