date,open,high,low,close,volume,average,barCount
2015-10-13,68.15,69.3,67.89,68.07,563989.0,68.525,3779
2015-10-14,68.1,69.3,67.91,68.74,590843.0,68.69,4283
2015-10-15,68.69,69.26,68.4,68.9,620895.0,68.765,4559
2015-10-16,69.1,69.44,68.57,69.34,681117.0,69.014,4516
2015-10-19,69.11,69.29,67.92,69.05,893154.0,68.623,6580
2015-10-20,69.03,69.61,68.04,68.22,823481.0,68.592,6601
2015-10-21,64.87,66.6,63.14,64.3,2700743.0,64.322,19155
2015-10-22,64.59,65.05,63.89,64.83,824143.0,64.489,5610
2015-10-23,65.25,67.17,64.75,66.63,1674260.0,66.326,12803
2015-10-26,66.48,67.89,66.38,67.46,846264.0,67.391,7016
2015-10-27,66.94,67.53,65.62,66.99,1077283.0,66.587,7319
2015-10-28,67.29,68.07,66.46,67.63,822805.0,67.381,5843
2015-10-29,67.57,68.48,67.13,68.04,658418.0,68.008,5289
2015-10-30,68.07,69.21,67.78,68.45,617439.0,68.579,5077
2015-11-02,68.61,69.54,68.39,69.15,727463.0,68.991,5062
2015-11-03,68.91,68.91,67.1,67.31,728789.0,67.82,5490
2015-11-04,67.6,68.28,67.0,67.33,709837.0,67.435,5684
2015-11-05,67.34,67.76,66.72,67.2,564415.0,67.256,4560
2015-11-06,67.19,67.44,66.25,67.02,658826.0,66.894,4956
2015-11-09,67.16,67.31,65.62,66.48,365359.0,66.444,3110
2015-11-10,66.22,66.97,65.21,66.25,606035.0,66.009,4905
2015-11-11,66.37,67.5,66.25,66.9,484926.0,66.938,3882
2015-11-12,66.38,66.5,64.56,64.6,379638.0,65.15,3043
2015-11-13,64.49,65.56,64.34,64.93,386614.0,65.007,3164
2015-11-16,64.8,65.09,63.77,64.51,630669.0,64.413,5046
2015-11-17,64.81,65.79,63.23,63.37,940174.0,64.032,7259
2015-11-18,63.61,65.69,63.5,65.63,638110.0,64.92,4392
2015-11-19,65.88,66.71,65.38,66.47,625053.0,66.301,4650
2015-11-20,66.73,67.3,66.56,67.28,507694.0,67.062,3492
2015-11-23,67.25,67.93,66.98,67.27,429153.0,67.333,3584
2015-11-24,67.16,68.78,66.69,68.38,714515.0,68.131,6111
2015-11-25,67.91,69.09,67.13,67.41,354810.0,67.535,2922
2015-11-27,67.74,68.21,67.17,68.0,156569.0,67.791,1285
2015-11-30,67.97,68.49,67.73,67.99,529420.0,68.056,3815
2015-12-01,68.12,69.13,68.01,68.85,429381.0,68.718,3241
2015-12-02,68.62,68.81,67.36,67.46,456717.0,68.067,3378
2015-12-03,67.75,67.9,66.23,66.77,528120.0,66.89,4235
2015-12-04,66.8,67.46,66.46,67.07,330178.0,66.968,2652
2015-12-07,66.7,67.03,65.99,66.93,256259.0,66.634,1984
2015-12-08,66.0,66.25,65.42,65.65,410898.0,65.798,3454
2015-12-09,65.06,66.7,65.0,65.79,383182.0,65.774,3232
2015-12-10,65.73,66.36,65.0,65.25,471340.0,65.393,3315
2015-12-11,64.96,65.68,64.46,65.09,508106.0,64.916,3716
2015-12-14,65.18,65.22,63.31,63.79,544662.0,63.802,3214
2015-12-15,64.4,64.69,63.59,64.22,416692.0,64.149,3273
2015-12-16,64.76,65.34,64.28,65.06,544331.0,64.725,3635
2015-12-17,64.63,65.29,61.84,61.96,1058682.0,62.937,7544
2015-12-18,61.5,61.85,59.75,59.86,1814603.0,60.659,11955
2015-12-21,60.44,61.15,59.76,60.92,896107.0,60.633,6462
2015-12-22,60.83,62.78,60.74,62.7,1097947.0,61.902,7669
2015-12-23,62.37,63.89,62.06,63.84,741306.0,63.324,5298
2015-12-24,63.75,64.6,63.45,64.3,271605.0,64.269,1996
2015-12-28,64.27,64.41,63.47,64.37,373463.0,64.118,2826
2015-12-29,64.87,65.0,63.8,63.94,647234.0,64.121,4432
2015-12-30,63.78,64.49,63.5,64.0,532700.0,64.054,3701
2015-12-31,63.62,64.25,62.86,63.05,575944.0,63.439,4469
2016-01-04,62.01,62.55,61.45,62.35,557626.0,62.022,4443
2016-01-05,62.66,62.67,61.8,62.29,584195.0,62.182,4232
2016-01-06,61.31,61.8,60.4,60.93,699267.0,61.09,4797
2016-01-07,59.76,60.54,59.06,59.49,785559.0,59.596,5830
2016-01-08,60.31,60.97,58.22,58.24,1114891.0,59.248,9257
2016-01-11,58.55,60.08,58.43,59.5,1146565.0,59.444,9319
2016-01-12,60.23,60.87,58.41,59.5,754776.0,59.214,5988
2016-01-13,59.62,60.13,57.61,57.65,796894.0,58.68,6657
2016-01-14,57.98,58.57,56.84,58.16,515384.0,57.861,4113
2016-01-15,56.49,59.08,56.41,58.46,1078073.0,58.05,8612
2016-01-19,59.13,59.25,56.57,57.34,586513.0,57.737,4290
2016-01-20,56.41,57.62,54.0,56.98,867182.0,55.8,6560
2016-01-21,56.9,57.76,55.83,55.95,1020717.0,56.559,7153
2016-01-22,57.08,58.15,56.55,57.66,1394555.0,57.277,10168
2016-01-25,53.37,53.82,49.9,50.19,3405085.0,51.381,25026
2016-01-26,49.87,52.25,48.73,49.7,3549936.0,50.081,25615
2016-01-27,49.47,51.14,49.27,49.8,2172899.0,50.225,16803
2016-01-28,50.39,50.54,48.53,48.88,1117617.0,49.004,6834
2016-01-29,49.01,50.83,48.29,50.83,1335277.0,49.66,8965
2016-02-01,50.15,51.22,48.93,51.01,1294627.0,50.358,9870
2016-02-02,50.28,50.31,49.22,49.91,1081816.0,49.852,7492
2016-02-03,50.46,50.89,48.19,49.42,968014.0,49.25,7267
2016-02-04,49.29,50.55,48.93,50.44,1421008.0,49.789,9211
2016-02-05,50.44,51.17,50.0,50.64,1094704.0,50.531,6889
2016-02-08,50.01,50.06,48.89,49.73,1218384.0,49.608,7213
2016-02-09,49.11,50.08,48.62,49.84,1468321.0,49.66,7572
2016-02-10,49.5,50.21,48.36,48.82,1127167.0,49.301,7866
2016-02-11,47.96,48.42,45.84,46.07,1971942.0,46.587,12820
2016-02-12,46.86,47.43,46.36,46.6,1915839.0,46.878,13938
2016-02-16,47.14,47.77,46.72,47.39,1475941.0,47.256,10089
2016-02-17,47.83,48.52,47.69,47.96,690652.0,48.076,5313
2016-02-18,48.24,48.41,46.77,47.16,1374768.0,47.211,10567
2016-02-19,47.04,47.04,44.32,45.15,2436287.0,45.069,14724
2016-02-22,45.86,46.04,45.23,45.72,1196591.0,45.591,8729
2016-02-23,45.53,45.9,44.92,45.82,1450141.0,45.518,9189
2016-02-24,45.38,47.4,45.04,47.29,1769504.0,46.526,11111
2016-02-25,47.32,47.8,46.75,47.46,975155.0,47.221,7234
2016-02-26,47.89,48.8,47.71,48.33,1559978.0,48.335,9142
