date,open,high,low,close,volume,average,barCount
2015-10-13,82.91,83.96,82.01,82.16,2086575.0,82.953,14044
2015-10-14,82.16,83.4,81.67,82.47,1771789.0,82.468,12287
2015-10-15,83.03,83.89,81.86,83.49,1650472.0,82.919,12057
2015-10-16,84.03,84.77,83.44,84.12,2051722.0,84.022,14061
2015-10-19,83.42,83.7,81.48,81.62,2184144.0,82.083,14885
2015-10-20,81.32,81.84,80.08,81.6,2444701.0,81.139,17910
2015-10-21,81.88,81.91,80.23,80.5,2014353.0,80.79,13143
2015-10-22,81.33,82.85,80.73,82.61,2473657.0,82.145,17058
2015-10-23,82.61,84.45,82.41,83.35,2036966.0,83.509,13952
2015-10-26,83.31,83.68,82.41,83.0,2119308.0,83.276,15893
2015-10-27,82.34,83.56,82.06,83.56,1852969.0,82.953,13324
2015-10-28,83.69,85.33,83.34,84.89,1933008.0,84.622,12940
2015-10-29,84.52,86.92,84.52,86.43,2943899.0,86.14,21186
2015-10-30,88.32,90.82,87.3,89.05,5605471.0,89.59,36142
2015-11-02,88.39,91.5,88.3,90.6,3929372.0,90.83,28191
2015-11-03,90.72,93.29,90.18,92.67,2850227.0,92.063,18729
2015-11-04,93.0,94.12,92.5,93.33,3083568.0,93.402,21247
2015-11-05,93.34,93.95,92.61,93.68,2464813.0,93.471,18520
2015-11-06,93.21,93.72,92.04,92.75,1885534.0,92.552,13359
2015-11-09,92.75,94.0,91.39,92.01,1717916.0,92.056,11437
2015-11-10,91.39,92.94,90.91,92.1,1797044.0,92.002,12870
2015-11-11,91.81,92.72,90.41,90.59,2041694.0,91.0,14160
2015-11-12,89.96,89.96,88.41,89.24,1961249.0,89.143,14274
2015-11-13,89.26,89.96,87.92,89.08,1542110.0,89.085,11098
2015-11-16,88.98,91.1,88.33,91.07,2113859.0,89.803,15864
2015-11-17,90.77,91.98,90.49,91.12,1742426.0,91.338,13256
2015-11-18,91.28,92.72,91.26,92.54,1365116.0,91.971,10101
2015-11-19,92.36,92.98,91.63,92.38,1842135.0,92.327,11020
2015-11-20,92.55,92.99,91.52,91.67,1928830.0,92.118,13040
2015-11-23,90.35,92.5,90.35,92.17,1988988.0,91.751,14535
2015-11-24,92.1,93.91,91.54,93.13,2100539.0,92.963,14242
2015-11-25,93.07,94.06,92.76,92.77,1514824.0,93.246,10328
2015-11-27,92.29,93.31,92.11,92.76,535865.0,92.794,4010
2015-11-30,93.09,93.46,91.34,91.53,1950655.0,92.266,15060
2015-12-01,92.33,92.95,91.21,92.67,1810425.0,92.114,13198
2015-12-02,92.16,93.0,90.08,90.44,2334764.0,91.056,17216
2015-12-03,91.0,91.28,88.2,88.57,2093109.0,89.193,15246
2015-12-04,90.35,90.67,88.69,90.2,2281891.0,89.808,17712
2015-12-07,88.62,89.46,85.72,86.69,4043123.0,86.686,30078
2015-12-08,85.57,87.43,85.11,86.45,2614971.0,86.404,19662
2015-12-09,86.51,87.85,85.2,86.09,2236672.0,86.233,16895
2015-12-10,86.48,87.55,85.68,86.75,2043452.0,86.79,15317
2015-12-11,85.46,85.91,82.52,82.78,3421112.0,83.577,24783
2015-12-14,82.32,82.83,80.28,81.4,4141650.0,81.294,30291
2015-12-15,82.42,83.3,81.42,81.78,4393788.0,81.859,29059
2015-12-16,81.55,83.4,81.55,83.06,3115913.0,82.581,23033
2015-12-17,83.0,83.34,81.76,81.78,2430748.0,82.588,17625
2015-12-18,81.5,81.78,79.68,80.56,3360381.0,80.636,22656
2015-12-21,81.02,81.27,79.47,80.62,2243779.0,80.177,16774
